U-turn;U-dan a wobɛdannan no
umbrella term;umbrella asɛmfua
umbrella;kyiniiɛ
Umbria;Umbria na ɛwɔ hɔ
Umbrian;Umbrian, na ɔkyerɛwee
Umbriel;Umbriel na ɔkyerɛwee
umlaut;umlaut
ummah;ummah
umpire;umpire a ɔyɛ ɔtemmufo
umpteen;mpɛn pii
umpteenth;nea ɛto so du du
UN Security Council;Amanaman Nkabom Ahobammɔ Bagua
un-;un- .
UN;UN
unabashed;a aniwu nnim
unabashedly;a aniwu biara nni ho
unable;antumi
unacceptable;a wonnye ntom
unacceptably;a wontumi nnye ntom
unaccountably;a wontumi mmu ho akontaa
unachievable;nea wontumi nnya
unadulterated;a wɔansɛe no
unafraid;a wonsuro
unaltered;a wɔansakra no
unambiguous;a emu nna hɔ
unambiguously;a akyinnye biara nni ho
unanimous;a wɔde adwene koro na ɛyɛe
unanimously;a wɔde adwene koro na ɛyɛe
unattached;a wɔmfa wɔn ho nhyɛ mu
unavailable;a enni hɔ
unavailing;a mfaso biara nni so
unavoidable;nea wontumi nkwati
unavoidably;a wontumi nkwati
unaware;a wonnim
unbalance;a ɛnkari pɛ
unbalanced;a ɛnkari pɛ
unbearable;nea wontumi nnyina ano
unbeknownst;a wonnim
unbelievable;a wontumi nnye nni
unbelievably;a wontumi nnye nni
unbelieving;a wonnye nni
unbiased;a wonni animhwɛ
unbibium;unbibium a ɛnyɛ bibium
unbiblical;a ɛne Bible nhyia
unbinilium;unbinilium a ɛyɛ den
unbirthday;a ɛnyɛ awoda
unbiunium;unbiunium a wɔde yɛ adwuma
unblemished;a nkekae biara nni ho
unblushingly;a n’ani nnye ho
unbosom;unbosom
unboxing;unboxing a wɔayi afi mu
unbutton;bue bɔtn no mu
uncanny valley;bon a ɛyɛ nwonwa
uncanny;a ɛnyɛ nwonwa
uncertain;a wontumi nsi pi
uncertainly;a wontumi nsi pi
uncertainty;adwenem naayɛ
unchain;un nkɔnsɔnkɔnsɔn
uncheck;yi fi mu
unclassifiable;a wontumi nkyekyɛ mu
Uncle Sam;Onua Sam
uncle;wɔfa
unclearly;a emu nna hɔ
uncombinable;nea wontumi nkabom
uncomfortable;a ɛnyɛ dɛ
uncomfortably;a ɛnyɛ dɛ
uncomment;uncomment
uncommon;ɛnyɛ nea ɛtaa ba
uncommonly;a ɛnyɛ nea ɛtaa ba
uncomparable;a wontumi mfa ntoto ho
unconcerned;a wɔmfa wɔn ho nhyɛ mu
unconditional;a enni nnyinaso biara
unconditionally;a biribiara nhyɛ mu
unconducive;a ɛnyɛ nea ɛfata
unconscionable;a wonni adwene
unconsciously;a wonnim
unconsciousness;adwenem naayɛ
unconstitutional;ɛne ɔman mmara nhyia
unconstitutionality;nea ɛne ɔman mmara nhyia
unconstitutionally;a ɛne ɔman mmara nhyia
uncontrollable;a wontumi nni so
uncontrolled;a wontumi nni so
uncontroversial;a akyinnye biara nni ho
uncork;uncork a wɔde yiyi mu
uncountable;a wontumi nkan
uncouth;a ɛnyɛ anifere
uncover;yiyi mu
unction;unction a wɔde hyɛ nipadua mu
uncultivated;a wɔnyɛ so dua
undead;a wonwui
undecided;a wontumi nsi gyinae
undeniable;wontumi nnye ho kyim
under fire;ogya ase
under one's belt;obi bɛlt ase
under one's breath;obi home ase
under one's thumb;obi nsateaa ase
under the influence;wɔ nkɛntɛnso ase
under the knife;wɔ sekan no ase
under the weather;wɔ wim tebea ase
under wraps;wɔ ntama a wɔde kyekyere nneɛma ho ase
under;aseɛ
underbelly;yafunu ase
undercook;undercook noa
undercooked;a wɔanoa no yiye
undercover;sum ase
undercut;a wɔatwa no ase
underdog;underdog a ɔyɛ
underemployed;adwuma a wonnya nyɛ
underemployment;adwuma a wonnya nyɛ
underestimate;bu adewa
undergo;fa mu
undergraduate;adesua a edi kan
underground;asase ase
underhand;underhand
underlie;underlie
underline;twe adwene si so
underlying;a ɛhyɛ ase
undermine;brɛ ase
underneath;wɔ aseɛ
undernourished;aduan pa a wonnya nni
underpants;ntade a wɔde hyɛ ase
underpass;ɔkwan a ɛkɔ fam
underperform;wɔnyɛ adwuma yiye
underpin;underpin
underplay;underplay
underrate;wɔmfa nyɛ hwee
underrated;te aseɛ
underscore;si so dua
undersecretary;ɔkyerɛwfo panyin
undershirt;undershirt
understand;te aseɛ
understandable;ntease wom
understanding;ntease
understate;fa no nyɛ hwee
understated;a wɔmfa nyɛ hwee
understeer;understeer a wɔde di dwuma
understood;ate aseɛ
understudy;adesua a ɛba fam
undertake;fa hyɛ wo nsa
undertaker;undertaker a ɔyɛ adwuma
undertaking;ahyɛde a wɔde hyɛ mu
undertow;undertow
underwater;nsu ase
underwear;ntade a wɔde hyɛ ase
underworld;asase ase wiase
underwrite;krataa a wɔde kyerɛw krataa
undeserved;a wɔmfata
undeserving;a wɔmfata
undesirable;nea wɔmpɛ
undestroyable;a wontumi nsɛe no
undetectable;a wontumi nhu
undeveloped;a ennyaa nkɔso
undine;undine a ɛnyɛ den
undisclosed;a wɔankyerɛ
undisputedly;a akyinnye biara nni ho
undo;undo
undocumented;a wonni nkrataa
undoubtedly;akyinnye biara nni ho sɛ
undownable;a wontumi nsɛe no
UNDP;UNDP
undress;yi ntade
undue;nea ɛnsɛ
undulate;asorɔkye a ɛyɛ asorɔkye
undulated antshrike;anthrike a ɛyɛ asorɔkye
unduly;wɔ ɔkwan a ɛnsɛ so
unearth;tutu asase
unease;adwenem naayɛ
uneasiness;adwenem naayɛ
uneducated;wɔn a wonsuaa nhoma
unemployed;wɔn a wonni adwuma
unemployment;adwuma a wonnya nyɛ
unending;a enni awiei
unequal;a ɛnyɛ pɛ
unequivocal;a akyinnye biara nni ho
unequivocally;a akyinnye biara nni ho
unerasable;a wontumi nsɛe no
uneven;ɛnyɛ pɛpɛɛpɛ
unexpected;nea wɔnhwɛ kwan
unexpectedly;a na wɔnhwɛ kwan
unexplorable;a wontumi nhwehwɛ mu
unfair;nea ɛnteɛ
unfaithful;wɔn a wonni nokware
unfaithfully;nokwaredi a wonni mu
unfasten;yi fie
unfathomable;a wontumi nsusuw ho
unfavorable;a ɛnyɛ papa
unfettered;a biribiara nsiw no kwan
unfindable;a wontumi nhu
unfinished;a wonwiei
unfit;a ɛnyɛ nea ɛfata
unflappable;a wontumi nsɛe no
unfold;yie
unforeseeable;a wontumi nhu
unforeseen;a wontumi nhu
unforgettable;nea werɛ remfi da
unforgivable;a wɔmfa mfiri
unfortunate;awerɛhosɛm ne sɛ
unfortunately;nanso
unfriendly;a ɛnyɛ adamfofa su
unfruitful;a ɛnsow aba
unfurl;bue mu
ungainly;a ɛnyɛ fɛ
ungrammatical;a ɛnyɛ kasa mmara
ungrateful;anisɔ a wonni
ungulate;ungulate a ɛwɔ anim
unhappiness;anigye a wonni
unhappy;anigye a wonni
unheard-of;a wɔntee ho asɛm
unheard;a wɔntee
unheralded;a wɔammɔ ho dawuru
unhinge;unhinge a wɔde yiyi mu
unholy;ɛnyɛ kronkron
uni;uni
unibrow;unibrow a ɛwɔ hɔ
unicameral;a ɛwɔ afã biako
unicellular;nkwammoaa biako a ɛwɔ mu
Unicode;Unicode a wɔde di dwuma
unicorn;unicorn a wɔfrɛ no unicorn
unicum;unicum, a ɛyɛ unicum
unicycle;sakre biako
unifiable;a wobetumi ayɛ biako
unification;biakoyɛ
uniform antshrike;anthrike a ɛyɛ pɛ
uniform continuity;ade koro a ɛkɔ so
uniform;atadeɛ
uniformed;a wɔhyɛ atade
uniformity;biakoyɛ a ɛyɛ pɛ
uniformly;pɛpɛɛpɛ
unify;yɛ biako
unilateral;ɔfã biako
unilateralism;ɔfã biako a wɔde di dwuma
unimaginable;a wontumi nsusuw ho
unimportant;a ɛho nhia
uninformed;a wonni ho hwee
uninhabitable;wontumi ntena mu
uninhabited;a obiara nte mu
uninjured;a wɔapirapira no
uninstall;yi fi instɔlehyɛn no mu
unintelligent;a wonni nyansa
unintelligently;a nyansa nnim
unintelligibility;a wontumi nte ase
unintelligible;a wontumi nte ase
unintelligibly;wɔ ɔkwan a wontumi nte ase so
unintended;a wɔanhyɛ da
unintentional;a wɔanhyɛ da
unintentionally;a wɔanhyɛ da
uninterested;a wɔn ani nnye ho
uninterrupted;a wɔantwitware mu
uninterruptedly;a wɔantwitware mu
union;nkabom
unionism;nkabom a wɔde wɔn ho hyɛ mu
unionist;nkabom kuw muni
unique;soronko
uniqueness;soronkoyɛ
unisex;ɔbarima ne ɔbea nna
unisexual;ɔbarima ne ɔbea nna biako
unit cell;unit cell no mu
unit of measure;unit a wɔde susuw nneɛma
unit test;unit sɔhwɛ
unit vector;unit vector a ɛyɛ fɛ
unit;ɔfa
Unitarian;Unitarianfo a wɔyɛ biako
Unitarianism;Unitarianism a wɔde di dwuma
unitary state;ɔman a ɛyɛ biakoyɛ
unitary;biakoyɛ
unite;bom yɛ biako
United Arab Emirates;Arab Emirates a wɔaka abom
United Kingdom;United Kingdom na ɛwɔ hɔ
United Nations;Amanaman Nkabom no
United States;United States
United Statesian;United Statesni a ɔyɛ ɔmanpanyin
united;wɔaka abom
unitive;biakoyɛ
unity;biakoyɛ
Universal Serial Bus;Amansan Serial Bɔs a Wɔde Di Dwuma
Universal Time;Amansan Bere
universal value;amansan nyinaa bo a ɛsom
universal;amansan nyinaa de
universality;amansan nyinaa mu nneɛma
universe;amansan no mu
Universiade;Sukuupɔn mu adesua
university;suapɔn
Unix time;Unix bere
Unix;Unix a ɛwɔ hɔ
unjust;nea ɛnteɛ
unjustifiable;nea ɛnteɛ
unjustified;nea ɛnteɛ
unjustly;wɔ ɔkwan a ɛnteɛ so
unkempt;a wɔmfa nsiesie
unkillable;nea wontumi nkum
unknown;nnim
unlawful;nea mmara mma ho kwan
unleaded;a wɔmfa kɔbere nni dwuma
unleash;unleash a wɔde bɛma
unleashed;a wɔayi no adi
unleavened bread;paanoo a mmɔkaw nnim
unleavened;a mmɔkaw nnim
unless;gye sɛ
unlike;ɛnte sɛ
unlikely;ɛnyɛ nea ɛbɛyɛ yiye
unlimited;anohyeto nni mu
unload;yi nneɛma fi mu
unlock;bue ano
unluckily;nea ɛnyɛ anigye
unlucky;a ɛnyɛ anigye
unmanageable;a wontumi nni so
unmark;yi agyiraehyɛde
unmarried;wɔn a wɔnwaree
unmask;yiyi akatawia no mu
unmasking;a wɔde yi akataso adi
unmatchable;nea wontumi ntoto ho
unmergeable;a wontumi nkabom
unmissable;a wontumi nnyae
unmistakable;a wontumi nni mfomso
unnamed;wɔammɔ din
unnecessarily;a ɛho nhia
unnecessary;a ɛho nhia
unneeded;a ɛho nhia
unnerve;unnerve a ɛyɛ hu
unnoticed;a wɔanhu
unobserved;a wɔanhu
unobtrusive;a ɛnyɛ nea ɛtwetwe adwene
unobtrusively;a obiara ntumi nhu no
unofficial;a ɛnyɛ aban de
unordered;a wɔanhyɛ da
unorthodox;nea ɛnyɛ nea wɔtaa yɛ
unpalatable;a ɛnyɛ dɛ
unpayable;a wontua ho ka
unpleasant;a ɛnyɛ dɛ
unplug;yi fi plug no mu
unpopular;a nkurɔfo ani nnye ho
unpopularity;nnipa a nkurɔfo ani nnye ho
unprecedented;a ebi mmae da
unpredictability;nea wontumi nhyɛ da nkyerɛ
unpredictable;a wontumi nhu nea ɛbɛba
unprofitable;mfaso nni so
unprofitably;mfaso biara nni so
unpromising;a ɛnyɛ nea ɛhyɛ bɔ
unproven;a wonni ho adanse
unpublished;wontintimii
unpunctual;a ɛnyɛ bere so
unqualified;a wɔmfata
unquestionable;a akyinnye biara nni ho
unquestioningly;akyinnye biara nni ho
unravel;yiyi mu
unreachable;a wontumi nkɔ hɔ
unreadable;wontumi nkenkan
unreal;ɛnyɛ nokware
unrealistic;a ɛnyɛ nokware
unreasonable;ntease nnim
unrecognizable;a wontumi nhu
unregister;yi wo din fi wo din mu
unrelated;a ɛne no nni abusuabɔ
unreliability;ahotoso a wontumi mfa ho nto so
unrequited love;ɔdɔ a wontua hwee
unrequited;a wɔmfa mmuae mma
unrestrained;a wontumi nsiw ano
unrivaled;nea obiara ntumi nnye ntom
unruly;a wontumi nni so
unsafely;a ahobammɔ nnim
unsatisfactory;a ɛnyɛ nea abotɔyam wom
unsaturated;a ɛnyɛ nea wɔahyɛ no ma
unscathed;a hwee anyɛ no
unscientific;nea ɛne nyansahu nhyia
unscrew;yi skru no mu
unscrupulous;a wonni adwempa
unseemly;a ɛnyɛ nea ɛfata
unselfish;pɛsɛmenkominya nnim
unsettling;a ɛnyɛ nea ɛyɛ komm
unshaven;wɔn a wɔayiyi wɔn ti
unshorn;a wɔantwitwa
unsightly;a ɛnyɛ fɛ
unsingable;a wontumi nto dwom
unsociable;wɔn a wɔne afoforo mmɔ fekuw
unspoken rule;mmara a wɔnka
unstable;a entumi nnyina pintinn
unsteady;a entumi nnyina pintinn
unsterilizable;a wontumi nsɛe no
unstinted;a wɔanhyɛ da
unstinting;unstinting
unstoppable;a wontumi nsiw ano
unsubscribe;yi wo ho fi wo ho
unsuccessfully;a enkosi hwee
unsugared;a asikre nnim
unsuitable;a ɛnyɛ nea ɛfata
untag;untag yi fi mu
untameable;a wontumi nhyɛ wɔn so
untenable;a wontumi nnyina ano
unthinkable;a wontumi nsusuw ho
untidiness;nneɛma a ɛnyɛ pɛpɛɛpɛ
untidy;a ɛnyɛ nea wɔahyehyɛ no yiye
untie;yiyi mu
until;kɔpem
untouchable;a wontumi nka wɔn ho
untoward;a ɛnyɛ papa
untrammel;unrammel
untranslatable;wontumi nkyerɛ ase
untreated;a wɔansa no yare
untrue;ɛnyɛ nokware
untruthful;a ɛnyɛ nokware
ununbium;ununbium a wɔde di dwuma
ununennium;ununennium
ununhexium;ununhexium a ɛnyɛ den
ununifiable;a wontumi nkabom
ununoctium;ununoctium a wɔde di dwuma
ununpentium;unpentium a ɛnyɛ nea ɛyɛ den
ununquadium;a ɛnyɛ nea ɛfata
ununseptium;ununseptium a ɛnyɛ aduru
ununtrium;ununtrium a ɛyɛ den
unununium;unununium a ɛnyɛ nea ɛfata
unusable;wontumi mfa nni dwuma
unused;a wɔmfa nni dwuma
unuseful;mfaso nni so
unusual;ɛntaa nsi
unveil;yi nkataso adi
unveiler;a wɔda no adi
unveiling;a wɔreyi no adi
unwary;a wɔnyɛ ahwɛyiye
unwavering;a enhinhim
unwelcome;a wɔmpɛ
unwieldy;a ɛnyɛ nea wɔde di dwuma
unwilling;a ɔmpɛ
unwind;gye w’ahome
unwinnable;wontumi nni nkonim
unwittingly;a wonnim
unyielding;a wɔmfa wɔn ho nhyɛ mu
up and leave;sɔre na kɔ
up and over door;soro ne ɔpon so
up for grabs;up for grabs
up one's sleeve;obi nsateaa so
up quark;kɔ soro quark
up the ante;kɔ soro ante no
up to here;kosi ha
up to;kosi sɛ
up-to-date;a ɛyɛ foforo
up;soro
upbeat;anigye a ɛyɛ anigye
upbreed;upbreed a wɔtete no
upbringing;ntetee a wɔde ma
upcoming;a ɛreba
update;sakra mu
upend;upend
upgrade;pagyam
upheaval;basabasayɛ a ɛbae
uphill;bepɔw so
uphold;gyina akyi
upholstery;nneɛma a wɔde siesie fie
upkeep;hwɛ a wɔhwɛ so yiye
upland antshrike;mmepɔw so ntɛtea
uplift;a wɔma obi so
upload;fa gu so
upon;berɛ
upper case;nkyerɛwde akɛse
upper class;nnipa a wɔkorɔn
upper house;abansoro dan a ɛwɔ soro
Upper Volta;Volta a ɛwɔ soro
upper;soro
uppercase;nkyerɛwde akɛse
uppercut;uppercut a ɛwɔ soro
Uppsala;Uppsala na ɛwɔ hɔ
upright piano;piano a ɛteɛ
upright;gyina hɔ tẽẽ
uprising;atuatew a wɔyɛe
uproar;basabasayɛ
ups and downs;nkɔanim ne nkɔanim
UPS;UPS a ɛwɔ hɔ
upset price;bo a ɛhaw adwene
upset;abufuo
upsetting;a ɛhaw adwene
upside down;animtiaabu so
upside;upside
upsilon;upsilon a ɛwɔ soro
upstairs;abansoro so
upstart;upstart
upstream;asubɔnten no atifi
upwards;kɔ soro
Ur-Germanic;Ur-German kasa mu
uracil;uracil a wɔfrɛ no uracil
Ural Mountains;Ural Mmepɔw so
Ural owl;Ural ɔkraman
Uralic;Uralic kasa mu
uranium;uranium a wɔde yɛ nneɛma
Uranus;Uranus a wɔfrɛ no Uranus
urban renewal;nkurow akɛse mu foforoyɛ
urban sprawl;nkurow akɛse mu a ɛtrɛw
urban-renew;nkuropɔn-yɛ foforo
urban;kurom
urbane;urbane a ɛwɔ nkurow akɛse mu
urbanization;nkurow akɛse mu a wɔbɛtra
urbanize;nkurow akɛse mu
urceolate;urceolate a ɛyɛ mmerɛw
urchin;urchin a wɔfrɛ no urchin
Urdu;Urdu kasa mu
urea;urea a wɔde yɛ adwuma
urease;urease a wɔfrɛ no urease
ureter;ureter a wɔde fa nsu mu
urethra;urethra a wɔde fa nsu mu
urethroscope;aduru a wɔde hwɛ urethroscope
urethroscopy;urethroscopy a wɔde hwɛ nsu mu
urge;ma obi nyɛ biribi
urgency;ntɛmpɛ
urgent;ogya so
Uriah;Uria
uric acid;uric acid a wɔde yɛ aduru
uric;uric
Urim and Thummim;Urim ne Tumim
urinal;urinal a wɔde gu nsu mu
urinary bladder;nsuo a wɔde gu nsuo mu
urinary meatus;nsuo mu meatus
urinary;nsuo a wɔde gu nsuo mu
urinate;nsu a wɔtow gu
urine;nsuo a wɔde gu nsuo mu
urn;urn
urologic;urologic aduruyɛ
urologist;ntini ho ɔyaresafo
urology;urology ho adesua
uroscopy;uroscopy a wɔde hwɛ nipadua no mu
urostomy;urostomy a wɔde yɛ adwuma
Ursa Major;Ursa Ɔsraani Panyin
Ursa Minor;Ursa Kumaa
ursid;ursid a ɛyɛ ursid
ursine;ursine na ɛyɛ
Ursula;Ursula na ɔkyerɛwee
urticaria;urticaria a ɛma obi ho yɛ hyew
Uruguay;Uruguay na ɛwɔ hɔ
Uruguayan;Uruguayni a ɔyɛ ɔbarima
urushiol;urushiol
US American;U.S. Amerikani
US dollar;U.S. dɔla
US Virgin Islands;U.S. Virgin Nsupɔw so
us;yɛn
USA;USA
usability;sɛnea wɔde di dwuma
usage;dwumadie a wɔde di dwuma
USB port;USB hyɛn gyinabea
use-by date;date a wɔde di dwuma
use;fa di dwuma
used to;kan no
used;na
useful idiot;ɔkwasea a mfaso wɔ so
useful;bɛyɛ yie
usefully;mfaso wɔ so
usefulness;mfaso a ɛwɔ so
useless;mfasoɔ nni so
user interface;ɔdefoɔ ntam nkitahodi
user-friendliness;sɛnea wɔde di dwuma adamfofa su
user-friendly;ɛyɛ nea ɛyɛ mmerɛw sɛ wɔde bedi dwuma
user;ɔde di dwuma
username;edin a ɔde di dwuma
ushanka;ushanka
usher;usher
Ushuaian;Ushuaian na ɔkyerɛwee
Usonian;Usonian na ɔkyerɛwee
USSR;USSR
Ussuriysk;Ussuriysk na ɛyɛ adwuma
usual;taa si
usually;mpɛn pii
usufruct;usufruct a wɔde di dwuma
usurer;obi a ɔde mfɛntom di dwuma
usuress;obi a ɔde ne ho to so
usurious;mfɛntom a wɔde di dwuma
usurp;usurp
usurpation;agyede a wɔde gye nneɛma
usurper;obi a ɔde ne ho hyɛ mu
usury;mfɛntom a wɔbɔ
Utah;Utah
uterine;awotwaa mu
utilitarianism;mfaso ho adwene
utility knife;utility sekan a wɔde di dwuma
utility model;mfaso ho nhwɛso
utility pole;utility dua a wɔde yɛ adwuma
utility;fie akadeɛ
utmost;nea ɛsen biara
utopia;utopia (utopia) a ɛwɔ hɔ
utopian;utopia a wɔde di dwuma
utraquism;utraquism a wɔde di dwuma
Utrecht;Utrecht na ɔkyerɛwee
Utsunomiya;Utsunomiya na ɛyɛ adwuma
utter;utter
utterance;asɛm a wɔka
uvula;uvula
uxorious;uxorious a ɛyɛ den
Uyghur;Uyghurfoɔ
Uzbek;Uzbek kasa
Uzbekistan;Uzbekistan na ɛwɔ hɔ
