k'iche'.;K'iche'
kasafĩ;slang
kasafĩ;vulgar
kasafĩ a wɔde di dwuma;gibberish
kasafĩ a wɔka;profanity
kasafĩ a wɔka;vulgarism
kasafĩ a wɔka;vulgarity
kasafĩ kasa;vulgarian
kasakoa a wɔde di dwuma;idiom
kasakoa a wɔde di dwuma;idiomatic
kasakoa a wɔde di dwuma;idiomaticity
kasakoa a wɔde di dwuma;jargon
kasakoa a wɔde di dwuma;metaphorical
kasakoa a wɔde di dwuma;metaphoricity
kasakoa a wɔde di dwuma;rhetoric
kasakoa a wɔde di dwuma;rhetorical
kasakoa a wɔde di dwuma wɔ ɔkwan a ɛyɛ nwonwa so;figure of speech
kasakoa a wɔde yɛ kasakoa;metaphor
kasakoa a wɔde yɛ kasakoa;metaphorize
kasakum a wɔde kum obi;linguicide
kasakyerɛ;presentation
kasamu a wɔde di dwuma;sententious
kasamu a ɛkyerɛ sɛ ɛyɛ nokware;affirmative sentence
kasamu a ɛnyɛ den;simple sentence
kasamufa a wɔde di dwuma;conjugation
kasamufa a ɛfa abusuabɔ ho;relative clause
kasamufa ho adesua;dialectology
kasamufa ho nhyehyɛe;syntactic
kasamufa mu asikre;syntactic sugar
kasamufa nkyene;syntactic salt
kasasin a wɔde hyɛ anim;prepositional phrase
kasasin a ɛkyerɛ biribi;determiner phrase
kasasin mu adeyɛ asɛm;phrasal verb
kasasin nhoma;phrase book
kasatia;berate
kasatia;decry
kasatia a wɔde di dwuma;sarcasm
kasatia a wɔde kasa tia;expletive
kasatia a wɔkasa tia;censure
kasatiafo;slanderer
kaseɛbɔ;news
kashgar na ɔkyerɛwee;Kashgar
kashmir bon mu;Kashmir Valley
kashmir na ɛwɔ hɔ;Kashmir
kashmiri kasa mu;Kashmiri
kashubian kasa;Kashubian
kasimovian na ɔkyerɛwee;Kasimovian
kasseri;kasseri
kasɛt a wɔde di dwuma;cassette
kata obi afunumu;cover someone's ass
kata so;cover up
kata so;cover
katabaako nniso;dictatorship
katabaako nniso;totalitarianism
katabaakofo a wɔyɛ katabaako;totalitarian
katabasis a wɔde di dwuma;katabasis
katalan kasa;Catalanize
katana;katana
katee mu;rigorously
katee so;rigidly
kateeyɛ;rigorous
kateeyɛ;stringency
kateeyɛ a wɔyɛ;austerity
kateeyɛ a ɛyɛ katee;fanaticism
katekesis a wɔde di dwuma;catechesis
katekisfoɔ;catechist
katekism a wɔde di dwuma;catechism
katekumen a wɔde kyerɛw nsɛm;catechumen
kathmandu na ɛwɔ hɔ;Kathmandu
katolekfo dedaw;Old Catholic
katolekfo na wɔyɛ;Catholic
katoleksom;Catholicism
katowice na ɔkyerɛwee;Katowice
kaunas na ɔkyerɛwee;Kaunas
kavala na ɔkyerɛwee;Kavala
kawa;ring
kawaii;kawaii
kawaiiness a ɛyɛ hu;kawaiiness
kay;kay
kayak;kayak
kazakhfo kasa;Kazakh
kazakhstan na ɛwɔ hɔ;Kazakhstan
kazan;Kazan
kebab;kebab
kebnekaise na ɔkyerɛwee;Kebnekaise
keeki;cake
keeki asinasin;piece of cake
keeki sotɔɔ;cake shop
keel;keel
keel no so;keel over
keelhaul a wɔde di dwuma;keelhaul
keelson na ɔkyerɛwee;keelson
keffiyeh;keffiyeh
kefir;kefir
keg;keg
keka;sour
keka mfutuma no;bite the dust
kelp a wɔfrɛ no kelp;kelp
kelt;kelt
kelvin a wɔfrɛ no kelvin;kelvin
kemalism a wɔde di dwuma;Kemalism
kemerovo na ɔkyerɛwee;Kemerovo
ken;ken
kenkan;recite
kenkan me;readme
kenkan obi adwene;read someone's mind
kennel a wɔde wɔn ho hyɛ mu;kennel
kent na ɔkyerɛwee;Kent
kentucky;Kentucky
kentucky kɔfe dua;Kentucky coffeetree
kenya;Kenya
kenyafo;Kenyan
kepi;kepi
kerala na ɛwɔ hɔ;Kerala
keratin a wɔde hyɛ nipadua mu;keratinization
keratin a wɔde yɛ nneɛma;keratin
keratoconus a ɛyɛ mmerɛw;keratoconus
kerch asubɔnten no mu;Strait of Kerch
kerch na ɔkyerɛwee;Kerch
kerf;kerf
kerfuffle a wɔde di dwuma;kerfuffle
kermes a wɔfrɛ no kermes;kermes
kermes oak dua a wɔfrɛ no oak;kermes oak
kernel a ɛyɛ den;kernel
kerning a wɔde yɛ adwuma;kerning
kerosene a wɔde yɛ nneɛma;kerosene
kerubim;cherub
kerubim;cherubim
kesee fam nnua;southernwood
kesee fam po no;Southern Ocean
kesee fam pole;South Pole
kesee famfo;Southerner
keserenee;confused
kesereneeyɛ;confusion
kestrel a wɔde di dwuma;kestrel
kestrel a wɔtaa de di dwuma;common kestrel
ket;Ket
ketamine a wɔde yɛ adwuma;ketamine
ketchup a wɔde yɛ nneɛma;ketchup
keteke a asɛe;train wreck
keteke a wɔde akode ahyɛ mu;armoured train
keteke a wɔde atuo gu mu;bullet train
keteke a wɔde fa nnipa;commuter rail
keteke a wɔde fa nnipa;locomotive
keteke a wɔde fa nnipa;passenger train
keteke a wɔde gravy ayɛ;gravy train
keteke a wɔde nsuonwini yɛ;steam locomotive
keteke a wɔde susuw nneɛma ho;train of thought
keteke a ɛkɔ ntɛmntɛm;express train
keteke a ɛnam fam;subway
keteke gyinabea;railway station
keteke kwan;rail
keteke kwan;railway
keteke kwan biako so;monorail
keteke kwan so kar;railroad car
keteke kwan so krataa;railroad tie
keteke kwan so kwan;railroad track
keteke tuo;railgun
keteke-soafo;train-bearer
ketene;ketene
ketewa;least
ketewa;small
ketewa bi;little one
ketewaa bi;lesser
ketone a wɔde yɛ adwuma;ketone
ketose a wɔde di dwuma;ketose
ketotic a ɛyɛ den;ketotic
kettle tokuru;kettle hole
kettlebell a wɔde hyɛ mu;kettlebell
kettledrum a wɔde yɛ adwuma;kettledrum
kevin;Kevin
key exchange;key exchange
key largo na ɔkyerɛwee;Key Largo
key west a ɛwɔ hɔ;Key West
keyboard a wɔde kyerɛw nsɛm;keyboard
keycard a wɔde kyerɛw nsɛm;keycard
keychain a wɔde hyɛ mu;keychain
keypad a wɔde hyɛ mu;keypad
kgb;KGB
khabarovsk na ɔkyerɛwee;Khabarovsk
khachapuri na ɛyɛ;khachapuri
khachkar;khachkar
khagan;khagan
khaki na ɛyɛ;khaki
khan;khan
khanate;khanate
khanjar;khanjar
khanty-mansiysk na ɔkyerɛwee;Khanty-Mansiysk
kharkiv na ɔkyerɛwee;Kharkiv
khartoum na ɛwɔ hɔ;Khartoum
khazar na ɔkyerɛwee;Khazar
khmer kasa mu;Khmer
khmer rougefo a wɔyɛ saa;Khmer Rouge
khorovod a wɔde di dwuma;khorovod
khotanese kasa;Khotanese
khrushchev na ɔkyerɛwee;Khrushchev
kibitz;kibitz
kibutz;kibbutz
kick out;kick out
kick start;kick start
kick wheel no;kick wheel
kick-off a wɔde di dwuma;kick-off
kickback a wɔde ma;kickback
kickstand a wɔde gyina hɔ;kickstand
kiddo;kiddo
kiev;Kiev
kievan rus na ɔkyerɛwee;Kievan Rus
kif;kif
kigali;Kigali
kihnu na ɔkyerɛwee;Kihnu
kikimora na ɛyɛ;kikimora
kilikia;Cilicia
killer whale a ɔyɛ ɔkraman;killer whale
kilo;kilo
kilo- .;kilo-
kilobyte a ɛyɛ fɛ;kilobyte
kilocalorie a ɛwɔ nipadua no mu;kilocalorie
kilogram;kilogram
kilogram-mita;kilogram-meter
kilojoule na ɛyɛ;kilojoule
kilolita;kilolitre
kilomita;mile
kilomita a ɛkɔ akyiri;kilometrage
kilomita a ɛyɛ kilomita;kilometric
kilomita ahinanan;square kilometre
kilomita biako;kilometre
kilowatt-dɔnhwerew;kilowatt-hour
kim;Kim
kimmeridgian na ɔkyerɛwee;Kimmeridgian
kimono a wɔde di dwuma;kimono
kinase;kinase
kindle a wɔde sɔ gya;kindle
kinematic a ɛyɛ adwuma;kinematic
kinesic a ɛyɛ den;kinesic
kinesiology ho adesua;kinesiology
kinesthesia a ɛma obi ho yɛ hyew;kinesthesia
kinesthetic a ɛma nipadua no yɛ adwuma;kinesthetic
kinetic a ɛyɛ nea ɛkɔ so;kinetic
kingfisher a ɔyɛ ɔhene mpataa;kingfisher
kingpin, ɔhene;kingpin
kingston na ɔkyerɛwee;Kingston
kingstown na ɛwɔ hɔ;Kingstown
kink;kink
kinkajou na ɛyɛ;kinkajou
kinky;kinky
kinshasa;Kinshasa
kiosk a wɔde di dwuma;kiosk
kip;kip
kippah;kippah
kipro atifi fam;Northern Cyprus
kiprofo;Cypriot
kiribati na ɛwɔ hɔ;Kiribati
kiribatifo kasa;Kiribatian
kiron;Chiron
kirov;Kirov
kismet;kismet
kiss afunumu;kiss ass
kiss m’afurum;kiss my ass
kitchenhand;kitchenhand
kite kɔkɔɔ;red kite
kiteboard a wɔde di dwuma;kiteboard
kitesurf a wɔde tu mmirika;kitesurf
kitesurfer a ɔde ne ho hyɛ mu;kitesurfer
kitesurfing a wɔde wɔn ho hyɛ mu;kitesurfing
kith ne abusuafo;kith and kin
kitsch a wɔde yɛ adwuma;kitsch
kittsian na ɔkyerɛwee;Kittsian
kitty;kitty
kitty nwura a wɔde gu mu;kitty litter
kiwi;kiwi
kiwi nnuaba;kiwi fruit
klaase;class
klaxon a wɔfrɛ no klaxon;klaxon
kleenex;kleenex
kleptocracy a wɔde di dwuma;kleptocracy
kleptomania a ɛma obi ho yɛ hyew;kleptomania
kleptomaniac a ɛyɛ ɔyare mmoawa;kleptomaniac
klik so;click
klik so mprenu;double-click
klingonfo;Klingon
klipspringer a wɔde kyerɛw nsɛm;klipspringer
kloro- .;chloro-
knack a ɛyɛ fɛ;knack
knacker a ɔyɛ knacker;knacker
knackered a wɔabɔ no;knackered
knave a ɔyɛ ɔkwasea;knave
knead;knead
kneading;kneading
knight-errant a ɔyɛ ɔsraani;knight-errant
knit;knit
knit obi anim;knit one's brows
knob a wɔde hyɛ mu;knob
knobbly a ɛyɛ den;knobbly
knock out;knock out
knock-on tumi a ɛma obi bɔ;knock-on effect
knockoff a wɔde bɔ bɔɔl;knockoff
knot a ɛyɛ den;knot
knot ho nkyerɛkyerɛ;knot theory
knotgrass a wɔfrɛ no knotgrass;knotgrass
knotty a ɛyɛ den;knotty
knuckle a wɔde hyɛ mu;knuckle
ko;fight
ko a ɛyɛ fĩ;fight dirty
ko tia;challenge
koa;bend
koala;koala
koan;koan
kobra;cobra
kofta;kofta
kohlrabi a wɔde di dwuma;kohlrabi
koine na ɔkyerɛwee;Koine
koko;porridge
koko so;hillock
kokoa mu;private
kokoam adwuma;secret service
kokoam asetra;private life
kokoam mmara;private law
kokoam nsɛm;secrete
kokoam nsɛm a wɔka kyerɛ;confidant
kokoam nsɛm ho nhyehyɛe;privacy policy
kokoam santa;secret Santa
kokoam ɔnanmusifo;secret agent
kokoam ɔsraani a ɔhwehwɛ nkurɔfo ho nsɛm mu;private detective
kokoamsɛm;confidential
kokoamsɛm;secretive
kokoamsɛm a wɔde di dwuma;secrecy
kokoamsɛm a wɔde sie;confidentiality
kokoamusɛm;privacy
kokobɔne;grumpy
kokokɔ;cockatoo
kokom;bosom
kokoo a wɔde yɛ nneɛma;cocoa
kokoo aba;cocoa bean
kokoo bɔta a wɔde yɛ nneɛma;cocoa butter
kokoram;cancer
kokoram a ɛma obi nya kokoram;cancerous
kokoram a ɛma obi nya kokoram;carcinoma
kokoram a ɛwɔ aduan mu;esophageal cancer
kokoram a ɛwɔ dwensɔtwaa mu;pancreatic cancer
kokoram a ɛwɔ tropic;Tropic of Cancer
kokoram ho adesua;cancerology
kokoyam;cocoyam
kokoɔ;chest
kokoɔ;hill
kokoɔ;temper
kokuromotie;thumb
kola;kola
kolagen a wɔfrɛ no collagen;collagen
kolegyi;college
kolkata na ɛwɔ hɔ;Kolkata
kolkhoz;kolkhoz
kolkis, na ɔkyerɛwee;Colchis
kolose a ofi rhodes;Colossus of Rhodes
kolosefo;Colossians
kolyma na ɔkyerɛwee;Kolyma
koma a abubu;broken heart
koma a wonni;heartless
koma a wɔde hyɛ mu;comma category
koma a wɔde ma;comma
koma a wɔde sika kɔkɔɔ ayɛ;heart of gold
koma a ɛbɔ;heartbeat
koma a ɛbɔ denneennen;palpitation
koma a ɛbɔ ho nhwehwɛmu;heart rate monitor
koma a ɛyɛ den;cardiac arrest
koma mu;coma
koma mu;hearts
koma mu;hearty
koma mu abubuw;heart-breaking
koma mu abubuw;heartbreak
koma mu abubuw;heartbreaker
koma mu asase;heartland
koma mu hyew;heart-warming
koma mu nhama;heartstrings
koma mu ntini;cardiac muscle
koma mu valve;heart valve
koma mu yare;cardiac
koma mu yare a ɛyɛ mmerɛw;cardioplegia
koma mu yaw;heartache
koma ne ntini mu ntini;cardiovascular
komayare;heart attack
komayare;heartburn
komayare;heartsease
komayare ho aduruyɛ;cardiology
komayare ho yare;cardiological
komayare ho ɔyaresafo;cardiologist
komi;Komi
komm te sɛ ɔdamoa;silent as the grave
kommyɛ;calmness
kommyɛ;quietness
kommyɛ;serene
kommyɛ;taciturn
kommyɛ;tranquil
kommyɛ a wɔka;taciturnity
kommyɛ a ɛwɔ hɔ;serenity
kommyɛ mu;quietly
kommyɛ mu;silently
kommyɛ mu;tacit
kommyɛ yɛ sika kɔkɔɔ;silence is golden
komodo ɔtweaseɛ;Komodo dragon
komondor na ɔkyerɛwee;Komondor
komotini na ɔkyerɛwee;Komotini
komsomol na ɔkyerɛwee;Komsomol
komsomolsk na ɔkyerɛwee;Komsomolsk
komunism a wɔde di dwuma;communism
komunism a wɔsɔre tia;anticommunism
komunism a wɔyɛ no;communistic
komunistfo;communist
konfusio a ɔyɛ;Confucius
konfusiosom;Confucianism
konstanz na ɔkyerɛwee;Konstanz
koodu;code
koodu din;code name
kook;kook
kookaburra na ɛyɛ;kookaburra
kool;coal
kootu;coat
kopek;kopek
kopernicium a wɔde yɛ aduru;copernicium
kopi luwak;kopi luwak
kora;jealous
kora;keep
kora;maintain
kora;preserve
kora;retain
kora;rival
kora;save
kora;store
kora so;conserve
koraa;absolute
koraa;at all
koraa;fully
koraa;totally
korabea;drawer
korea;Korea
korea kasa;Korean
korea ko no;Korean War
korea po no so;Korean Peninsula
korea ɔmanpanyin;Republic of Korea
kores;Cyrus
korinto;Corinth
korintofo;Corinthians
kornelia na ɔkyerɛwee;Cornelia
kornelio;Cornelius
koro;sole
korogyee;pure
korset a wɔde di dwuma;corset
korɔ;type
korɔkorɔ;cuddle
korɔkorɔ;persuade
korɔmfoɔ;thief
korɔnbɔ;burglary
korɔnbɔ;larceny
korɔnbɔ nketenkete;petty theft
korɔnbɔfo;pilfer
korɔnobɔ;theft
koschei na ɔkyerɛwee;Koschei
kosher;kosher
kosi asɛm no so;to the point
kosi ha;up to here
kosi ne nyinaa mu;to the full
kosi sɛ;insofar as
kosi sɛ;up to
kosovo ɔmanpanyin;Republic of Kosovo
kosovo, na ɛwɔ hɔ;Kosovo
kostroma na ɔkyerɛwee;Kostroma
kosua;egg
koterɛ;lizard
koto;bow
kotodwe;knee
kotodwe a wɔde hyɛ nipadua mu;knee pad
kotoku a wɔde da;sleeping bag
kotoku a wɔde yɛ gin;cotton gin
kotoku mu;pocket
kotoku mu ahobammɔ;pocket protector
kotoku mu dɔn;pocket watch
kotoku mu sekan;pocketknife
kotoku mu sika;pocket money
kotoku mu tuo;pocket pistol
kotoku mu ɔfowfo;pickpocket
kotoku mu ɔtare;pocket pool
kotokuo;pouch
kotokuo a wɔde yɛ kotokuo;cottonwood
kotokuo nanso;sackbut
kotokuo nipa;sack man
kotow;kneel
kotow;stoop
kotow fam;bend down
kotow fam;kneel down
kotow kɔ akyi;bend over backwards
kotow nokware no;bend the truth
kotow wo ho;bend over
koumiss na ɛyɛ;koumiss
kowtow;kowtow
kr.;p.
kra;order
kra bra;import
krado;ready
kraftwerkian na ɔkyerɛwee;Kraftwerkian
krait na ɛyɛ;krait
krak a wɔfrɛ no crab louse;crab louse
krak a wɔfrɛ no crabapple;crabapple
krak a wɔfrɛ no krak;crabs
krak a ɛyɛ krak;crackle
krak a ɛyɛ krak;crackpot
krak a ɛyɛ krak;cracky
krak krak;crake
krak-paipu;crack-pipe
kraken na ɔkyerɛwee;Kraken
krakra;wild
kraman;dog
kraman a wɔfrɛ no crawfish;crawfish
kraman a wɔfrɛ no crayfish;crayfish
kraman a ɔkyere nkurɔfo;dogcatcher
kraman a ɔte sniffer;sniffer dog
kraman a ɔwɔ mmoa adididaka mu;dog in the manger
kraman kɔla;dog collar
kraman nan;rabbit's foot
kraman nna;dog days
kraman tag;dog tag
kraman tokuru;rabbit hole
kraman-aso;dog-eared
kranberɛ a wɔfrɛ no cranberry;cranberry
krane a wɔde yɛ adwuma;crane
krane a wɔtaa de di dwuma;common crane
krane a ɛyɛ hu;whooping crane
kranefly a wɔfrɛ no cranefly;cranefly
kranesbill a wɔfrɛ no kranesbill;cranesbill
krank a ɛyɛ krank;crank
krank kɔ soro;crank up
krankrankye a wɔde hyɛ mu;crankcase
krankrankye a wɔde hyɛ mu;crankshaft
krasnodar na ɔkyerɛwee;Krasnodar
krasnoyarsk na ɔkyerɛwee;Krasnoyarsk
krataa;paper
krataa;script
krataa;sheet
krataa a wɔatwa;paper cut
krataa a wɔde aboa nhoma ayɛ;parchment paper
krataa a wɔde benkum;sheet bend
krataa a wɔde bue mu;letter opener
krataa a wɔde fa nneɛma so;bill of lading
krataa a wɔde frɛ nkurɔfo;subpoena
krataa a wɔde gyee bosea;letter of credit
krataa a wɔde hwehwɛ nneɛma mu;search warrant
krataa a wɔde hwehwɛ nneɛma mu;tracing paper
krataa a wɔde kyekyere krataa;paper clip
