J-pop;J-pop na ɛyɛ
Javan tiger;Javan ɔkraman
Javanese;Javanese kasa
javelin;peaw a wɔde di dwuma
jaw;apantan
jawbone;anom dompe
jawline;anom ntini
jaws of life;nkwa ho anom
jay;jay na ɛyɛ
jaywalk;jaywalk a wɔde yɛ adwuma
jaywalker;jaywalker a ɔyɛ ɔbarima
jazz band;jazz nnwontofo kuw
jazz;jazz nnwom a wɔfrɛ no jazz
jazzy;jazzy nnwom
je ne sais quoi;je ne sais quoi
jealous;kora
jealously;ahoɔyaw mu
jealousy;ahoɔyaw
jeans;jeans a wɔde yɛ adwuma
Jedi;Jedifo
Jediism;Jedisom
jeep;jeep a wɔfrɛ no jeep
jeer;jeer
Jeffersonianism;Jeffersonfo adwene a wɔde di dwuma
Jehovah's Witness;Yehowa Dansefo
Jehovah's Witnesses;Yehowa Adansefo
Jehovah;Yehowa
jejunal;jejunal na ɛyɛ
jejunum;jejunum (jejunum) a wɔfrɛ no jejunum
jell;jell
jelly bean;jelly bean a ɛyɛ fɛ
jelly;jelly a ɛyɛ fɛ
jellyfish;jellyfish a wɔfrɛ no jellyfish
jeopardize;de to asiane mu
jeopardy;asiane mu
jerboa;jerboa na ɛyɛ
jeremiad;jeremiad a ɔkyerɛwee
Jeremiah;Yeremia
Jericho;Yeriko
jerk off;jerk off
jerk;foo
jerkin;jerkin a ɛyɛ jerkin
jerky;jerky a ɛyɛ jerky
Jerome;Jerome na ɔkyerɛwee
jerrycan;jerrycan a wɔde yɛ adwuma
jersey;jersey a ɛyɛ fɛ
Jerusalem artichoke;Yerusalem aduru a wɔfrɛ no artichoke
Jerusalem;Yerusalem
Jerusalemite;Yerusalemni
Jesse;Jesse
jest;aseresɛm
Jesuit;Jesuitfo
Jesus Christ;Yesu Kristo
Jesus;Yesu
jet engine;jet engine
jet lag;jet lag a wɔde di dwuma
jet pack;jet pack
jet plane;wimhyɛn a ɛyɛ jet
jet set;jet set
jet ski;jet ski a wɔde tu mmirika
jet;jet
jetsam;jetsam
jettison;tow a wɔtow gu
jetty;jetty a wɔde hyɛn gyinabea
Jew's harp;Yudafo sanku
Jew;Yudani
jewel case;aboɔden abo asɛm
jewel;aboɔden abo
jeweler;ɔdefo a ɔyɛ agude
jewellery;agude a wɔde yɛ nneɛma
jewelry box;agude adaka
Jewess;Yudani
Jewish;Yudafo de
Jezebel;Isebel
Jharkhand;Jharkhand na ɛwɔ hɔ
Jiangsu;Jiangsu na ɔkyerɛwee
jib;jib
jibe;jibe
jicama;jicama
Jicarilla;Jicarilla na ɔkyerɛwee
jiffy;jiffy a ɛyɛ fɛ
jig borer;jig borer a wɔde yɛ adwuma
jig;jig
jigger;jigger
jiggery-pokery;jiggery-pokery a wɔde di dwuma
jigsaw puzzle;jigsaw puzzle a ɛyɛ nwonwa
jigsaw;jigsaw a ɛyɛ fɛ
jihad;jihad a wɔde di dwuma
jihadism;jihadism a wɔde di dwuma
jihadist;jihadistfoɔ
jilt;jilt
Jimmy;Jimmy na ɔkyerɛwee
jimsonweed;jimsonweed na ɛyɛ
jingle bell;jingle dɔn a wɔde bɔ
jingoism;jingoism a wɔde di dwuma
jingoist;jingoist a ɔyɛ ɔbarima
jingoistic;jingoistic a wɔde di dwuma
jinn;jinn
Jinotega;Jinotega na ɔkyerɛwee
jinx;jinx
jittery;jittery a ɛyɛ hu
jive;jive
jizz;jizz
JLPT;JLPT
Joachim;Joachim na ɔkyerɛwee
Joanna;Joanna na ɔkyerɛwee
job center;adwumayɛbea
job description;adwuma ho nkyerɛkyerɛmu
job fair;adwuma a ɛfata
job interview;adwuma ho nsɛmbisa
job satisfaction;adwuma mu abotɔyam
job-hopping;adwuma-hopping
job;adwuma
Jobcentre;Adwumayɛbea
jobseeker;obi a ɔhwehwɛ adwuma
jockey;jockey a ɔyɛ ɔpɔnkɔsotefo
jockstrap;jockstrap a wɔde hyɛ obi nsa
jocose;jocose na ɔyɛ
jocular;aseresɛm
jocund;jocund a ɛyɛ hu
Joe;Joe
Joel;Yoel
jog;jog a wɔde tu mmirika
jogging;mmirkatuo bɔkɔɔ
Johannesburg;Johannesburg na ɛwɔ hɔ
John Doe;John Doe na ɔkyerɛwee
John Dory;John Dory na ɔkyerɛwee
John the Baptist;Yohane Suboni
John;Yohane
Johnny-come-lately;Johnny-ba-nnansa yi ara
Johnny;Johnny na ɔkyerɛwee
Johnson;Johnson na ɔkyerɛwee
joie de vivre;joie de vivre a ɛyɛ anigye
join the club;kɔka kuw no ho
join;ka bom
joiner;joiner
joint custody;a wɔbom hwɛ mmofra
joint venture;adwuma a wɔbom yɛ
joint-stock company;adwumakuw a wɔyɛ adwuma bom
joint;apɔ so
jojoba;jojoba
joke;aseresɛm
joker;aseresɛm kyerɛwfo
jolt;wosow wo ho
Jonah;Yona
jonquil;jonquil a ɛyɛ dɛ
Jordan River;Yordan Asubɔnten no
Jordan;Jordan
Jordanian;Jordanfo kasa
Joseph;Yosef
Josephine;Josephine na ɔkyerɛwee
Joshua tree;Yosua dua
Joshua;Yosua
joss paper;joss krataa
joss stick;joss dua a wɔde yɛ adwuma
jostle;jostle a wɔde hyɛ obi nsa
jot;jot
jota;jota
joule;joule
journal;nsɛmma nhoma
journalism;nsɛm ho amanneɛbɔ
journalist;nsɛntwerɛni
journalistic;nsɛm ho amanneɛbɔfo
journey;akwantuo
joust;joust a wɔde yɛ adwuma
jousting;jousting a wɔde di dwuma
jovial;anigyesɛm
Jovian;Jovian na ɔkyerɛwee
jowl;jowl
joy;anigyeɛ
Joycean;Joycean na ɔkyerɛwee
joyful;anigye
joyless;anigye a wonni
joystick;joystick a wɔde hyɛ mu
Jr.;Jr.
Juba;Juba
jubilantly;anigye so
jubilation;anigye a ɛma obi nya anigye
jubilee;ahosɛpɛw afahyɛ
Juche;Juche na ɔkyerɛwee
Juchitán;Juchitán na ɔkyerɛwee
Judah;Yuda
Judaism;Yudasom
Judas cradle;Yuda a ɔyɛ ɔbaabun
Judas Iscariot;Yuda Iskariot
Judas tree;Yuda dua
Judas;Yuda
judder;judder a ɛyɛ hu
Jude;Yuda
judge;otemmuafoɔ
judgement day;atemmu da
Judges;Atemmufo
judgment;atemmu a wɔde ma
judicial branch;atemmu baa dwumadibea
judicial;atemmu mu
judicious;atɛmpa
judo;judo a wɔde di dwuma
judoka;judoka a wɔka no
jug;kuruwa
juggernaut;juggernaut a ɛyɛ hu
juggle;juggle a wɔde di dwuma
juggler;juggler a ɔyɛ juggler
juggling;juggling a wɔde di dwuma
jugular vein;jugular vein a ɛwɔ ntini mu
jugular;jugular
juice;nsudeɛ
juicer;juicer a wɔde yɛ nsu
juicy;nsuo a ɛyɛ nsuo
jukebox;jukebox a wɔde yɛ adwuma
Julia;Julia na ɔkyerɛwee
Julian;Julian na ɔkyerɛwee
Juliana;Juliana na ɔkyerɛwee
Juliet;Juliet na ɔkyerɛwee
Julius;Julius na ɔkyerɛwee
July;Kutawonsa
jumble;jumble
jumbo;jumbo
jump at;ahuruhuruw wɔ
jump for joy;ahuruhuruw anigye so
jump lead;ahuruhuruw kɔbere
jump ship;ahuruhuruw hyɛn
jump the gun;huruw tuo no
jump the queue;huruw kɔ ntonto no mu
jump;huri
jumper cable;jumper cable a wɔde tu mmirika
jumper;ahuruhuruw
jumping jack;jack a wɔde huruw
jumpy;ahuruhuruw
junco;junco a wɔde di dwuma
junction;nhyiamu
juncture;nhyiamu
June;Ayɛwohomumɔ
jungle cat;kwae mu ɔkraman
jungle;kwae mu
junior college;kɔlege nketewa
juniper berry;juniper a wɔde yɛ nnuadewa
juniper;juniper a wɔfrɛ no juniper
junk food;nnuan a ɛnyɛ dɛ
junk mail;junk mail a wɔde mena
junk;nnakato
junket;junket a wɔde yɛ aduan
junkie;junkie a ɔyɛ ɔsadweam
junkyard;junkyard a wɔde nneɛma gu mu
Juno;Juno na ɔkyerɛwee
junta;junta
Jupiter;Jupiter a ɛwɔ hɔ
Jurassic;Jurassic asɛm no
Juris Doctor;Juris Oduruyɛfo
jurisdiction;tumidi a ɛwɔ hɔ
jurisdictional;tumidi a ɛwɔ tumidi mu
jurisprudence;mmara ho nimdeɛ
jurist;mmaranimfo
juror;asɛnni baguafo
jury trial;asɛnni baguafo asɛnni
jury;asɛnni baguafo
jus gentium;jus gentium na ɛwɔ hɔ
jussive;atɛntenenee
just about;ɛkame ayɛ sɛ
just deserts;anhweatam so kɛkɛ
just in case;sɛ ɛba sɛ ɛba ara kwa a
just in time;bere a ɛsɛ mu pɛpɛɛpɛ
just now;mprempren ara
just;kɛkɛ
Justice of the Peace;Asomdwoe mu Atɛntrenee
justice;pɛrepɛreyɛ
justifiable;nea ɛfata
justification;ntease a wɔde ma
justified;a ɛfata
justify;ma nnyinasoɔ
Justin;Justin na ɔkyerɛwee
Justine;Justine na ɔkyerɛwee
justly;wɔ ɔkwan a ɛfata so
Justus;Justus, na ɔkyerɛwee
jut;jut
jute;jute a wɔde yɛ adwuma
Jutland;Jutland na ɛwɔ hɔ
juvenile delinquency;mmofra nsɛmmɔnedi
juxtapose;fa to nkyɛn
Jyothis;Jyothis na ɔkyerɛwee
