K'iche';K'iche'.
kernel;kernel a ɛyɛ den
kerning;kerning a wɔde yɛ adwuma
kerosene;kerosene a wɔde yɛ nneɛma
kestrel;kestrel a wɔde di dwuma
Ket;Ket
ketamine;ketamine a wɔde yɛ adwuma
ketchup;ketchup a wɔde yɛ nneɛma
ketene;ketene
ketone;ketone a wɔde yɛ adwuma
ketose;ketose a wɔde di dwuma
ketotic;ketotic a ɛyɛ den
kettle hole;kettle tokuru
kettle;deɛ yɛde noa nsuo
kettlebell;kettlebell a wɔde hyɛ mu
kettledrum;kettledrum a wɔde yɛ adwuma
Kevin;Kevin
key exchange;key exchange
Key Largo;Key Largo na ɔkyerɛwee
key signature;safoa nsaano nkyerɛwee
Key West;Key West a ɛwɔ hɔ
key;safoa
keyboard;keyboard a wɔde kyerɛw nsɛm
keycard;keycard a wɔde kyerɛw nsɛm
keychain;keychain a wɔde hyɛ mu
keyhole;safe tokuru
keypad;keypad a wɔde hyɛ mu
keyword;asɛmfua titiriw
KGB;KGB
Khabarovsk;Khabarovsk na ɔkyerɛwee
khachapuri;khachapuri na ɛyɛ
khachkar;khachkar
khagan;khagan
khaki;khaki na ɛyɛ
khan;khan
khanate;khanate
khanjar;khanjar
Khanty-Mansiysk;Khanty-Mansiysk na ɔkyerɛwee
Kharkiv;Kharkiv na ɔkyerɛwee
Khartoum;Khartoum na ɛwɔ hɔ
Khazar;Khazar na ɔkyerɛwee
Khmer Rouge;Khmer Rougefo a wɔyɛ saa
Khmer;Khmer kasa mu
khorovod;khorovod a wɔde di dwuma
Khotanese;Khotanese kasa
Khrushchev;Khrushchev na ɔkyerɛwee
kibbutz;kibutz
kibitz;kibitz
kick out;kick out
kick start;kick start
kick the bucket;bɔ bokiti no akuturuku
kick wheel;kick wheel no
kick-off;kick-off a wɔde di dwuma
kick;bɔ
kickback;kickback a wɔde ma
kicksled;wɔbɔɔ ne nan ase
kickstand;kickstand a wɔde gyina hɔ
kid;abɔfra
kiddo;kiddo
kidnap;kyere a wɔkyere nkurɔfo sie
kidnapper;obi a ɔkyere nkurɔfo sie
kidnapping;nkurɔfo a wɔkyere nkurɔfo sie
kidney stone;asaabo mu ɔbo
kidney;sawa
Kiev;Kiev
Kievan Rus;Kievan Rus na ɔkyerɛwee
kif;kif
Kigali;Kigali
Kihnu;Kihnu na ɔkyerɛwee
kikimora;kikimora na ɛyɛ
kill time;kum bere
kill;kum
killdeer;owudifo
killer whale;killer whale a ɔyɛ ɔkraman
killer;owudifo
kiln;fononoo
kilo-;kilo- .
kilo;kilo
kilobyte;kilobyte a ɛyɛ fɛ
kilocalorie;kilocalorie a ɛwɔ nipadua no mu
kilogram-meter;kilogram-mita
kilogram;kilogram
kilojoule;kilojoule na ɛyɛ
kilolitre;kilolita
kilometrage;kilomita a ɛkɔ akyiri
kilometre;kilomita biako
kilometric;kilomita a ɛyɛ kilomita
kilowatt-hour;kilowatt-dɔnhwerew
Kim;Kim
Kimmeridgian;Kimmeridgian na ɔkyerɛwee
kimono;kimono a wɔde di dwuma
kinase;kinase
kind of like;ɔkwan bi so te sɛ
kind of;ɔkwan bi so
kind regards;ayamye mu nkyia
kind;ayamye
kindergarten;mmofra sukuu
kindhearted;ayamyefo
kindle;kindle a wɔde sɔ gya
kindling;ogya a wɔde hyew nneɛma
kindly;ayamye
kindness;ayamye
kindred;abusuafo
kinematic;kinematic a ɛyɛ adwuma
kinesic;kinesic a ɛyɛ den
kinesiology;kinesiology ho adesua
kinesthesia;kinesthesia a ɛma obi ho yɛ hyew
kinesthetic;kinesthetic a ɛma nipadua no yɛ adwuma
kinetic energy;ahoɔden a ɛma obi keka ne ho
kinetic;kinetic a ɛyɛ nea ɛkɔ so
kinetically;wɔ kinetically mu
King Arthur;Ɔhene Arthur
king cake;ɔhene keeki
king cobra;ɔhene kobra
king of beasts;mmoa hene
king of clubs;hene a ɔhwɛ nnua so
king of diamonds;ɔhene a ɔhwɛ abohene so
king of hearts;akoma mu hene
king of spades;ɔhene a ɔyɛ spades
king penguin;ɔhene penguin a wɔfrɛ no penguin
king vulture;ɔhene akɔre
king;ɔhene
Kingdom Hall;Ahenni Asa so
Kingdom of Bhutan;Bhutan Ahemman no
Kingdom of England;England Ahemman no
Kingdom of Heaven;Ɔsoro Ahenni
Kingdom of Laos;Laos Ahemman no
Kingdom of Scotland;Scotland Ahemman no
Kingdom of Spain;Spain Ahemman no
Kingdom of Sweden;Sweden Ahemman no
Kingdom of Thailand;Thailand Ahemman no
kingdom;ahenni
kingfisher;kingfisher a ɔyɛ ɔhene mpataa
kingly;ahemfo de
kingpin;kingpin, ɔhene
Kings;Ahene
kingship;aheneyɛ
Kingston;Kingston na ɔkyerɛwee
Kingstown;Kingstown na ɛwɔ hɔ
kink;kink
kinkajou;kinkajou na ɛyɛ
kinky;kinky
Kinshasa;Kinshasa
kinship;abusuabɔ a ɛda abusuafo ntam
kiosk;kiosk a wɔde di dwuma
kip;kip
kippah;kippah
Kiribati;Kiribati na ɛwɔ hɔ
Kiribatian;Kiribatifo kasa
Kirov;Kirov
kismet;kismet
kiss ass;kiss afunumu
kiss me;atuu m’ano
kiss my ass;kiss m’afurum
kiss;anofeɛ
kitchen cabinet;adididan mu kabinet
kitchen;mukaase
kitchenhand;kitchenhand
kitchenware;nneɛma a wɔde yɛ aduannoa
kite;kaete
kiteboard;kiteboard a wɔde di dwuma
kitesurf;kitesurf a wɔde tu mmirika
kitesurfer;kitesurfer a ɔde ne ho hyɛ mu
kitesurfing;kitesurfing a wɔde wɔn ho hyɛ mu
kith and kin;kith ne abusuafo
kitsch;kitsch a wɔde yɛ adwuma
kitten;ɔkra ba
Kittsian;Kittsian na ɔkyerɛwee
kitty litter;kitty nwura a wɔde gu mu
kitty;kitty
kiwi fruit;kiwi nnuaba
kiwi;kiwi
klaxon;klaxon a wɔfrɛ no klaxon
kleenex;kleenex
kleptocracy;kleptocracy a wɔde di dwuma
kleptomania;kleptomania a ɛma obi ho yɛ hyew
kleptomaniac;kleptomaniac a ɛyɛ ɔyare mmoawa
Klingon;Klingonfo
klipspringer;klipspringer a wɔde kyerɛw nsɛm
knack;knack a ɛyɛ fɛ
knacker;knacker a ɔyɛ knacker
knackered;knackered a wɔabɔ no
knave;knave a ɔyɛ ɔkwasea
knead;knead
kneading;kneading
knee pad;kotodwe a wɔde hyɛ nipadua mu
knee-jerk;nkotodwe a wɔde twitwiw
knee;kotodwe
kneecap;nkotodwe a wɔde hyɛ
kneel down;kotow fam
kneel;kotow
knife pleat;sekan a wɔde abɔ mu
knife;sekan
knight-errant;knight-errant a ɔyɛ ɔsraani
knight;mmɔdemmɔ mu onimuonyamfoɔ
knit one's brows;knit obi anim
knit;knit
knitting needle;afiri a wɔde pam ade
knob;knob a wɔde hyɛ mu
knobbly;knobbly a ɛyɛ den
knock on wood;bɔ nnua so
knock out;knock out
knock-on effect;knock-on tumi a ɛma obi bɔ
knock;bɔ pon mu
knockoff;knockoff a wɔde bɔ bɔɔl
knot theory;knot ho nkyerɛkyerɛ
knot;knot a ɛyɛ den
knotgrass;knotgrass a wɔfrɛ no knotgrass
knotty;knotty a ɛyɛ den
know thyself;hu wo ho
know-how;nimdeɛ a wɔde yɛ adwuma
know-it-all;nim-ne-ne nyinaa
know;nim
knowable;nea wobetumi ahu
knowingly;nim mu
knowledge is power;nimdeɛ yɛ tumi
knowledge worker;nimdeɛ ho adwumayɛfo
knowledge;nimdeɛ
knowledgeable;nimdeɛ
known;nim
knuckle;knuckle a wɔde hyɛ mu
koala;koala
koan;koan
kofta;kofta
kohlrabi;kohlrabi a wɔde di dwuma
Koine;Koine na ɔkyerɛwee
kola;kola
Kolkata;Kolkata na ɛwɔ hɔ
kolkhoz;kolkhoz
Kolyma;Kolyma na ɔkyerɛwee
Komi;Komi
Komodo dragon;Komodo ɔtweaseɛ
Komondor;Komondor na ɔkyerɛwee
Komotini;Komotini na ɔkyerɛwee
Komsomol;Komsomol na ɔkyerɛwee
Komsomolsk;Komsomolsk na ɔkyerɛwee
Konstanz;Konstanz na ɔkyerɛwee
kook;kook
kookaburra;kookaburra na ɛyɛ
kopek;kopek
kopi luwak;kopi luwak
Korea;Korea
Korean Peninsula;Korea Po no so
Korean War;Korea Ko no
Korean;Korea kasa
Koschei;Koschei na ɔkyerɛwee
kosher;kosher
Kosovo;Kosovo, na ɛwɔ hɔ
Kostroma;Kostroma na ɔkyerɛwee
koumiss;koumiss na ɛyɛ
kowtow;kowtow
Kraftwerkian;Kraftwerkian na ɔkyerɛwee
krait;krait na ɛyɛ
Kraken;Kraken na ɔkyerɛwee
Krasnodar;Krasnodar na ɔkyerɛwee
Krasnoyarsk;Krasnoyarsk na ɔkyerɛwee
Kremlin;Kremlin na ɛwɔ hɔ
krill;krill na ɛyɛ
Krishna;Krishna na ɔkyerɛwee
krone;krone a ɛyɛ den
krypton;krypton a wɔfrɛ no krypton
kryptonite;kryptonite a wɔde yɛ nneɛma
kshatriya;kshatriya
Kuala Lumpur;Kuala Lumpur na ɛwɔ hɔ
Kuban;Kuban
kudos;kudos
kudu;kudu
Kufic;Kufic
Kuiper belt object;Kuiper abɔso ade
Kuiper belt;Kuiper abɔso
kulak;kulak
Kumiko;Kumiko
kumquat;kumquat a wɔde di dwuma
kuna;kuna
kung fu;kung fu
Kungurian;Kungurian na ɔkyerɛwee
Kunming;Kunming na ɔkyerɛwee
Kurd;Kurdfo kasa
Kurdish;Kurdish kasa mu
Kurdistan;Kurdistan
Kurgan;Kurgan na ɔkyerɛwee
Kuril Islands;Kuril Nsupɔw so
Kursk;Kursk na ɔkyerɛwee
kurta;kurta
Kutenai;Kutenai na ɔkyerɛwee
Kuwait;Kuwait na ɛwɔ hɔ
Kuwaiti;Kuwaitifo na wɔte saa
Kuybyshev;Kuybyshev na ɔkyerɛwee
kvass;kvass a wɔde di dwuma
kvetch;kvetch
kyanite;kyanite a wɔde di dwuma
kyat;kyat
Kyoto;Kyoto
kyphosis;kyphosis a ɛma obi nya kyphosis
Kyrgyz;Kyrgyz kasa mu
Kyrgyzstan;Kyrgyzstan na ɛwɔ hɔ
Kyushu;Kyushu na ɔkyerɛwee
Kyzyl;Kyzyl na ɔkyerɛwee
kyūjitai;kyūjitai a wɔde di dwuma
Königsberg;Königsberg na ɔkyerɛwee
Königsberger Klopse;Königsberger Klopse na ɔkyerɛwee
