b'ak'tun a woagye atom;b'ak'tun
basabasayɛ a ɛkɔ so;anarchy
basabasayɛ a ɛkɔ so;turbulence
basabasayɛ a ɛnyɛ nhyehyɛe;disorderly
basabasayɛ a ɛyɛ basaa;disarray
basabasayɛ a ɛyɛ hu;chaotic
basabasayɛ a ɛyɛ hu;tumultuous
basabasayɛ a ɛyɛ hu;turbulent
basabasayɛ a ɛyɛ hyew;hot mess
basabasayɛ ho nkyerɛkyerɛ;chaos theory
basabasayɛ kuw mmonnaato;gang rape
basabasayɛ kuw mmonnaato;gang-rape
basabasayɛ mu;violently
basabasayɛfo a wɔyɛ basabasa;gangster
basabasayɛfo a wɔyɛ basabasa;rabble
basabasayɛfo kuw;gang
basabasayɛfo kuw;mob
basafa;cubit
basafa;yard
basal;basal
basal ganglion a ɛyɛ mmerɛw;basal ganglion
basal layer a ɛyɛ den;basal layer
basalt a wɔde yɛ nneɛma;basalt
bascule bridge a wɔde yɛ adwuma;bascule bridge
base ahuruhuruw;BASE jumping
baseball a wɔde bɔ bɔɔl;baseball
baseball abɔnten so;baseball field
baseball bɔfo;baseball player
baseball kyɛw;baseball cap
baseball mu;inside baseball
basel na ɔkyerɛwee;Basel
basenji na ɔkyerɛwee;Basenji
bash up na ɛyɛ;bash up
bash ɔsɔfopɔn no;bash the bishop
bashkir na ɔkyerɛwee;Bashkir
bashkortostan na ɔkyerɛwee;Bashkortostan
basidiomycete a wɔde yɛ aduru;basidiomycete
basidium a wɔde di dwuma;basidium
basil;basil
basilect a wɔde yɛ adwuma;basilect
basilika a ɛwɔ hɔ;basilica
basilisk a wɔde yɛ adwuma;basilisk
basin no;basin
basketball a wɔde bɔ bɔɔl;basketball
basketball bɔfo;basketball player
basketball hoop a wɔde bɔ bɔɔl;basketball hoop
basking shark a ɔyɛ basking;basking shark
basler na ɔkyerɛwee;Basler
basophil a wɔfrɛ no basophil;basophil
basque kasa mu;Basque
basque oguanhwɛfo ɔkraman;Basque Shepherd Dog
basque ɔman no mu;Basque Country
bass a wɔbɔ no abien;double bass
bass a wɔde bɔ nnwom;bass
bass clarinet a wɔde bɔ nnwom;bass clarinet
bass guitar a wɔde bɔ nnwom;bass guitar
bass sankubɔfo;bassist
basseterre na ɔkyerɛwee;Basseterre
bassoon a ɛyɛ den;bassoon
bassoon sankubɔfo;bassoonist
basswood a wɔfrɛ no basswood;basswood
baste;baste
baster a wɔde di dwuma;baster
bastille na ɔkyerɛwee;Bastille
bat;bat
bat obi ani so;bat one's eyes
bat obi aniwa nhwi;bat one's eyelashes
bat twa ho hyia;bat around
bat-seba;Bathsheba
bata ho;adjoin
bata ho;cling
batard na ɛyɛ;batard
batere;battery
batesianfo a wosuasua ade;Batesian mimicry
bathometer a wɔde kyerɛw nneɛma;bathometer
bathonifo kasa;Bathonian
bathtub a wɔde guare;bathtub
bathymetric a wɔde yɛ adwuma;bathymetric
bathymetry a wɔde yɛ adwuma;bathymetry
bathyscaphe a wɔde hyɛ nsu mu;bathyscaphe
bathysphere a wɔde hyɛ nsu mu;bathysphere
batik;batik
batman na ɔkyerɛwee;Batman
baton;baton
batten;batten
batter a wɔde hyɛ mu;batter
bauble a wɔde yɛ nneɛma;bauble
bauxite a wɔde yɛ nneɛma;bauxite
bavaria na ɛwɔ hɔ;Bavaria
bavarian kasa mu;Bavarian
bavaroisfoɔ;bavarois
bawdy na ɛyɛ;bawdy
bawee;stiff
bay ahaban;bay leaf
bay cat;bay cat
bay mfɛnsere;bay window
bayesian kasa;Bayesian
bayifoɔ;witch
bayonet a wɔfrɛ no bayonet;bayonet
bayou;bayou
bazaar na ɛwɔ hɔ;bazaar
bb cream a wɔde yɛ aduru;BB cream
bcg na ɛwɔ hɔ;BCG
bead a ɛyɛ nhwiren;bead
beae a wimhyɛn biara nni hɔ;no-fly zone
beae a wofi ase;starting point
beae a wotumi hu ade yiye;vantage point
beae a wɔbɔ abɔmmɔ;hunting ground
beae a wɔde besisi hɔ;place setting
beae a wɔde hyɛ mu;placeholder
beae a wɔhwɛ nneɛma so;checkpoint
beae a wɔhwɛ nneɛma so;observatory
beae a wɔmfa asraafo nni dwuma;demilitarized zone
beae a wɔresi adan;construction site
beae a wɔresi dan;building site
beae a wɔsom;place of worship
beae a wɔyɛ nsa;brewery
beae a ɛbobɔ;boiling point
beae a ɛkorɔn;altitude
beae a ɛnteɛ;misplace
beae a ɛsensɛn nsu so;floating point
beae a ɛyɛ dɛ;sweet spot
beae a ɛyɛ mmerɛw;soft spot
beae ho asɛm;locative case
beae kɔkɔɔ kɛse;Great Red Spot
beae no ho mfonini;site map
beaeɛ;area
beaeɛ;location
beaeɛ;place
beaeɛ;scene
beaeɛ;scenery
beaeɛ;site
beaeɛ;spot
beaeɛ;territory
beaeɛ;venue
beaeɛ hɔ;premises
beagle a wɔfrɛ no beagle;beagle
beaked whale a ɔwɔ ano;beaked whale
beaker a wɔde yɛ nneɛma;beaker
bean;bean
bean a ɛtrɛw;broad bean
bean goose;bean goose
beaner a wɔde yɛ nneɛma;beaner
beanie a ɛyɛ fɛ;beanie
bear atuu;bear hug
bear gua so;bear market
bearish a ɛkɔ fam;bearish
beatify;beatify
beatles nnwontofo kuw;Beatles
beatnik a wɔde di dwuma;beatnik
beatrice na ɔkyerɛwee;Beatrice
beauceron na ɔkyerɛwee;Beauceron
beaufort nsenia a wɔde kyerɛ;Beaufort scale
beaver a ɔyɛ ɔbarima;beaver
bebree;many
bechuanaland na ɛwɔ hɔ;Bechuanaland
bedevil;bedevil
bedouinfo na wɔyɛ;bedouin
beech a wɔfrɛ no beech;beech
beech a wɔfrɛ no marten a wɔfrɛ no beech;beech marten
beelsebul;Beelzebub
beer abien, mesrɛ wo;two beers, please
beer bong a wɔde di dwuma;beer bong
beer dan a wɔde yɛ beer;beer parlour
beer nut a wɔde yɛ aduan;beer nut
beer yafunu;beer belly
beet;beet
beethoveniafo na ɔkyerɛwee;Beethovenian
beetroot a wɔde yɛ aduru;beetroot
befuddle;befuddle
begonia;begonia
beguine na ɛyɛ;beguine
behemoth a wɔfrɛ no behemoth;behemoth
beholden;beholden
behoove;behoove
beige a ɛyɛ fɛ;beige
beignet a ɛyɛ fɛ;beignet
beijing;Beijing
beirut na ɛwɔ hɔ;Beirut
bejewel a ɛyɛ fɛ;bejewel
bel paese na ɔkyerɛwee;Bel Paese
belarus kasa;Belarusian
belarus na ɛwɔ hɔ;Belarus
belated;belated
belaying pin a wɔde yɛ nneɛma;belaying pin
belch a ɛyɛ belch;belch
beleaguer a ɔde ne ho ahyɛ mu;beleaguer
belfast na ɛwɔ hɔ;Belfast
belgium na ɛwɔ hɔ;Belgium
belgiumfo a wɔyɛ congo;Belgian Congo
belgiumfo kasa;Belgian
belgiumfo nguankraman;Belgian Sheepdog
belgorod na ɔkyerɛwee;Belgorod
belgrade na ɛwɔ hɔ;Belgrade
belie;belie
belisarius na ɔkyerɛwee;Belisarius
belize;Belize
belize kuropɔn;Belize City
belizefo kasa;Belizean
bellboy a ɔyɛ ɔbarima;bellboy
bellow;bellow
bellows a ɛyɛ hu;bellows
bellwether a ɛyɛ fɛ;bellwether
belmopan na ɔkyerɛwee;Belmopan
beluga na ɛyɛ;beluga
belvedere a wɔde yɛ adwuma;belvedere
bem a wobu;vindication
bemol;bemol
benada;Tuesday
bench press a wɔde tintim nhoma;bench press
bend sinister a ɛyɛ hu;bend sinister
benedict na ɔkyerɛwee;Benedict
benedicta na ɔkyerɛwee;Benedicta
benevento na ɔkyerɛwee;Benevento
bengal;Bengal
bengal po no po so;Bay of Bengal
bengal ɔsebɔ;Bengal tiger
bengali kasa mu;Bengali
benghazi na ɔkyerɛwee;Benghazi
benin;Benin
beninfo kasa;Beninese
benjamin;Benjamin
benkum;left
benkum fam;starboard
benkum fam ntaban;left-wing
benkum famfo;leftist
benkum ne nifa;left and right
benkum so akyirikyiri;far left
benkum so bankye;left bank
benkum so nneɛma adwumayɛbea;left-luggage office
benkum so nsa a wɔde di dwuma;left-handedness
benkum-hander;left-hander
benkum-nsa a wɔde di dwuma;left-handed
bent;bent
benthos a wɔde di dwuma;benthos
benzene a wɔde yɛ adwuma;benzene
benzoate a wɔde hyɛ nipadua mu;benzoate
benzofuran a wɔde di dwuma;benzofuran
benzoic a wɔde di dwuma;benzoic
benzoic acid a wɔde yɛ aduru;benzoic acid
benzol a wɔde di dwuma;benzol
benzoquinone a wɔde di dwuma;benzoquinone
benzphetamine a wɔde yɛ nnuru;benzphetamine
benzyl a wɔde yɛ adwuma;benzyl
benzylic a wɔde yɛ aduru;benzylic
beowulf na ɔkyerɛwee;Beowulf
bepɔ;mountain
bepɔ anim;cliff
bepɔw everest;Mount Everest
bepɔw so;mount
bepɔw so;uphill
bepɔw so kwan;mountain pass
bepɔw so sakre;mountain bike
bepɔw so ɔsebɔ;mountain zebra
berber kasa;Berber
bere a;whilst
bere a ade asa akyi;after dark
bere a ahoɔden wom;moment of force
bere a atwam;overdue
bere a atwam;past tense
bere a atwam;time immemorial
bere a atwam;time-lapse
bere a atwam a ɛnyɛ den;simple past
bere a emu yɛ den;hard time
bere a enni sabea;chronically
bere a mprako tu no;when pigs fly
bere a nnipa pii kɔ so;peak season
bere a wɔahyɛ da ayɛ;standard time
bere a wɔde bɛba;time of arrival
bere a wɔde fi hɔ;time of departure
bere a wɔde kyerɛ bere a wɔde yɛ adwuma;chronometer
bere a wɔde kyɛ;time-share
bere a wɔde sie;shelf life
bere a wɔde yɛ adwuma;epoch
bere a wɔde yɛ adwuma;era
bere a wɔde yɛ adwuma;punctilious
bere a wɔde yɛ adwuma;seasonal
bere a wɔde yɛ adwuma;time capsule
bere a wɔde yɛ adwuma;time-out
bere a wɔde yɛ adwuma;timeliness
bere a wɔde yɛ adwuma;timer
bere a wɔde yɛ adwuma;timing belt
bere a wɔde yɛ adwuma;timing
bere a wɔde yɛ adwuma boro so;overtime
bere a wɔhwehwɛ no;on demand
bere a wɔsɛe no;waste of time
bere a wɔtaa de di dwuma;Common Era
bere a wɔtrɛw mu;time dilation
bere a wɔyɛ oprehyɛn no;perioperative
bere a ɔkraman no wɔ akyirikyiri;when the cat's away
bere a ɔwɔ akyirikyiri;while away
bere a ɛba fam;low season
bere a ɛfata;seasonably
bere a ɛfata mu;opportunely
bere a ɛho hia sen biara;prime time
bere a ɛnyɛ bere mu de;atemporal
bere a ɛsɛ mu;timely
bere a ɛsɛ mu pɛpɛɛpɛ;just in time
bere a ɛtwam;expire
bere a ɛyɛ bere a wɔde bɛto mu;when is closing time
bere a ɛyɛ den;high season
bere a ɛyɛ nokware;moment of truth
bere afiri;time machine
bere akyi;behind time
bere ankasa mu;realtime
bere ano;punctually
bere bi;some time
bere bi;sometime
bere bi a atwam;once upon a time
bere bi mu;at a time
bere biara;anytime
bere biara;every time
bere bɛkyerɛ;time will tell
bere bɛn na ɛyɛ;what time is it
bere foforo;extra time
bere fã a wɔde yɛ adwuma;part-time
bere koro mu;simultaneity
bere koro mu;simultaneous
bere koro mu;simultaneousness
bere koro mu de;coeval
bere koro mu de;contemporaneous
bere koro no ara mu;at the same time
bere kɔ so no;in time
bere mu akwantu;time travel
bere mu de;temporal
bere mu dompe;temporal bone
bere mu tekiti;season ticket
bere mu ɔtopae;time bomb
bere ne bere mu;from time to time
bere ne bere mu;periodic
bere ne bere mu;periodically
bere ne bere mu;time after time
bere ne bere mu;time and again
bere nhyehyɛe;time zone
bere nhyehyɛe;timeline
bere nhyehyɛe;timetable
bere no nyinaa;the whole while
bere nyinaa;all along
bere nyinaa;all the time
bere nyinaa;consistently
bere nyinaa;full-time
bere so a wodi;punctuality
bere tenten;prolonged
bere tenten;protracted
bere tenten a atwam ni;long ago
bere tenten ahe;how long
bere tenten mu;at length
bere tenten mu;long-term
bere tenten mu;longitudinally
bere tenten mu no;in the long run
bere tiaa bi;awhile
bere tiaa bi a wɔyɛ komm;moment of silence
bere tiaa bi mu;momentary
bere tiaa bi mu;shortly
bere tiaa bi, mesrɛ wo;one moment, please
bere tiaa mu;fleeting
bere tiaa mu;fleetingly
bere tiaa mu;interim
bere tiaa mu;provisionally
bere tiaa mu;short-term
bere tiaa mu de;ephemeral
bere tiaa mu de;makeshift
bere tiaa mu de;provisional
bere tiaa mu de;transient
bere tiaa mu de;transitory
bere tu kɔ;time flies
bere yɛ sika;time is money
bereft;bereft
berengar na ɔkyerɛwee;Berengar
beresosɛm nhoma;Chronicles
beret a wɔde yɛ adwuma;beret
bergamo na ɔkyerɛwee;Bergamo
beriberi na ɛyɛ;beriberi
bering asubɔnten no;Bering Strait
bering po no;Bering Sea
berkelium a wɔfrɛ no berkelium;berkelium
berkshire na ɛwɔ hɔ;Berkshire
berlin;Berlin
berlin apuei fam;East Berlin
berlin atɔe fam;West Berlin
berlin ɔfasu;Berlin Wall
berliner na ɔkyerɛwee;Berliner
berlusconsom a wɔde di dwuma;Berlusconism
berm;berm
bermuda na ɛwɔ hɔ;Bermuda
bermuda ntade tiaa;Bermuda shorts
bermudafo kasa;Bermudian
bern na ɔkyerɛwee;Bern
bernard na ɔkyerɛwee;Bernard
berry;berry
berserk;berserk
berth a wɔde hyɛn mu;berth
bertha na ɔkyerɛwee;Bertha
bertram na ɔkyerɛwee;Bertram
beryl a wɔfrɛ no beryl;beryl
beryllium a wɔde yɛ aduru;beryllium
beryllium oxide a wɔde yɛ aduru;beryllium oxide
berɛ;duration
berɛ;moment
berɛ;period
berɛ;season
berɛ;time
berɛ;upon
berɛ a;whereas
berɛ a;while
berɛ ano;occasionally
berɛ biara;always
berɛ biara a;whenever
berɛ bɛn;when
berɛ korɔ no ara mu;simultaneously
berɛ tenten mu wien bɔberɛ;climate
berɛtia mu;temporary
besea;loan
beset;beset
besotted a wɔde wɔn ho hyɛɛ mu;besotted
bessarabia na ɛwɔ hɔ;Bessarabia
bestiary a ɔyɛ ɔkraman;bestiary
bestir;bestir
beta;beta
beta asorɔkye;beta wave
betel;betel
betel a wɔde yɛ aduan;betel nut
betel bag a wɔde kotoku ayɛ;betel bag
betel dua a wɔde yɛ nnuadewa;betel palm
betel ɛmo a wɔde yɛ nneɛma;betel pepper
betesda na ɔkyerɛwee;Bethesda
betlehem;Bethlehem
betony a wɔde yɛ adwuma;betony
betumi;be able to
bevor;bevor
bevy;bevy
bewick a ɔyɛ ɔkraman;Bewick's swan
bezant a ɔyɛ ɔbarima;bezant
bezoar na ɛyɛ;bezoar
bhikkhu;bhikkhu
bhikkhuni na ɛyɛ;bhikkhuni
bhutan;Bhutan
bhutan ahemman no;Kingdom of Bhutan
bhutanfo kasa;Bhutanese
bi;a
bi;an
bi;some
bi- .;bi-
biako hwee ase;one fell swoop
biako kabea;singular
biako kabea;singulative
biako ma ɔkwan no;one for the road
biako mpo;singly even
biako ne fã;one and a half
biako no;the one
biakoyɛ;cohesion
biakoyɛ;oneness
biakoyɛ;singularity
biakoyɛ;unification
biakoyɛ;unitary
biakoyɛ;unitive
biakoyɛ;unity
biakoyɛ a wɔyɛ;solidarity
biakoyɛ a ɛyɛ pɛ;uniformity
biara;any
biara;every
biara ne obiara;each and every
bib;bib
bibimbap na ɛyɛ;bibimbap
bible;Bible
bible basher;Bible basher
bible belt;Bible Belt
bible mu hebri kasa;Biblical Hebrew
bible mu nsɛm;biblical
bibliomancy a wɔde di dwuma;bibliomancy
bicameral a wɔde di dwuma;bicameral
bicarbonate a wɔde yɛ nneɛma;bicarbonate
bicephalous a ɛwɔ nipadua no mu;bicephalous
bicephaly a ɛma obi ho yɛ hyew;bicephaly
biceps a ɛwɔ nipadua no mu;biceps
biceps brachii a ɛwɔ nipadua no mu;biceps brachii
bichon frisé na ɔkyerɛwee;Bichon Frisé
bidet a wɔde di dwuma;bidet
biella na ɔkyerɛwee;Biella
bier;bier
biface;biface
big bang a ɛyɛ fɛ;Big Bang
big mac;Big Mac
big rip;Big Rip
bigamist;bigamist
bigamy;bigamy
bigfoot na ɔyɛ;Bigfoot
bight;bight
bigorexia a ɛma obi ho kyere no;bigorexia
bigorexic a wɔde di dwuma;bigorexic
bigot;bigot
bigwig;bigwig
bihar na ɛwɔ hɔ;Bihar
bijection a ɛma obi yɛ ade;bijection
bijective a ɛkyerɛ biribi;bijective
bikie;bickie
bikini a ɛwɔ hɔ;bikini
bikini ase;bikini bottom
bilabial a ɛwɔ hɔ;bilabial
bilbao na ɛwɔ hɔ;Bilbao
bilbaofo kasa;Bilbaoan
bilberry a wɔde yɛ nneɛma;bilberry
bildungsroman a wɔka no;bildungsroman
bile;bile
bile duct a ɛkɔ nipadua no mu;bile duct
bilge a wɔde hyɛ mu;bilge
bilhah;Bilhah
bilious;bilious
billet;billet
billhook a wɔde di dwuma;billhook
billiard a wɔbɔ;billiard
billiards a wɔbɔ;billiards
billow;billow
billy abirekyi;billy goat
bilocation a ɛwɔ hɔ;bilocation
bimetallism a wɔde di dwuma;bimetallism
bin;bin
binary;binary
binary code a wɔde di dwuma;binary code
binary dwumadiefoɔ;binary operator
binder a wɔde kyekyere nneɛma;binder
binder clip a wɔde kyekyere nneɛma;binder clip
binge a ɛboro so;binge
bingo;bingo
binnacle a ɛyɛ den;binnacle
binomial a wɔde di dwuma;binomial
binucleate a wɔde yɛ nneɛma;binucleate
bio;again
bio;any more
bio;furthermore
bio;in addition
bio;once again
bio- .;bio-
bioaccumulation a wɔde yɛ nneɛma;bioaccumulation
