H-bomb;H-ɔtopae a wɔde tow
Hannibal;Hannibal na ɔkyerɛwee
Hanoi;Hanoi na ɛwɔ hɔ
Hanover;Hanover na ɛwɔ hɔ
Hanukkah;Hanukkah na ɛwɔ hɔ
hapax legomenon;hapax legomenon a ɛwɔ hɔ
haphazard;a wɔayɛ no kwa
hapless;anigyesɛm
haplogroup;haplogroup a wɔde yɛ adwuma
haploid;haploid a ɛyɛ haploid
haploidy;haploidy a ɛyɛ haploidy
haplolepidous;haplolepidous a ɛwɔ nipadua no mu
haplotype;haplotype a ɛyɛ haplotype
happen;si
happenstance;asɛm a ɛbae
happily ever after;anigye so daa
happily;anigye so
happiness;anigyeɛ
happy as a clam;anigye sɛ ɔkraman
happy birthday;awoda pa
happy Easter;Easter a ɛyɛ anigye
happy ending;anigye awiei
Happy Holidays;Nnapɔnna a Ɛyɛ Anigye
happy hour;anigye dɔnhwerew
happy medium;anigye medium
happy New Year;ahehyiapa
Happy Ramadan;Ramadan pa
happy-go-lucky;anigye-kɔ-anigye
happy;anigyeɛ
haptic;haptic a ɛyɛ hu
haptics;haptics a wɔde di dwuma
harangue;harangue
Harare;Harare na ɛwɔ hɔ
harass;harass
harasser;ɔhawfo
harassment;ayayade a wɔhaw nkurɔfo
Haratin;Haratin na ɔkyerɛwee
Harbin;Harbin na ɔkyerɛwee
harbinger;harbinger
harbor;hyɛn gyinabea
hard disk;hard disk a ɛyɛ den
hard drive;hard drive a wɔde di dwuma
hard hat;kyɛw a ɛyɛ den
hard liquor;nsa a ɛyɛ den
hard of hearing;n’aso yɛ den
hard time;bere a emu yɛ den
hard water;nsuo a ɛyɛ den
hard-boiled;a wɔanoa no denneennen
hard-nosed;a ne hwene yɛ den
hard-on;hard-on a ɛyɛ den
hard;den
hardback;nkyerɛwde a ɛyɛ den
hardcore;hardcore a ɛyɛ den
hardcover;anim a ɛyɛ den
harden;denden
hardening;a ɛyɛ den
hardheaded;a ne ti yɛ den
hardly;ntaa nsi
hardness;denden a ɛyɛ den
hardship;ahokyere
hardtack;hardtack a ɛyɛ den
hardware store;hardware sotɔɔ a wɔtɔn nneɛma wom
hardware;hardware a wɔde yɛ nneɛma
hardworking;adwumayɛfo a wɔyɛ adwumaden
hare;hare
harelike;ɔte sɛ ɔkraman
harelip;harelip a ɛyɛ harelip
harlequin duck;harlequin ananse a wɔfrɛ no harlequin
harlequin;harlequin a wɔde di dwuma
harlot;aguaman
harm;pira
harmful;tumi ha adwene
harmfulness;ɔhaw a ɛba
harmless;a asiane biara nni ho
harmlessness;a asiane biara nni ho
harmonic balancer;harmonic balancer a ɛkari pɛ
harmonic function;harmonic dwumadi a ɛyɛ adwuma
harmonic mean;harmonic kyerɛ sɛ
harmonic oscillator;harmonic oscillator a ɛyɛ nea ɛyɛ dɛ
harmonic;harmonic a ɛyɛ harmonic
harmonica;harmonika a wɔde bɔ nnwom
harmoniously;wɔ biakoyɛ mu
harmony;nkabom
harness;harness a wɔde hyɛ mu
harp seal;sanku nsɔano
harp;sanku a wɔbɔ
harpist;sankubɔfo
harpoon;harpoon a wɔde di dwuma
harpooner;harpooner a ɔbɔ
harpsichord;sanku a wɔde bɔ nnwom
harpsichordist;sankubɔfo a ɔbɔ sanku
harpy eagle;harpy ɔkɔre a wɔfrɛ no harpy
harpy;harpy a wɔde bɔ nnwom
harquebus;harquebus a wɔfrɛ no harquebus
harridan;harridan na ɔkyerɛwee
harrier;harrier (harrier) a wɔfrɛ no harrier
harrow;harrow
harrowing;a ɛyɛ awerɛhow
harsh;ano yɛ den
hart;hart
hartebeest;hartebeest a wɔfrɛ no hartebeest
hartwort;hartwort a wɔfrɛ no hartwort
harvest mite;otwa nwansena
harvest time;otwa bere
harvest;twa
harvester;otwafo
harvesting;otwa adwuma
harvestman;otwafo
Haryana;Haryana na ɛwɔ hɔ
has-been;ayɛ-ayɛ
Hasdrubal;Hasdrubal na ɛyɛ
hash;hash
hashish;hashish a wɔde yɛ nneɛma
hashtag;hashtag a wɔde ahyɛ mu
Haskalah;Haskalah na ɛyɛ
hasp;hasp
Hassidic;Hassidic kasa mu
Hassidism;Hassidism a wɔde di dwuma
hassium;hassium a wɔfrɛ no hassium
hassle;ɔhaw
hassock;hassock na ɛyɛ
Hassānīya;Hassānīya na ɔkyerɛwee
haste;ahopere a wɔde yɛ adwuma
hasten;yɛ ntɛm
hastily;ahopere so
hasty;ahopere a wɔde yɛ adwuma
hat rack;hat rack a wɔde hyɛ mu
hat trick;hat trick a wɔde di dwuma
hat;kyɛw
hatband;kyɛw a wɔde kyekyere kyɛw
hatbox;kyɛw adaka
hatch;hatch
hatchet man;hatchet nipa
hate crime;tan nsɛmmɔnedi
hate speech;ɔtan kasa
hate;tan
hateful;ɔtanfo
hatful;hatful
hatred;nitan
hats off;hats off
hatter;hatter
haughtiness;ahantan
haughty;ahantanfo
haul;haul
Haumea;Haumea na ɛwɔ hɔ
haunted house;fie a ahonhommɔne te mu
haunted;ahonhommɔne
Hausdorff dimension;Hausdorff nsusuwii
Havana Brown;Havana Brown na ɔkyerɛwee
Havana;Havana na ɛwɔ hɔ
have a bone to pick;wɔ dompe a wobɛtetew
have a nice day;da no nkɔ yie mma wo
have a screw loose;ma skru bi a ɛho ayɛ hare
have a seat;wɔ akongua
have fun;gye w'ani
have it your way;nya no wo kwan so
have sex;wɔne wɔn ho da
have the foggiest;wɔ nea ɛyɛ sum sen biara
have to;ɛsɛ sɛ wɔyɛ saa
have;wɔ
haven;guankɔbea
havoc;ɔsɛe kɛse
Hawaii;Hawaii
Hawaiian hawk;Hawaiifo ɔkraman
Hawaiian;Hawaii kasa
hawfinch;hawfinch a wɔfrɛ no hawfinch
hawk moth;hawk nwansena
hawk;hawk
hawkbit;hawkbit a ɛyɛ hu
hawkish;hawkish a ɛyɛ hu
hawksbill turtle;hawksbill mpɔtorɔ
hawsehole;hawsehole a ɛwɔ hɔ
hawser;hawser
hawthorn;hawthorn a wɔfrɛ no hawthorn
hay fever;hay atiridiinini
hay;hay
haystack;sare a wɔaboaboa ano
haywire;haywire a wɔde yɛ adwuma
hazard;ɔhaw
hazardous;asiane wom
haze over;haze over
haze;mfutuma
hazel grouse;hazel grouse a wɔfrɛ no grouse
hazel;hazel a wɔfrɛ no hazel
hazelnut milk;hazelnut nufusu a wɔde yɛ aduan
hazelnut;hazelnut a wɔfrɛ no hazelnut
hazing;hazing a wɔde di dwuma
he's unconscious;ɔyɛ obi a onnim hwee
he-wolf;ɔ-ɔkraman
he;ɔno
head louse;ti ntontom
head of government;aban panyin
head of hair;ti a wɔde ti nhwi ayɛ
head of household;ofie panyin
head of state;ɔman ti
head off;ti kɔ
head over heels;ti a ɛwɔ asen so
head start;ti a wɔde fi ase
head up;ti kɔ soro
head-to-head;ti ne ti
head;tire
headache;tipaeɛ
headband;ti nhwi a wɔde kyekyere wɔn ti
headboard;mpa ti
headbutt;ti a wɔde bɔ obi ti
headdress;ti nhwi a wɔde hyɛ
header;atiri
headgear;ti a wɔde kata ti
headland;headland a ɛwɔ soro
headlight;kanea a ɛwɔ anim
headline;asɛmti no
headlong;ti a wɔde hyɛ mu
headmaster;sukuu panyin
headphone;afiri a wɔde bɔ asom
headphones;afiri a wɔde bɔ asom
headquarters;adwumayɛbea ti no
headroom;ti a wɔde hyɛ mu
heads or tails;ti anaa dua
heads;ti ahorow
headsail;headsail a wɔde di dwuma
headscarf;ti nhwi a wɔde kata ti
headshot;ti a wɔde tow tuo
headstall;ti a wɔde gyina hɔ
headstone;ɔbo a ɛwɔ ti
headwaiter;headwaiter a ɔyɛ adwuma wɔ hɔ
headwaters;nsu a ɛwɔ ti
headwind;mframa a ɛbɔ wɔ anim
headword;asɛmti ti
heal;sa
healer;ɔyaresafo
health care;akwahosan ho nhyehyɛe
health food;akwahosan ho aduan
health insurance;akwahosan ho insurance
health product;akwahosan ho aduru
health;apomuden
healthful;apɔwmuden
healthily;apɔwmuden mu
healthy;te apɔ
heap;heap
hear;te
hearing aid;afiri a wɔde boa aso
hearing;asɛm a wɔte
hearsay;nsɛm a wɔte
hearse;funu kar a wɔde fa nnipa
heart attack;komayare
heart of gold;koma a wɔde sika kɔkɔɔ ayɛ
heart rate monitor;koma a ɛbɔ ho nhwehwɛmu
heart valve;koma mu valve
heart-breaking;koma mu abubuw
heart-warming;koma mu hyew
heart;akoma
heartache;koma mu yaw
heartbeat;koma a ɛbɔ
heartbreak;koma mu abubuw
heartbreaker;koma mu abubuw
heartburn;komayare
hearten;akoma
heartening;a ɛhyɛ nkuran
heartfelt;a efi komam
hearth;ogya a wɔde hyew nneɛma
heartland;koma mu asase
heartless;koma a wonni
hearts;koma mu
heartsease;komayare
heartstrings;koma mu nhama
hearty;koma mu
heat exchanger;ɔhyew a wɔde sesa nneɛma
heat;ɔhyew
heated;a ɛyɛ hyew
heater;ɔhyew afiri
heath;heath a ɛyɛ den
heathen;abosonsomfo
heather;heather
heating;ɔhyew a wɔde yɛ adwuma
heatwave;ɔhyew a ɛyɛ hyew
heave in sight;heave wɔ aniwa so
heave;heave
heaven;ɔsoro aheneman mu
heavenly body;ɔsoro nipadua
Heavenly Father;Ɔsoro Agya
heavenly;ɔsoro de
heavily;denneennen
heaviness;emu yɛ duru
heavy cavalry;apɔnkɔsotefo a wɔn ho yɛ duru
heavy industry;nnwuma a emu yɛ duru
heavy metal;dade a emu yɛ duru
heavy water;nsu a emu yɛ duru
heavy-handed;nsa a emu yɛ duru
heavy;mu duro
hebdomadary;hebdomadary ho asɛm
hebetude;hebetude a ɛyɛ hu
Hebrew;Hebri kasa mu
Hebrews;Hebrifo
Hebrides;Hebrides na ɔkyerɛwee
Hebron;Hebron
Hecate;Hecate a ɛyɛ hyew
hectare;hekta
hectic;ɔbrɛ
hecto-;hecto- .
hectogram;hectogram a wɔde kyerɛ
hectolitre;hectolitre na ɛyɛ adwuma
hectometre;hectometer a ɛwɔ hɔ
hector;hector
Hecuba;Hecuba na ɔyɛ
hedge fund;hedge sikakorabea
hedge maze;hedge maze a wɔde yɛ ade
hedge;hedge
hedgehog;hedgehog a ɔyɛ ɔkraman
hedonism;anigyede a wɔde di dwuma
hedonist;anigyede ho nimdefo
Hedwig;Hedwig na ɔkyerɛwee
hee-haw;hee-haw
heed;tie
heedful;a wɔyɛ aso tie
heel bone;asen dompe
heel;heel
heft;heft
hefty;hefty a ɛyɛ den
Hegel;Hegel na ɔkyerɛwee
Hegelian;Hegelian na ɔkyerɛwee
hegemonic;hegemonic a wɔde di dwuma
hegemony;tumidi a wɔde di dwuma
hehe;hehe
heifer;nantwi ba
height;tenten
Heimlich maneuver;Heimlich a ɔde ne ho hyɛ mu
heinous;akyide
heir apparent;ɔdedifo a ɛda adi
heir presumptive;ɔdedifo a ɔyɛ presumptive
heir;odiadeni
heirloom;agyapadeɛ
heist;krɔnobɔ
Helen;Helen na ɔkyerɛwee
helical;helical a ɛyɛ helical
heliciculture;heliciculture a wɔde yɛ adwuma
helicity;helicity a ɛyɛ den
helicopter;helikopta a wɔde di dwuma
helictite;helictite a wɔfrɛ no helictite
helio-;helio- .
heliocentric;heliocentric a ɛwɔ heliocentric so
heliocentrism;heliocentrism a ɛfa owia ho
heliometer;heliometer a wɔde kyerɛ ade
helion;helion a wɔfrɛ no helion
heliopause;heliopause a ɛma mogya tu
Helios;Helios na ɔkyerɛwee
heliostat;heliostat a wɔde hyɛ nipadua mu
heliotheism;heliotheism a wɔde ma
heliotropism;heliotropism a ɛma obi nya heliotropism
heliport;heliport
heliportable;heliportable a wɔde fa nnipa
helium star;helium nsoromma
helium;helium a wɔfrɛ no helium
helix;helix a ɛyɛ den
hell money;hell sika
hell;bonsam gyam
hellebore;hellebore na ɛyɛ
Hellen;Hellen na ɔyɛɛ saa
Hellenic Republic;Helafo Ɔman no
Hellenic;Helafo kasa
Hellenistic;Helafo kasa
Hellenize;Helafo kasa
Hellespont;Hellespont na ɔkyerɛwee
hellish;hellfoɔ
hellishly;hellgya kwan so
hello;Hɛlo
helm;helm a wɔde di dwuma
helmet;hɛɛmɛte
helminth;helminth a wɔfrɛ no helminth
helminthology;helminthology ho adesua
helmsman;helmsman a ɔhwɛ hyɛn no so
helot;helot
help desk;mmoa pon so
help is on the way;mmoa reba kwan so
help;boa
helper;ɔboafo
helpful;boafoɔ
helpless;a wontumi nyɛ hwee
helpmate;ɔboafo
Helsinki;Helsinki na ɛwɔ hɔ
Helvetian;Helvetianfo na ɔkyerɛwee
Helvetii;Helvetii na ɔkyerɛwee
hem;hem
hemangioma;hemangioma a ɛma mogya tu
hematite;hematite a ɛwɔ nipadua no mu
hematocrit;hematocrit a ɛma mogya tu
hematologic;mogya ho nimdeɛ
hematoma;hematoma a ɛma mogya tu
hematopoiesis;mogya a ɛma mogya tu
hemeralopia;hemeralopia a ɛma mogya tu
hemeralopic;hemeralopic a ɛwɔ mogya mu
hemiparesis;hemiparesis a ɛyɛ mmerɛw
hemiplegia;hemiplegia a ɛyɛ mmerɛw
hemipter;hemipter a ɛwɔ nipadua no mu
hemisphere;hemisphere no fã
hemistich;hemistich a wɔfrɛ no hemistich
hemlock;hemlock
hemodynamic;mogya mu ahoɔden a ɛma mogya tu
hemodynamics;mogya mu ahoɔden a ɛma mogya tu
hemoglobin;hemoglobin a ɛma mogya tu
hemolysis;mogya a wɔsɛe no
hemoptysis;hemoptysis a ɛma mogya tu
hemorrhage;mogya a ɛtɔ gu nipadua no mu
hemorrhagic;mogyatɔw a ɛma mogya tu
hemorrhoid;akisikuru a ɛma obi ho yɛ hyew
hemostasis;mogya a ɛma mogya tu
hemp milk;hemp nufusu
hemp;hemp
hemstitch;hemstitch a wɔde hyɛ nipadua no mu
hen;hen
henbane;henbane
hence;enti
henceforth;efi saa bere yi rekɔ no
henchman;henchman a ɔyɛ ɔbaabun
hendecasyllabic;hendecasyllabic a ɛyɛ nkyerɛwde a ɛyɛ hendecasyllabic
hendiadys;hendiadys a wɔde di dwuma
henhouse;nkokɔ fie
henna;henna
henotheism;henotheism a wɔde ma
henpeck;henpeck a wɔfrɛ no henpeck
henpecked;henpecked a wɔabɔ no
Henrietta;Henrietta na ɔkyerɛwee
henry;henry na ɔkyerɛwee
hentai;hentai
heparin;heparin a wɔde di dwuma
hepatic;mmerɛbo mu yare
hepatica;hepatica a ɛyɛ mmerɛw
hepatitic;mmerɛbo mu yare
hepatitis A;mmerɛbo mu yare A
hepatitis B;mmerɛbo mu yare B
hepatitis;mmerɛbo mu yare
hepatologist;mmerɛbo ho ɔyaresafo
hepatology;mmerɛbo mu yareɛ ho nimdeɛ
Hephaestus;Hephaestus a ɔyɛ ɔkyerɛwfo
heptagon;heptagon a ɛyɛ ahinanan
heptagonal;ahinanan a ɛwɔ ahinanan
heptahedron;heptahedron a ɛwɔ hɔ
heptalogy;heptology a wɔde kyerɛw nsɛm
heptane;heptane a wɔde yɛ adwuma
heptathlete;heptathlete a ɔbɔ bɔɔl
heptathlon;heptathlon a wɔde tu mmirika
heptose;heptose a ɛwɔ hɔ
heptoxide;heptoxide a wɔde yɛ adwuma
Her Majesty;N’Awurade
her;ne
Hera;Hera na ɔkyerɛwee
Heracles;Heracles na ɔkyerɛwee
Heraclitus;Heraclitus na ɔkyerɛwee
herald;dawurubɔfo
heraldry;heraldry a wɔde kyerɛw nsɛm
herb;nhabannuru
herbaceous;nhabannuru a ɛyɛ nhabannuru
herbalist;nhabannuru ho ɔbenfo
herbarium;herbarium a wɔde yɛ nhabannuru
herbicide;aduru a wɔde kum wura
herbivore;adidifo a wodi nhabannuru
herbivorous;a wodi nhabannuru
Herculaneum;Herculaneum a ɛwɔ hɔ
Herculean;Herculean a ɔyɛ ɔkyerɛwfo
Hercules;Hercules na ɔkyerɛwee
herd behaviour;nguankuw nneyɛe
herd;nnwankuo
herdsman;oguanhwɛfo
here and there;ha ne ha
here lies;ɛha na ɛda
here you are;ha na wowɔ
here;ha
hereby;ɛnam eyi so
hereditary;agyapade mu
herein;wɔ ha
hereof;eyi mu
heresiarch;atoro nkyerɛkyerɛ
heresy;atoro nkyerɛkyerɛ
heretic;ɔsɔretiafo
heretical;atorofo
heretofore;ɛde besi saa bere yi
heritage;awugyadeɛ
Herman;Herman na ɔkyerɛwee
hermaphrodite;ɔbarima ne ɔbea nna ho ɔbea
Hermaphroditus;Hermaphroditus a ɔyɛ ɔbarima a ɔyɛ ɔbarima
hermeneutical;nkyerɛase a wɔde kyerɛkyerɛ mu
hermeneutics;nkyerɛase ho adesua
Hermes;Hermes na ɔkyerɛwee
hermetic;hermetic a wɔde hyɛ nipadua mu
Hermione;Hermione na ɔkyerɛwee
hermit crab;hermit krak a wɔfrɛ no hermit krak
hermit;hermit
hermitage;hermitage a ɛwɔ hɔ
hernia;hernia a ɛma obi ho yɛ hyew
herniorrhaphy;herniorrhaphy a ɛma obi ho kyere no
hero;ɔkokodurufo
Herod;Herode
Herodotus;Herodotus na ɔkyerɛwee
heroic;akokodurufo
heroically;wɔ akokoduru so
heroin;heroin a wɔde di dwuma
heroine;ɔbaabun a ɔyɛ ɔbaabun
heroism;akokoduru
heron;ɔkraman
herpes simplex;herpes a ɛyɛ mmerɛw a wɔfrɛ no herpes simplex
herpes zoster;herpes zoster a ɛma obi nya ɔyare mmoawa
herpes;herpes a ɛma obi ho kyere no
herpetofauna;herpetofauna a ɛyɛ mmoa a wɔfrɛ wɔn herpetofauna
herpetologist;herpetologist ho ɔbenfo
herpetology;herpetology ho adesua
herring;herring a wɔfrɛ no herring
hers;ne de no
herself;ɔno ankasa
hertz;hertz
Hervey Bay;Hervey Bay na ɔkyerɛwee
Hesiod;Hesiod na ɔkyerɛwee
hesitate;twetwe nan ase
hesitation;twentwɛn ne nan ase
Hesperides;Hesperides na ɔkyerɛwee
hesperidium;hesperidium a wɔfrɛ no hesperidium
Hesse;Hesse na ɔkyerɛwee
hetaera;hetaera
heteroatom;heteroatom a ɛyɛ heteroatom
heteroblastic;heteroblastic a ɛyɛ heteroblastic
heterochromia;heterochromia a ɛwɔ nipadua no mu
heteroclite;heteroclite a ɛwɔ hɔ
heterocycle;heterocycle a ɛyɛ soronko
heterodox;heterodox a ɛyɛ soronko
heterodoxy;heterodoxy a ɛyɛ soronko
heterogeneity;heterogeneity a ɛyɛ soronko
heterogeneous;a ɛsono emu biara
heteronym;asɛmfua a ɛsono emu biara
heteroscedasticity;heteroscedasticity a ɛwɔ hɔ
heterosexism;mmarima ne mmea a wɔne wɔn ho da
heterosexual;ɔbarima ne ɔbea nna a wɔne wɔn ho da
heterosexuality;ɔbarima ne ɔbea nna a wɔne wɔn ho da
heterotroph;heterotroph a ɛyɛ heterotroph
heterotrophic;heterotrophic a ɛyɛ soronko
heterozygous;a ɛyɛ heterozygous
hetman;hetman
Hettangian;Hettangianfo na ɔkyerɛwee
hetty;hetty
heuristic;heuristic a wɔde kyerɛkyerɛ nneɛma mu
hew;hew
hex;hex
hexacosichoron;hexacosikoron a wɔfrɛ no hexacosikoron
hexadecimal;hexadecimal a ɛyɛ den
hexafluoride;hexafluoride a wɔde yɛ ade
hexagon;hexagon a ɛyɛ ahinanan
hexagonal;ahinanan a ɛwɔ afã asia
hexahedron;hexahedron a ɛwɔ afã abien
hexalogy;hexalogy a wɔde kyerɛw nsɛm
hexane;hexane a wɔde yɛ ade
hexapod;hexapod a ɛwɔ nipadua no mu
hexene;hexene a wɔfrɛ no hexene
hexokinase;hexokinase a wɔfrɛ no hexokinase
hexose;hexose a ɛyɛ den
hexoxide;hexoxide a wɔde yɛ ade
hey;Hei
heyday;heyday
Hezbollah;Hezbollah na ɛwɔ hɔ
HFCS;HFCS
hi-hat;hi-hat
hi;Hi
hiatus;hiatus
hibernate;da awɔw bere mu
hibernation;awɔw bere mu nna a wɔde da
hibiscus;hibiscus a wɔfrɛ no hibiscus
hiccup;hiccup a ɛyɛ hu
hiccups;hiccups a ɛyɛ hu
hick;hick
hickey;hickey
hickory;hickory a wɔfrɛ no hickory
Hidalgo;Hidalgo na ɔkyerɛwee
hidden agenda;nhyehyɛe a ahintaw
hidden;asuma
hide and seek;hintaw na hwehwɛ
hide in plain sight;de wo ho sie wɔ baabi a obiara betumi ahu
hide;tɛ
hideous;hideous a ɛyɛ hu
hideout;baabi a wɔde wɔn ho sie
hie;hie
hierarchical;a wɔahyehyɛ no nnidiso nnidiso
hierarchy;nhyehyɛeɛ
hieratic;hieratic a ɛyɛ den
hieroglyph;hieroglyph a wɔde kyerɛw nsɛm
