b'ak'tun;b'ak'tun a woagye atom
banderilla;banderilla a wɔfrɛ no banderilla
banderillero;banderillero na ɔkyerɛwee
bandicoot;bandicoot a wɔde di dwuma
bandit;adwowtwafo
bandolier;bandolier a wɔde di dwuma
bandoneon;bandoneon a wɔfrɛ no bandoneon
bandurria;bandurria a ɛyɛ den
bandwagon;nnwontofo kuw
bandwidth;bandwidth a wɔde di dwuma
bandy;bandy
bane;bane
bang out;bang fi adi
bang;bɔ adeɛ so
Bangalore;Bangalore na ɛwɔ hɔ
bangers and mash;bangers ne mash a wɔde yɛ nneɛma
Bangkok;Bangkok na ɛwɔ hɔ
Bangladesh;Bangladesh
Bangladeshi;Bangladeshi kasa mu
Bangui;Bangui
banish;banish
banishment;wɔpam obi
banister;banister a wɔde hyɛ mu
banjo;banjo a wɔfrɛ no banjo
Banjul;Banjul na ɔkyerɛwee
bank account;sikakorabea akontaabu
bank holiday;sikakorabea akwamma
Bank of China;Sikakorabea a ɛwɔ China
Bank of England;Sikakorabea a ɛwɔ England
bank robber;sikakorabea dwowtwafo
bank statement;sikakorabea krataa
bank;sikakorabea
banker;sikakorabea dwumayɛni
banknote;sikakorabea krataa
bankrupt;bankrupt a wɔabɔ wɔn ho ban
bankruptcy;sikasɛm mu ahokyere
banner blindness;frankaa anifurae
banner;frankaa
banquet;apontow ase
banshee;banshee
bantamweight;bantamweight a ɛyɛ den
banter;banter a ɛyɛ fɛwdi
Bantu;Bantufoɔ
banyan;banyan
baobab;baobab a wɔde di dwuma
Baotou;Baotou na ɔkyerɛwee
baptism of fire;ogya asubɔ
baptism;asubɔ
baptismal font;asubɔ afiri
baptismal;asubɔ mu
Baptist;Baptistfo
baptistry;asubɔ ho
baptize;bɔ asu
bar chart;bar chart a wɔde kyerɛw nsɛm
bar line;bar line
bar none;bar no biara nni hɔ
bar of chocolate;bar a wɔde chocolate ayɛ
bar-tailed godwit;bar-tailed godwit a ɔyɛ ɔbarima
bar;nsanombea
barb;barb
Barbadian;Barbadian kasa
Barbados;Barbados na ɛwɔ hɔ
Barbara;Barbara na ɔkyerɛwee
barbarian;barbarian
barbaric;barbaric
barbarism;atirimɔdensɛm
barbarize;barbarize
Barbary lion;Barbary gyata a ɔyɛ ɔbarima
Barbary;Barbary na ɔkyerɛwee
barbecue sauce;barbecue a wɔde yɛ aduan
barbecue;barbecue a wɔde yɛ barbecue
barbed wire;nhama a wɔde nsɔe ayɛ
barbel;barbel a wɔfrɛ no barbel
barbell;barbell a wɔde yɛ nneɛma
barber;obi a ɔyɛ ti nhwi
barbershop;baabi a wɔyɛ ti nhwi
barbiturate;barbiturate a wɔde yɛ nneɛma
Barcelona;Barcelona
Barcelonian;Barcelonian kasa mu
barcode reader;barcode akenkanfo
barcode;barcode a wɔde kyerɛw nsɛm
bard;bard
bardo;bardo
bare;bare
bareass;bareass a ɔnyɛ hwee
bareback;bareback
barebone;nnompe a ɛda hɔ kwa
barebutt;barebutt a wɔde di dwuma
barefoot doctor;oduruyɛfo a ɔmpam mpaboa
barefoot;mpaboa a ɔda mpan
barely;pɛ
Barents Sea;Barents Po no mu
barfly;barfly a wɔfrɛ no barfly
bargain;di ano
barge;barge a wɔde fa hyɛn mu
Bari;Bari
barista;barista
barite;barite a wɔde yɛ adwuma
baritone;baritone a wɔde yɛ adwuma
barium;barium a wɔfrɛ no barium
bark;pɔ
barker;barker
barley;nsensan
barn owl;barn ɔkraman
barn swallow;barn swallow a wɔde mene
barn;adidibea
barnacle goose;barnacle ɔkraman
barnacle;barnacle a ɛyɛ fɛ
Barnaul;Barnaul na ɔkyerɛwee
barometer;barometer a wɔde kyerɛ sɛnea nneɛma te
barometric;barometric a wɔde kyerɛ sɛnea nneɛma te
baron;baron a wɔfrɛ no baron
baroness;baroness a ɔyɛ ɔbea
barony;barony
Baroque guitar;Baroque guitar a wɔde bɔ nnwom
Baroque;Baroque kasa mu
barque;barque a wɔfrɛ no barque
barrack;asraafo atrae
barracuda;barracuda a wɔfrɛ no barracuda
barred antshrike;anthrike a wɔabara
barrel bomb;ɔtopae a wɔde tow toa mu
barrel organ;barrel organ a wɔde yɛ ade
barrel roll;barrel roll a wɔabɔ no mua
barrel;toa a wɔde toa mu
barren;obonin
barrette;barrette a wɔde kyerɛw nsɛm
barricade;akwanside a wɔde siw kwan
barrier;akwansideɛ
barrister;mmaranimfo panyin
barrow;barrow
barse;barse
bartender;bartender a ɔyɛ adwuma
barter;barter a wɔde sesa nneɛma
Bartholomew;Bartolomew na ɔkyerɛwee
Bartonian;Bartonian na ɔkyerɛwee
Baruch;Baruk
baryon;baryon
baryonic;baryonic a wɔde yɛ adwuma
bas relief;bas ahotɔ
basal ganglion;basal ganglion a ɛyɛ mmerɛw
basal layer;basal layer a ɛyɛ den
basal;basal
basalt;basalt a wɔde yɛ nneɛma
bascule bridge;bascule bridge a wɔde yɛ adwuma
BASE jumping;BASE ahuruhuruw
base;nhini
baseball cap;baseball kyɛw
baseball field;baseball abɔnten so
baseball player;baseball bɔfo
baseball;baseball a wɔde bɔ bɔɔl
Basel;Basel na ɔkyerɛwee
baseline;mfitiaseɛ
basement;aseɛ
Basenji;Basenji na ɔkyerɛwee
bash the bishop;bash ɔsɔfopɔn no
bash up;bash up na ɛyɛ
bashful;aniwu
Bashkir;Bashkir na ɔkyerɛwee
Bashkortostan;Bashkortostan na ɔkyerɛwee
basic;mfiasesɛm
basically;ɛno ara ne sɛ
basidiomycete;basidiomycete a wɔde yɛ aduru
basidium;basidium a wɔde di dwuma
basil;basil
basilect;basilect a wɔde yɛ adwuma
basilica;basilika a ɛwɔ hɔ
basilisk;basilisk a wɔde yɛ adwuma
basin;basin no
basis point;nnyinasosɛm
basis;nnyinaso
basket;kɛntɛn
basketball hoop;basketball hoop a wɔde bɔ bɔɔl
basketball player;basketball bɔfo
basketball;basketball a wɔde bɔ bɔɔl
basking shark;basking shark a ɔyɛ basking
Basler;Basler na ɔkyerɛwee
basophil;basophil a wɔfrɛ no basophil
Basque Country;Basque Ɔman no mu
Basque Shepherd Dog;Basque Oguanhwɛfo Ɔkraman
Basque;Basque kasa mu
bass clarinet;bass clarinet a wɔde bɔ nnwom
bass guitar;bass guitar a wɔde bɔ nnwom
bass;bass a wɔde bɔ nnwom
Basseterre;Basseterre na ɔkyerɛwee
bassist;bass sankubɔfo
bassoon;bassoon a ɛyɛ den
bassoonist;bassoon sankubɔfo
basswood;basswood a wɔfrɛ no basswood
bastard sugar;asikre a ɛyɛ bastard
bastard;mpenaba
baste;baste
baster;baster a wɔde di dwuma
Bastille;Bastille na ɔkyerɛwee
bastion;abankɛse a ɛyɛ den
bat around;bat twa ho hyia
bat one's eyelashes;bat obi aniwa nhwi
bat one's eyes;bat obi ani so
bat;bat
batard;batard na ɛyɛ
batch;ekuo
Batesian mimicry;Batesianfo a wosuasua ade
bath towel;mpopaho a wɔde guare
bath;dware
bathe;aguare
bather;aguaree
bathhouse;aguaree dan
bathometer;bathometer a wɔde kyerɛw nneɛma
Bathonian;Bathonifo kasa
bathrobe;atade a wɔde guare
bathroom scales;aguaree nsenia
bathroom;adwareɛ
Bathsheba;Bat-Seba
bathtub;bathtub a wɔde guare
bathymetric;bathymetric a wɔde yɛ adwuma
bathymetry;bathymetry a wɔde yɛ adwuma
bathyscaphe;bathyscaphe a wɔde hyɛ nsu mu
bathysphere;bathysphere a wɔde hyɛ nsu mu
batik;batik
Batman;Batman na ɔkyerɛwee
baton;baton
Bats;Nwansena
battalion;asraafo dɔm no
batten;batten
batter;batter a wɔde hyɛ mu
battering ram;odwennini a ɔbɔ no
battery;batere
battle axe;ɔko agyan
battle cry;ɔko nteɛm
Battle of Britain;Britain Ko a Wɔko
battle;ɔko
battlefield;ɔko mu
battlefront;ɔko anim
battlement;ɔko a wɔde di dwuma
battleship;ɔko hyɛn
bauble;bauble a wɔde yɛ nneɛma
bauxite;bauxite a wɔde yɛ nneɛma
Bavaria;Bavaria na ɛwɔ hɔ
Bavarian;Bavarian kasa mu
bavarois;bavaroisfoɔ
bawdy;bawdy na ɛyɛ
bay cat;bay cat
bay leaf;bay ahaban
Bay of Bengal;Bengal Po no Po so
Bay of Biscay;Biscay Po no ano
Bay of Pigs;Mprako Po so
bay window;bay mfɛnsere
bay;gyinabea
Bayesian;Bayesian kasa
bayonet;bayonet a wɔfrɛ no bayonet
bayou;bayou
bazaar;bazaar na ɛwɔ hɔ
BB cream;BB cream a wɔde yɛ aduru
BC;A.Y.B
BCG;BCG na ɛwɔ hɔ
be able to;betumi
be all about;yɛ ne nyinaa fa ho
be all ears;yɛ aso nyinaa
be born yesterday;wɔawo no nnɛra
be born;wɔawo no
be called;wɔbɛfrɛ no
be careful;hwɛ yie
be good for;yɛ papa ma
be in for;yɛ mu ma
be my guest;yɛ me hɔho
be off with you;wo ne wo nkɔ
be one;yɛ biako
be right back;san ba ntɛm ara
be silent;yɛ komm
be;yɛ
beach chair;mpoano nkongua
beach towel;mpoano mpopaho
beach volleyball;mpoano volleyball a wɔbɔ
beach;mpoano
beacon;kanea a wɔde yɛ kanea
bead;bead a ɛyɛ nhwiren
beagle;beagle a wɔfrɛ no beagle
beak;ano
beaked whale;beaked whale a ɔwɔ ano
beaker;beaker a wɔde yɛ nneɛma
beakhead;ano ti
beam;bum
bean goose;bean goose
bean sprout;bankye a ɛyɛ frɔmfrɔm
bean;bean
beaner;beaner a wɔde yɛ nneɛma
beanie;beanie a ɛyɛ fɛ
bear cub;asono ba
bear fruit;sow aba
bear hug;bear atuu
bear in mind;ma ɛntra w’adwenem
bear market;bear gua so
bear out;boasetɔ
bear;sisire
bearable;wotumi gyina ano
beard;abɔdwesɛ
bearded tit;tit a ɛwɔ abɔgyesɛ
bearded;abɔgyesɛ a ɛwɔ abɔgyesɛ
beardless;onni abɔgyesɛ
bearer;soafo
bearing;bɛɛren
bearish;bearish a ɛkɔ fam
beast of burden;aboa a ɔyɛ adesoa
beast;sisire
beat around the bush;bɔ kwae no ho hyia
beat to the punch;bɔ no kosi sɛ wobɛbɔ akuturuku
beat up;ɔhwee no
beat;hwe
beater;ɔhwefo
beatification;nhyira a wɔde ma
beatify;beatify
beating;ɔhwe a wɔhwe
Beatles;Beatles nnwontofo kuw
beatnik;beatnik a wɔde di dwuma
Beatrice;Beatrice na ɔkyerɛwee
Beauceron;Beauceron na ɔkyerɛwee
Beaufort scale;Beaufort nsenia a wɔde kyerɛ
beautician;afɛfɛde ho ɔbenfo
beautiful;fɛfɛɛfɛ
beautifully;fɛfɛɛfɛ
beautifulness;ahoɔfɛ
beautify;yɛ fɛ
beauty pageant;ahoɔfɛ akansi
beauty parlor;ahoɔfɛ dan
beauty;ahoɔfɛ
beaver;beaver a ɔyɛ ɔbarima
because of;esiane
because;ɛfiri
Bechuanaland;Bechuanaland na ɛwɔ hɔ
beckon;yɛ sɛnkyerɛnne
become;bɛyɛ
bed and breakfast;mpa ne anɔpaduan a wɔde ma
bed head;mpa ti
bed of roses;mpa a wɔde roses ayɛ
bed sheet;mpa so ntama
bed;mpa
bedbug;mpa so nwansena
bedclothes;mpa so ntade
bedding plane;mpa so wimhyɛn
bedevil;bedevil
bedlinen;mpa so ntama
bedouin;bedouinfo na wɔyɛ
bedridden;obi a ɔda mpa so
bedrock;abotan a ɛwɔ fam
bedroom community;mpa so mpɔtam hɔfo
bedroom;pea
bedsheet;mpa so ntama
bedspread;mpa so ntama a wɔde kata so
bedstead;mpa so a wɔde si hɔ
bedtime;ansa na wɔada
bedwetter;mpa so nsuo
bee sting;ntɛtea sting
bee-eater;ntɛtea-difo
bee;wowa
beech marten;beech a wɔfrɛ no marten a wɔfrɛ no beech
beech;beech a wɔfrɛ no beech
beef;nantwinam
beefcake;nantwinam keeki
beefsteak;nantwinam a wɔayam
beefy;nam a ɛyɛ nam
beehive;ntɛtea dan
beekeeper;ntɛtea sohwɛfo
beekeeping;ntɛtea a wɔyɛn wɔn
beeline;ntɛtea a wɔde yɛ ntɛtea
Beelzebub;Beelsebul
beer belly;beer yafunu
beer bong;beer bong a wɔde di dwuma
beer nut;beer nut a wɔde yɛ aduan
beer parlour;beer dan a wɔde yɛ beer
beer;biɛ
beeswax;ntɛtea a wɔde yɛ ntɛtea
beet;beet
Beethovenian;Beethoveniafo na ɔkyerɛwee
beetle;nwansena
beetroot;beetroot a wɔde yɛ aduru
before dark;ansa na esum adu
before;ansa na
beforehand;ansa na ɛreba
befuddle;befuddle
beg;srɛsrɛ ade
beget;awo
beggar;ɔsrɛsrɛfo
begin;hyɛ aseɛ
beginner;obi a ɔrefi ase
beginning;rehyɛ aseɛ
begonia;begonia
beguile;nnaadaa
beguine;beguine na ɛyɛ
behave;da suban adi
behavior;suban
behavioral crisis;suban mu ahokyere
behavioral;suban ho
behaviorism;suban ho adwene
behaviour;suban
behavioural science;suban ho nyansahu
behead;twa ne ti
beheading;ti a wotwa
behemoth;behemoth a wɔfrɛ no behemoth
behest;ahyɛde
behind bars;wɔ afiase akyi
behind closed doors;wɔ apon a wɔato mu akyi
behind the scenes;akyi
behind the times;wɔ mmere no akyi
behind time;bere akyi
behind;akyire
behold;hwɛ
beholden;beholden
beholder;ɔhwɛfo
behoove;behoove
beige;beige a ɛyɛ fɛ
beignet;beignet a ɛyɛ fɛ
Beijing;Beijing
being;reyɛ
Beirut;Beirut na ɛwɔ hɔ
bejewel;bejewel a ɛyɛ fɛ
Bel Paese;Bel Paese na ɔkyerɛwee
Belarus;Belarus na ɛwɔ hɔ
Belarusian;Belarus kasa
belated;belated
belaying pin;belaying pin a wɔde yɛ nneɛma
belch;belch a ɛyɛ belch
beleaguer;beleaguer a ɔde ne ho ahyɛ mu
beleaguered;wɔatwa wɔn ho ahyia
Belfast;Belfast na ɛwɔ hɔ
belfry;dɔn a wɔde bɔ nnwom
Belgian Congo;Belgiumfo a wɔyɛ Congo
Belgian Sheepdog;Belgiumfo Nguankraman
Belgian;Belgiumfo kasa
Belgium;Belgium na ɛwɔ hɔ
Belgorod;Belgorod na ɔkyerɛwee
Belgrade;Belgrade na ɛwɔ hɔ
belie;belie
belief;gyidie
believability;gyidi a wotumi gye di
believable;nea wobetumi agye adi
believe;gye di
believer;gyidini
Belisarius;Belisarius na ɔkyerɛwee
belittle;animtiaa
Belize City;Belize Kuropɔn
Belize;Belize
Belizean;Belizefo kasa
bell housing;dɔn a wɔde yɛ adwuma
bell pepper;ɛmo a wɔde yɛ dɔn
bell ringer;dɔn a wɔbɔ
bell the cat;dɔn a ɛyɛ ɔkraman
bell-bottoms;dɔn-a-ase
bell-gable;dɔn-gable a wɔde di dwuma
bell;dɔn
bellboy;bellboy a ɔyɛ ɔbarima
bellgirl;abeawa a ɔbɔ dɔn
bellicism;ɔko a wɔde di dwuma
bellicosity;ɔko a wɔde di dwuma
belligerent;ɔkofo a wɔyɛ akodi
bellow;bellow
bellows;bellows a ɛyɛ hu
bellwether;bellwether a ɛyɛ fɛ
belly dance;yafunu mu asaw
belly;afuro
bellyache;yafunu mu yaw
bellyacher;yafunu mu yafunu
Belmopan;Belmopan na ɔkyerɛwee
belong;ka ho
belonging;a ɛyɛ ne dea
beloved;ɔdɔfoɔ
below;aseɛ
belt;abɔsoɔ
beluga;beluga na ɛyɛ
belvedere;belvedere a wɔde yɛ adwuma
bemoan;di awerɛhow
bemol;bemol
bench press;bench press a wɔde tintim nhoma
bench;akonnwa
bend down;kotow fam
bend over backwards;kotow kɔ akyi
bend over;kotow wo ho
bend sinister;bend sinister a ɛyɛ hu
bend the truth;kotow nokware no
bend;koa
bendable;nea wotumi kotow
beneath;aseɛ
Benedict;Benedict na ɔkyerɛwee
Benedicta;Benedicta na ɔkyerɛwee
benefactive case;asɛm a mfaso wɔ so
benefactor;ɔyamyefo
beneficial;mfaso wɔ so
beneficiary;nea onya mu mfaso
benefit of the doubt;mfaso a ɛwɔ adwenem naayɛ no so
benefit;mfasoɔ
Benevento;Benevento na ɔkyerɛwee
benevolence;ayamye a wɔde ma
benevolent dictator;ɔman anidanfo a ɔyɛ ɔyamyefo
Bengal tiger;Bengal ɔsebɔ
Bengal;Bengal
Bengali;Bengali kasa mu
Benghazi;Benghazi na ɔkyerɛwee
benight;anadwo biara
benign;a ɛnyɛ bɔne
Benin;Benin
Beninese;Beninfo kasa
Benjamin;Benjamin
bent;bent
benthos;benthos a wɔde di dwuma
benzene;benzene a wɔde yɛ adwuma
benzoate;benzoate a wɔde hyɛ nipadua mu
benzofuran;benzofuran a wɔde di dwuma
benzoic acid;benzoic acid a wɔde yɛ aduru
benzoic;benzoic a wɔde di dwuma
benzol;benzol a wɔde di dwuma
benzoquinone;benzoquinone a wɔde di dwuma
benzphetamine;benzphetamine a wɔde yɛ nnuru
benzyl;benzyl a wɔde yɛ adwuma
benzylic;benzylic a wɔde yɛ aduru
Beowulf;Beowulf na ɔkyerɛwee
bequeath;agyapadeɛ
bequest;agyapade a wɔde ma
berate;kasatia
Berber;Berber kasa
bereave;awerɛhowdi
bereavement;awerɛhowdi
bereft;bereft
Berengar;Berengar na ɔkyerɛwee
beret;beret a wɔde yɛ adwuma
Bergamo;Bergamo na ɔkyerɛwee
beriberi;beriberi na ɛyɛ
Bering Sea;Bering Po no
Bering Strait;Bering Asubɔnten no
berkelium;berkelium a wɔfrɛ no berkelium
Berkshire;Berkshire na ɛwɔ hɔ
Berlin Wall;Berlin Ɔfasu
Berlin;Berlin
Berliner;Berliner na ɔkyerɛwee
Berlusconism;Berlusconsom a wɔde di dwuma
berm;berm
Bermuda shorts;Bermuda ntade tiaa
Bermuda;Bermuda na ɛwɔ hɔ
Bermudian;Bermudafo kasa
Bern;Bern na ɔkyerɛwee
Bernard;Bernard na ɔkyerɛwee
berry;berry
berserk;berserk
berth;berth a wɔde hyɛn mu
Bertha;Bertha na ɔkyerɛwee
Bertram;Bertram na ɔkyerɛwee
beryl;beryl a wɔfrɛ no beryl
beryllium oxide;beryllium oxide a wɔde yɛ aduru
beryllium;beryllium a wɔde yɛ aduru
beseech;srɛsrɛ
beset;beset
beside;ɛno akyi
besides;to nkyɛn
besiege;wɔaka wɔn ahyɛ
besotted;besotted a wɔde wɔn ho hyɛɛ mu
bespectacled;a wɔde ahwehwɛ ahwehwɛ ayɛ
Bessarabia;Bessarabia na ɛwɔ hɔ
best man;onipa a oye sen biara
best regards;mekyea wo
best;papa pa ara
bestial;mmoa a wɔyɛn wɔn
bestiality;mmoa a wɔde wɔn ho hyɛ mu
bestiary;bestiary a ɔyɛ ɔkraman
bestir;bestir
bestow;de ma
bestseller;nhoma a wɔtɔn no kɛse
bet;kyakyatow
beta wave;beta asorɔkye
beta;beta
betel bag;betel bag a wɔde kotoku ayɛ
betel nut;betel a wɔde yɛ aduan
betel palm;betel dua a wɔde yɛ nnuadewa
betel pepper;betel ɛmo a wɔde yɛ nneɛma
betel;betel
Bethesda;Betesda na ɔkyerɛwee
Bethlehem;Betlehem
betimes;ɛtɔ mmere bi a
betony;betony a wɔde yɛ adwuma
betray;yi ma
betrayer;ɔdemafo
betroth;ayeforohyia
betrothal;ayeforohyia ho nhyehyɛe
betrothed;wɔahyɛ no bɔ
better half;fã a eye sen saa
better;ɛyɛ
betterment;nkɔso a ɛba
bettor;obi a ɔbɔ kyakyatow
between jobs;nnwuma ntam
between;ntam
betwixt;ntam
beverage;anonneɛ
bevor;bevor
bevy;bevy
bewail;di awerɛhow
Bewick's swan;Bewick a ɔyɛ ɔkraman
bewilder;obi adwene tu fra
