s.e., s.e;e.g.
samogitia na ɛyɛ saa;Samogitia
samogitianfo a wɔyɛ saa;Samogitian
samosa a wɔde di dwuma;samosa
samovar;samovar
samoyedic kasa mu;Samoyedic
sampan;sampan
samphire (samphire) a wɔfrɛ no samphire;samphire
samson;Samson
samuel;Samuel
samufo;editor
samufo asɛm;editorial
samufo asɛm;editorialize
samufo mfoninitwa;editorial cartoon
samufo panyin;editor in chief
samuraifoɔ;samurai
san;return
san a wɔbɛsan agye;recapture
san akyi;reverse
san antonio na ɛwɔ hɔ;San Antonio
san ba bio;reappear
san ba ntɛm ara;be right back
san boaboa wɔn ho ano;regroup
san bom bio;reunite
san bra;come back
san bue bio;reopen
san bɔ ade bio;recreate
san bɔ bio;replay
san de di dwuma bio;recyclate
san de di dwuma bio;reuse
san di nkonim;reconquest
san diego na ɛwɔ hɔ;San Diegan
san fa bra;restore
san fa hyɛ mu bio;reinstall
san fa no bio;retake
san fi ase;recommence
san fi ase bio;restart
san francisco na ɛwɔ hɔ;San Francisco
san gye;reclaim
san hwɛ bio;rewatch
san hyehyɛ nneɛma foforo;reorganize
san hyehyɛ no foforo;rearrange
san hyɛ mu bio;reenter
san hyɛ mu bio;refill
san jose na ɛwɔ hɔ;San Jose
san josé na ɛwɔ hɔ;San José
san ka bio;retell
san ka ho asɛm bio;restate
san kenkan bio;reread
san kyekye;reconstruct
san kyekye bio;rebuild
san kyerɛ ase bio;reinterpret
san kyerɛw bio;rewrite
san kɔ;get back
san kɔ akyi;go back
san kɔ akyi;revert
san kɔ akyi;rewind
san kɔ akyiri;recurve
san kɔ hɔ wɔ;get back at
san kɔ soro;back up
san kɔ wɔn man mu;repatriate
san luis potosí na ɔkyerɛwee;San Luis Potosí
san marino na ɛwɔ hɔ;San Marino
san melchor betaza na ɔkyerɛwee;San Melchor Betaza
san mu;tick
san nya nkwa bio;revive
san paw no bio;reelect
san salvador na ɛwɔ hɔ;San Salvador
san sebastián na ɔkyerɛwee;San Sebastián
san si akan bio;recompete
san si so dua bio;reiterate
san siesie no bio;re-edit
san siesie wo ho;readjust
san susuw ho bio;reconsider
san susuw ho bio;rethink
san tete wo ho bio;retrain
san tintim no bio;reprint
san tra ase bio;relive
san tua bra;refund
san twetwe;redraw
san tɔn bio;resell
san w'akyi;retreat
san w’akyi;back off
san w’akyi;backtrack
san w’akyi fi adi;back out
san yɛ adwuma bio;reactivate
san yɛ bio;redo
san yɛ hyew bio;reheat
san yɛ nneɛma foforo;reinvent
san yɛ ntwahonan no foforo;reinvent the wheel
san yɛ paint bio;repaint
sana'a;Sana'a
sanation a wɔde yɛ adwuma;sanation
sanba a wɔsan ba;comeback
sanba a wɔsan de ma;restoration
sanba a ɛsan ba;relapse
sanction a wɔde ma;sanction
sandalwood dua a wɔde yɛ;sandalwood
sandboarding a wɔde yɛ adwuma;sandboarding
sander a wɔde yɛ sander;sander
sanderling a wɔfrɛ no sanderling;sanderling
sandhi;sandhi
sandinista na ɔkyerɛwee;Sandinista
sandpaper a wɔde yɛ adwuma;sandpaper
sandpiper a wɔfrɛ no sandpiper;sandpiper
sandwich;sandwich
sane;sane
sangria;sangria
sanguine a ɛyɛ den;sanguine
sanguinolent a ɛma mogya tu;sanguinolent
sanitize a wɔde hyɛ mu;sanitize
sanku a wɔbɔ;cymbal
sanku a wɔbɔ;drum
sanku a wɔbɔ;flute
sanku a wɔbɔ;harp
sanku a wɔde bɔ nnwom;drum kit
sanku a wɔde bɔ nnwom;drumstick
sanku a wɔde bɔ nnwom;fiddlesticks
sanku a wɔde bɔ nnwom;harpsichord
sanku a wɔde bɔ nnwom;tambourine
sanku a wɔde hama abɔ;stringed instrument
sanku a wɔde sɛn hɔ;suspended cymbal
sanku a ɛto so abien;second fiddle
sanku ne bass a wɔbɔ;drum and bass
sanku nsɔano;harp seal
sankubɔ;fiddle
sankubɔ a wɔbɔ;drumbeat
sankubɔfo;drummer
sankubɔfo;guitarist
sankubɔfo;harpist
sankubɔfo;violinist
sankubɔfo a ɔbɔ nnwom;instrumentalist
sankubɔfo a ɔbɔ sanku;harpsichordist
sankubɔfo a ɔbɔ sanku;saxophonist
sankɔhwɛ;rehearsal
sanskrit;Sanskrit
santa claus na ɔkyerɛwee;Santa Claus
santa fe na ɛwɔ hɔ;Santa Fe
santa fé;Santa Fé
santiago;Santiago
santiam nnuaba;Santiam berry
santo domingo na ɔkyerɛwee;Santo Domingo
santonianfo na wɔte saa;Santonian
saola;saola
sap;sap
saphism a wɔde di dwuma;sapphism
sapodilla a wɔfrɛ no sapodilla;sapodilla
saponify;saponify
saponin a wɔde di dwuma;saponin
sapper;sapper
sapphic na ɔkyerɛwee;Sapphic
sappho na ɔkyerɛwee;Sappho
sapporo na ɔkyerɛwee;Sapporo
saprofyte a wɔde yɛ aduru;saprophyte
saprophytic a wɔde yɛ aduru;saprophytic
sapsucker a ɔnom nsuo;sapsucker
sapɔ;net
saracenfo na ɔkyerɛwee;Saracen
saragossan na ɔkyerɛwee;Saragossan
saraguro na ɔkyerɛwee;Saraguro
sarah;Sarah
sarai;Sarai
sarajevan na ɔkyerɛwee;Sarajevan
saratov na ɔkyerɛwee;Saratov
sarcocarp a wɔfrɛ no sarcocarp;sarcocarp
sarcoma a ɛma obi ho kyere no;sarcoma
sarcomere a wɔfrɛ no sarcomere;sarcomere
sarcophagus a wɔde hyɛ nipadua mu;sarcophagus
sardine a wɔde yɛ nneɛma;sardine
sardinia kasa;Sardinian
sardinia na ɛwɔ hɔ;Sardinia
sardonic a wɔde di dwuma;sardonic
sare a etwa to;last straw
sare a wɔaboaboa ano;haystack
sare a wɔde yɛ jelly;grass jelly
sare a wɔnom;drinking straw
sare a ɛyɛ fɛ;grassy
sare atɛkyɛ pɔnkɔ;grass mud horse
sare kunafo;grass widow
sare so;wilderness
sare so asase;grassland
sare ɔwɔ;grass snake
sargon na ɔkyerɛwee;Sargon
sari;sari
sarin;sarin
sarkozy na ɔkyerɛwee;Sarkozy
sarmentose a wɔfrɛ no sarmentose;sarmentose
sarong;sarong
sars;SARS
sarsaparilla na ɛyɛ;sarsaparilla
sartorial a wɔde di dwuma;sartorial
sartorius a wɔfrɛ no sartorius;sartorius
sash;sash
sashimi;sashimi
saskatchewan na ɛwɔ hɔ;Saskatchewan
sasquatch a wɔde hyɛ obi nsa;sasquatch
sass;sass
sassafras na ɛyɛ;sassafras
satan;Satan
satan de;satanic
satansom;Satanism
satay;satay
satchel a wɔde hyɛ mu;satchel
sate;sate
sateen;sateen
satellite dish a wɔde di dwuma;satellite dish
satellite kurow no;satellite town
satellite so;satellite
satiate;satiate
satin a wɔde satin;satin
satrap na ɔyɛ;satrap
saturate a ɛyɛ den;saturate
saturation a ɛyɛ den;saturation
saturn a wɔfrɛ no saturn;Saturn
saturnal a ɛyɛ saturnal;saturnal
saturnine a wɔde yɛ nneɛma;saturnine
satyr a ɛyɛ satyr;satyr
satyriasis a ɛma obi nya satyriasis;satyriasis
sauce a wɔde yɛ aduan;sauce
sauce a ɛyɛ hyew;hot sauce
saucepan a wɔde yɛ aduan;saucepan
saucer a wɔde yɛ saucer;saucer
saudi arabia kasa mu;Saudi Arabian
saudi arabia na ɛwɔ hɔ;Saudi Arabia
saudifoɔ;Saudi
sauerkraut a wɔde yɛ aduan;sauerkraut
saul;Saul
sauna;sauna
saunter a wɔde di dwuma;saunter
sauté na ɛyɛ;sauté
savanna;savanna
savoy na ɔkyerɛwee;Savoy
savvy;savvy
saw set;saw set
sawa;kidney
sawdust a wɔde sawdust;sawdust
sawhhorse a wɔfrɛ no sawhhorse;sawhorse
sawm;sawm
saxifrage a wɔfrɛ no saxifrage;saxifrage
saxonfo a wɔba fam;Low Saxon
saxonfo kasa;Saxon
saxony a ɛwɔ fam;Lower Saxony
saxony na ɛwɔ hɔ;Saxony
saxophone a wɔde bɔ nnwom;saxophone
saône na ɔkyerɛwee;Saône
scabbard a wɔde hyɛ nipadua mu;scabbard
scaffold a wɔde yɛ nneɛma;scaffold
scaffolding a wɔde yɛ nneɛma;scaffolding
scalability a wɔde yɛ adwuma;scalability
scalable a wotumi sesa;scalable
scalar a ɛyɛ scalar;scalar
scald a ɛyɛ hyew;scald
scalene a wɔde yɛ nneɛma;scalene
scalesia a ɛyɛ mmerɛw;scalesia
scallion a wɔfrɛ no scallion;scallion
scallop a wɔfrɛ no scallop;scallop
scalpel a wɔde hyɛ nipadua mu;scalpel
scalper a ɔyɛ ɔbarima;scalper
scamper a wɔde tu mmirika;scamper
scan (scan) a wɔde yɛ adwuma;scan
scandinavia na ɛwɔ hɔ;Scandinavia
scandinaviafo kasa;Scandinavian
scandium a ɛyɛ hu;scandium
scania na ɛwɔ hɔ;Scania
scanlation a wɔde yɛ nneɛma;scanlation
scanner a wɔde yɛ nneɛma;scanner
scapular a ɛwɔ nipadua no mu;scapular
scarab a ɛyɛ scarab;scarab
scare asɛm a wɔafa aka;scare quote
scarecrow a ɛyɛ hu;scarecrow
scart na ɛyɛ scart;SCART
scathe a ɛyɛ hu;scathe
scaup kɛse;greater scaup
scavenger a ɔsɛe nneɛma;scavenger
scheherazade na ɔkyerɛwee;Scheherazade
scheldt na ɔkyerɛwee;Scheldt
schematic a wɔde ayɛ nhyehyɛe;schematic
schengen mpɔtam hɔ;Schengen Area
schilling a wɔde kyerɛkyerɛ nneɛma mu;schilling
schist a ɛyɛ mmerɛw;schist
schistosomiasis a ɛma obi ho kyere no;schistosomiasis
schizoaffective a ɛma obi yɛ ade tra so;schizoaffective
schlemm asubɔnten no;Schlemm's canal
schleswig-holstein na ɔkyerɛwee;Schleswig-Holstein
schnitzel na ɔkyerɛwee;schnitzel
schnozzle;schnozzle
schooner a wɔde fa nsu mu;schooner
schrödinger a ɔyɛ ɔkraman;Schrödinger's cat
schwa;schwa
sciatic ntini a ɛma obi ho yɛ hyew;sciatic nerve
scimitar a wɔde kyerɛw nsɛm;scimitar
scion a ɛyɛ scion;scion
scissoring a wɔde twitwiw nneɛma;scissoring
sclerenchyma a ɛma obi ho yɛ hyew;sclerenchyma
scleroderma a ɛyɛ mmerɛw;scleroderma
scoliosis a ɛma obi ho kyere no;scoliosis
sconce a ɛyɛ fɛ;sconce
scone;scone
scoop a wɔde hyɛ mu;scoop
scorch a ɛyɛ hyew;scorch
score off;score off
scorpio a ɛwɔ hɔ;Scorpio
scorpius a wɔfrɛ no scorpius;Scorpius
scot-free na ɛnyɛ adwuma;scot-free
scotch nsa a wɔde yɛ adwuma;Scotch hands
scoter a wɔde di dwuma;scoter
scotland;Scotland
scotland ahemman no;Kingdom of Scotland
scotland asɔre no;Church of Scotland
scotland kasa;Scottish
scotland yard na ɛwɔ hɔ;Scotland Yard
scotlandfo;Scots
scotlandfo deerhound a wɔfrɛ wɔn deerhound;Scottish Deerhound
scotlandfo gaelic kasa;Scottish Gaelic
scotlandni;Scot
scotlandni;Scotsman
scotlandni bea bi;Scotswoman
scouring pad a wɔde hwehwɛ nneɛma mu;scouring pad
scouting a wɔyɛ;scouting
scrabble a wɔde kyerɛw nsɛm;Scrabble
scram a ɛyɛ scram;scram
scramble a wɔde di dwuma;scramble
scrape a wɔde twitwiw nneɛma;scrape
scrape bom;scrape together
scrapie a wɔde hyɛ nipadua mu;scrapie
scrapyard a wɔde nneɛma gu mu;scrapyard
scratching post a wɔde twitwiw nneɛma;scratching post
scrawl a wɔde kyerɛw nsɛm;scrawl
scree;scree
screech ɔkraman;screech owl
screed a wɔde hyɛ mu;screed
screen a wɔde tintim nhoma;screen printing
screen ketewa bi;small screen
screen kɛse bi;big screen
screenplay a wɔde kyerɛw nsɛm;screenplay
screensaver a wɔde kyerɛw nsɛm;screensaver
screenshot a wɔde kyerɛw nsɛm;screenshot
screw asaawa a wɔde hyɛ mu;screw thread
screw wo;screw you
scrofula a wɔde kyerɛw nsɛm;scrofula
scroll bar no;scroll bar
scrooge a wɔfrɛ no scrooge;scrooge
scrotum a ɛwɔ awotwaa mu;scrotum
scrounge a ɛyɛ den;scrounge
scrub a wɔde hyɛ mu;scrub
scruff a wɔde yɛ nneɛma;scruff
scruffy a ɛyɛ fɛ;scruffy
scry;scry
scuba a wɔde wɔn ho hyɛ mu;scuba diving
scuff a wɔde twitwiw nneɛma;scuff
scull a ɛwɔ nipadua no mu;scull
sculpin a ɛyɛ fɛ;sculpin
scum a ɛyɛ fĩ;scum
scupper a wɔde yɛ nneɛma;scupper
scurvy a ɛyɛ mmerɛw;scurvy
scuttle a ɛyɛ hu;scuttle
scylla na ɔkyerɛwee;Scylla
scythia na ɔkyerɛwee;Scythia
se;tooth
seagull a wɔfrɛ no seagull;seagull
sealand a ɛwɔ hɔ;Sealand
seam a wɔde ahyɛ mu;seam
sear;sear
seasoned;seasoned
sebaceous gland a ɛwɔ nipadua no mu;sebaceous gland
sebastian na ɔkyerɛwee;Sebastian
sebedeo;Zebedee
seborrhea a ɛma mogya tu;seborrhea
sebulon;Zebulun
sebum a ɛyɛ srade;sebum
sebɔ;tiger
secant a wɔde di dwuma;secant
secondment a wɔde ma;secondment
sector no mu;sector
sectoral mu;sectoral
sedan a wɔde di dwuma;sedan
sedge;sedge
sedoheptulose a ɛma nipadua no yɛ adwuma;sedoheptulose
seedy;seedy
seep;seep
seesaw;seesaw
seesei;now
seesei ara;right now
seesei ara yi;currently
seethe;seethe
sefania;Zephaniah
segorbe na ɔkyerɛwee;Segorbe
segovia na ɛwɔ hɔ;Segovia
segue;segue
sei whale a wɔfrɛ no whale;sei whale
seine na ɔkyerɛwee;Seine
seitan;seitan
seize up;seize up
sekan;knife
sekan;sword
sekan a wɔde abɔ mu;knife pleat
sekan a wɔde bɔ n’akyi;stab in the back
sekan a wɔde bɔ obi;stab wound
sekuni;gossip
sekɛɛte;skirt
selangor na ɔkyerɛwee;Selangor
selen- .;selen-
selena na ɔkyerɛwee;Selena
selene na ɔkyerɛwee;Selene
selenide a wɔde yɛ nneɛma;selenide
selenium a wɔde yɛ nneɛma;selenium
selenographic a wɔde kyerɛw nsɛm;selenographic
selenography a wɔde kyerɛw nsɛm;selenography
selenologist ho ɔbenfo;selenologist
selenology ho adesua;selenology
seleucia na ɔkyerɛwee;Seleucia
seleucus na ɔkyerɛwee;Seleucus
selfie a wobɛfa;selfie
selfie dua a wɔde yɛ adwuma;selfie stick
sell-by date a wɔde bɛtɔn;sell-by date
selma na ɔkyerɛwee;Selma
selvage a wɔde di dwuma;selvage
sem;Shem
semaphore a wɔde kyerɛw nsɛm;semaphore
semfo kasa;Semitic
semi- .;semi-
semi-colony a ɛwɔ hɔ;semi-colony
semi-deponent a ɔde ne ho to so;semi-deponent
semi-postal stamp a wɔde di dwuma;semi-postal stamp
semi-trailer a wɔde fa nnipa;semi-trailer
semibreve a ɛyɛ fã bi;semibreve
semiconductor a ɛyɛ adwuma;semiconductor
semifinal no mu;semifinal
semiirural na ɛyɛ;semirural
seminal;seminal
seminal vesicle a ɛyɛ mmerɛw;seminal vesicle
seminaristfoɔ;seminarist
seminiferous a ɛwɔ hɔ;seminiferous
semiologist ho ɔbenfo;semiologist
semiology ho adesua;semiology
semiprime a ɛyɛ den;semiprime
semiquaver a ɛyɛ fã bi;semiquaver
semis na ɛyɛ;semis
semitefoɔ;Semite
semitransparent a ɛyɛ nea ɛyɛ mmerɛw;semitransparent
semla;semla
semolina a wɔfrɛ no semolina;semolina
semolina pudding a wɔde yɛ aduan;semolina pudding
semɛnte a wɔde ayɛ;cement
semɛnte a wɔde fra nneɛma;cement mixer
senarius a wɔfrɛ no senarius;senarius
sene;than
seneca na ɔkyerɛwee;Seneca
senegal;Senegal
senegalfo kasa;Senegalese
seneschal a wɔde di dwuma;seneschal
seneschalship a wɔde di dwuma;seneschalship
senile;senile
senkaku nsupɔw so;Senkaku Islands
sensei;sensei
sensor;sensor
sentry-adaka a wɔde di dwuma;sentry-box
senyera na ɔkyerɛwee;Senyera
seoul na ɛwɔ hɔ;Seoul
seoulite na ɛwɔ hɔ;Seoulite
sepal a ɛyɛ sepal;sepal
sephardifo na ɔkyerɛwee;Sephardi
sepia a ɛyɛ sepia;sepia
sepoy;sepoy
sepsis a ɛma obi nya ɔyare mmoawa;sepsis
septet;septet
septic a wɔde gu nsu mu;septic
septicemia a ɛma mogya tu;septicemia
septillion a ɛwɔ nipadua no mu;septillion
septuagint nhoma no;Septuagint
septum a ɛwɔ nipadua no mu;septum
sequencer a wɔde di dwuma;sequencer
sequester a wɔde wɔn ho hyɛ mu;sequester
sequin a wɔde yɛ nneɛma;sequin
sequoia a ɛyɛ sequoia;sequoia
serac;serac
seraglio;seraglio
seraph;seraph
seraphina na ɔkyerɛwee;Seraphina
serb kasa mu;Serb
serbia kasa;Serbian
serbia na ɛwɔ hɔ;Serbia
serbo-croatia kasa;Serbo-Croatian
serbophile a ɔyɛ ɔbarima;Serbophile
sere;funny
sere;laugh
sere;sere
sere;tease
sereba;silver
serenade a wɔde bɔ nnwom;serenade
serendipity a ɛyɛ mmerɛw;serendipity
serew a wɔde serew;laughing stock
serew a ɛyɛ serew;laughable
serew a ɛyɛ serew;smiley
serew a ɛyɛ serew;smirk
serew kookaburra;laughing kookaburra
serew obi ti fi so;laugh one's head off
serew-aniwa;laughing-eyed
serewee;chuckle
serewee;giggle
serewee;grin
sereɛ;cheer
sereɛ;laughter
sergius na ɔkyerɛwee;Sergius
serif;serif
serin;serin
serine a wɔfrɛ no serine;serine
seropositive a ɛwɔ nipadua no mu;seropositive
serotonin a wɔde di dwuma;serotonin
serpens na ɔyɛ;Serpens
serpentinite a wɔde yɛ adwuma;serpentinite
serpukhovian kasa mu;Serpukhovian
serravallian na ɔkyerɛwee;Serravallian
serubabel;Zerubbabel
serum a wɔde hyɛ nipadua mu;serum
server no;server
servomechanism a wɔde yɛ adwuma;servomechanism
serɛ;lap
serɛ;thigh
sesa;change
sesa;exchange
sesa;swap
sesa adwene;convince
sesa akyide;change aversion
sesa kɔ;convert
sesa mu;amend
sesa mu;emend
sesa mu;modify
sesa nsa;change hands
sesa obi adwene;change one's mind
sesa osuani;exchange student
sesame a wɔabue mu;open sesame
sesame a wɔde yɛ nneɛma;sesame
sesame ngo a wɔde yɛ;sesame oil
seseɛ;hut
sesquilingualism a wɔde di dwuma;sesquilingualism
sesquioxide a wɔde yɛ aduru;sesquioxide
sessile a ɛnyɛ hwee;sessile
sestertius a wɔfrɛ no sestertius;sestertius
sestɛm;system
set a hwee nni mu;empty set
set a wotumi kan;countable set
set ahinanan;set square
set kasasin;set phrase
set on;set on
set store denam;set store by
set theory a wɔde besisi hɔ;set theory
sett;sett
settee;settee
settlement a wɔde siesie nneɛma;settlement
sevan trout a wɔfrɛ no trout;Sevan trout
sevastopol na ɛwɔ hɔ;Sevastopol
sever;sever
sevillafo na wɔkyerɛwee;Sevillan
seville na ɔkyerɛwee;Seville
sevillian na ɔyɛ ɔbarima;Sevillian
sewaa;aunt
sextanfo a wɔyɛ wɔn ho sɛ;Sextans
sextant a wɔde hyɛ nipadua mu;sextant
sextet a wɔde kyerɛw nsɛm;sextet
sextillion a ɛyɛ ɔbarima ne ɔbea nna;sextillion
sexting a wɔde mena;sexting
sexton na ɔkyerɛwee;sexton
sexy;sexy
seychelles na ɛwɔ hɔ;Seychelles
seychelloisfoɔ na wɔte saa;Seychellois
señorita;señorita
sgraffito a wɔde kyerɛw nsɛm;sgraffito
shabby;shabby
shack;shack
shad;shad
shaft no;shaft
shag;shag
shaggy a ɛyɛ fɛ;shaggy
shah;shah
shahada na ɛyɛ;shahada
shakespeare na ɔkyerɛwee;Shakespeare
shakespeare na ɔkyerɛwee;Shakespearean
shakespeare sonnet a ɔkyerɛwee;Shakespearean sonnet
shale a wɔde yɛ nneɛma;shale
shale gas a wɔde yɛ nneɛma;shale gas
shallot a wɔfrɛ no shallot;shallot
shalom;shalom
shaman a ɔyɛ ɔkraman;shaman
shamanism a wɔde di dwuma;shamanism
shamble;shamble
shambles a ɛyɛ hu;shambles
shampoo a wɔde hyɛ nipadua mu;shampoo
shamrock a wɔde yɛ nneɛma;shamrock
shandy na ɛyɛ;shandy
shanghai;shanghai
shank;shank
shanks’ apɔnkɔ;shanks' mare
shanks’ pɔnkɔ;shanks' pony
shanty a ɛwɔ hɔ;shanty
shanzhai na ɛyɛ;shanzhai
shape-shifter a ɛsakra nneɛma;shape-shifter
sharashka na ɛyɛ;sharashka
shard;shard
shari'a;shari'a
shark a wɔfrɛ no shark;shark
shark fin soup a wɔde yɛ aduan;shark fin soup
shark ntua;shark attack
shashlik na ɛyɛ;shashlik
shaver a wɔde yiyi ti;shaver
shawarma na ɛyɛ;shawarma
shawl a wɔde hyɛ mu;shawl
shawm;shawm
she-cat;she-cat
shea;shea
shea bɔta a wɔde yɛ nneɛma;shea butter
sheaf;sheaf
shear a wɔde twitwiw nneɛma;shear
shears a wɔde twitwiw nneɛma;shears
sheath a wɔde ahyɛ mu;sheath
sheathe a wɔde ahyɛ mu;sheathe
sheave a wɔde ahyɛ mu;sheave
sheen;sheen
sheer;sheer
sheik;sheik
sheinwoodian na ɔkyerɛwee;Sheinwoodian
shelduck a wɔfrɛ no shelduck;shelduck
shelduck a ɛyɛ kɔkɔɔ;ruddy shelduck
shellac a wɔfrɛ no shellac;shellac
shenanigans a wɔde di dwuma;shenanigans
shenzhen na ɔkyerɛwee;Shenzhen
sheqel;sheqel
sherbet a wɔde yɛ nneɛma;sherbet
sheremetyevo na ɔkyerɛwee;Sheremetyevo
sheriff a ɔyɛ ɔmansin sohwɛfo;sheriff
sherpa na ɔkyerɛwee;Sherpa
sherry a wɔfrɛ no sherry;sherry
shetland nsupɔw so;Shetland Islands
shh;shh
shi'afoɔ;Shi'a
shibboleth a wɔde yɛ adwuma;shibboleth
shift safoa no;shift key
shiitake na ɛyɛ;shiitake
shikimic acid a wɔde yɛ aduru;shikimic acid
shiksa;shiksa
shill;shill
shilling;shilling
shin;shin
shin pad;shin pad
shin splint a wɔde hyɛ nipadua no mu;shin splint
shinbone;shinbone
shingle a ɛyɛ shingle;shingle
shingles a ɛyɛ mmerɛw;shingles
shintofo a wɔyɛɛ saa;Shinto
shintosomfo;Shintoist
shiraz na ɔkyerɛwee;Shiraz
shire na ɛwɔ hɔ;shire
shirk;shirk
shirker a ɔyɛ ɔbarima;shirker
shirt anim;shirtfront
shit;shit
shit adwumayɛbea;shit factory
shit kronkron;holy shit
shit-for-amemene ahorow;shit-for-brains
shitass a ɛyɛ den;shitass
shithead a ɛyɛ den;shithead
shitload a wɔde hyɛ mu;shitload
shitton a ɛyɛ den;shitton
shitty;shitty
shoal;shoal
shoddy a ɛyɛ fɛ;shoddy
shofar a wɔde di dwuma;shofar
shogun;shogun
shogunate a wɔde di dwuma;shogunate
shoo;shoo
shortstop a wɔde gyina hɔ;shortstop
shoshone na ɔkyerɛwee;Shoshone
shota na ɔkyerɛwee;Shota
shove a wɔde hyɛ obi so;shove
shovel a wɔde hyɛ mu;shovel
shoveler a ɔde ne ho hyɛ mu;shoveler
