a bit much;kakra pii
abecedary;abecedary a wɔde di dwuma
abed;abed
Abel;Habel
Abelard;Abelard na ɔkyerɛwee
abele;abele
abelian group;abelian kuw bi
abelian;abelian, a ɛyɛ abɛka
abelmosk;abelmosk a wɔde yɛ adwuma
aberrance;aberrance a ɛyɛ nea ɛnteɛ
aberrant;aberrant a ɛyɛ nea ɛnteɛ
aberration;aberration a ɛtwetwe adwene
abessive case;abessive asɛm no
abet;abet
abettor;ɔboafoɔ
abeyance;abeyance a wɔde gyina hɔ
abhor;akyide
abhorrence;akyide
abhorrent;akyide
abide by;di so
abide;di so
Abidjan;Abidjan na ɔkyerɛwee
Abigail;Abigail
abigeat;abigeat a wɔde di dwuma
ability;tumi
Abimelech;Abimelek
abiogenesis;abiogenesis a ɛma nipadua no yɛ adwuma
abiotic;abiotic a ɛnyɛ nkwaboaa
abiu;abiu
abjad;abjad a wɔde di dwuma
abject;animtiaabu
abjectly;wɔ ɔkwan a ɛyɛ animtiaabu so
abjure;abjure asɛm
Abkhaz;Abkhaz kasa mu
Abkhazia;Abkhasiafo na wɔte saa
ablation;ablation a wɔde yi nipadua no
ablative case;ablative asɛm no
ablaut;ablaut a wɔde di dwuma
ablaze;ogya a ɛrehyew
able;tumi
ablution;ablution a wɔde twitwiw nipadua no
ably;ahokokwaw mu
abnegate;abnegate ho asɛm
abnegation;abnegation a wɔde ma
abnormal;a ɛnyɛ ne kwan so
abnormality;a ɛnyɛ ne kwan so
abnormally;wɔ ɔkwan a ɛnteɛ so
aboard;wɔ hyɛn no mu
abode;tenabea
abolish;yi fi hɔ
abolishment;a wɔayi afi hɔ
abolition;a wɔayi afi hɔ
abolitionism;abolitionism a wɔde di dwuma
abolitionist;obi a ɔpɛ sɛ wotu nneɛma ase
abomasum;abomasum (abomasum) a ɛwɔ hɔ
abominable snowman;sukyerɛmma nipa a ɔyɛ akyide
abominable;akyide
abominably;abominably
abominate;akyide
abomination;akyide
aboriginal;aborɔfo a wɔyɛ aborɔfo
aborigine;aboriginefo a wɔyɛ aboriginefo
abort;twa nyinsɛn gu
aborted;wɔayi nyinsɛn agu
abortifacient;aduru a ɛma nyinsɛn gu
abortion;nyinsɛn a woyi gu
abortional;nyinsɛn a woyi gu
abortive;nyinsɛn a woyi gu
abound;abu so
about time;ɛfa bere ho
about to;ɛreyɛ adu sɛ
about-face;about-face ho asɛm
about;fa ho
above all;nea ɛsen ne nyinaa
above the curve;wɔ curve no atifi
above the law;a ɛboro mmara no so
above;boro so
abracadabra;abracadabra a ɛyɛ abrannaa
abrade;abrade a wɔde twitwiw nneɛma
Abraham;Abraham
Abram;Abram
abrasion;abrasion a wɔde twitwiw nneɛma
abrasive;abrasive a ɛyɛ abrasive
abrasively;abrasively na ɛyɛ adwuma
abreast;abreast a wɔde wɔn ho ahyɛ mu
abridge;tiawa
abridged;wɔatwa no tiawa
abroad;aburokyire
abrogable;a wotumi twa mu
abrogate;twa mu
abrupt;mpofirim
abruptly;mpofirim ara
Abruzzo;Abruzzo na ɔkyerɛwee
Absalom;Absalom
abscess;abscess a ɛyɛ akisikuru
abscissa;abscissa (abscissa) a ɛwɔ nipadua no mu
abscission;abscission a wɔde hyɛ nipadua no mu
abscond;guan kɔ
absence;nni hɔ
absent-minded;adwene a enni hɔ
absent;amma
absentee;obi a onni hɔ
absinthe;absinthe a wɔde yɛ adwuma
absinthin;absinthin a wɔde di dwuma
absolute monarchy;ahemman a edi mũ koraa
absolute pressure;nhyɛso a edi mũ
absolute superlative;nea ɛboro so koraa
absolute value;bo a ɛsom koraa
absolute zero;zero koraa
absolute;koraa
absolutely;pɛpɛɛpɛ
absolution;bɔne fafiri
absolutist;absolutist a ɔyɛ biribiara
absolutive case;asɛm a ɛyɛ pɛpɛɛpɛ
absolve;fa obi bem
absorb;twe
absorbed;a wɔagye atom
absorbency;absorbency a ɛtwetwe nsu
absorbent;nea ɛtwetwe nsu
absorbing;a ɛtwetwe nneɛma
absorption;absorption a wɔde twetwe nneɛma
abstain;twe wo ho fi ho
abstainer;obi a ɔtwe ne ho fi ho
abstemious;abstemious a wɔtwe wɔn ho fi ho
abstention;a wɔmfa wɔn ho nhyɛ mu
abstergent;a wɔmfa wɔn ho nhyɛ mu
abstersion;abstersion a wɔde wɔn ho hyɛ mu
abstersive;a wɔde wɔn ho hyɛ mu
abstinence;twe a wɔtwe wɔn ho fi ho
abstinent;a wɔtwe wɔn ho fi ho
abstract noun;edin a enni adwene
abstract of title;abstract a ɛfa asɛmti ho
abstract;nhyɛnmu
abstraction;abstraction a wɔde yɛ nneɛma
abstractionism;abstractionism a wɔde di dwuma wɔ ɔkwan a ɛyɛ nwonwa so
abstractionist;obi a ɔyɛ abstractionist
abstruse;abstruse a ɛnyɛ nokware
absurd;abufuo
absurdism;nsɛm a ntease nnim
absurdity;ntease nnim
Abu Dhabi;Abu Dhabi
Abuja;Abuja
abulia;abulia
abulic;abulic
abundance;dɔɔso boro so
abundant number;dodow a ɛdɔɔso
abundant;ne dodoɔ mu
abundantly;pii
Abundius;Abundius na ɔkyerɛwee
abuse;teetee
abuser;ayayadefo
abusive;ayayade a wɔde di dwuma
abut;abut
abutment;abutment a wɔde hyɛ mu
abysmal;abysmal a ɛyɛ hu
abyss;bun mu
abyssal;abyssal a ɛwɔ hɔ
Abyssinia;Abyssinia na ɛwɔ hɔ
Abyssinian;Abyssiniafo a wɔyɛ adwuma wɔ hɔ
abzyme;abzyme a wɔde hyɛ nipadua mu
AC;AC
acacia;akacia a wɔfrɛ no acacia
academic institution;adesua asoɛe
academic;adesua mu
academically;wɔ nhomasua mu
academician;nhomasua ho ɔbenfo
academy;adesuadan mu
Acadian;Acadian kasa
acalycine;acalycine a wɔde yɛ aduru
acanthaceous;acanthaceous a ɛyɛ aduru a wɔfrɛ no acanthaceous
acanthus;acanthus a wɔfrɛ no acanthus
acarbose;acarbose a ɛyɛ den
acarophobia;acarophobia a ɛyɛ hu
acarpous;acarpous a ɛyɛ den
acaulescent;acaulescent a ɛyɛ mmerɛw
accede;gye tom
accelerate;yɛ ntɛmntɛm
acceleration;ahoɔhare a wɔde yɛ adwuma
accelerator;accelerator a ɛma nneɛma yɛ ntɛmntɛm
accelerometer;accelerometer a wɔde kyerɛ sɛnea nneɛma te
accent;ɛnne
accentor;accentor a wɔde hyɛ mu
accentuate;si so dua
accept service;gye ɔsom tom
accept;gye to mu
acceptability;gye a wogye tom
acceptable;wogye tom
acceptance;gye a wogye tom
acceptor;nea ogye tom
access code;kwan a wɔfa so kɔ hɔ
access;kwan
accessibility;sɛnea wobetumi akɔ hɔ
accessible;a wobetumi anya bi
accession;a wɔde wɔn ho hyɛ mu
accessory fruit;nnuaba a wɔde boa
accessory;ade a wɔde boa
accident;akwanhyia
accidental;akwanhyia mu
accidentally;wɔ akwanhyia mu
acclaim;nkamfo a wɔde ma
acclamation;nkamfo a wɔde ma
acclimate;acclimate a ɛyɛ nea ɛfata
acclimatization;tebea a ɛma obi yɛ ade tra so
acclimatize;ma wo tebea no yɛ nea ɛfata
accolade;nkamfo a wɔde ma
accommodate;agye ahɔho
accommodation;da berɛ
accompaniment;a wɔde ka ho
accompanist;obi a ɔka ne ho
accompany;ka ho
accomplice;ɔyɔnkofo
accomplish;di nkunim
accomplished;adi nkunim
accomplishment;nea wɔatumi ayɛ
accord;apam
accordance;sɛnea ɛte no
according to;sɛnea ɛte no
accordingly;sɛnea ɛte no
accordion;accordion a wɔde yɛ accordion
accordionist;accordion a ɔbɔ nnwom
accoucheur;accoucheur a wɔde kyerɛw nsɛm
account book;akontaabu nhoma
account to;akontaabu to
account;akawnso
accountability;akontaabu a wɔde ma
accountable;bu akontaa
accountably;akontaabu mu
accountancy;akontaabu ho nimdeɛ
accountant;akontaabufo
accounting;akontaabu ho nimdeɛ
accounts payable;akontaabu a ɛsɛ sɛ wotua
accounts receivable;akontaabu a ɛsɛ sɛ wogye
Accra;Accra na ɛwɔ hɔ
accredit;gye a wogye tom
accreditation;gye a wogye tom
accretion disk;accretion disk a wɔde di dwuma
accretion;accretion a ɛkɔ soro
accrual;accrual a wɔboaboa ano
accrue;accrue
acculturation;amammerɛ mu nneɛma a wɔde di dwuma
acculture;amammerɛ ho nimdeɛ
accumulate;boaboa ano
accumulation;nneɛma a wɔaboaboa ano
accumulator;accumulator a wɔde boaboa nneɛma ano
accuracy;pɛpɛɛpɛyɛ
accurate;pɛpɛɛpɛ
accusation;sobo a wɔbɔ
accusative;asɛm a wɔde bɔ sobo
accusatory;sobo a wɔde bɔ nkurɔfo sobo
accuse;bɔ sobo
accused;bɔ kwaadu
accuser;ɔbɔnefo
accustom;ayɛ su
accustomed;ayɛ ne su
ace in the hole;ace wɔ tokuru no mu
ace of clubs;ace a ɛyɛ nnuadewa
ace of diamonds;ace a wɔde abohene ayɛ
ace of hearts;ace of akoma mu nsɛm
ace of spades;ace a ɛyɛ spades
ace;ace
acenaphthene;acenaphthene a wɔde yɛ aduru
acene;acene a wɔde yɛ adwuma
acerb;acerb a ɛyɛ den
acerbic;acerbic a ɛyɛ den
acerola;acerola
acetal;acetal a wɔde yɛ adwuma
acetaldehyde;acetaldehyde a wɔde yɛ adwuma
acetalization;acetalization a wɔde yɛ adwuma
acetamide;acetamide a wɔde yɛ aduru
acetate;acetate a wɔde yɛ aduru
acetic acid;acetic acid a wɔde yɛ aduru
acetic;acetic a wɔde yɛ aduru
acetify;acetify a wɔde hyɛ mu
acetimeter;acetimeter a wɔde susuw nneɛma ho
acetone;acetone a wɔde yɛ adwuma
acetonitrile;acetonitrile a wɔde yɛ aduru
acetyl chloride;acetyl chloride a wɔde yɛ aduru
acetyl;acetyl a wɔde yɛ aduru
acetylcholine;acetylcholine a wɔde yɛ aduru
acetylcholinesterase;acetylcholinesterase a wɔde yɛ aduru a wɔfrɛ no acetylcholinesterase
acetylene;acetylene a wɔde yɛ adwuma
acetylglucosamine;acetylglucosamine a wɔde yɛ aduru
acetylneuraminic;acetylneuraminic a wɔde yɛ aduru
acetylsalicylic acid;acetylsalicylic acid a wɔde yɛ aduru
acetylsalicylic;acetylsalicylic a wɔde yɛ aduru
Achaemenid;Achaemenid a ɔyɛ ɔkyerɛkyerɛfo
ache for;ache ma
ache;yeaw
achene;achene na ɛyɛ
Acheron;Acheron na ɔkyerɛwee
achieve;nya
achievement;deɛ woanya
Achilles heel;Achilles nan ase
Achilles tendon;Achilles ntini a ɛwɔ nipadua no mu
Achilles;Achilles na ɔkyerɛwee
achondroplasia;achondroplasia a ɛma obi ho yɛ hyew
achoo;achoo
achromatic;a ɛnyɛ nea ɛwɔ achromatic
achromatism;achromatism a ɛnyɛ nea wɔde di dwuma
achromotrichia;achromotricia a ɛma mogya tu
acid rain;acid osu a ɛtɔ
acid test;acid sɔhwɛ
acid;acid a wɔde yɛ nneɛma
acidic;acidic a ɛwɔ mu
acidification;acid a wɔde yɛ nneɛma
acidify;acidify
acidimeter;acidimeter a wɔde susuw nneɛma ho
acidimetry;acidimetry a wɔde kyerɛ
acidity;acid a ɛwɔ nipadua no mu
acidophile;acidophile a wɔde di dwuma
acidophilia;acidophilia a ɛma obi ho yɛ hyew
acidosis;acidosis a ɛwɔ nipadua no mu
acinaces;acinaces a wɔde yɛ nneɛma
acknowledge;gye to mu
acknowledged;gye toom
acknowledgment;gye a wogye tom
aclinic;ayaresabea
acme;acme
acne;akisikuru
acoelomate;acoelomate a ɛwɔ nipadua no mu
Acoetes;Acoetes na ɔkyerɛwee
acolyte;acolyte a wɔde di dwuma
aconite;aconite a wɔde di dwuma
acorn squash;acorn squash a wɔde yɛ aduan
acorn woodpecker;acorn dua a wɔfrɛ no woodpecker
acorn;akɔre a wɔfrɛ no acorn
acoustic guitar;acoustic guitar a wɔde bɔ nnwom
acoustic;acoustic a wɔde yɛ nneɛma
acoustical;nnyigyei a wɔde di dwuma
acoustically;wɔ nnyigyei mu
acoustics;nnyigyei ho nsɛm
acqua alta;acqua alta a ɛwɔ hɔ
acquaint;obi a onim no yiye
acquaintance;deɛ wonim no
acquainted;a wonim no yiye
acquiesce;acquiesce a wobɛpene so
acquiescence;acquiescence a wɔpene so
acquirable;a wobetumi anya
acquire;nya
acquis communautaire;acquis communautaire a wɔde kyerɛw nsɛm
acquisition;apepɛ
acquisitive;ade a wonya
acquisitor;obi a ogye ade
acquit;bu obi bem
acquittal;a wobu obi bem
acrasia;acrasia na ɛyɛ
acre;acre a ɛyɛ den
acreage;acre a ɛyɛ kɛse
acrid;acrid a ɛyɛ den
acrimonious;atirimɔdensɛm
acrimoniously;wɔ atirimɔden so
acrimony;atirimɔdensɛm
acritarch;acritarch a ɛyɛ asɛmpa
acrobat;acrobat a ɔyɛ adwuma
acrobatic;acrobatic a wɔde di dwuma
acrobatics;acrobatics a wɔde di dwuma
acrolect;acrolect a wɔde kyerɛw nsɛm
acrolein;acrolein a wɔde yɛ aduru
acromegalic;acromegalic a ɛyɛ adwuma
acromegaly;acromegaly a ɛma nipadua no yɛ kɛse
acromial;acromial a wɔde hyɛ nipadua mu
acromion;acromion a wɔde yɛ aduru
acronym;asɛmfua a wɔatwa no tiaa
acronymization;asɛmfua a wɔatwa no tiaa
Acropolis;Acropolis na ɛwɔ hɔ
across the board;wɔ board no nyinaa so
across the pond;wɔ ɔtare no atifi
across;twam
acrostic;acrostic a wɔde yɛ ade
acrostical;acrostical a wɔde di dwuma
acrylamide;acrylamide a wɔde yɛ aduru
acrylate;acrylate a wɔde yɛ ade
acrylic acid;acrylic acid a wɔde yɛ aduru
acrylic;acrylic a wɔde yɛ nneɛma
acrylonitrile;acrylonitrile a wɔde yɛ aduru
act of God;adeyɛ a Onyankopɔn yɛ
act of war;ɔko ho adeyɛ
act on;yɛ adwuma wɔ so
act one's age;yɛ ade sɛnea obi mfe te
act;yɛ
actin;actin a wɔfrɛ no actin
acting;agodie a wɔyɛ
actinic;actinic a ɛyɛ adwuma
actinide;actinide a wɔde yɛ adwuma
actinism;actinism a wɔde di dwuma
actinium;actinium a wɔde yɛ nneɛma
actinometer;actinometer a wɔde kyerɛ sɛnea nneɛma te
actinometric;actinometric a wɔde yɛ adwuma
actinomycosis;actinomycosis a ɛma obi nya ɔyare mmoawa
action figure;adeyɛ mfonini
action movie;adeyɛ sini
action plan;adeyɛ nhyehyɛe
action;anamɔntuo
activate;fa yɛ adwuma
activated carbon;carbon a wɔde yɛ adwuma
activation;dwumadie a wɔde yɛ adwuma
activator;activator a ɛyɛ adwuma
active ingredient;ade a ɛyɛ adwuma
active voice;ɛnne a ɛyɛ nnam
active volcano;ogya bepɔw a ɛyɛ nnam
active;asɔ
actively;nnam so
activism;adwumayɛfo a wɔyɛ adwumaden
activist;ɔdeyɛfo
activity;dwumadie
actomyosin;actomyosin a wɔde yɛ aduru
actor;ɔyɛfoɔ
actress;odiyifo
Acts of the Apostles;Asomafo no Nnwuma
actual;ankasa
actuality;nokwasɛm a ɛyɛ nokware
actually;nokorɛ
actuarial;actuarial ho nhwehwɛmu
actuary;actuary ho ɔbenfo
actuator;actuator a wɔde yɛ adwuma
acuity;acuity a ɛyɛ den
acumen;acumen a ɛyɛ fɛ
acuminate;acuminate a ɛyɛ fɛ
acupuncture;acupuncture a wɔde twitwiw nipadua no
acupuncturist;acupuncture ho ɔbenfo
acute accent;acute accent a wɔde kasa
acute angle;acute angle a ɛyɛ hu
acute;tiawa
acutely;acutely
acyl;acyl
acylation;acylation a wɔde yɛ ade
acylglycerol;acylglycerol a wɔde yɛ aduru
ad hoc;ad hoc a wɔde yɛ adwuma
ad hominem;ad hominem na ɛyɛ adwuma
ad infinitum;ad a enni ano
ad lib;ad lib
ad nauseam;ad nauseam a ɛyɛ mmerɛw
ad-lib;ad-lib na ɛwɔ hɔ
AD;AD
adage;asɛm a wɔka kyerɛ
adagietto;adagietto na ɔkyerɛwee
Adam and Eve;Adam ne Hawa
Adam's apple;Adam apɔw-mu-teɛteɛ
Adam;Adam
adamant;adamant
adamantane;adamantane a wɔde di dwuma
adapt;dane
adaptability;sɛnea wotumi sesa nneɛma
adaptable;a wotumi sesa ne ho
adaptation;nsakrae a wɔyɛ wɔ nsakrae mu
adapter;adapter a wɔde yɛ adwuma
adaptive;sɛnea wɔyɛ nsakrae wɔ nneɛma mu
adaptogen;adaptogen a ɛma nipadua no yɛ adwuma
add fuel to the fire;fa pɛtro ka ogya no ho
add insult to injury;fa animtiaabu ka opira ho
add-on;add-on a wɔde ka ho
add;fa ka ho
addedly;nea ɛka ho no
adder;adder
addict;obi a ɔde ne ho ahyɛ mu
addiction;ade a ɛma obi yɛ ade tra so
addictive;a ɛma obi yɛ ade tra so
Addis Ababa;Addis Ababa na ɛwɔ hɔ
addition;nkabom
additional;deɛ ɛka ho
additionally;nea ɛka ho no
additive;ade a wɔde ka ho
addle;addle
address book;address nhoma
address;adrɛse
addressee;addressee no
adduction;adduction
adductor;adductor a ɛma obi ho kyere no
Adela;Adela na ɔkyerɛwee
Adelaide;Adelaide na ɛwɔ hɔ
Adelie penguin;Adelie penguin a ɔyɛ ɔkraman
Aden;Aden
adenectomy;adenectomy a wɔde yɛ ade
adenine;adenine a wɔde yɛ adwuma
adenitis;adenitis a ɛma obi nya yare
adenoid;adenoid a ɛyɛ den
adenoidectomy;adenoidectomy a wɔde yɛ ade
adenoma;adenoma a ɛma obi nya adenoma
adenosine;adenosine a wɔde yɛ adwuma
adept;adept a ɔyɛ ade
adequacy;sɛnea ɛfata
adequate;ɛso
adequately;sɛnea ɛfata
adermatoglyphia;aduru a ɛma nipadua no yɛ adwuma
adessive case;adessive asɛm no
adhan;adhan
adhere;di akyi
adherence;a wɔbata ho
adherent;a wɔbata ho
adhesion;adhesion a ɛbata ho
adhesive capsulitis;aduru a wɔde nkata ade so
adhesive tape;ade a wɔde nkata ade so
adhesive;ade a wɔde nkata ade so
adhocracy;adhocracy a wɔde di dwuma
adiabatic;adiabatic a wɔde di dwuma
adieu;adieu
Adige;Adige na ɔkyerɛwee
adimensional;adimensional a wɔde di dwuma
adipate;adipate a ɛyɛ den
adipic acid;adipic acid a ɛwɔ nipadua no mu
adipic;adipic
adipocere;adipocere a ɛwɔ nipadua no mu
adiponectin;adiponectin a wɔde yɛ aduru
adipose fin;adipose fin a ɛyɛ srade
adipose tissue;srade a ɛwɔ nipadua no mu
adipose;adipose a ɛyɛ srade
adiposity;srade a ɛyɛ den
adjacency;a ɛbɛn ho
adjacent;nkyɛnmu
adjectival;asɛmfua a ɛkyerɛ biribi
adjective;edin nkyerɛkyerɛmu
adjectivization;asɛmfua a wɔde gyina hɔ ma
adjoin;bata ho
adjoining;a ɛbɛn ho
adjoint;adjoint a ɛka ho
adjourn;adjourn a wɔde bɛto nkyɛn
adjournment;adjournment a wɔde bɛto nkyɛn
adjudicate;bu atɛn
adjudicator;ɔtemmufo
adjunct;adjunct a wɔde ka ho
adjust;dane mu
adjustable spanner;spanner a wotumi sesa mu
adjustable;wotumi sesa mu
adjusted;wɔayɛ nsakrae wɔ mu
adjustment;nsakrae a wɔyɛ
adjutant;ɔboafoɔ
adjuvant;adjuvant (ɔboafoɔ).
administer;di dwuma
administration;adwumayɛ ho nhyehyɛe
administrative;adwumayɛ ho nhyehyɛe
administratively;wɔ adwumayɛ mu
administrator;ɔhwɛfo
admirable;ɛfata nkamfo
admirably;ɔkwan a ɛfata nkamfo so
admiral of the fleet;admiral a ɔhwɛ po so ahyɛn no so
admiral;admiral a ɔyɛ ɔsraani panyin
admiralty law;admiralty mmara
admiralty;admiralty a ɔyɛ adwuma
admiration;anigye a wonya
admire;pɛ
admirer;obi a n’ani gye ne ho
admiring;a n’ani gye ho
admiringly;wɔ anigye mu
admissible;wogye tom
admission;admission a wɔde gye obi
admit;gye to mu
admittance;admittance a wɔde ma
admittedly;yɛgye tom sɛ
admonish;tu fo
admonition;afotu a wɔde ma
admonitory;afotu a wɔde ma
adnate;adnate a ɛyɛ den
adobe;adobe a wɔfrɛ no adobe
adolescence;mmerantebere ne mmabaabere
adolescent;ɔbabun
Adolph;Adolph na ɔkyerɛwee
Adonis;Adonis na ɔkyerɛwee
adopt;gye tom
adoptable;a wobetumi agye atom
adoption;mmofra a wɔfa wɔn sɛ wɔn mma
adoptive father;agya a ɔhwɛ no sɛ ne ba
adoptive mother;ɛna a ɔhwɛ no sɛ ne ba
adoptive;a ɔyɛ mmofra a wɔfa wɔn sɛ wɔn mma
adorable;nhoahoa
adoration;ɔsom a wɔde ma
adore;adore
adorn;adorn
adornment;ahosiesie
adrenal;adrenal a ɛwɔ nipadua no mu
adrenalectomy;adrenalectomy a wɔde twa adrenalectomy
adrenaline junkie;obi a ɔnom adrenaline
adrenaline;adrenaline a wɔde yɛ adwuma
adrenergic;adrenergic a ɛma obi nya adrenergic
adrenocorticotropic;adrenocorticotropic a ɛma nipadua no yɛ adwuma
Adrian;Adrian na ɔkyerɛwee
Adriatic Sea;Adriatic Po no mu
Adriatic;Adriatic asase so
adrift;adrift a wɔde wɔn ho ahyɛ mu
adroitness;ahokokwaw a wɔde yɛ adwuma
ADSL;ADSL
adstratum;adstratum a ɛyɛ adwuma
adularia;adularia a ɛwɔ hɔ
adulator;adulator
adult;ɔpanyin
adulterant;ɔwaresɛefo
adulterate;awaresɛe
adulteration;awaresɛe
adulterer;ɔwaresɛefo
adulteress;ɔwaresɛefo
adulterous;awaresɛefo
adultery;awaresɛe
adulthood;mpanyin afe so
adunc;adunc
advance payment;sika a wɔadi kan atua
advance;animkɔ
advanced;kɔ anim
advancement;nkɔso a wonya
advantage;animkɔ kwan
advantageous;mfaso wɔ so
advantageously;mfaso wɔ so
advection;advection a wɔde di dwuma
advent;advent a ɛbae
adventitious;adventitious a ɛbae
adventure;suhunu soronko
adventurer;obi a ɔyɛ adventurer
adventurous;a wɔyɛ adventurous
adverb;ɔkyerɛfoɔ
adverbial clause;asɛmfua a ɛkyerɛ adeyɛ asɛm
adverbial participle;asɛmfua a ɛkyerɛ adeyɛ asɛm
adverbial phrase;asɛmfua a wɔde di dwuma wɔ adeyɛ mu
adverbial;adeyɛ asɛm
adverbialization;asɛmfua a wɔde di dwuma wɔ asɛmfua mu
adverbialize;adverbialize a wɔde di dwuma
adversary;ɔtamfo
adverse;adverse
adversity;amanehunu
advertise;bɔ ho dawuru
advertisement;dawurobɔ
advertiser;dawurubɔfo
advertising;dawurobɔ
advertorial;dawurubɔ ho dawurubɔ
advice;afutuo
advisability;afotu a wɔde ma
advisable;afotu wom
advise;tu fo
advisor;ɔfotufo
advisory opinion;adwene a wɔde afotu ma
advisory;afotu a wɔde ma
advocacy group;kuw a wɔkamfo kyerɛ
advocacy;nsɛm a wɔka de gyina nkurɔfo akyi
advocate;pere ma
Adygea;Adygea a wɔfrɛ no Adygea
Adyghe;Adyghe na ɔkyerɛwee
adynamia;dynamia a ɛyɛ den
adze;adze
aedile;aedile
Aegean Sea;Aegean Po no
Aegean;Aegean a ɛwɔ hɔ
Aegidius;Aegidius na ɔkyerɛwee
aegis;aegis (aegis) a ɛwɔ hɔ
Aeneas;Aeneas na ɔkyerɛwee
Aeneid;Aeneid a wɔfrɛ no Aeneid
aeolian;aeolian kasa
Aeolus;Aeolus a wɔfrɛ no Aeolus
aerate;mframa a wɔde hyɛ mu
aeration;mframa a wɔde hyɛ nipadua mu
aerial work platform;wim adwumayɛbea
aerial;afiri a wɔde fa wim
aeriferous;aeriferous a ɛwɔ mframa mu
aerobe;aerobe a wɔde hyɛ nipadua mu
aerobic;aerobic a ɛma nipadua no yɛ adwuma
aerobics;aerobics a wɔde yɛ nneɛma
aerobiology;mframa mu abɔde a nkwa wom ho adesua
aerobiosis;aerobiosis a ɛma nipadua no yɛ adwuma
aerodrome;wimhyɛn gyinabea
aerodynamic;mframa mu ahoɔden
aerodynamical;mframa mu ahoɔden a wɔde yɛ adwuma
aerodynamics;mframa mu ahoɔden ho nimdeɛ
aerodynamism;mframa a ɛtumi yɛ adwuma
aerogram;aerogram a wɔde kyerɛ ade
aerography;mframa a wɔde fa mframa mu
aerology;mframa ho nimdeɛ
aeromancy;aeromancy a wɔde di dwuma
aerometer;mframa a wɔde kyerɛ ade
aeromodeller;wimhyɛn ho mfoniniyɛfo
aeromodelling;wimhyɛn ho mfoniniyɛ
aeronautic;wimhyɛn mu nneɛma a wɔde di dwuma
aeronautical;wimhyɛn mu nneɛma a wɔde di dwuma
aeronautics;wimhyɛn ho nimdeɛ
Aeronian;Aeronianfo a wɔyɛ adwuma wɔ hɔ
aerophobic;aerophobic a ɛyɛ hu
aerophone;afiri a wɔde di dwuma
aerosol can;aerosol betumi ayɛ
aerosol;aerosol a wɔde hyɛ nipadua mu
aerospace;ahunmu ahunmu
aerostat;aerostat a wɔde di dwuma
aerostatics;aerostatics a wɔde di dwuma
aerothermal;mframa a ɛyɛ hyew
Aeschylus;Aeschylus na ɔkyerɛwee
Aesculapius;Aesculapius na ɔkyerɛwee
Aesop;Aesop na ɔkyerɛwee
Aesopian;Aesopian kasa mu
aesthete;afɛfɛde ho nimdeɛ
aesthetic;afɛfɛdeɛ
aesthetically;wɔ afɛfɛde mu
aestheticism;afɛfɛde ho nimdeɛ
aesthetics;afɛfɛde ho nimdeɛ
aestivation;aestivation a ɛyɛ fɛ
aetiology;nea ɛde ba
Aetolia;Aetolia na ɛwɔ hɔ
aeviternity;aeviternity a ɛwɔ hɔ
Afar;Akyirikyiri
affability;affability a ɛyɛ fɛ
affable;affable
affair;asɛm
affect;nya nsunsuansoɔ
affectable;a ɛka ho
affectation;nkɛntɛnso a ɛwɔ nipadua no mu
affected;ɛka no
affecting;a ɛka
affection;ɔdɔ
affectionate;ɔdɔ a wɔde ma
affectionately;wɔ ɔdɔ mu
affective;nkate a ɛma obi nya nkate
afferent;afferent a ɛma obi yɛ ade
