p.;kr.
paperboard;krataa a wɔde kyerɛw krataa
paperboy;paperboy a ɔyɛ krataa
papercutting;krataa a wɔde twa nneɛma
papers;nkrataa a wɔde kyerɛw nsɛm
paperweight;krataa a wɔde susuw nneɛma ho
paperwork;nkrataa a wɔde yɛ adwuma
papess;paperss a wɔde yɛ adwuma
Paphian;Paphian na ɔkyerɛwee
Paphlagonia;Paphlagonia a ɛwɔ nipadua no mu
Papiamentu;Papiamentu na ɔkyerɛwee
papier-mâché;papier-mâché a wɔde yɛ adwuma
papilla;papilla a ɛyɛ papilla
paprika;paprika a wɔde yɛ nneɛma
Papua New Guinea;Papua New Guinea na ɛwɔ hɔ
Papua New Guinean;Papua New Guineafo a wɔka bom yɛ adwuma
papule;papule (papule) a wɔfrɛ no papule
papyrologist;papyrologist ho ɔbenfo
papyrology;papyrology ho adesua
papyrus;papyrus a wɔde ayɛ krataa
par excellence;par nea ɛkyɛn so
para-;para- .
parabenzoquinone;parabenzoquinone a wɔde di dwuma
parable;bɛ no
parabola;parabola a wɔde gyina hɔ ma
parabolic;parabolic a ɛyɛ mfatoho
Paracelsus;Paracelsus na ɔkyerɛwee
parachute;parachute a wɔde hyɛ mu
parachuting;parachute a wɔde di dwuma
parachutist;parachutist a ɔde ne ho hyɛ mu
paraclete;paraclete a wɔfrɛ no paraclete
paraclinical;paraclinical a wɔde di dwuma
parade;parade a wɔde kyerɛ
paradigm shift;paradigm nsakrae
paradigm;nhwɛsode a wɔde yɛ nhwɛso
paradise on earth;paradise wɔ asase so
paradise parrot;paradise akɔre
paradise;paradise
paradisiac;paradise a ɛwɔ hɔ
paradox;abirabɔsɛm
paradoxical;abirabɔsɛm
paradoxically;ɔkwan a ɛne ne ho bɔ abira so
paraffin wax;paraffin a wɔde yɛ nneɛma
paraffin;paraffin a wɔde yɛ nneɛma
paragliding;paragliding a wɔde tu mmirika
paragoge;paragoge ho asɛm
paragogic;paragogic a wɔde di dwuma
paragon;paragon
paragraph;nkyekyɛm
Paraguay;Paraguay na ɛwɔ hɔ
Paraguayan;Paraguayfoɔ
parakeet;parakeet a wɔfrɛ no parakeet
paralanguage;kasa a ɛne ne ho di nsɛ
paralinguistic;kasa a ɛne ne ho di nsɛ
paralinguistics;kasa horow a ɛne ne ho di nsɛ
paralipsis;paralipsis a ɛyɛ mmerɛw
parallax;parallax a wɔde di dwuma
parallel import;parallel import
parallel universe;amansan a ɛne ne ho di nsɛ
parallel;sa so
parallelepiped;parallelepiped a wɔde di dwuma
parallelogram;parallelogram (a ɛne ne ho di nsɛ).
paralogous;paralogous a ɛyɛ nea ɛne ne ho di nsɛ
Paralympic Games;Paralympic Agumadi a Wɔde Di Dwuma
paralysis;obubuafo
paralytic;obubuafo
paralyze;mmubuafo
paralyzing;obubuafo
paramagnetic;paramagnetic a ɛyɛ adwuma
paramagnetism;paramagnetism a ɛyɛ adwuma
Paramaribo;Paramaribo a wɔfrɛ no Paramaribo
paramecium;paramecium a ɛwɔ nipadua no mu
paramedic;oduruyɛfo a ɔboa nkurɔfo
parameter;parameter
parametric;parametric (parametric) a wɔde di dwuma
paramount;nea ɛsen biara
paramour;ɔdɔfo
paranoia;paranoia a ɛyɛ hu
paranoid;paranoid a ɛyɛ hu
paranormal;paranormal
paraphernalia;nneɛma a wɔde yɛ nneɛma
paraphilia;paraphilia a ɛma obi nya ɔyare mmoawa
paraphrase;asɛmfua a wɔde gyina hɔ ma
paraplegia;paraplegia a ɛyɛ mmerɛw
paraplegic;mmubuafo a wɔabubu
parapsychological;parapsychological a ɛfa adwene ho
parapsychology;parapsychology ho adesua
parasailing;parasailing a wɔde fa po so hyɛn mu
parasite;ɔyare mmoawa a wɔsɛe nnɔbae
parasitic;ɔyare mmoawa a wɔsɛe nnɔbae
parasiticide;aduru a wɔde kum mmoawa a wɔsɛe nnɔbae
parasitoid;parasitoid a ɛyɛ ɔyare mmoawa
parasitology;parasitology ho adesua
parasol;parasol
parasympathetic;parasympathetic a ɔyɛ obi a ɔte ase
parataxis;parataxis a wɔde di dwuma
paratransit;paratransit a wɔde fa nnipa so
paratrooper;paratrooper a ɔde ne ho hyɛ mu
parboil;parboil a wɔde yɛ nneɛma
parcel;boa
parch;parch
parched;a ɛyɛ nwunu
parchment paper;krataa a wɔde aboa nhoma ayɛ
parchment;parchment a wɔde ayɛ
pardon me;fa kyɛ me
pardon my French;fa me Franse kasa kyɛ me
pardon;fa kyɛ
pare;pare
pareidolia;pareidolia a ɛwɔ nipadua no mu
pareidolic;pareidolic a wɔde di dwuma
paremiology;paremiology ho adesua
parenchyma;parenchyma a ɛwɔ nipadua no mu
parent company;adwumakuw a ɛyɛ awofo
parent;ɔwofo
parentage;awofo a wɔyɛ
parental;awofo de
parenthesis;nkahyemde a wɔde ahyɛ mu
parenthesize;fa nkahyemde hyehyɛ mu
parenthetically;wɔ nkahyemde mu
parenting;awofoyɛ
parents;awofoɔ
parget;parget
pariah;paria
parietal lobe;parietal lobe a ɛwɔ akyi
Paris;Paris
parish church;asɔredan a ɛwɔ asɔredan mu
parish;asɔredan mu
parishioner;asɔremma
Parisian;Parisnifo
parity;parity a ɛyɛ pɛ
park;prama
parka;parka
parking lot;baabi a wɔde kar sisi
parking meter;mita a wɔde si baabi a wɔde kar sisi
parking;baabi a wɔde kar sisi
Parkinson's disease;Parkinson yare a ɛma obi nya yare
parkour;parkour a ɛyɛ den
Parla;Parla na ɔkyerɛwee
parlance;kasa a wɔde kasa
parley;parley a wɔde di dwuma
parliament;mmarahyɛ bagua no
parliamentarian;mmarahyɛ baguani
parliamentary;mmarahyɛ baguafo
parlor;parlor a ɛwɔ dan mu
Parmenides;Parmenides a wɔfrɛ no Parmenides
parmesan;parmesan a wɔde yɛ aduan
parochial vicar;asɔredan mu ɔsɔfo panyin
parochial;asɔredan mu
parochialism;parochialism a wɔde di dwuma
parodic;parodic a ɛyɛ fɛ
parody;parody a wɔde yɛ asɛm
parole;parole a wɔde ma
paronomasia;paronomasia a ɛma obi ho kyere no
paronym;paronym
parotitis;parotitis a ɛma obi ho kyere no
parousia;parousia (parousia) a ɛwɔ nipadua no mu
paroxysm;paroxysm a ɛma obi ho kyere no
paroxytone;paroxytone a ɛyɛ den
parrot;ako
parse;parse
parsec;parsec
parser;parser a wɔde kyerɛw nsɛm
parsimonious;ɔyɛ obi a ɔyɛ parsimonious
parsimony;parsimony a wɔde di dwuma
parsley;hahamma
parsnip;parsnip a wɔde yɛ nneɛma
parson's nose;parson hwene mu
part and parcel;ɔfã ne nneɛma a wɔde ahyɛ mu
part of speech;ɔkasa no fã bi
part-time;bere fã a wɔde yɛ adwuma
part;ɔfa
partake;nya bi
parthenocarpic;a ɛwɔ nipadua no mu
Parthenon;Parthenon na ɔkyerɛwee
Parthia;Parthia na ɔyɛɛ saa
Parthian;Partianfo
partial derivative;ɔfã bi a efi mu ba
partial;fã bi
partiality;animhwɛ
partially;fã bi
participant;ɔde ne ho hyɛ mu
participate;di mu bi
participation;kyɛfa a wonya
participator;ɔde ne ho hyɛ mu
participle;adeyɛ asɛm
particle accelerator;nneɛma nketenkete a ɛma nneɛma yɛ ntɛmntɛm
particle physics;abɔde mu nneɛma nketenkete ho adesua
particle;abɔde mu nneɛma nketenkete
particular;nkanka
partisan;ɔfã biara ho
partition;mpaapaemu
partitive;partitive a wɔde di dwuma
partly;ɔfã bi
partner;hokani
partocracy;partocracy a wɔde di dwuma
partridge;ɔkraman a wɔfrɛ no partridge
parts interpreter;afã horow nkyerɛasefo
parturition;awo a wɔde ma
party animal;apontow aboa
party wall;party fasuo
party;ekuo
parvenu;parvenu na ɛyɛ
Pasargadae;Pasargadae na ɛwɔ hɔ
Pascal's wager;Pascal kyakyatow no
pascal;pascal
paschal candle;paschal kyɛnere
Paschal Lamb;Twam Oguammaa
pasha;pasha
Pashto;Pashto kasa mu
paskha;paskha
paso doble;paso doble
pass away;twam kɔ
pass down;twam kɔ fam
pass on;twam kɔ so
pass out;pass out
pass through;twa mu
pass;twam
passacaglia;passacaglia a ɛwɔ hɔ
passage;kwan
passageway;kwan a wɔfa so fa so
passenger car;kar a wɔde fa nnipa
passenger kilometer;akwantufo kilomita
passenger mile;akwantufo akwansin
passenger pigeon;akwantufo mmorɔnoma
passenger ship;hyɛn a wɔde fa nnipa
passenger train;keteke a wɔde fa nnipa
passenger;ɔkwantufo
passer-by;obi a ɔretwam
passing;a wɔretwam
passion fruit;akɔnnɔ aba
passion;ɔpɛ
passionate;ani ku ho
passionately;anigye so
passionflower;passionflower a ɛyɛ anigye
Passionist;Ɔyɛ obi a ɔpɛ anigye
passive smoking;sigaretnom a wɔnyɛ hwee
passive voice;ɛnne a ɛnyɛ adwuma
passive;emu yɛ mrɛ
passively;wɔ ɔkwan a ɛnyɛ hwee so
passivity;adeyɛ a ɛnyɛ hwee
Passover;Twam Afahyɛ
passport;akwantu tumi krataa
password;paswɛde
past anterior;atwam anim
past historic tense;abakɔsɛm mu bere a atwam
past participle;adeyɛ asɛm a atwam
past tense;bere a atwam
past;deɛ atwam
pasta;pasta a wɔde di dwuma
Pastafarianism;Pastafariansom a wɔde di dwuma
paste;paste a wɔde hyɛ mu
pastern;pastern a wɔde yɛ adwuma
pasteurisation;pasteurisation a wɔde yɛ adwuma
pasteurise;pasteurise a wɔde yɛ adwuma
pastiche;pastiche a wɔde yɛ nneɛma
pastie;pastie na ɛyɛ adwuma
pastiera;pastiera
pastime;anigyede a wɔde gye wɔn ani
pastor;ɔsɔfo
pastoral;ahwɛfo adwuma
pastrami;pastrami na ɛyɛ adwuma
pastry bag;pastry bag a wɔde yɛ paanoo
pastry;pastry a wɔde yɛ paanoo
pasture;adidibea
pasty;pasty a wɔde yɛ nneɛma
pataca;pataca
patagium;patagium (patagium) a wɔfrɛ no patagium
Patagonia;Patagonia na ɛwɔ hɔ
Patagonian;Patagonia kasa
patch;mfamyɛ
patchouli;patchouli a wɔfrɛ no patchouli
patchwork;patchwork a wɔde yɛ adwuma
pate;pate
paten;paten
patent leather;patent aboa nhoma
patent;patent
patented;a wɔagye ho tumi krataa
paterfamilias;agyanom abusua
paternal aunt;agya maame nuabea
paternal grandfather;agya nana
paternal grandmother;agya nanabea
paternal uncle;agya nua barima
paternal;agya de
paternoster;paternoster a ɔyɛ ɔpanyin
path;kwan
pathetic;mmɔbɔ
pathogen;ɔyare mmoawa a wɔde ɔyare ba
pathogenesis;ɔyare mmoawa a wɔde ba
pathogenic;a ɛde ɔyare ba
pathognomonic;ɔyare mmoawa a wɔde di dwuma
pathologic;pathologic ho aduruyɛ
pathological;ɔyare mmoawa
pathologically;wɔ ɔyare ho
pathologist;ɔyare ho ɔbenfo
pathology;ɔyare ho adesua
pathway;ɔkwan a wɔfa so yɛ ade
patience is a virtue;boasetɔ yɛ su pa
patience;aboterɛ
patient;ɔyarefoɔ
patiently;boasetɔ mu
patina;patina
patine;patine a wɔde yɛ adwuma
patio;patio a ɛwɔ hɔ
patisserie;patisserie a wɔde yɛ nneɛma
patolli;patolli a wɔde yɛ adwuma
Patras;Patras na ɔkyerɛwee
patriarch;agya panyin
patriarchal;agyanom mpanyimfo
patriarchy;agyanom mpanyimfo nniso
Patricia;Patricia na ɔkyerɛwee
patriciate;patriciate a wɔde di dwuma
patricide;agyanom kum
Patrick;Patrick na ɔkyerɛwee
patrimony;agyapade a wonya
patriot;ɔman ho dɔfo
patriotic;ɔman ho dɔ
patriotism;ɔman ho dɔ
patristic;agyanom mpanyimfo
Patroclus;Patroclus na ɔkyerɛwee
patrol boat;hyɛmma a wɔde hwɛ nneɛma so
patrol car;kar a wɔde hwɛ nneɛma so
patrol;patrol a wɔde hwɛ nneɛma so
patrolman;ɔwɛmfo a ɔhwɛ nneɛma so
patron saint;ɔhotefo a ɔboa no
patron;ɔboafo
patronage;patronage a wɔde ma
patronize;patronize
patronymic;patronymic a wɔde di dwuma
patsy;patsy a ɔyɛ
patter;patter a wɔde di dwuma
pattern;nhyehyɛeɛ
patty;patty
pattycake;pattycake a wɔde yɛ nneɛma
Patzcuaro;Patzcuaro na ɔkyerɛwee
paucity;paucity a ɛyɛ kakraa bi
Paul;Paulo
Paula;Paula
Paulette;Paulette na ɔkyerɛwee
paunch;paunch a wɔde kyerɛw nsɛm
pauper;ohiani
pause;home so
pave the way;bue kwan no
pave;pave
paved;wɔabɔ ho ban
pavement;kwan nkyɛn
Pavia;Pavia na ɔkyerɛwee
pavilion;ntamadan a wɔde nneɛma gu mu
Pavo;Pavo na ɔkyerɛwee
paw;paw
pawa;pawa
pawl;pawl
pawn;pawn
pawnbroker;ɔdebɔneyɛfoɔ a wɔde nneɛma gu mu
pawnshop;pawnshop a wɔde nneɛma gu mu
pawpaw;pawpaw
Pax Americana;Pax Amerikana na ɔkyerɛwee
pay a visit;tua nsrahwɛ
pay attention;yɛ aso tie
pay back;tua ka
pay off;tua ka
pay the bills;tua sika a wɔbɔ no
pay-as-you-go;tua-sɛnea-wo-kɔ
pay-off;akatua a wɔde tua ho ka
pay;tua
payback;akatua a wɔde tua ho ka
payday;akatua da
payment;sikatua
payphone;telefon a wotua ho ka
payroll;akatua ho nhyehyɛe
paywall;paywall a wɔde tua ho ka
pea;pea
Peace Corps;Asomdwoe Kuw
peace of mind;adwene mu asomdwoe
peace talks;asomdwoe ho nkɔmmɔbɔ
peace;asomdwoeɛ
peaceable;asomdwoe mu
peaceful coexistence;asomdwoe mu a wɔbom tra
peaceful;asomdwoeɛ
peacefully;asomdwoe mu
peacetime;asomdwoe bere
peach blossom;peach nhwiren a ɛyɛ frɔmfrɔm
peach;piikyi
peachfuzz;peachfuzz a wɔde yɛ nneɛma
peacock;akɔre a wɔfrɛ no peacock
peafowl;peafowl a wɔfrɛ wɔn peafowl
peak flow meter;peak flow meter a ɛkyerɛ sɛnea nsu no sen biara
peak season;bere a nnipa pii kɔ so
peak;soro pa ara
peal;peal
peanut butter;peanut bɔta a wɔde yɛ nneɛma
peanut milk;atoko nufusu
peanut;peanut a ɛyɛ atoko
peapod;peapod a wɔfrɛ no peapod
pear tree;pear dua
pear;aprɛ
pearl barley;ahwehwɛ a wɔde ayɛ akutu
pearl necklace;ahwehwɛ kɔnmuade
pearl of wisdom;nyansa ahwehwɛ
pearl oyster;ahwehwɛ a wɔde yɛ oyster
pearl;ahwehwɛ a wɔde yɛ ade
pearly antshrike;ahwehwɛ a ɛte sɛ ntɛtea
pearly whites;fitaa a ɛte sɛ ahwehwɛ
peasant;akuafoɔ
peasantry;akuafo a wɔyɛ akuafo
peat;peat a wɔde yɛ nneɛma
pebble;aboɔden aboɔden aboɔden aboɔ
pecan pie;pecan pie a wɔde yɛ aduan
pecan;pecan a wɔfrɛ no pecan
peccadillo;peccadillo a ɛyɛ peccadillo
peccary;peccary a ɛyɛ den
peck;peck
pectin;pectin a wɔfrɛ no pectin
pectinate;pectinate a wɔde hyɛ nipadua mu
pectoral fin;pectoral fin a ɛwɔ akyi
pectoral;pectoral a ɛwɔ akyi
peculiar;nko ara
peculiarity;soronkoyɛ
pecuniary;sika a wɔde di dwuma
pedagogical;ɔkyerɛkyerɛ ho adesua
pedagogy;nkyerɛkyerɛ ho adesua
pedal;pedal a wɔde di dwuma
pedalo;pedalo a wɔde di dwuma
pedant;pedant a wɔde di dwuma
pedantic;pedantic a ɛyɛ den
pedantry;pedantry a wɔde di dwuma
peddler;ɔdetɔnfo
pederast;pederast a ɛyɛ den
pederastic;pederastic a ɔyɛ ɔbarima
pederasty;pederasty a ɛyɛ den
pedestal;pedestal a wɔde gyina so
pedestrian;obi a ɔnam fam
pediatric;mmofra ayaresa
pediatrician;mmofra oduruyɛfo
pedicab;pedicab a wɔde di dwuma
pedicel;pedicel a ɛyɛ den
pedicure;pedicure a wɔde di dwuma
pedigree;abusua anato ho nsɛm
pediment;pediment a wɔde ahyɛ mu
pedology;pedology a wɔde di dwuma
pedometer;pedometer a wɔde kyerɛ anammɔn
pedophile;mmofra a wɔto wɔn mmonnaa
pedophilia;mmofra a wɔto wɔn mmonnaa
pedophilic;mmofra a wɔto wɔn mmonnaa
peduncle;peduncle a ɛyɛ den
pedunculate;pedunculate a ɛyɛ pedunculate
pee;dwonsɔ
peel;hwane
peeler;peeler a wɔde yiyi nneɛma
peep;peep
peephole;peephole a wɔde hwɛ nneɛma mu
peeping tom;peeping tom a ɔrehwɛ nneɛma
peepshow;peepshow a wɔde kyerɛ
peer pressure;atipɛnfo nhyɛso
peer review;atipɛnfo nhwehwɛmu
peer;tipɛnfoɔ
peerage;peerage a wɔde hyɛ obi nsa
peeve;peeve
peevish;peevish a ɛyɛ hu
Pegasus;Pegasus na ɔkyerɛwee
pejorative;animtiaabu a wɔde di dwuma
pejoratively;wɔ ɔkwan a ɛyɛ animtiaabu so
Peking duck;Peking ananse
Pekingese;Pekingesefoɔ
Pelagius;Pelagius na ɔkyerɛwee
Peleus;Peleus a wɔfrɛ no Peleus
pelican;pelican a wɔfrɛ no pelican
pellagra;pellagra a wɔfrɛ no pellagra
pellet;pellet a wɔfrɛ no pellet
pellucid;pellucid a ɛyɛ mmerɛw
pelmeni;pelmeni a wɔde hyɛ nipadua mu
Peloponnese;Peloponnese a wɔfrɛ no Peloponnese
peloton;peloton a ɛwɔ hɔ
pelt;pelt
pelvic fin;pelvic fin a ɛwɔ akyi
pelvic;pelvic a ɛwɔ akyi
pelvis;pelvis a ɛwɔ akyi
pen drive;pen drive a wɔde di dwuma
pen name;kyerɛwdua din
pen pal;pen pal
pen;pɛn
penal colony;asotwe a wɔde yɛ adwuma
penalize;asotwe
penalty kick;penalty a wɔde bɔ bɔɔl
penalty shootout;asotwe a wɔde tow tuo
penalty;asotwe a wɔde ma
penance;penance
penchant;penchant a wɔde hyɛ obi nsa
pencil case;pɛnsere a wɔde hyɛ mu
pencil pusher;pɛnsere a wɔde piapia obi
pencil sharpener;pɛnsere a wɔde sew ade
pencil skirt;pɛnsere a wɔde yɛ atade
pencil;pɛnsere
pendant;pendant a wɔde hyɛ mu
pending;retwɛn
pendulum clock;pendulum dɔn a wɔde yɛ adwuma
pendulum;pendulum a ɛyɛ den
Penelope;Penelope na ɔkyerɛwee
penetrate;hyɛn mu
penetration;a wɔde hyɛn mu
penguin;penguin a wɔfrɛ no penguin
penicillamine;penicillamine a wɔde di dwuma
penicillin;penicillin a wɔde yɛ aduru
penile;ɔbarima akyi berɛmo
peninsula;supɔw so
peninsular;peninsular a ɛwɔ hɔ
penis envy;penis ahoɔyaw
penis pump;penis pɔmpɛ
penis;ɔbarima akyi berɛmo
penitentiary;afiase dan
penknife;penknife a wɔde kyerɛw
penmanship;nkyerɛwee a wɔde kyerɛw nsɛm
Pennsylvania;Pennsylvania
penny farthing;penny farthing a ɛyɛ den
penny;penny a ɛyɛ den
pennyroyal;pennyroyal a wɔde ma
penology;penology ho adesua
pension;pɛnhyen sika
pensioner;obi a wagye pɛnhyen
pensive;pensive
pensively;adwenem naayɛ so
penta-;penta- .
pentagon;pentagon a ɛyɛ pɛ
pentagonal;ahinanan a ɛwɔ afã anan
pentahedron;pentahedron a ɛwɔ hɔ
pentalogy;pentalogy a wɔde kyerɛw nsɛm
pentane;pentane a ɛyɛ pentane
pentaquark;pentaquark a wɔfrɛ no pentaquark
Pentateuch;Nhoma Pentateuch
pentathlete;pentathlete a ɔbɔ bɔɔl
pentathlon;pentathlon a wɔde tu mmirika
Pentecost;Pentekoste da no
Pentecostalism;Pentekostesom
penthouse;penthouse a ɛwɔ soro
pentose;pentose a ɛyɛ den
pentoxide;pentoxide a wɔde yɛ nneɛma
pentyl;pentyl
penultimate;nea etwa to koraa
penumbra;penumbra a ɛyɛ den
penury;ohia a ɛyɛ den
Penza;Penza na ɔkyerɛwee
peon;peon
peony;peony a wɔde yɛ adwuma
people's house;nkurɔfo fie
people's republic;nkurɔfo republic
people;nnipa
pep talk;pep kasa
pepita;pepita a wɔde di dwuma
pepper mill;ɛmo a wɔde yɛ nneɛma
pepper spray;aduru a wɔde petepete ɛmo so
pepper;mako
peppermint;peppermint a wɔde yɛ nneɛma
pepperwort;pepperwort a wɔde yɛ aduru
peptide;peptide a wɔde yɛ adwuma
peptidic;peptidic a wɔde yɛ nneɛma
peptone;peptone a wɔfrɛ no peptone
per capita;obiara biara
per curiam;per curiam biara
per procurationem;per procurationem biara
per se;ankasa
per stirpes;wɔ stirpes biara mu
