a;that
a n’ani gye ho;admiring
a n’ani nnye ho;disgruntled
a n’ani nnye ho;unblushingly
a n’anim yɛ brazen-faced;brazen-faced
a obiara nte mu;uninhabited
a obiara ntumi nhu no;unobtrusively
a obu a ɛfata nyinaa wom;with all due respect
a odi nam;carnivore
a ohia ahyɛ wɔn ma;poverty-stricken
a priori a wɔde di dwuma;a priori
a wobetumi adi ho adanse;provable
a wobetumi adi nkogu;defeasible
a wobetumi agye atom;adoptable
a wobetumi agye ho akyinnye;debatable
a wobetumi ahu;ascertainable
a wobetumi ahu;realizable
a wobetumi akyerɛkyerɛ mu;explicable
a wobetumi anya;acquirable
a wobetumi anya;attainable
a wobetumi anya;obtainable
a wobetumi anya bi;accessible
a wobetumi asan akanyan no bio;revivable
a wobetumi asusuw ho;imaginable
a wobetumi ayɛ;feasible
a wobetumi ayɛ adwuma;viable
a wobetumi ayɛ biako;unifiable
a wobetumi de adi dwuma;practicable
a wobu akontaa;answerable
a wobu ani gu so;ignorable
a wobu obi bem;acquittal
a wobue ano;opening
a wodi fɔ;culpable
a wodi nam;carnivorous
a wodi nhabannuru;herbivorous
a wodua wɔ fie;homegrown
a wofi wɔn pɛ mu yɛ;voluntary
a wogye tom;receptive
a wogye tom;recognized
a wohu;finding
a wohu;seeing
a wohu ade;sighting
a wonhu ade tiaa;short-sighted
a wonim no yiye;acquainted
a wonim no yiye;familiarly
a wonni abotare;impatiently
a wonni adwempa;unscrupulous
a wonni adwene;unconscionable
a wonni adwennwene;carefree
a wonni afie;homeless
a wonni ahobammɔ;defenseless
a wonni akode;weaponless
a wonni animhwɛ;unbiased
a wonni din;nameless
a wonni ho adanse;unproven
a wonni ho hwee;uninformed
a wonni hu;dauntless
a wonni komapa;insincere
a wonni mmɔborohunu;merciless
a wonni mu;entryless
a wonni nkate;insensitive
a wonni nkate biara;insensitively
a wonni nkrataa;undocumented
a wonni nokware;dishonest
a wonni nokware;disingenuous
a wonni ntease;insensible
a wonni nyamesom;irreligious
a wonni nyansa;unintelligent
a wonni obu;irreverent
a wonni osuahu;inexperienced
a wonni suban pa;impolite
a wonnim;unaware
a wonnim;unbeknownst
a wonnim;unconsciously
a wonnim;unwittingly
a wonnim akenkan ne akyerɛw;illiterate
a wonnim hwee;ignorant
a wonnya sika pii;impecunious
a wonnyae;ceaselessly
a wonnyae;incessantly
a wonnye nni;incredulous
a wonnye nni;unbelieving
a wonnye ntom;unacceptable
a wonsuro;unafraid
a wonsuro hwee;fearless
a wonsusuw nneɛma ho;inconsiderate
a wontua ho ka;unpayable
a wontua hwee;free of charge
a wontua tow biara;duty-free
a wontumi dum;inextinguishable
a wontumi mfa mfiri;inexcusable
a wontumi mfa ntoto ho;uncomparable
a wontumi mfa wɔn nsa nka;impalpable
a wontumi mfa wɔn nsa nka;intangible
a wontumi mmu ani ngu so;negligible
a wontumi mmu ho akontaa;unaccountably
a wontumi mpopa;indelible
a wontumi nhu;elusive
a wontumi nhu;imperceptibly
a wontumi nhu;inconspicuous
a wontumi nhu;invisibility
a wontumi nhu;invisible
a wontumi nhu;invisibly
a wontumi nhu;undetectable
a wontumi nhu;unfindable
a wontumi nhu;unforeseeable
a wontumi nhu;unforeseen
a wontumi nhu;unrecognizable
a wontumi nhu mu;inscrutable
a wontumi nhu nea ɛbɛba;unpredictable
a wontumi nhwehwɛ mu;unexplorable
a wontumi nhyew;incombustible
a wontumi nhyɛ wɔn ho so;incontinence
a wontumi nhyɛ wɔn so;untameable
a wontumi nka wɔn ho;untouchable
a wontumi nkabom;unmergeable
a wontumi nkabom;ununifiable
a wontumi nkan;incalculable
a wontumi nkan;uncountable
a wontumi nkan no;incalculably
a wontumi nkan wɔn;countless
a wontumi nkenkan;illegible
a wontumi nkenkan ade yiye;dyslexic
a wontumi nkwati;inescapably
a wontumi nkwati;inevitably
a wontumi nkwati;unavoidably
a wontumi nkyekye wɔn werɛ;inconsolable
a wontumi nkyekyɛ mu;indivisibility
a wontumi nkyekyɛ mu;unclassifiable
a wontumi nkyerɛkyerɛ mu;indescribable
a wontumi nkyerɛkyerɛ mu;inexplicable
a wontumi nkyerɛkyerɛ mu;inexpressible
a wontumi nkyɛ mu;indivisible
a wontumi nkɔ baabiara;immobile
a wontumi nkɔ hɔ;inaccessibility
a wontumi nkɔ hɔ;inaccessible
a wontumi nkɔ hɔ;unreachable
a wontumi nkɔ mu;impenetrability
a wontumi nkɔ mu;impenetrable
a wontumi nkɔ so;impassable
a wontumi nni;inedible
a wontumi nni mfomso;unmistakable
a wontumi nni so;uncontrollable
a wontumi nni so;uncontrolled
a wontumi nni so;unmanageable
a wontumi nni so;unruly
a wontumi nni so nkonim;insurmountable
a wontumi nnyae;insatiable
a wontumi nnyae;unmissable
a wontumi nnye ho akyinnye;incontrovertibly
a wontumi nnye ho akyinnye;indisputable
a wontumi nnye ho kyim;irrefutable
a wontumi nnye nni;unbelievable
a wontumi nnye nni;unbelievably
a wontumi nnye ntom;implacable
a wontumi nnye ntom;inadmissibility
a wontumi nnye ntom;inadmissible
a wontumi nnye ntom;intolerant
a wontumi nnye ntom;unacceptably
a wontumi nnyina ano;intolerable
a wontumi nnyina ano;intolerably
a wontumi nnyina ano;untenable
a wontumi nsakra no;irreversible
a wontumi nsakrasakra;inflexibility
a wontumi nsi ananmu;irreplaceable
a wontumi nsi gyinae;indecisive
a wontumi nsi gyinae;undecided
a wontumi nsi ho gyinae;indeterminate
a wontumi nsi pi;irresolute
a wontumi nsi pi;uncertain
a wontumi nsi pi;uncertainly
a wontumi nsiesie;incorrigible
a wontumi nsiesie;insolvable
a wontumi nsiesie;irremediable
a wontumi nsiesie;irremediably
a wontumi nsiesie;irreparable
a wontumi nsiesie;irreparably
a wontumi nsiw ano;inexorably
a wontumi nsiw ano;irrepressible
a wontumi nsiw ano;irresistible
a wontumi nsiw ano;irresistibly
a wontumi nsiw ano;unrestrained
a wontumi nsiw ano;unstoppable
a wontumi nsusuw ho;incommensurable
a wontumi nsusuw ho;inconceivable
a wontumi nsusuw ho;unfathomable
a wontumi nsusuw ho;unimaginable
a wontumi nsusuw ho;unthinkable
a wontumi nsɛe no;indissolubility
a wontumi nsɛe no;indissoluble
a wontumi nsɛe no;inviolable
a wontumi nsɛe no;invulnerable
a wontumi nsɛe no;irrefragable
a wontumi nsɛe no;undestroyable
a wontumi nsɛe no;undownable
a wontumi nsɛe no;unerasable
a wontumi nsɛe no;unflappable
a wontumi nsɛe no;unsterilizable
a wontumi nte;inaudible
a wontumi nte ase;incomprehensible
a wontumi nte ase;unintelligibility
a wontumi nte ase;unintelligible
a wontumi ntetew mu;inseparable
a wontumi ntetew mu;inseparably
a wontumi nto dwom;unsingable
a wontumi ntoto ho;incomparable
a wontumi ntua sika;insolvent
a wontumi nwo;infertile
a wontumi nyi mfi hɔ;inexcusably
a wontumi nyɛ ho hwee;incapable
a wontumi nyɛ hwee;helpless
a wonwiei;unfinished
a wonwui;undead
a wosi so dua;emphatic
a wosi so dua;emphatically
a wosi so dua;stressed
a wosuasua;imitation
a wosusuw ho;considerately
a wosusuw ho;consideration
a wosusuw sɛ ɛyɛ;putative
a wotu fagude;mining
a wotumi bubu;breakable
a wotumi bubu;collapsible
a wotumi da no adi;expressible
a wotumi dannan no;convertible
a wotumi dannan no;reversible
a wotumi de di nkitaho;communicable
a wotumi de diagonalizable;diagonalizable
a wotumi de gu nwini mu;freezable
a wotumi di;edibility
a wotumi dua so dua;arable
a wotumi dum;extinguishable
a wotumi fa so;portable
a wotumi gyina ano;resistible
a wotumi hu;identifiable
a wotumi hu;observable
a wotumi hu;perceptible
a wotumi hu;recognizable
a wotumi hu;visible
a wotumi hu;visibly
a wotumi ka ho asɛm;relatable
a wotumi kenkan;legible
a wotumi san yɛ bio;repeatable
a wotumi sesa ne ho;adaptable
a wotumi si;constructible
a wotumi trɛw mu;expandable
a wotumi twa mu;abrogable
a wotumi yɛ;producible
a wotumi yɛ ho nhyehyɛe;programmable
a wotumi yɛ no foforo;renewable
a wotutu fam;exhumation
a wɔaboaboa ano;cumulative
a wɔabow nsa;intoxicated
a wɔabubu no;smithereens
a wɔabue ano;open-ended
a wɔabɔ no akɔmfo;spellbound
a wɔabɔ no apete;tattered
a wɔabɔ no grated;grated
a wɔabɔ no gutted;gutted
a wɔabɔ no kurukuruwa;curved
a wɔabɛn ho;close-up
a wɔadan wɔn awosu mu nkwaadɔm;transgenic
a wɔadi ho adanse;attested
a wɔadi kan asusuw ho;preconceived
a wɔafa wɔn nnommum;captious
a wɔagye atom;absorbed
a wɔagye din;eminent
a wɔagye ho tumi krataa;patented
a wɔahaw;distraught
a wɔahyehyɛ no;composed
a wɔahyehyɛ no nnidiso nnidiso;hierarchical
a wɔahyehyɛ no nnidiso nnidiso;sequenced
a wɔahyehyɛ no nnidiso nnidiso;stratified
a wɔahyɛ no ma;packed
a wɔaka abom;aggregate
a wɔaka abom;conjointly
a wɔaka abom;integrated
a wɔakyekyɛ mu abien;bifurcate
a wɔakyerɛ;specified
a wɔakyerɛw no date;dated
a wɔakyerɛw so;checkered
a wɔakyinkyim no;twisted
a wɔakɔda afiase;stranded
a wɔammɔ ho dawuru;unheralded
a wɔanhu;unnoticed
a wɔanhu;unobserved
a wɔanhyehyɛ no yiye;disorganized
a wɔanhyɛ da;inadvertent
a wɔanhyɛ da;inadvertently
a wɔanhyɛ da;intransigence
a wɔanhyɛ da;unintended
a wɔanhyɛ da;unintentional
a wɔanhyɛ da;unintentionally
a wɔanhyɛ da;unordered
a wɔanhyɛ da;unstinted
a wɔankyerɛ;undisclosed
a wɔanoa;cooked
a wɔanoa no denneennen;hard-boiled
a wɔanoa no yiye;undercooked
a wɔansa no yare;untreated
a wɔansakra no;unaltered
a wɔansusuw ho;thoughtlessly
a wɔansɛe no;unadulterated
a wɔantwitwa;unshorn
a wɔantwitware mu;uninterrupted
a wɔantwitware mu;uninterruptedly
a wɔanya hann;enlightened
a wɔapaapae mu;dishevelled
a wɔapaapae mu;fissiped
a wɔapaw no;selected
a wɔapirapira no;uninjured
a wɔasi wɔn bo;resolute
a wɔasisi wɔ mu;built-in
a wɔato din;titled
a wɔato mu;enclosed
a wɔato mu;shutdown
a wɔatoto rotor amp;locked rotor amp
a wɔatwa no;cut-out
a wɔatwa no ase;undercut
a wɔatwa no pefee;clear cut
a wɔayam;fried
a wɔayam no yiye;grained
a wɔayam no yiye;minced
a wɔayi afi hɔ;abolishment
a wɔayi afi hɔ;abolition
a wɔayi afi mu;omission
a wɔayi afi nipadua mu;excretion
a wɔayi no adi;unleashed
a wɔayi obi afi mu;disqualification
a wɔayi obi afi mu;exclusionary
a wɔayi wɔn afi mu;exclusion
a wɔayi wɔn afi mu;extrication
a wɔayi wɔn afi nnipa mu;excommunication
a wɔayɛ;wrought
a wɔayɛ no abien;duplicate
a wɔayɛ no fie;homebrewed
a wɔayɛ no foforo;invented
a wɔayɛ no foforo;inveterated
a wɔayɛ no foforo koraa;overhaul
a wɔayɛ no fã bi;semi-skimmed
a wɔayɛ no kurukuruwa;rounded
a wɔayɛ no kwa;haphazard
a wɔayɛ no ma atra so;exaggerated
a wɔayɛ no petee;flattened
a wɔayɛ no ragged;ragged
a wɔayɛ no tan;tanned
a wɔbata ho;adherence
a wɔbata ho;adherent
a wɔboaboa nkurɔfo ano;mobilization
a wɔbobɔw;folding
a wɔbom hwɛ mmofra;joint custody
a wɔbom tra;coexistent
a wɔbrɛ wɔn ho ase;condescending
a wɔbɛkae;memorable
a wɔbɛkae;memorably
a wɔbɛn wɔn ho wɔn ho;close ranks
a wɔbɛsan asiesie;realignment
a wɔbɛtu nkurɔfoɔ afi hɔ;evacuation
a wɔda no adi;unveiler
a wɔda nsow;distinguished
a wɔda wɔn ho adi wɔ ɔkwan a ɛmfata so;indecent exposure
a wɔde adwene koro na ɛyɛe;unanimous
a wɔde adwene koro na ɛyɛe;unanimously
a wɔde afotu ma;consultative
a wɔde ahwehwɛ ahwehwɛ ayɛ;bespectacled
a wɔde ahwɛyiye ayɛ;meticulously
a wɔde ahyɛ aman nsa;decentralized
a wɔde ahyɛ mu;embedded
a wɔde ahyɛ mu ma;inflated
a wɔde ahyɛ mu ma akosi dompe no mu;soaked to the bone
a wɔde ahyɛ so;mounted
a wɔde akyɛde pa ama wɔn;well-endowed
a wɔde ano ka;oral
a wɔde ano ka;oralizable
a wɔde ano ka;orally
a wɔde asi hɔ yiye;well-established
a wɔde asodi to wɔn so;blameworthy
a wɔde ayɛ corrugated;corrugated
a wɔde bebue ano;inaugurate
a wɔde besi ananmu;replacement
a wɔde besi hɔ;establishment
a wɔde bɔta ayɛ;buttery
a wɔde bɛka abom;coalescence
a wɔde bɛto akyiri;postponement
a wɔde dade ayɛ;ironclad
a wɔde di dwuma;applicator
a wɔde di dwuma;consumptive
a wɔde di dwuma boro so;overuse
a wɔde di dwuma wɔ akyi;retroactive
a wɔde di dwuma ɔkwammɔne so;exploitation
a wɔde di kan;prioritized
a wɔde fa honam ani;percutaneous
a wɔde fa ntini mu;intravenous
a wɔde gu toa mu;canning
a wɔde gyae adwuma;moratorium
a wɔde gyae adwuma;resignation
a wɔde gyae adwuma;termination
a wɔde gye nneɛma;retrieval
a wɔde gyina akyi;in favor of
a wɔde gyina hɔ ma;representable
a wɔde gyina pintinn;steadiness
a wɔde hwehwɛ yare no mu;diagnosis
a wɔde hwɛ nneɛma a atwam;retrospective
a wɔde hyew nneɛma;calcination
a wɔde hypnotized ayɛ;hypnotized
a wɔde hyɛ akuwakuw mu;clustering
a wɔde hyɛ awotwaa mu;incubation
a wɔde hyɛ mmerɛbo mu;intrahepatic
a wɔde hyɛ mu;incubate
a wɔde hyɛ mu;insertion
a wɔde hyɛ nipadua mu;implant
a wɔde hyɛ nipadua mu;implantation
a wɔde hyɛ nsu ase;submersible
a wɔde hyɛ obi mu;piercing
a wɔde hyɛ obi nsa;strangulation
a wɔde hyɛ ɔbea no mu;invaginate
a wɔde hyɛn mu;infiltration
a wɔde hyɛn mu;penetration
a wɔde hyɛn mu mmɔho abien;double penetration
a wɔde ka ho;accompaniment
a wɔde ka ho;supplementary
a wɔde kamfo wɔn;complimentary
a wɔde kata so;overlay
a wɔde kata so;overlying
a wɔde ko tia aprɛm;antimissile
a wɔde ko tia wimhyɛn;anti-aircraft
a wɔde kum nnipa;euthanasia
a wɔde kyekyere nneɛma ho;wrapping
a wɔde kyerɛ;presentable
a wɔde kɔ baabi foforo;transference
a wɔde kɔma obi;referral
a wɔde laminated ayɛ;laminated
a wɔde nhama ayɛ tẽẽ;straight-laced
a wɔde nneɛma ahyɛ mu;furnished
a wɔde ntakra ayɛ;feathered
a wɔde obi bɛkɔ akɔma obi;extradition
a wɔde powder ayɛ;powdered
a wɔde sesa wɔn ho wɔn ho;interchange
a wɔde si fam;landing
a wɔde si fam;lowering
a wɔde sie;secretion
a wɔde sie;withholding
a wɔde siesie fie;decorative
a wɔde sii hɔ;inaugural
a wɔde siw ano;preventive
a wɔde siw kwan;blockage
a wɔde smelting;smelting
a wɔde susuw nneɛma ho;reflective
a wɔde susuw nneɛma ho;reflexive
a wɔde sɛn hɔ;hanging
a wɔde tintim nhoma;typographical
a wɔde to mu;closure
a wɔde too gua;featured
a wɔde toto ho;comparable
a wɔde tow;puncture
a wɔde tu kwan;mobility
a wɔde tua ho ka;reparation
a wɔde tua ka;indemnify
a wɔde twetwe adwene;diversion
a wɔde twitwiw nipadua mu;injectable
a wɔde wie;conclusive
a wɔde wɔn adwene bu;imaginary
a wɔde wɔn adwene bu;imaginative
a wɔde wɔn adwene si biribi so dodo;hyperfocused
a wɔde wɔn adwene si so;attentive
a wɔde wɔn adwene si so;attentively
a wɔde wɔn bɛsan akɔ wɔn man mu;repatriation
a wɔde wɔn ho ahyɛ mu;annexation
a wɔde wɔn ho ahyɛ mu;possessed
a wɔde wɔn ho gye mu;intervention
a wɔde wɔn ho gye mu;interventive
a wɔde wɔn ho hyɛ mu;abstersive
a wɔde wɔn ho hyɛ mu;accession
a wɔde wɔn ho hyɛ mu;complicity
a wɔde wɔn ho hyɛ mu;confronting
a wɔde wɔn ho hyɛ mu;cuddly
a wɔde wɔn ho hyɛ mu;encroachment
a wɔde wɔn ho hyɛ mu;indulgence
a wɔde wɔn ho hyɛ mu;indulgent
a wɔde wɔn ho hyɛ mu;intrusion
a wɔde wɔn ho hyɛ mu;intrusive
a wɔde wɔn ho hyɛ mu;ostentatious
a wɔde wɔn ho hyɛ mu;reciprocal
a wɔde wɔn ho hyɛ mu;squatting
a wɔde wɔn ho hyɛ ɔbarima ne ɔbea nna mu;flirtatious
a wɔde wɔn ho hyɛ ɔbarima ne ɔbea nna mu;masturbatory
a wɔde wɔn ho to so;compromising
a wɔde wɔn ho to wɔn ho wɔn ho so;interdependent
a wɔde wɔn nsa twitwiw wɔn ho;fondle
a wɔde yi akataso adi;unmasking
a wɔde yɛ aduannuru;fertilizable
a wɔde yɛ aduannuru;fertilizer
a wɔfata;qualified
a wɔhome;inhalation
a wɔhoro nneɛma;launder
a wɔhwɛ kwan;anticipatory
a wɔhwɛ kwan;expectant
a wɔhyɛ atade;uniformed
a wɔhyɛ no denneennen;insistence
a wɔhyɛ no denneennen;insistently
a wɔhyɛ obi so;overbearing
a wɔka ne ho asɛm;self-proclaimed
a wɔka no pefee;articulately
a wɔka nsɛm penpen;outspoken
a wɔkamfo kyerɛ;recommendable
a wɔkasa tia;dissent
a wɔkyekyɛ mu;divisible
a wɔkyekyɛ no;circulation
a wɔkyere gu kasɛt so;recording
a wɔkyere mmoa we;predatory
a wɔkyere nkurɔfo sie;abduction
a wɔkyerɛ ho anisɔ;appreciable
a wɔkyerɛw no yiye;spelt
a wɔkyinkyim;distorting
a wɔkyinkyin;loitering
a wɔkyinkyin;roaming
a wɔma ho kwan;permissive
a wɔma obi so;uplift
a wɔma ɛyɛ kɛse;aggrandizement
a wɔmfa ahofadi nni dwuma;illiberal
a wɔmfa kɔbere nni dwuma;unleaded
a wɔmfa mfiri;unforgivable
a wɔmfa mmuae mma;unrequited
a wɔmfa nhama nni dwuma;cordless
a wɔmfa nni dwuma;unused
a wɔmfa nni dwuma bio;disuse
a wɔmfa nni dwuma yiye;mishandle
a wɔmfa nsiesie;unkempt
a wɔmfa nyɛ hwee;understated
a wɔmfa wɔn adwene nsi so;inattentive
a wɔmfa wɔn ho nhyɛ mu;abstention
a wɔmfa wɔn ho nhyɛ mu;abstergent
a wɔmfa wɔn ho nhyɛ mu;relentless
a wɔmfa wɔn ho nhyɛ mu;unattached
a wɔmfa wɔn ho nhyɛ mu;unconcerned
a wɔmfa wɔn ho nhyɛ mu;unyielding
a wɔmfata;ineligibility
a wɔmfata;ineligible
a wɔmfata;undeserved
a wɔmfata;undeserving
a wɔmfata;unqualified
a wɔmmɔ din;anonymity
a wɔmmɔ mmɔden biara;effortlessly
a wɔmmɔ wɔn din;anonymously
a wɔmpene so;disagreeable
a wɔmpene so;disapproval
a wɔmpɛ;unwelcome
a wɔmpɛ sɛ wɔyɛ;involuntarily
a wɔmpɛ sɛ wɔyɛ;reluctance
a wɔmpɛ sɛ wɔyɛ;reluctantly
a wɔn ani da hɔ;vigilant
a wɔn ani da hɔ;vigilantly
a wɔn ani nnye ho;disinterested
a wɔn ani nnye ho;dislike
a wɔn ani nnye ho;oblivious
a wɔn ani nnye ho;uninterested
a wɔn ho adwiriw wɔn;dumbfounded
a wɔn mfe akɔ anim;ageless
a wɔnoa;boiling
a wɔnom;ingestion
a wɔnom;potable
a wɔntee;unheard
a wɔntee ho asɛm;unheard-of
a wɔnyɛ ahwɛyiye;unwary
a wɔnyɛ ahɔhoyɛ;inhospitable
a wɔnyɛ anifere;tactless
a wɔnyɛ animhwɛ;impartial
a wɔnyɛ animhwɛ;impartially
a wɔnyɛ hwee;nonchalant
a wɔnyɛ nyiyim;indiscriminate
a wɔnyɛ so dua;uncultivated
a wɔpa kyɛw;apologetic
a wɔpam;sewn
a wɔpam obi fi fie;eviction
a wɔpam wɔn fi ɔman no mu;deportation
a wɔpaw nea wɔpɛ;choosy
a wɔpaw nea wɔpɛ;selective
a wɔpene so;agreeable
a wɔpene so;agreeably
a wɔpene so;approvingly
a wɔpene so;consensual
a wɔrebɔ nkɔmmɔ;babbling
a wɔresusuw ho;considering
a wɔreteɛteɛm;howling
a wɔretoto mu;closing
a wɔretwam;passing
a wɔreyi no adi;unveiling
a wɔsan hu no bio;rediscovery
a wɔsan ka bom;recombination
a wɔsan si so dua bio;reassertion
a wɔsesa wɔn ho wɔn ho;alternating
a wɔsrɛsrɛ ade;pleaching
a wɔsɔ hwɛ;tasting
a wɔsɔre tia ahemman nniso;anti-imperialism
a wɔsɔre tia ahemman nniso;anti-imperialist
a wɔsɔre tia amerikafo;anti-Americanism
a wɔsɔre tia catalansom;anti-Catalanism
a wɔsɔre tia sionfo;anti-Zionist
a wɔsɔre tia yudafo;anti-Semite
a wɔsɔre tia yudafo;anti-Semitism
a wɔsɛe no;destroyable
a wɔsɛe no;destructible
a wɔsɛe no;dissipation
a wɔsɛe no;expendable
a wɔte;audible
a wɔte ase;comprehensible
a wɔte ase;intelligible
a wɔte mu;live-in
a wɔtew so;alleviation
a wɔtow gu;disposable
a wɔtow tuo;shooting
a wɔtrɛw mu;stretching
a wɔtwa mu;cancellation
a wɔtwa mu;revocation
a wɔtwe wɔn ho fi ho;abstinent
a wɔtwetwe adwene;dissuasion
a wɔtɔn;for sale
a wɔwɛn;watchful
a wɔyɛ;manufacture
a wɔyɛ adventurous;adventurous
a wɔyɛ ahantan;supercilious
a wɔyɛ aso tie;heedful
a wɔyɛ katee;reactionary
a wɔyɛ no ketewaa bi;minimization
a wɔyɛ no kwa;perfunctory
a wɔyɛ no ntɛmntɛm;impetuous
a wɔyɛ no ntɛmntɛm;impulsive
a wɔyɛ no ntɛmntɛm;impulsiveness
a wɔyɛ no yiye;meticulous
a wɔyɛ no yiye;thoroughness
a wɔyɛ wɔn atuu;huggable
a wɔyɛ wɔn ho sɛ wɔyɛ;pretentious
a yɛadi kan aka ho asɛm no;aforementioned
a yɛaka ho asɛm yi;foregoing
a yɛreka ho asɛm no;in question
a ɔda adagyaw fã;half-naked
a ɔde ne ho to ne ho so;self-reliant
a ɔde ne ho to so;dependent
a ɔhwɛ so;in charge
a ɔmfa ne ti so;topless
a ɔmmrɛ;indefatigable
a ɔmmrɛ;tireless
a ɔmmrɛ;tirelessly
a ɔmpɛ;unwilling
a ɔmpɛ sɛ ɔyɛ;willy-nilly
a ɔnyɛ ahomegye;restless
a ɔsɔre tia amerikafo;anti-American
a ɔsɔre tia müllerian;anti-Müllerian
a ɔsɛe ne ho;self-destructive
a ɔte hɔ;sitting
a ɔtotɔ piti;fainting
a ɔwɔ ahotoso wɔ ne ho;self-assured
a ɔyɛ basabasa;rambunctious
a ɔyɛ den;stalwart
a ɔyɛ mmofra a wɔfa wɔn sɛ wɔn mma;adoptive
a ɔyɛ reticent;reticent
a ɛba bere ne bere mu;intermittent
a ɛba bere ne bere mu;sporadic
a ɛba fam;descent
a ɛba fam a ɛyɛ oblique;inferior oblique
a ɛba fam koraa;minimal
a ɛba fam koraa;minimum
a ɛba fam wɔ asase so;down-to-earth
a ɛba ntɛm ara;instantaneous
a ɛbae;emergence
a ɛboa wɔn ho wɔn ho;complementary
a ɛboro mmara no so;above the law
a ɛboro nea ɛyɛ mmerɛw no so;beyond the pale
a ɛboro so;exceedingly
a ɛboro so;excessively
a ɛboro so;exorbitant
a ɛboro so;extravagant
a ɛboro so;extravagantly
a ɛboro so;outdo
a ɛboro so;outstrip
a ɛboro so;overwhelm
a ɛbɔ abira;contradictory
a ɛbɛn ho;adjacency
a ɛbɛn ho;adjoining
a ɛda adi;manifestation
a ɛda adi;outcrop
a ɛda adi pefee;blatant
a ɛda adi pefee;conspicuous
a ɛda adi pefee;explicit
a ɛda adi pefee;flagrant
a ɛda adi pefee;overt
a ɛda adi pefee;perspicuous
a ɛda adi pefee;vividness
a ɛda adi sɛ;provably
a ɛda hɔ;dormant
