h-ɔtopae a wɔde tow;H-bomb
halotherapy a wɔde sa yare;halotherapy
halter;halter
halva;halva
ham;ham
ham no kɔ soro;ham it up
hama a wɔde abɔ mu;string together
hama a wɔde di dwuma;hammerkop
hama a wɔde hama ayɛ;cord
hama a wɔde hyɛ mu;lanyard
hama a wɔde yɛ bridge;rope bridge
hama a wɔde yɛ hama;hammer
hama a ɛyɛ den a wɔde nantew;tightrope walking
hama ne nkankyee;hammer and sickle
hama ti;hammerhead
hamadryad a wɔde di dwuma;hamadryad
hamartia na ɛyɛ;hamartia
hamas;Hamas
hamate dompe;hamate bone
hamburg na ɛwɔ hɔ;Hamburg
hamburger a wɔde yɛ aduan;hamburger
hamilcar na ɔkyerɛwee;Hamilcar
hammock a wɔde yɛ adwuma;hammock
hamper;hamper
hamster a wɔfrɛ no hamster;hamster
han;hire
han;rent
hana;Hannah
hanam;prey
hang glider a ɛsensɛn hɔ;hang glider
hang gliding a wɔde sɛn hɔ;hang gliding
hangar;hangar
hanger a wɔde sɛn so;hanger
hanger-on a wɔde sɛn so;hanger-on
hangeul na ɔkyerɛwee;Hangeul
hangover a wɔde di dwuma;hangover
hann;bright
hann a wɔde ma;illumination
hann a wɔsɛe no;light pollution
hann a ɛhyerɛn;luminosity
hann a ɛhyerɛn;luminous
hann a ɛhyerɛn;radiant
hann a ɛhyerɛn;ray of light
hann a ɛkyerɛ kwan;guiding light
hann a ɛma hann;luminescence
hann a ɛyɛ den;lightfast
hann afe;light year
hann ahoɔhare;lightspeed
hann fibea;light source
hann kurow;City of Light
hann mu;luminously
hann tuntum;black light
hannibal na ɔkyerɛwee;Hannibal
hanoi na ɛwɔ hɔ;Hanoi
hanover na ɛwɔ hɔ;Hanover
hanukkah na ɛwɔ hɔ;Hanukkah
hapax legomenon a ɛwɔ hɔ;hapax legomenon
haplogroup a wɔde yɛ adwuma;haplogroup
haploid a ɛyɛ haploid;haploid
haploidy a ɛyɛ haploidy;haploidy
haplolepidous a ɛwɔ nipadua no mu;haplolepidous
haplotype a ɛyɛ haplotype;haplotype
haptic a ɛyɛ hu;haptic
haptics a wɔde di dwuma;haptics
harangue;harangue
harare na ɛwɔ hɔ;Harare
harass;harass
haratin na ɔkyerɛwee;Haratin
harbin na ɔkyerɛwee;Harbin
harbinger;harbinger
hard disk a ɛyɛ den;hard disk
hard drive a wɔde di dwuma;hard drive
hard-on a ɛyɛ den;hard-on
hardcore a ɛyɛ den;hardcore
hardtack a ɛyɛ den;hardtack
hardware a wɔde yɛ nneɛma;hardware
hardware sotɔɔ a wɔtɔn nneɛma wom;hardware store
hare;hare
hare a ɛyɛ hare;lightness
harelip a ɛyɛ harelip;harelip
harlequin a wɔde di dwuma;harlequin
harlequin ananse a wɔfrɛ no harlequin;harlequin duck
harmagedon;Armageddon
harmonic a ɛyɛ harmonic;harmonic
harmonic balancer a ɛkari pɛ;harmonic balancer
harmonic dwumadi a ɛyɛ adwuma;harmonic function
harmonic kyerɛ sɛ;harmonic mean
harmonic oscillator a ɛyɛ nea ɛyɛ dɛ;harmonic oscillator
harmonika a wɔde bɔ nnwom;harmonica
harness a wɔde hyɛ mu;harness
harpoon a wɔde di dwuma;harpoon
harpooner a ɔbɔ;harpooner
harpy a wɔde bɔ nnwom;harpy
harpy ɔkɔre a wɔfrɛ no harpy;harpy eagle
harquebus a wɔfrɛ no harquebus;harquebus
harridan na ɔkyerɛwee;harridan
harrier (harrier) a wɔfrɛ no harrier;harrier
harrow;harrow
hart;hart
hartebeest a wɔfrɛ no hartebeest;hartebeest
hartwort a wɔfrɛ no hartwort;hartwort
haryana na ɛwɔ hɔ;Haryana
hasdrubal na ɛyɛ;Hasdrubal
hash;hash
hashish a wɔde yɛ nneɛma;hashish
hashtag a wɔde ahyɛ mu;hashtag
haskalah na ɛyɛ;Haskalah
hasp;hasp
hassidic kasa mu;Hassidic
hassidism a wɔde di dwuma;Hassidism
hassium a wɔfrɛ no hassium;hassium
hassock na ɛyɛ;hassock
hassānīya na ɔkyerɛwee;Hassānīya
hat rack a wɔde hyɛ mu;hat rack
hat trick a wɔde di dwuma;hat trick
hatch;hatch
hatchet nipa;hatchet man
hatful;hatful
hats off;hats off
hatter;hatter
haul;haul
haumea na ɛwɔ hɔ;Haumea
hausdorff nsusuwii;Hausdorff dimension
havana brown na ɔkyerɛwee;Havana Brown
havana na ɛwɔ hɔ;Havana
hawaii;Hawaii
hawaii kasa;Hawaiian
hawaiifo ɔkraman;Hawaiian hawk
hawfinch a wɔfrɛ no hawfinch;hawfinch
hawk;hawk
hawk nwansena;hawk moth
hawkbit a ɛyɛ hu;hawkbit
hawkish a ɛyɛ hu;hawkish
hawksbill mpɔtorɔ;hawksbill turtle
hawsehole a ɛwɔ hɔ;hawsehole
hawser;hawser
hawthorn a wɔfrɛ no hawthorn;hawthorn
hay;hay
hay atiridiinini;hay fever
haywire a wɔde yɛ adwuma;haywire
haze over;haze over
hazel a wɔfrɛ no hazel;hazel
hazel grouse a wɔfrɛ no grouse;hazel grouse
hazelnut a wɔfrɛ no hazelnut;hazelnut
hazelnut nufusu a wɔde yɛ aduan;hazelnut milk
hazing a wɔde di dwuma;hazing
headland a ɛwɔ soro;headland
headsail a wɔde di dwuma;headsail
headwaiter a ɔyɛ adwuma wɔ hɔ;headwaiter
heap;heap
heath a ɛyɛ den;heath
heather;heather
heave;heave
heave wɔ aniwa so;heave in sight
hebdomadary ho asɛm;hebdomadary
hebetude a ɛyɛ hu;hebetude
hebri kasa mu;Hebrew
hebrides na ɔkyerɛwee;Hebrides
hebrifo;Hebrews
hebron;Hebron
hecate a ɛyɛ hyew;Hecate
hecto- .;hecto-
hectogram a wɔde kyerɛ;hectogram
hectolitre na ɛyɛ adwuma;hectolitre
hectometer a ɛwɔ hɔ;hectometre
hector;hector
hecuba na ɔyɛ;Hecuba
hedge;hedge
hedge maze a wɔde yɛ ade;hedge maze
hedge sikakorabea;hedge fund
hedgehog a ɔyɛ ɔkraman;hedgehog
hedwig na ɔkyerɛwee;Hedwig
hee-haw;hee-haw
heel;heel
heft;heft
hefty a ɛyɛ den;hefty
hegel na ɔkyerɛwee;Hegel
hegelian na ɔkyerɛwee;Hegelian
hegemonic a wɔde di dwuma;hegemonic
hehe;hehe
hei;hey
heimlich a ɔde ne ho hyɛ mu;Heimlich maneuver
hekta;hectare
hela kasa mu;Greek
helafo kasa;Hellenic
helafo kasa;Hellenistic
helafo kasa;Hellenize
helafo ne romafo;Greco-Roman
helafo ogya;Greek fire
helafo ɔman no;Hellenic Republic
helafo- .;Greco-
helen na ɔkyerɛwee;Helen
helical a ɛyɛ helical;helical
heliciculture a wɔde yɛ adwuma;heliciculture
helicity a ɛyɛ den;helicity
helictite a wɔfrɛ no helictite;helictite
helikopta a wɔde di dwuma;helicopter
helio- .;helio-
heliocentric a ɛwɔ heliocentric so;heliocentric
heliocentrism a ɛfa owia ho;heliocentrism
heliometer a wɔde kyerɛ ade;heliometer
helion a wɔfrɛ no helion;helion
heliopause a ɛma mogya tu;heliopause
helios na ɔkyerɛwee;Helios
heliostat a wɔde hyɛ nipadua mu;heliostat
heliotheism a wɔde ma;heliotheism
heliotropism a ɛma obi nya heliotropism;heliotropism
heliport;heliport
heliportable a wɔde fa nnipa;heliportable
helium a wɔfrɛ no helium;helium
helium nsoromma;helium star
helix a ɛyɛ den;helix
hell sika;hell money
hellebore na ɛyɛ;hellebore
hellen na ɔyɛɛ saa;Hellen
hellespont na ɔkyerɛwee;Hellespont
hellfoɔ;hellish
hellgya kwan so;hellishly
helm a wɔde di dwuma;helm
helminth a wɔfrɛ no helminth;helminth
helminthology ho adesua;helminthology
helmsman a ɔhwɛ hyɛn no so;helmsman
helot;helot
helsinki na ɛwɔ hɔ;Helsinki
helvetianfo na ɔkyerɛwee;Helvetian
helvetii na ɔkyerɛwee;Helvetii
hem;hem
hemangioma a ɛma mogya tu;hemangioma
hematite a ɛwɔ nipadua no mu;hematite
hematocrit a ɛma mogya tu;hematocrit
hematoma a ɛma mogya tu;hematoma
hemeralopia a ɛma mogya tu;hemeralopia
hemeralopic a ɛwɔ mogya mu;hemeralopic
hemiparesis a ɛyɛ mmerɛw;hemiparesis
hemiplegia a ɛyɛ mmerɛw;hemiplegia
hemipter a ɛwɔ nipadua no mu;hemipter
hemisphere no fã;hemisphere
hemistich a wɔfrɛ no hemistich;hemistich
hemlock;hemlock
hemoglobin a ɛma mogya tu;hemoglobin
hemoptysis a ɛma mogya tu;hemoptysis
hemp;hemp
hemp nufusu;hemp milk
hemstitch a wɔde hyɛ nipadua no mu;hemstitch
hen;hen
hena na onim;who knows
henbane;henbane
henchman a ɔyɛ ɔbaabun;henchman
hendecasyllabic a ɛyɛ nkyerɛwde a ɛyɛ hendecasyllabic;hendecasyllabic
hendiadys a wɔde di dwuma;hendiadys
hene a ɔhwɛ nnua so;king of clubs
henna;henna
henok;Enoch
henotheism a wɔde ma;henotheism
henpeck a wɔfrɛ no henpeck;henpeck
henpecked a wɔabɔ no;henpecked
henrietta na ɔkyerɛwee;Henrietta
henry na ɔkyerɛwee;henry
hentai;hentai
heparin a wɔde di dwuma;heparin
hepatica a ɛtaa ba;common hepatica
hepatica a ɛyɛ mmerɛw;hepatica
hephaestus a ɔyɛ ɔkyerɛwfo;Hephaestus
heptagon a ɛyɛ ahinanan;heptagon
heptahedron a ɛwɔ hɔ;heptahedron
heptane a wɔde yɛ adwuma;heptane
heptathlete a ɔbɔ bɔɔl;heptathlete
heptathlon a wɔde tu mmirika;heptathlon
heptology a wɔde kyerɛw nsɛm;heptalogy
heptose a ɛwɔ hɔ;heptose
heptoxide a wɔde yɛ adwuma;heptoxide
hera na ɔkyerɛwee;Hera
heracles na ɔkyerɛwee;Heracles
heraclitus na ɔkyerɛwee;Heraclitus
heraldry a wɔde kyerɛw nsɛm;heraldry
heram;yawn
herbarium a wɔde yɛ nhabannuru;herbarium
herculaneum a ɛwɔ hɔ;Herculaneum
herculean a ɔyɛ ɔkyerɛwfo;Herculean
hercules adum a wɔde yɛ adwuma;Pillars of Hercules
hercules na ɔkyerɛwee;Hercules
herman na ɔkyerɛwee;Herman
hermaphroditus a ɔyɛ ɔbarima a ɔyɛ ɔbarima;Hermaphroditus
hermes na ɔkyerɛwee;Hermes
hermetic a wɔde hyɛ nipadua mu;hermetic
hermione na ɔkyerɛwee;Hermione
hermit;hermit
hermit krak a wɔfrɛ no hermit krak;hermit crab
hermitage a ɛwɔ hɔ;hermitage
hernia a ɛma obi ho yɛ hyew;hernia
herniorrhaphy a ɛma obi ho kyere no;herniorrhaphy
herode;Herod
herodotus na ɔkyerɛwee;Herodotus
heroin a wɔde di dwuma;heroin
herpes a ɛma obi ho kyere no;herpes
herpes a ɛyɛ mmerɛw a wɔfrɛ no herpes simplex;herpes simplex
herpes zoster a ɛma obi nya ɔyare mmoawa;herpes zoster
herpetofauna a ɛyɛ mmoa a wɔfrɛ wɔn herpetofauna;herpetofauna
herpetologist ho ɔbenfo;herpetologist
herpetology ho adesua;herpetology
herring a wɔfrɛ no herring;herring
hertz;hertz
hervey bay na ɔkyerɛwee;Hervey Bay
hesekiel;Ezekiel
hesiod na ɔkyerɛwee;Hesiod
hesperides na ɔkyerɛwee;Hesperides
hesperidium a wɔfrɛ no hesperidium;hesperidium
hesse na ɔkyerɛwee;Hesse
hetaera;hetaera
heteroatom a ɛyɛ heteroatom;heteroatom
heteroblastic a ɛyɛ heteroblastic;heteroblastic
heterochromia a ɛwɔ nipadua no mu;heterochromia
heteroclite a ɛwɔ hɔ;heteroclite
heterocycle a ɛyɛ soronko;heterocycle
heterodox a ɛyɛ soronko;heterodox
heterodoxy a ɛyɛ soronko;heterodoxy
heterogeneity a ɛyɛ soronko;heterogeneity
heteroscedasticity a ɛwɔ hɔ;heteroscedasticity
heterotroph a ɛyɛ heterotroph;heterotroph
heterotrophic a ɛyɛ soronko;heterotrophic
hetman;hetman
hettangianfo na ɔkyerɛwee;Hettangian
hetty;hetty
heuristic a wɔde kyerɛkyerɛ nneɛma mu;heuristic
hew;hew
hex;hex
hexacosikoron a wɔfrɛ no hexacosikoron;hexacosichoron
hexadecimal a ɛyɛ den;hexadecimal
hexafluoride a wɔde yɛ ade;hexafluoride
hexagon a ɛyɛ ahinanan;hexagon
hexahedron a ɛwɔ afã abien;hexahedron
hexalogy a wɔde kyerɛw nsɛm;hexalogy
hexane a wɔde yɛ ade;hexane
hexapod a ɛwɔ nipadua no mu;hexapod
hexene a wɔfrɛ no hexene;hexene
hexokinase a wɔfrɛ no hexokinase;hexokinase
hexose a ɛyɛ den;hexose
hexoxide a wɔde yɛ ade;hexoxide
heyday;heyday
hezbollah na ɛwɔ hɔ;Hezbollah
hfcs;HFCS
hi;hi
hi-hat;hi-hat
hia;need
hia;poor
hia;relevant
hia;require
hia a ɛho hia;exigent
hia a ɛho hia;importance
hia a ɛho hia;necessity
hia pa ara;crucial
hiatus;hiatus
hibiscus a wɔfrɛ no hibiscus;hibiscus
hiccup a ɛyɛ hu;hiccup
hiccups a ɛyɛ hu;hiccups
hick;hick
hickey;hickey
hickory a wɔfrɛ no hickory;hickory
hidalgo na ɔkyerɛwee;Hidalgo
hideous a ɛyɛ hu;hideous
hie;hie
hieratic a ɛyɛ den;hieratic
hieroglyph a wɔde kyerɛw nsɛm;hieroglyph
hieromonk a wɔfrɛ no hieromonk;hieromonk
hieronymus a ɔyɛ ɔkyerɛkyerɛfo;Hieronymus
hierophany a wɔde di dwuma;hierophany
higgs boson na ɔkyerɛwee;Higgs boson
highborn;highborn
highbrow a ɛyɛ fɛ;highbrow
hight;hight
hijab a wɔde di dwuma;hijab
hijack a wɔkyere nkurɔfo;hijack
hijazi arabic kasa;Hijazi Arabic
hijra;Hijra
hiker a ɔnam fam;hiker
hikikomori a wɔde di dwuma;hikikomori
hilda na ɔkyerɛwee;Hilda
hillbilly a ɛyɛ nkoko so;hillbilly
hilt;hilt
hilum;hilum
him;wave
himalaya mmeae a wɔfrɛ no blackberry;Himalayan blackberry
himalaya mmepɔw so;Himalayan
himalaya mmepɔw so;Himalayas
hin;hin
hinche na ɔkyerɛwee;Hinche
hind;hind
hindi kasa mu;Hindi
hindufo;Hindu
hindusom;Hinduism
hinge a wɔde yɛ adwuma;hinge
hinny;hinny
hintaw na hwehwɛ;hide and seek
hintidua;stumble
hintidua;stumbling block
hip bone;hip bone
hip-hop a wɔde bɔ nnwom;hip-hop
hippie a ɔyɛ ɔbaabun;hippie
hippocampus a ɛwɔ nipadua no mu;hippocampus
hippocrates na ɔkyerɛwee;Hippocrates
hippodrome a ɛwɔ hɔ;hippodrome
hippogriff a wɔfrɛ no hippogriff;hippogriff
hippology ho adesua;hippology
hippopotamid a wɔde yɛ aduru;hippopotamid
hipster a ɔyɛ ɔbarima;hipster
hiragana na ɛyɛ;hiragana
hiram;Hiram
hirsutism a ɛma obi ho yɛ hyew;hirsutism
hirudin na ɔkyerɛwee;hirudin
hispanic amerikafo a wɔyɛ adwuma wɔ hɔ;Hispanic America
hispanic amerikani;Hispanic American
hispanicfo a wɔka wɔn ho asɛm;Hispanic
hispanicfo a wɔyɛ wɔn ade;Hispanicism
hispaniola na ɔkyerɛwee;Hispaniola
hispanophone kasa;Hispanophone
hiss;hiss
histamine a wɔde yɛ nnuru;histamine
histidine a wɔde di dwuma;histidine
histogram a wɔde kyerɛw nsɛm;histogram
histone a wɔfrɛ no histone;histone
histrionic a ɛyɛ histrionic;histrionic
histrionics ho nimdeɛ;histrionics
hit point;hit point
hitch a wɔde hyɛ mu;hitch
hitchcock na ɔkyerɛwee;Hitchcock
hitchhike a wɔde fa nnipa;hitchhike
hitini;Hittite
hitler na ɔkyerɛwee;Hitler
hitler nniso;Hitlerism
hiv;HIV
hiv a wonni bi;HIV negative
hmm;hmm
hmongfoɔ;Hmong
ho;around
ho;ho
ho;self
ho asɛm;profile
ho chi minh kuropɔn;Ho Chi Minh City
ho kɔ atwee;scarce
ho mfonini;depict
ho pere;eager
ho te;clean
ho, ho, ho;ho, ho, ho
ho-;self-
hoahoa;praise
hoahoa wɔn ho;boast
hoard a wɔde asie;hoard
hoarse;hoarse
hoary a ɛyɛ fɛ;hoary
hoatzin a wɔde di dwuma;hoatzin
hobber a ɔyɛ hobber;hobber
hobbit a ɔyɛ ɔbarima;hobbit
hobble a ɛyɛ hu;hobble
hobnail na ɛyɛ;hobnail
hock;hock
hockey a wɔbɔ;hockey
hodgepodge a wɔde di dwuma;hodgepodge
hoe;hoe
hog;hog
hogshead a wɔde wɔn ho hyɛ mu;hogshead
hogwash a wɔde di dwuma;hogwash
hoi polloi a ɛyɛ polloi;hoi polloi
hoisin a wɔde yɛ aduan;hoisin sauce
hoist;hoist
hoity-toitily a wɔde di dwuma;hoity-toitily
hokani;partner
hokani;spouse
hokey;hokey
hokkaido na ɛwɔ hɔ;Hokkaido
hokwan a nnipa wɔ;human right
hokwan a obi nkutoo na ɔwɔ;exclusive right
hokwan a obi wɔ;prerogative
hokwan a obi wɔ sɛ ɔtow aba;suffrage
hokwan a wɔde di dwuma;opportunist
hokwan a wɔde yɛ adwuma;copyright
hokwan a ɔwɔ;rightsholder
hokwan a ɔwɔ sɛ ɔyɛ adwuma;right to work
hokwan a ɛwɔ hɔ;opportune
hokwan a ɛwɔ hɔ;privileged
hokwan a ɛwɔ hɔ;right of way
hokwan ahorow a nea ɔde ka no wɔ;creditor's rights
hokwan ahorow a nnipa wɔ;human rights
hokwan ahorow a wɔde di dwuma;opportunism
hokwan ahorow a wɔde to din;naming rights
hokwan ahorow ho mmara;bill of rights
hokwan ahorow nyinaa wɔ hɔ;all rights reserved
hokwan ho ka;opportunity cost
holey;holey
holism a wɔde di dwuma wɔ ɔkwan a ɛkɔ akyiri so;holism
holland atifi fam;North Holland
holland na ɛwɔ hɔ;Holland
holler a ɔteɛm;holler
hollow out;hollow out
holly;holly
hollyhock a wɔfrɛ no hollyhock;hollyhock
hollywood;Hollywood
holm oak a wɔfrɛ no oak;holm oak
holmium a wɔfrɛ no holmium;holmium
holo- .;holo-
hologram a wɔde kyerɛ;hologram
holographic a wɔde kyerɛw nsɛm;holographic
holomictic a wɔde di dwuma;holomictic
holonym;holonym
holotropic a ɛyɛ holotropic;holotropic
holotype a wɔde yɛ adwuma;holotype
holster a wɔde hyɛ mu;holster
holus-bolus a wɔde di dwuma;holus-bolus
home;breath
home;breathe
home;inhale
home;rest
home a woyi fi mu;exhale
home page;home page
home run a wɔde tu mmirika;home run
home so;pause
home sweet home;home sweet home
homebody;homebody
homeboy a ɔyɛ ɔbarima;homeboy
homeda;Sabbath
homeda bere mu;sabbatical
homeopathic aduruyɛ;homeopathic
homeopathy a wɔde sa yare;homeopathy
homeostasis a wɔde yɛ adwuma;homeostasis
homeostatic a wɔde yɛ adwuma;homeostatic
homer mpo de ne ti to fam;even Homer nods
homer na ɔkyerɛwee;Homer
homeric na ɔkyerɛwee;Homeric
homestead;homestead
homie na ɛyɛ;homie
homing mmorɔnoma;homing pigeon
hominid honid;hominid
hominy ho asɛm;hominy
homo- .;homo-
homogeneity a ɛyɛ pɛ;homogeneity
homograph a wɔde kyerɛw nsɛm;homograph
homologous a ɛyɛ pɛ;homologous
homology a ɛyɛ pɛ;homology
homonymy a wɔde di dwuma;homonymy
homophone a wɔde di dwuma;homophone
homoscedasticity a wɔde di dwuma;homoscedasticity
homospore a ɛma nipadua no yɛ adwuma;homospore
homotopic a wɔde di dwuma;homotopic
homozygous a ɛyɛ biako;homozygous
homunculus (homunculus) a wɔfrɛ no homunculus;homunculus
honam;muscle
honam a ɛyɛ honam;fleshy
honam ani hwɛbea;complexion
honam ani hwɛbea;cutaneous
honam ani hwɛbea kɔkɔɔ;redskin
honam ani kokoram;skin cancer
honam ani nnompe;skin and bones
honam ani tag;skin tag
honam ani yare;dermatitis
honam ani yare ho aduruyɛ;dermatology
honam ani yare ho yare;dermatological
honam ani yare ho ɔbenfo;dermatologist
honam fam;physically
honam fam a wɔde yɛ ade;materialization
honam fam ade dodowpɛ;materialism
honam fam ade dodowpɛ;materialist
honam fam ade dodowpɛ;materialistic
honam fam de;carnal
honam fam mmara;physical law
honam fam nipa;natural person
honam fam nnuruyɛ;physical chemistry
honam fam nut;physic nut
honam kuru;flesh wound
honam mu;in the flesh
honduras na ɛwɔ hɔ;Honduras
hondurasfoɔ na wɔte saa;Honduran
hone;hone
honeymoon a wɔde bɛkɔ;honeymoon
hong kong;Hong Kong
honhom;spirit
honhom a ɛkanyan adwene;moving spirit
honhom abien;two-spirit
honhom fam nneɛma;spirituality
honhom kronkron;Holy Spirit
honhom kwan so;spirit way
honhom mu;spiritual
honhom mu duplicator;spirit duplicator
honhom mu gyinabea;spirit level
honhommɔne;demon
honiara na ɔkyerɛwee;Honiara
hono;shell
hono;swell
honorius a ɔyɛ ɔkyerɛkyerɛfo;Honorius
honshu na ɔkyerɛwee;Honshu
hoo-ha;hoo-ha
hood rat a ɔyɛ ɔkraman;hood rat
hooded a wɔde ahyɛ mu;hooded
hoodie a wɔde hyɛ;hoodie
hoodlum a ɔyɛ ɔkwasea;hoodlum
hoodoo a ɛyɛ hu;hoodoo
hoodwink a wɔde di dwuma;hoodwink
hoof;hoof
hook up ho;hook up
hookah na ɛyɛ;hookah
hooke mmara no;Hooke's law
hooked;hooked
hooker a ɔyɛ ɔkwasea;hooker
hooligan a ɔyɛ ɔkwasea;hooligan
hoop;hoop
hoop asomuade;hoop earring
hoopoe a wɔde di dwuma;hoopoe
hooray a ɛyɛ hu;hooray
hoot;hoot
hopanoid a ɛyɛ hopanoid;hopanoid
hoplite a wɔde di dwuma;hoplite
hopscotch a wɔde di dwuma;hopscotch
horace na ɔkyerɛwee;Horace
horatianfo na ɔkyerɛwee;Horatian
horchata na ɛyɛ;horchata
horde;horde
horehound a wɔfrɛ no horehound;horehound
horehound a ɔyɛ tuntum;black horehound
horizon a ɛyɛ fɛ;horizon
hormone a wɔde sa yare;hormone therapy
hormone a ɛma nipadua no yɛ adwuma;hormonal
hormone a ɛma nipadua no yɛ adwuma;hormone
hormuz asubɔnten no mu;Strait of Hormuz
hornero na ɛyɛ;hornero
hornet a wɔfrɛ no hornet;hornet
horny horny;horny
horo;wash
horopter a ɔkyerɛw no;horopter
horrid a ɛyɛ hu;horrid
hors d’oeuvre a wɔde di dwuma;hors d'oeuvre
horseradish a wɔde yɛ aduru;horseradish
hosanna;hosanna
hose a wɔde yɛ adwuma;hose
hosea;Hosea
hospice;hospice
host din;hostname
hostage;hostage
hot dog a ɛyɛ hyew;hot dog
hotplate a ɛyɛ hyew;hotplate
hottentot na ɛwɔ hɔ;Hottentot
hound hound;hound
houndstooth a wɔfrɛ no ɔkraman;houndstooth
hovel;hovel
hover hover;hover
hover-fly a wɔde tu mmirika;hover-fly
hovercraft a wɔde tu kwan;hovercraft
howard na ɔkyerɛwee;Howard
howitzer a wɔde yɛ adwuma;howitzer
hoyaa;pale
hryvnia a wɔfrɛ no hryvnia;hryvnia
html;HTML
html5;HTML5
http kuki no;HTTP cookie
hu;dangerous
hu amane wɔ;suffer from
hu gu;blow
hu nhumu;discern
hu sɛnea ɛbɛyɛ a wubehu;familiarize
hu wo ho;know thyself
hu yɛ gyidi;seeing is believing
hua;odour
hua a ɛyɛ hu;olfaction
hua a ɛyɛ hu;stench
hua a ɛyɛ huam;aroma
hua a ɛyɛ huam;fragrance
hua-amemene;smell-brain
huahua mu;interfere
huakɔka;mole
huammɔdi;failing
huang ɔno na ɔkyerɛwee;Huang He
huaraz na ɔkyerɛwee;Huaraz
hubble daa;Hubble constant
hubcap a wɔde hyɛ mu;hubcap
hubert na ɔkyerɛwee;Hubert
huchen;huchen
huddle;huddle
hue;hue
huelva na ɔkyerɛwee;Huelva
hufoɔ;coward
hugh;Hugh
huguenotfo na wɔyɛ;Huguenot
huh;huh
huhuhuhu;tension
huhuuhu;creepy
huhuuhu;dread
hula hoop a ɛyɛ hu;hula hoop
hull no;hull
hullaballoo a ɛyɛ hu;hullaballoo
hum;hum
humanzee;humanzee
humbert na ɔkyerɛwee;Humbert
humbug a ɛyɛ hu;humbug
humdrum a ɛyɛ hu;humdrum
humectant a ɛma nsuo yɛ hyew;humectant
humerus a ɛyɛ hu;humerus
humidifier a ɛma nsu yɛ hyew;humidifier
humidor a ɛyɛ hu;humidor
hummingbird a ɔyɛ nnomaa;hummingbird
hummus a ɛyɛ hu;hummus
humongous a wɔde di dwuma;humongous
hump;hump
hump da no;hump day
humpback a ɛyɛ humpback;humpback
humpback whale a ɔyɛ ɔkraman;humpback whale
hun;Hun
hunahuna;threaten
hunch;hunch
hungary kasa;Hungarian
hungary kasa mu nkyerɛwde;Hungarian notation
hungary na ɛwɔ hɔ;Hungary
