j-pop na ɛyɛ;J-pop
jeans a ɛyɛ bruu;blue jeans
jedifo;Jedi
jedisom;Jediism
jeep a wɔfrɛ no jeep;jeep
jeer;jeer
jeffersonfo adwene a wɔde di dwuma;Jeffersonianism
jejunal na ɛyɛ;jejunal
jejunum (jejunum) a wɔfrɛ no jejunum;jejunum
jell;jell
jelly a ɛyɛ fɛ;jelly
jelly bean a ɛyɛ fɛ;jelly bean
jellyfish a wɔfrɛ no jellyfish;jellyfish
jerboa na ɛyɛ;jerboa
jeremiad a ɔkyerɛwee;jeremiad
jerk off;jerk off
jerkin a ɛyɛ jerkin;jerkin
jerky a ɛyɛ jerky;jerky
jerome na ɔkyerɛwee;Jerome
jerrycan a wɔde yɛ adwuma;jerrycan
jersey a ɛyɛ ahabammono;green jersey
jersey a ɛyɛ fɛ;jersey
jesse;Jesse
jesuitfo;Jesuit
jet;jet
jet engine;jet engine
jet lag a wɔde di dwuma;jet lag
jet pack;jet pack
jet set;jet set
jet ski a wɔde tu mmirika;jet ski
jetsam;jetsam
jetty a wɔde hyɛn gyinabea;jetty
jharkhand na ɛwɔ hɔ;Jharkhand
jiangsu na ɔkyerɛwee;Jiangsu
jib;jib
jibe;jibe
jicama;jicama
jicarilla na ɔkyerɛwee;Jicarilla
jiffy a ɛyɛ fɛ;jiffy
jig;jig
jig borer a wɔde yɛ adwuma;jig borer
jigger;jigger
jiggery-pokery a wɔde di dwuma;jiggery-pokery
jigsaw a ɛyɛ fɛ;jigsaw
jigsaw puzzle a ɛyɛ nwonwa;jigsaw puzzle
jihad a wɔde di dwuma;jihad
jihadism a wɔde di dwuma;jihadism
jihadistfoɔ;jihadist
jilt;jilt
jimmy na ɔkyerɛwee;Jimmy
jimsonweed na ɛyɛ;jimsonweed
jingle dɔn a wɔde bɔ;jingle bell
jingoism a wɔde di dwuma;jingoism
jingoist a ɔyɛ ɔbarima;jingoist
jingoistic a wɔde di dwuma;jingoistic
jinn;jinn
jinotega na ɔkyerɛwee;Jinotega
jinx;jinx
jittery a ɛyɛ hu;jittery
jive;jive
jizz;jizz
jlpt;JLPT
joachim na ɔkyerɛwee;Joachim
joanna na ɔkyerɛwee;Joanna
jockey a ɔyɛ ɔpɔnkɔsotefo;jockey
jockstrap a wɔde hyɛ obi nsa;jockstrap
jocose na ɔyɛ;jocose
jocund a ɛyɛ hu;jocund
joe;Joe
jog a wɔde tu mmirika;jog
johannesburg na ɛwɔ hɔ;Johannesburg
john doe na ɔkyerɛwee;John Doe
john dory na ɔkyerɛwee;John Dory
johnny na ɔkyerɛwee;Johnny
johnny-ba-nnansa yi ara;Johnny-come-lately
johnson na ɔkyerɛwee;Johnson
joie de vivre a ɛyɛ anigye;joie de vivre
joiner;joiner
jojoba;jojoba
jonquil a ɛyɛ dɛ;jonquil
jordan;Jordan
jordanfo kasa;Jordanian
josephine na ɔkyerɛwee;Josephine
joss dua a wɔde yɛ adwuma;joss stick
joss krataa;joss paper
jostle a wɔde hyɛ obi nsa;jostle
jot;jot
jota;jota
joule;joule
joust a wɔde yɛ adwuma;joust
jousting a wɔde di dwuma;jousting
jovian na ɔkyerɛwee;Jovian
jowl;jowl
joycean na ɔkyerɛwee;Joycean
joystick a wɔde hyɛ mu;joystick
jr.;Jr.
juba;Juba
juche na ɔkyerɛwee;Juche
juchitán na ɔkyerɛwee;Juchitán
judder a ɛyɛ hu;judder
judo a wɔde di dwuma;judo
judoka a wɔka no;judoka
juggernaut a ɛyɛ hu;juggernaut
juggle a wɔde di dwuma;juggle
juggler a ɔyɛ juggler;juggler
juggling a wɔde di dwuma;juggling
jugular;jugular
jugular vein a ɛwɔ ntini mu;jugular vein
juicer a wɔde yɛ nsu;juicer
jukebox a wɔde yɛ adwuma;jukebox
julia na ɔkyerɛwee;Julia
julian na ɔkyerɛwee;Julian
juliana na ɔkyerɛwee;Juliana
juliet na ɔkyerɛwee;Juliet
julius na ɔkyerɛwee;Julius
jumble;jumble
jumbo;jumbo
jumper cable a wɔde tu mmirika;jumper cable
junco a wɔde di dwuma;junco
juniper a wɔde yɛ nnuadewa;juniper berry
juniper a wɔfrɛ no juniper;juniper
junk mail a wɔde mena;junk mail
junket a wɔde yɛ aduan;junket
junkie a ɔyɛ ɔsadweam;junkie
junkyard a wɔde nneɛma gu mu;junkyard
juno na ɔkyerɛwee;Juno
junta;junta
jupiter a ɛwɔ hɔ;Jupiter
jurassic asɛm no;Jurassic
juris oduruyɛfo;Juris Doctor
jus gentium na ɛwɔ hɔ;jus gentium
justin na ɔkyerɛwee;Justin
justine na ɔkyerɛwee;Justine
justus, na ɔkyerɛwee;Justus
jut;jut
jute a wɔde yɛ adwuma;jute
jutland na ɛwɔ hɔ;Jutland
jyothis na ɔkyerɛwee;Jyothis
