g clef;G clef
gastropod a wɔfrɛ no gastropod;gastropod
gateau;gateau
gatling tuo a wɔde tuo;Gatling gun
gauche (gauche) a wɔfrɛ no gauche;gauche
gaucho a wɔde di dwuma;gaucho
gaudy a ɛyɛ fɛ;gaudy
gauge boson a wɔde susuw nneɛma ho;gauge boson
gauge nhyɛso;gauge pressure
gaul;Gaul
gaunt;gaunt
gauntlet a wɔde yɛ nneɛma;gauntlet
gauss a wɔde di dwuma;gauss
gauze a wɔde yɛ nneɛma;gauze
gavel a wɔfrɛ no gavel;gavel
gavial a wɔde di dwuma;gavial
gawky;gawky
gay ahantan;gay pride
gay bar a wɔnom;gay bar
gay, ɔbarima ne ɔbea nna;gay
gayboy a ɔyɛ ɔbarima;gayboy
gayby a wɔde di dwuma;gayby
gaza;Gaza
gaza strip a ɛwɔ hɔ;Gaza Strip
gazan;Gazan
gazelle a wɔfrɛ no gazelle;gazelle
gazette a wɔde kyerɛw nsɛm;gazette
gazpacho a wɔde di dwuma;gazpacho
gd;G-d
gdańsk;Gdańsk
gdp;GDP
gean;gean
gear a wɔsesa;gear change
gear lever a wɔde di dwuma;gear lever
gear ntwahonan;gear wheel
gearbox a wɔde di dwuma;gearbox
gecko a wɔfrɛ no gecko;gecko
gee;gee
geek;geek
gegenschein a wɔde kyerɛw nsɛm;gegenschein
gehenna;Gehenna
geiger akontaabu no;Geiger counter
gel a wɔde gu nsu mu;shower gel
gel a wɔde yɛ adwuma;gel
gel pen a wɔde yɛ adwuma;gel pen
gelada a wɔfrɛ no gelada;gelada
gelasian a wɔde di dwuma;Gelasian
gelatine a wɔde yɛ nneɛma;gelatine
gelatinous a ɛyɛ gelatinous;gelatinous
gelding a wɔfrɛ no gelding;gelding
gelid;gelid
gelignite a wɔde yɛ nneɛma;gelignite
gemination a wɔde ma;gemination
gemini a ɛyɛ fɛ;Gemini
gemma na ɔkyerɛwee;Gemma
gendarme a ɔyɛ ɔsraani;gendarme
gendarmerie a ɛyɛ hu;gendarmerie
gene;gene
gene pool;gene pool
generalissimo a wɔde di dwuma wɔ ɔkwan a ɛkɔ akyiri so;generalissimo
generator a wɔde yɛ adwuma;generator
generic a wɔde di dwuma wɔ ɔkwan a ɛkɔ akyiri so;generic
genesis;genesis
genet;genet
geneva na ɛwɔ hɔ;Geneva
geneva nhyiam no;Geneva Convention
genevieve na ɔkyerɛwee;Genevieve
genghis khan na ɔkyerɛwee;Genghis Khan
genie a ɛyɛ fɛ;genie
genitive a ɛyɛ ɔbarima ne ɔbea nna;genitive
genizah a wɔde yɛ adwuma;genizah
genoa keeki a wɔde yɛ keeki;Genoa cake
genoa na ɛwɔ hɔ;Genoa
genoesefoɔ;Genoese
genome a ɛwɔ nipadua no mu;genome
genseric na ɔkyerɛwee;Genseric
gentrification a wɔde yɛ adwuma;gentrification
gentrify a wɔde hyɛ obi nsa;gentrify
genuflect a wɔde wɔn ho hyɛ mu;genuflect
genuflection a wɔde ma;genuflection
geobotany ho adesua;geobotany
geocentrism a ɛfa asase ho;geocentrism
geode a ɛwɔ hɔ;geode
geodesic a wɔde di dwuma;geodesic
geodesic dome a wɔde di dwuma;geodesic dome
geodesist ho ɔbenfo;geodesist
geodesy a ɛfa asase ho;geodesy
geoffrey na ɔkyerɛwee;Geoffrey
geogeny ho nimdeɛ;geogeny
geoglyph a wɔde kyerɛw nsɛm;geoglyph
geoid;geoid
geolocalization a ɛwɔ hɔ;geolocalization
geologic bere nsenia;geologic time scale
geologic ho adesua;geologic
geomagnetic a wɔde di dwuma;geomagnetic
geomagnetism ho nimdeɛ;geomagnetism
geomancy ho nimdeɛ;geomancy
geometer a ɛyɛ fɛ;geometer
geometric a ɛyɛ fɛ;geometric
geometric isomerism a wɔde di dwuma;geometric isomerism
geometric kyerɛ sɛ;geometric mean
geometrid a wɔde kyerɛw nsɛm;geometrid
geometry a wɔde hwehwɛ nneɛma mu;analytic geometry
geometry ho adesua;geometry
george na ɔkyerɛwee;George
george vi na ɔkyerɛwee;George VI
georgetown na ɛwɔ hɔ;Georgetown
georgia;Georgia
georgia kasa;Georgian
geotropism a ɛfa asase ho;geotropism
geppetto na ɔkyerɛwee;Geppetto
gerald na ɔkyerɛwee;Gerald
geranium a wɔde yɛ nneɛma;geranium
gerard na ɔkyerɛwee;Gerard
gerbil a wɔfrɛ no gerbil;gerbil
german kasa;German
german kasa a ɛba fam;Low German
german kasa a ɛkorɔn;High German
german kasa a ɛkorɔn dedaw;Old High German
german kasa mu;Germanic
german kasa mu;Germanically
germane kasa mu;germane
germanfo akɔre;German cockroach
germanfo chamomile a wɔfrɛ no chamomile;German chamomile
germanfosom;Germanism
germania na ɛwɔ hɔ;Germania
germanium a ɛwɔ nipadua no mu;germanium
germanni oguanhwɛfo;German Shepherd
germano- .;Germano-
germanophilia a ɛma obi nya ɔyare mmoawa;germanophilia
germany;Germany
germany apuei fam;East Germany
germany atɔe fam;West Germany
germinal a ɛyɛ ɔyare mmoawa;germinal
gerontocracy a wɔde di dwuma;gerontocracy
gertrude na ɔkyerɛwee;Gertrude
gerund a wɔfrɛ no gerund;gerund
gerundive a wɔde di dwuma;gerundive
geta;geta
getafe na ɔkyerɛwee;Getafe
getsemane;Gethsemane
geyser a wɔde di dwuma;geyser
gfy na ɔkyerɛwee;GFY
ghana;Ghana
ghanafoɔ;Ghanaian
ghazal a wɔde di dwuma;ghazal
ghee a ɛyɛ fɛ;ghee
gheg na ɔkyerɛwee;Gheg
ghent na ɛwɔ hɔ;Ghent
gherkin a wɔfrɛ no gherkin;gherkin
ghetto a wɔde wɔn ho hyɛ mu;ghetto
ghibelline na ɔyɛ ɔkyerɛwfo;Ghibelline
ghoul;ghoul
giant anteater a ɛyɛ kɛse;giant anteater
giardiasis a ɛyɛ yare;giardiasis
gibbet a wɔde di dwuma;gibbet
gibbon a ne nsa yɛ tuntum;black-handed gibbon
gibbon a wɔde di dwuma;gibbon
gibbon a wɔde pileated ayɛ;pileated gibbon
gibbon a ɛyɛ ntɛmntɛm;agile gibbon
gibraltar asubɔnten no mu;Strait of Gibraltar
gibraltar na ɛwɔ hɔ;Gibraltar
gibraltarianfo na wɔte saa;Gibraltarian
giddy;giddy
giddyup a ɛyɛ hu;giddyup
gideon;Gideon
gig;gig
giga- .;giga-
gigabyte a ɛyɛ fɛ;gigabyte
gigantic a ɛyɛ kɛse;gigantic
gigantism a wɔyɛ;gigantism
gigawatt a ɛyɛ den;gigawatt
giggity-giggity a ɛyɛ nwonwa;giggity-giggity
gigolo;gigolo
gijón na ɔkyerɛwee;Gijón
gila aboa kɛse;Gila monster
gilaki na ɔkyerɛwee;Gilaki
gilbert na ɔkyerɛwee;Gilbert
gilead;Gilead
giles na ɔkyerɛwee;Giles
gilgamesh na ɔkyerɛwee;Gilgamesh
gill;gill
gilt a wɔde ayɛ;gilt
gimel;gimel
gimlet a wɔde yɛ adwuma;gimlet
gimmick a wɔde yɛ adwuma;gimmick
gin;gin
gin rummy a wɔde yɛ adwuma;gin rummy
ginger beer a wɔde yɛ beer;ginger beer
gingerbread a wɔde yɛ paanoo;gingerbread
gingerbread nipa;gingerbread man
gingivitis a ɛyɛ yare;gingivitis
gingko;gingko
ginkgo a wɔde yɛ adwuma;ginkgo
ginormous a ɛyɛ den;ginormous
ginseng a wɔfrɛ no ginseng;ginseng
giraffe weevil a ɔyɛ ɔkraman;giraffe weevil
girder a wɔde hyɛ mu;girder
girlyman;girlyman
giro d’italia na ɔkyerɛwee;Giro d'Italia
girona na ɔkyerɛwee;Girona
girth a ɛyɛ den;girth
giselle na ɔkyerɛwee;Giselle
gist;gist
git;git
giza;Giza
gizmo a ɛyɛ gizmo;gizmo
gizzard a ɛyɛ den;gizzard
glabella a ɛyɛ mmerɛw;glabella
glade a ɛyɛ fɛ;glade
gladiator a ɔbɔ bɔɔl;gladiator
gladiolus a wɔfrɛ no gladiolus;gladiolus
glagolitic a ɛwɔ nipadua no mu;Glagolitic
glaive (glaive) a ɛyɛ fɛ;glaive
glamour a ɛyɛ fɛ;glamour
gland;gland
glandiform a ɛte sɛ nea ɛwɔ nipadua no mu;glandiform
glandular a ɛyɛ ntini;glandular
glans ɔbarima akyi berɛmo;glans penis
glasgow na ɛwɔ hɔ;Glasgow
glasnost a ɛyɛ fɛ;glasnost
glaucoma a ɛma obi ho yɛ hyew;glaucoma
glaucous a ɛyɛ mmerɛw;glaucous
glaze a wɔde yɛ nneɛma;glaze
glee;glee
gleek;gleek
glen;glen
glide a ɛyɛ fɛ;glide
glider a wɔde tu kwan;glider
glimmer a ɛyɛ hyew;glimmer
glioma a wɔfrɛ no glioma;glioma
glisten a ɛhyerɛn;glisten
glitch a ɛyɛ mmerɛw;glitch
glitter a ɛhyerɛn;glitter
gliwice na ɔkyerɛwee;Gliwice
gloaming a ɛyɛ hu;gloaming
gloat a ɛyɛ anigye;gloat
globe daisy a wɔde di dwuma;globe daisy
globetrotter a ɔde ne ho hyɛ mu;globetrotter
globin a wɔfrɛ no globin;globin
globule a ɛyɛ kurukuruwa;globule
globus cruciger a ɛyɛ akuturuku;globus cruciger
glockenspiel a wɔfrɛ no glockenspiel;glockenspiel
glomerular a ɛyɛ mmerɛw;glomerular
glomerulonephritis a ɛma obi ho yɛ hyew;glomerulonephritis
glomerulus a ɛwɔ nipadua no mu;glomerulus
gloss a ɛyɛ fɛ;gloss
glossitis a ɛyɛ mmerɛw;glossitis
glossolalia a wɔde di dwuma;glossolalia
glottal gyinabea;glottal stop
glottis a wɔde hyɛ nipadua mu;glottis
glover a wɔde di dwuma;glover
glow plug a ɛyɛ hyew;glow plug
glowworm a ɛyɛ hyew;glowworm
glucometer a wɔde kyerɛ sɛnea obi te;glucometer
glucose a ɛwɔ nipadua no mu;glucose
glucosidase a wɔde di dwuma;glucosidase
gluon;gluon
glut;glut
glutamate a ɛwɔ nipadua no mu;glutamate
glutamic acid a ɛwɔ nipadua no mu;glutamic acid
glutamine a wɔfrɛ no glutamine;glutamine
gluteal mu mpaapaemu;gluteal cleft
gluten a wɔde yɛ aduan;gluten
glutenin a wɔde yɛ aduan;glutenin
glycan a wɔfrɛ no glycan;glycan
glycemic a ɛma mogya tu;glycemic
glyceraldehyde a wɔde yɛ aduru;glyceraldehyde
glyceride a wɔde yɛ aduru;glyceride
glycine a wɔfrɛ no glycine;glycine
glycogen a ɛma nipadua no yɛ adwuma;glycogen
glycogenolysis a ɛma nipadua no yɛ adwuma;glycogenolysis
glycolysis a ɛma nipadua no yɛ adwuma;glycolysis
glycoprotein a ɛwɔ nipadua no mu;glycoprotein
glycosaminoglycan a wɔde yɛ aduru a wɔfrɛ no glycosaminoglycan;glycosaminoglycan
glyphosate a wɔde yɛ aduru;glyphosate
gmo;GMO
gnarl a ɛyɛ den;gnarl
gnash a ɛyɛ den;gnash
gnathoplasty a wɔde yɛ aduru;gnathoplasty
gnaw a ɛyɛ den;gnaw
gneiss a wɔfrɛ no gneiss;gneiss
gnocchi a wɔfrɛ no gnocchi;gnocchi
gnome a wɔfrɛ no gnome;gnome
gnomon na ɛyɛ gnomon;gnomon
gnosticsom a wɔde di dwuma;Gnosticism
gnu;gnu
goa;Goa
goad;goad
gobble;gobble
gobble up;gobble up
goblet sanku;goblet drum
goblin a ɔyɛ ɔbarima;goblin
goddard na ɔkyerɛwee;Goddard
godfrey na ɔkyerɛwee;Godfrey
godwit a ne dua yɛ tuntum;black-tailed godwit
goethean na ɔkyerɛwee;Goethean
gogol;Gogol
goitre a ɛwɔ nipadua no mu;goitre
golaghat na ɛwɔ hɔ;Golaghat
golconda na ɔkyerɛwee;Golconda
gold coast na ɛyɛ;Gold Coast
goldonian na ɔkyerɛwee;Goldonian
golem;golem
golf a wɔbɔ;golf
golf agorudibea;golf course
golf bɔfo;golfer
golf bɔɔlbɔ;golf ball
golf kuw a wɔbɔ bɔɔl;golf club
goliat;Goliath
gonad;gonad
gondola a wɔde yɛ adwuma;gondola
gondolier a wɔde yɛ adwuma;gondolier
gondwana na ɔkyerɛwee;Gondwana
gonfalon na ɛyɛ;gonfalon
gong;gong
gongorism a wɔde di dwuma;Gongorism
goniometer a wɔde susuw nneɛma ho;goniometer
goodbye, wiase a ɛyɛ atirimɔdensɛm;goodbye, cruel world
goofy a ɔyɛ ɔkwasea;goofy
google;google
googol;googol
googolplex a wɔde yɛ adwuma;googolplex
goosander a ɔyɛ ɔkraman;goosander
goose akisikuru;goose pimple
goose bump a ɛyɛ mmerɛw;goose bump
goose ntaban;goose wing
gooseberry a ɛyɛ fɛ;gooseberry
gopher a wɔfrɛ no gopher;gopher
gorbachev na ɔkyerɛwee;Gorbachev
gordian kɔndua;Gordian knot
gore;gore
gorge;gorge
gorgon a wɔfrɛ no gorgon;gorgon
gorilla a wɔfrɛ no gorilla;gorilla
gorse;gorse
gorstian na ɔkyerɛwee;Gorstian
gory;gory
gosh;gosh
goshawk na ɛyɛ;goshawk
gosling a wɔka no;gosling
gotcha na ɛwɔ hɔ;gotcha
goth;goth
gothenburg na ɛwɔ hɔ;Gothenburg
gothenburger a wɔde ma;Gothenburger
gothfo kasa;Gothic
gouge;gouge
goulash a wɔde di dwuma;goulash
gound;gound
gourmand a ɔyɛ aduannuru;gourmand
gourmet a ɛyɛ dɛ;gourmet
gout;gout
goutte a wɔde di dwuma;goutte
goy;goy
goyaesque na ɔkyerɛwee;Goyaesque
gps;GPS
gps afiri a wɔde gye nsɛm;GPS receiver
gracchus na ɔkyerɛwee;Gracchus
grackle a wɔde hyɛ mu;grackle
grackle a wɔtaa de di dwuma;common grackle
grader a ɔde ma;grader
graft a wɔde hyɛ nipadua mu;graft
grafting a wɔde hyɛ nipadua mu;grafting
grail kronkron;Holy Grail
gram;gram
gramophone a wɔde kasa;gramophone
granada foforo;New Granada
granada na ɔkyerɛwee;Granada
granadan na ɔkyerɛwee;Granadan
granary a wɔkora so;granary
granate akutu;pomegranate
grand;grand
grand canyon a ɛwɔ hɔ no;Grand Canyon
grand prix a wɔde di dwuma;Grand Prix
grand visier;grand vizier
grandee;grandee
grandeeship a ɛyɛ kɛse;grandeeship
grandiloquent a wɔde kasa kɛse;grandiloquent
grandiose a ɛyɛ nwonwa;grandiose
granite a wɔde ayɛ;granite
granite a wɔde ayɛ;granitic
granitoid a wɔfrɛ no granitoid;granitoid
granodiorite a wɔde yɛ nneɛma;granodiorite
granulate a wɔde yɛ nneɛma;granulate
granuloma a ɛwɔ nipadua no mu;granuloma
graph a wɔakari;weighted graph
graph a wɔakyerɛ kwan;directed graph
graph ho nsusuwii;graph theory
graph krataa a wɔde yɛ mfonini;graph paper
graph no ho mfonini;graph
graphene a wɔde yɛ adwuma;graphene
graphite a wɔde yɛ nneɛma;graphite
grappa;grappa
grapple a wɔde di dwuma;grapple
grappling hook a wɔde di dwuma;grappling hook
grate a wɔde hyɛ mu;grate
grater a wɔde twitwiw nneɛma;grater
grating a wɔde hyɛ mu;grating
graviton a ɛtwe ade ba fam;graviton
gravy a wɔde hyɛ mu;gravy
grayling a ɛyɛ grayling;grayling
graz na ɔkyerɛwee;Graz
great britain;Great Britain
greave;greave
greaves a ɛyɛ fɛ;greaves
grebe a ne kɔn yɛ tuntum;black-necked grebe
grebe a wɔfrɛ no grebe;grebe
grebe kɛse a ɛwɔ crested;great crested grebe
greece na ɛwɔ hɔ;Greece
green card a ɛyɛ ahabammono;green card
green woodpecker a ɛyɛ ahabammono;green woodpecker
greenfinch a wɔfrɛ no greenfinch a wɔfrɛ no greenfinch;greenfinch
greengrocer a ɔtɔn nneɛma;greengrocer
greengrocer’s na ɔyɛ;greengrocer's
greenhorn a ɛyɛ ahabammono;greenhorn
greenhouse;greenhouse
greenhouse effect a ɛma wim yɛ hyew;greenhouse effect
greenland akraman a wɔfrɛ wɔn shark;Greenland shark
greenland na ɛwɔ hɔ;Greenland
greenlandfo kasa;Greenlandish
greenlandni na ɔte saa;Greenlander
greenwash a wɔde hohoro nneɛma;greenwash
greenwich kyerɛ bere;Greenwich Mean Time
greenwich na ɛwɔ hɔ;Greenwich
gregorian na ɔkyerɛwee;Gregorian
gregorian nnwom a wɔbɔ;Gregorian chant
gregory kalenda so;Gregorian calendar
gregory na ɔkyerɛwee;Gregory
grenada na ɛwɔ hɔ;Grenada
grenadianfo a wɔyɛ adwuma wɔ hɔ;Grenadian
gretel na ɔkyerɛwee;Gretel
grevillea a wɔfrɛ no grevillea;grevillea
greyhound a wɔfrɛ no greyhound;greyhound
greylag goose a ɛyɛ ɔkraman;greylag goose
grez na ɔkyerɛwee;Grez
gridiron a wɔde di dwuma;gridiron
gridlock a ɛyɛ den;gridlock
griffin a wɔfrɛ no griffin;griffin
griffon akɔre a wɔfrɛ no vulture;griffon vulture
grill a wɔde yɛ aduan;grill
grille awɛmfo;grille guard
grim;grim
grim otwafo;Grim Reaper
grimalkin a ɛyɛ hu;grimalkin
grime a ɛyɛ fĩ;grime
grimoire a wɔde kyerɛw nsɛm;grimoire
grinder a wɔde twitwiw nneɛma;grinder
gringo;gringo
gringolandia na ɛwɔ hɔ;Gringolandia
grisly, a ɛyɛ hu;grisly
grist;grist
gristle a ɛyɛ den;gristle
grit;grit
grits a ɛyɛ den;grits
grizzly asono a wɔfrɛ no grizzly;grizzly bear
groat;groat
groatsworth na ɔkyerɛwee;groatsworth
grodno na ɔkyerɛwee;Grodno
groggy a ɛyɛ hu;groggy
grok;grok
grommet a wɔfrɛ no grommet;grommet
groningen na ɔkyerɛwee;Groningen
groove a ɛwɔ hɔ;groove
groovy a ɛyɛ nwonwa;groovy
grotesque a ɛyɛ nwonwa;grotesque
grotesquerie a ɛyɛ nwonwa;grotesquerie
grotto a ɛwɔ hɔ;grotto
grouch (grouch) a ɛyɛ hu;grouch
grouchy a ɛyɛ hu;grouchy
grounded;grounded
grouper a wɔfrɛ no grouper;grouper
grouse a ɛyɛ hu;grouse
grouse tuntum a wɔfrɛ no grouse;black grouse
grout;grout
grozny na ɔkyerɛwee;Grozny
grub;grub
grubby a ɛyɛ fĩ;grubby
gruel a ɛyɛ den;gruel
grunt a ɛyɛ hu;grunt
grus na ɔkyerɛwee;Grus
grévy ɔsebɔ a ɔyɛ ɔkraman;Grévy's zebra
gu;collapse
gu aba;sow
gu ho fĩ;desecrate
gu mu;fill
gua a wɔde wɔn ho to so;free market
gua so;marketplace
gua so abɔnten so;market square
gua so bo a ɛsom;market price
gua so bo a ɛsom;market value
gua so kyɛfa;market share
gua so nkyekyɛmu;market segmentation
gua so sikasɛm;market economy
gua-turo;market-garden
guacamole a wɔde di dwuma;guacamole
guadalajara na ɛwɔ hɔ;Guadalajara
guadalcanal na ɛwɔ hɔ;Guadalcanal
guadalquivir a wɔde di dwuma;Guadalquivir
guadeloupe na ɛwɔ hɔ;Guadeloupe
guadeloupefo de no;Guadeloupean
guadibea a wɔtaa yɛ;Common Market
guam;Guam
guamanian kasa;Guamanian
guan kɔ;abscond
guan kɔ;run away
guan kɔ;run off
guanaco;guanaco
guanajuato na ɛwɔ hɔ;Guanajuato
guanche na ɔkyerɛwee;Guanche
guangzhou na ɛwɔ hɔ;Guangzhou
guanine a wɔde di dwuma;guanine
guankɔbea;asylum
guankɔbea;escapade
guankɔbea;haven
guankɔbea;refuge
guankɔbea a wɔde guan;escapism
guankɔbea hwehwɛfo;asylum seeker
guankɔbea suban;escape character
guano;guano
guanosine a wɔde yɛ aduru;guanosine
guantanamo na ɛwɔ hɔ;Guantanamo
guantanamo po no mu;Guantanamo Bay
guanxi na ɛyɛ;guanxi
guar;guar
guarani;Guaraní
guarantee a wɔde ma;guaranty
guaranter a ɔde ma;guarantor
guasodeyɛ ho ɔbenfo;master of ceremonies
guatemala;Guatemala
guatemala kuropɔn mu;Guatemala City
guatemalan kasa;Guatemalan
guava;guava
guayaquil na ɛwɔ hɔ;Guayaquil
gudgeon a wɔde di dwuma;gudgeon
guelph na ɔkyerɛwee;Guelph
guenon a wɔde di dwuma;guenon
guerdon na ɔkyerɛwee;guerdon
guernsey na ɛwɔ hɔ;Guernsey
guerrero na ɔkyerɛwee;Guerrero
guesstimate ho asɛm;guesstimate
guff;guff
guffaw a ɛyɛ hu;guffaw
gugitator a ɔyɛ ɔbarima;gurgitator
guild a wɔde yɛ adwuma;guild
guilder a wɔfrɛ no guilder;guilder
guillemet a wɔde di dwuma;guillemet
guillemot a wɔde di dwuma;guillemot
guillemot a ɛyɛ tuntum;black guillemot
guillotine a wɔfrɛ no guillotine;guillotine
guinea;Guinea
guinea kasa;Guinean
guinea mprako a wɔfrɛ no guinea mprako;guinea pig
guinea nnomaa;guinea fowl
guinea po no mu;Gulf of Guinea
guinea-bissau na ɛwɔ hɔ;Guinea-Bissau
guinevere na ɔkyerɛwee;Guinevere
guipúzcoa na ɛwɔ hɔ;Guipúzcoa
guise;guise
guitar;guitar
gujarat na ɛwɔ hɔ;Gujarat
gujarati kasa mu;Gujarati
gulag;gulag
gulch;gulch
gules;gules
gulf;gulf
gulf arabic kasa;Gulf Arabic
gull a ne ti yɛ tuntum;black-headed gull
gull a ɛyɛ hu;gull
gullet;gullet
gullibility;gullibility
gullible;gullible
gully;gully
gulp a wobɛnom;gulp
gum;gum
gum arabic kasa mu;gum arabic
gummy bear a wɔfrɛ no gummy bear;gummy bear
gummy bears a wɔyɛ asono;Gummy Bears
gumption a ɛyɛ den;gumption
gumshoe a wɔde hyɛ anom;gumshoe
gunny kotokuo;gunny sack
gunwale na ɛyɛ;gunwale
guqin;guqin
gurdwara a wɔde di dwuma;gurdwara
gurgle a ɛyɛ hu;gurgle
gurmukhi na ɔkyerɛwee;Gurmukhi
gurnard na ɔkyerɛwee;gurnard
gurney a wɔde fa nnipa;gurney
guru;guru
gush a ɛyɛ hu;gush
gussy a ɛkɔ soro;gussy up
gust a ɛyɛ hu;gust
gustav na ɔkyerɛwee;Gustav
gut;gut
gut feeling a ɛwɔ nipadua no mu;gut feeling
gut reaction;gut reaction
gutta-percha a wɔde di dwuma;gutta-percha
gutter a wɔde fa nsu mu;gutter
gutter press a wɔde yɛ adwuma;gutter press
guy fawkes anadwo a ɛwɔ hɔ;Guy Fawkes Night
guyana na ɛwɔ hɔ;Guyana
guyanafo kasa;Guyanese
guzzle;guzzle
guzzler a ɔnom;guzzler
gya si hɔ;abandon
gya si hɔ;abandoned
gyaade anomaa;yardbird
gyae;cease
gyae;desist
gyae;discontinue
gyae;forgo
gyae;forsake
gyae;leave alone
gyae;let go
gyae;quit
gyae;relinquish
gyae;resign
gyae;stop
gyae a wogyae;cessation
gyae adwuma no;abdicate
gyae afiase;disincarcerate
gyae akodi;ceasefire
gyae honhom no;give up the ghost
gyae kar no;stop the car
gyae me nko ara;leave me alone
gyae mu;drop
gyae mu;release
gyae mu;rid
gyae na gyae;cease and desist
gyae sukuu;dropout
gyae wo ho;loosen
