w-w;ww
weak;mrɛ
weaken;yɛ mmerɛw
weaker sex;nna a ɛyɛ mmerɛw
weakest link;nkitahodi a ɛyɛ mmerɛw sen biara
weakling;obi a ɔyɛ mmerɛw
weakness;mrɛyɛ
weal;ahonyade
wealth;ahonya
wealthy;sikani
wean;wean nufu
weaning;nufu a wotwa
weapon;akode a wɔde yɛ adwuma
weaponless;a wonni akode
weaponry;akode a wɔde di dwuma
wear down;brɛ ase
wear the trousers;hyɛ trako no
wear thin;hyɛ teateaa
wear;hyɛ
wearable;wotumi hyɛ
weary;ɔbrɛ
weasel out;weasel fi adi
weasel;weasel a wɔfrɛ no weasel
weather forecast;wim tebea ho nkɔmhyɛ
weather map;wim tebea ho mfonini
weather pains;wim tebea mu yaw
weather the storm;wotumi gyina ahum no ano
weather vane;wim tebea ho vane
weather;wiem bɔberɛ
weathercock;wim tebea ho akɔnnɔ
weathering;wim tebea a ɛsakra
weatherman;wim tebea ho nimdefo
weatherstrip;wim tebea ho nhyehyɛe
weave;nwene
weaver;nwenefo
weaving;nwene a wɔpam
web browser;wɛb browser
web colors;wɛb kɔla ahorow
web page;wɛbsaet krataafa
web server;wɛb somfo
webcam;wɛbsaet kamera
weber;weber
webinar;webinar a wɔde di dwuma
webmaster;wɛbsaet sohwɛfo
website;wɛbsaet hɔ
wed;wed
wedding cake;ayeforohyia keeki
wedding dress;ayeforohyia atade
wedding ring;ayeforohyia mpɛtea
wedding;ayeforɔhyia
wedge;wedge a ɛyɛ den
wedgie;wedgie a wɔfrɛ no wedgie
Wednesday;Wukuada
wee small hours;wee nnɔnhwerew nketewa
wee-wee;wee-wee na ɛyɛ
wee;wee
weed;dɔ
week;nnawɔtwe
weekday;dapɛn da
weekend;nnawɔtwe awieeɛ
weekly;dapɛn biara
weenie;weenie
weep;su
weeping willow;willow a ɔresu
weepy;osu
weevil;nwansena
weft;weft a wɔde ayɛ
weigh anchor;kari sɛkyɛ
weigh up;susuw nneɛma ho
weigh;kari
weight gain;mu duru a ɛkɔ soro
weight loss;mu duru a ɛso tew
weight training;mu duru ntetee
weight;muduro
weighted graph;graph a wɔakari
weightless;a emu duru nnim
weightlessness;mu duru a enni mu
weightlifter;obi a ɔma nneɛma a emu yɛ duru so
weightlifting;adesoa a wɔma so
weighty;a emu yɛ duru
Weimar Republic;Weimar Ɔmanpanyin
Weinsberg;Weinsberg na ɔkyerɛwee
weir;weir
weird;basaa
weirdo;weirdo a ɛyɛ nwonwa
Welcome to Country;Yɛma wo akwaaba ba Ɔman no mu
welcome;akwaaba
welcoming;akwaaba a wɔde ma
weld;weld a wɔde yɛ nneɛma
welder;welder a ɔyɛ
welding;welding a wɔde yɛ adwuma
welfare state;yiyedi ɔman
welfare trap;yiyedi afiri
welfare;yiedie
well done;woayɛ adeɛ
well off;yiye
well, well, well;yie, yie, yie
well-being;yiyedi a ɛwɔ hɔ
well-bred;wɔatete no yiye
well-endowed;a wɔde akyɛde pa ama wɔn
well-established;a wɔde asi hɔ yiye
well-meaning;adwempa a ɔwɔ
well-nigh;abɛn yiye
well-read;akenkan yiye
well;ɛyɛ
Wellington;Wellington na ɔkyerɛwee
wellness;akwahosan pa
wellwater;abura mu nsuo
wels catfish;wels mpataa a wɔfrɛ no catfish
Welsh onion;Welshfo ayɛyɛde
Welsh;Welsh kasa mu
Welshman;Welshni a ɔyɛ ɔbarima
Welshwoman;Welshni bi a ɔyɛ ɔbea
welter-weight;welter-mu duru a ɛyɛ den
weltschmerz;weltschmerz na ɔkyerɛwee
Wenceslaus;Wenceslaus na ɔkyerɛwee
wench;wench
werewolf;werewolf a ɔyɛ ɔkraman
Wernicke's area;Wernicke mpɔtam hɔ
West Africa;Afrika Atɔe Fam
West Bank;West Bank
West Bengal;West Bengal
West Berlin;Berlin Atɔe Fam
West Frisian;West Frisia kasa
West Germany;Germany Atɔe Fam
West Indies;West Indies na ɛwɔ hɔ
West Virginia;Virginia Atɔe Fam
west;atɔe fam
Western Australia;Australia Atɔe Fam
western capercaillie;atɔe fam a wɔfrɛ no capercaillie
Western Europe;Europa Atɔe Fam
Western Sahara;Sahara Atɔe Fam
Western Wall;Atɔe Fam Fasu
western;atɔe fam
westerner;atɔe famfo
westernization;atɔe famfo a wɔde wɔn ho hyɛ mu
westernize;atɔe famfo
Westminster Abbey;Westminster Asɔredan mu
Westminster system;Westminster nhyehyɛe
Westphalia;Westphalia na ɛwɔ hɔ
wet blanket;ntama a ɛyɛ nsuo
wet dream;dae a ɛyɛ nsu
wet nurse;ɔyarehwɛfo a ɔyɛ nsu
wet one's whistle;wet obi abɛn
wet oneself;obi a ɔde ne ho hyɛ nsu mu
wet wipe;wet popa
wet;fɔ
wetback;wetback a ɛyɛ nsuo
wether;wim tebea
wetland;nsuten a ɛyɛ nsuten
wetsuit;wetsuit a ɛyɛ nsuo
wettability;nsu a ɛyɛ nwini
whack;whack na ɛyɛ
whale;bonsu
whaler;whaler a ɔde ne ho hyɛ mu
whaling;whale a wɔkyere wɔn
whangdoodle;whangdoodle a wɔde yɛ adwuma
wharf;hyɛn gyinabea
what a lovely day;da a ɛyɛ dɛ bɛn ara ni
what a pity;mmɔborohunu bɛn ara ni
what about;dɛn nso ɛ
what are you doing;woreyɛ dɛn
what do you mean;wopɛ sɛ wokyerɛ sɛn
what do you say;dɛn na woka
what does XX mean;dɛn na XX kyerɛ
what for;dɛn nti na
what have you;dɛn na wowɔ
what is more;nea ɛsen saa
what is that;dɛn ne ɛno
what is your name;wo din de sɛn
what should I do;dɛn na ɛsɛ sɛ meyɛ
what the fuck;nea ɛyɛ fuck
what time is it;bere bɛn na ɛyɛ
what's done is done;nea wɔayɛ no yɛ nea wɔayɛ
what's going on;nea ɛrekɔ so
what's on your mind;nea ɛwɔ w’adwene mu
what's the matter;dɛn ne asɛm no
what's up;deɛn na ɛrekɔ
what's your job;dɛn ne w'adwuma
what's-his-name;nea-ne-ne-din
what;dɛn
whatchamacallit;whatchamacallit a ɛwɔ hɔ
whatever it takes;nea egye biara
whatever;ebiara
whatsoever;nea ɛte biara
wheat flour;awi esiam
wheat germ;awi mu mmoawa
wheat;hwiiti
wheatear;wheatear a wɔde yɛ nneɛma
wheaten;awi a wɔde ayɛ
wheatfield;awi afuw
wheedle;ntwahonan
wheek;whek
wheel and axle;ntwahonan ne aksel
wheel of death;owu ntwahonan
Wheel of Fortune;Ntwahonan a Ɛyɛ Ahonyade
wheel;kankra
wheelbarrow;ntwahonan teaseɛnam
wheelchair;mmubuafo akongua
wheelhouse;ntwahonan dan
wheeze;ahurututu a ɛyɛ hu
whelk;whelk
whelp;whelp a wɔfrɛ no whelp
when is closing time;bere a ɛyɛ bere a wɔde bɛto mu
when pigs fly;bere a mprako tu no
when the cat's away;bere a ɔkraman no wɔ akyirikyiri
when;berɛ bɛn
whence;ɛhɔ na efi
whenever;berɛ biara a
where are we going;ɛhe na yɛrekɔ
where are we;ɛhe na yɛwɔ
where are you from;wofiri he
where are you;wowɔ he
where do you live;wote he
where does it hurt;ɛhe na ɛyɛ yaw
where is the toilet;ɛhe na tiafi no wɔ
where;ɛhe
whereabouts;baabi a ɛwɔ
whereas;berɛ a
whereby;ɛnam so
wherefore;ɛno nti
whereof;nea ɛyɛ
whereto;baabi a wɔde bɛkɔ
wherever;baabiara
wherewithal;nea ɛde ba
whet;whet
whether;sɛ
whetstone;ɔbo a wɔde yɛ whetstone
whey;whey a wɔde yɛ aduru
which;deɛ ɛwɔ he
whichever;nea ɛte biara
whicker;whicker a wɔfrɛ no whicker
whiff;whiff a ɛyɛ hu
while away;bere a ɔwɔ akyirikyiri
while;berɛ a
whilst;bere a
whim;whim
whimbrel;whimbrel a wɔfrɛ no whimbrel
whimper;whimper
whimsical;whimsical a ɛyɛ nwonwa
whinchat;whinchat na ɛyɛ
whine;nwiinwii
whinny;whinny a ɛyɛ hu
whip;mpire a wɔbɔ
whiplash;mpire a wɔbɔ
whipped cream;whipped cream a wɔde ahyɛ mu
whippersnapper;whippersnapper a ɔbɔ mpire
whipping;mpire a wɔbɔ
whippoorwill;whippoorwill bɛbɔ mmɔden
whirligig beetle;whirligig nwansena
whirlpool;whirlpool a ɛyɛ hu
whirlwind;ahum a ɛbɔ
whirr;whirr a ɛyɛ hu
whisk;whisk a wɔde hyɛ mu
whisker;whisker a ɛyɛ den
whiskey dick;whisky a wɔde yɛ dick
whiskey;whisky a wɔde yɛ adwuma
whisper;ka no bɔkɔɔ
whistle in the dark;abɛn a wɔbɔ wɔ sum mu
whistle-blower;obi a ɔbɔ amanneɛ
whistle;hwerɛma
whistler;ɔbɔfo a ɔbɔ abɛn
whistling duck;ananse a ɔrebɔ abɛn
white admiral;ɔsraani panyin a ɔyɛ aborɔfo
white as a sheet;fitaa sɛ krataa
white blood cell;mogya mu nkwammoaa fitaa
white bream;bream fitaa a wɔfrɛ no bream
white cabbage;kabege fitaa
white chocolate;chocolate fitaa
white coat;atade fitaa a wɔde hyɛ
white coffee;kɔfe fitaa
white dwarf;fitaa a ɔyɛ dwarf
white gold;sika kɔkɔɔ fitaa
white goods;nneɛma fitaa
white hole;tokuru fitaa
White House;White House na ɛwɔ hɔ
white lie;atosɛm fitaa
white magic;nkonyaayi fitaa
white marriage;aborɔfo aware
white matter;ade fitaa
white mulberry;mulberry fitaa a ɛyɛ fɛ
white noise;dede fitaa a ɛyɛ dede
white oak;oak fitaa a wɔfrɛ no oak
white pages;nkratafa fitaa
white rhinoceros;ɔkraman fitaa
white rice;aburow fitaa
White Russian;Russia kasa fitaa
White Sea;Po Fitaa
white wedding;aborɔfo ayeforohyia
white wine;bobesa fitaa
white-collar crime;nsɛmmɔnedi a wɔde kɔla fitaa
white-crowned plover;plover a ne ti yɛ fitaa
white-nosed coati;coati a ne hwene yɛ fitaa
white-rumped hawk;ɔkraman a ne ho yɛ fitaa
white-tailed deer;akraman a wɔn dua yɛ fitaa
white-tailed hawk;ɔkraman a ne dua yɛ fitaa
white;fitaa
whiteboard;kyerɛwpon fitaa
whiten;fitaa yɛ fitaa
whiteness;fitaa a ɛyɛ fitaa
whitewash;whitewash a wɔde hyɛ mu
whitewater rafting;nsu fitaa a wɔde fa po so hyɛn mu
whither;baabi a ɛwɔ
whiting;whiting a wɔde hyɛ obi nsa
whitish;fitaa a ɛyɛ fitaa
whitlow;whitlow
whittle;whittle a ɛyɛ mmerɛw
who are you;wowɔ he
who knows;hena na onim
who's calling;nea ɔrefrɛ no
who;hwan
whoa;whoa
whodunit;whodunit a wɔde yɛ adwuma
whoever;obiara a
whole milk;nufusu a wɔayam no yiye
whole;mua
wholegrain;aburow a wɔayam no nyinaa
wholeheartedly;fi koma nyinaa mu
wholemeal bread;paanoo a wɔayam no yiye
wholeness;mũdi a ɛyɛ pɛ
wholesale;adetɔn kɛse
wholesaler;adetɔnfo a ɔtɔn nneɛma akɛse
whom;hwan
whoopee;whoopee a ɛyɛ hu
whooper swan;whooper swan a wɔfrɛ no whooper swan
whooping cough;ɔfe a ɛyɛ hu
whooping crane;krane a ɛyɛ hu
whoops-a-daisy;whoops-a-daisy a ɔyɛ no
whopper;whopper
whopping;whopping
whore around;aguaman a atwa ne ho ahyia
whore;aguaman
whoremonger;aguamammɔfo
whorey;aguaman a ɔyɛ aguaman
whortleberry;whortleberry a ɛyɛ hu
whose;a ne
why not;adɛn na daabi
why;adɛn
Wi-Fi;Wi-Fi a wɔde di dwuma
Wicca;Wicca na ɛyɛ
Wiccan;Wiccan na ɔkyerɛwee
wick;wick
wicked;atirimuɔden
wickedly;abɔnefosɛm mu
wickedness;abɔnefosɛm
wicker;wicker a wɔde ayɛ
wickerwork;wickerwork a wɔde yɛ adwuma
wickerworker;wicker adwumayɛfo
wicket;wicket a wɔde yɛ adwuma
widdershins;widdershins a ɛyɛ nwonwa
wide awake;trɛw a ɛda hɔ
wide open;a ɛtrɛw
wide;tɛtrɛɛ
widescreen;widescreen a ɛtrɛw
widespread;a ɛtrɛwee
widget;widget no
widow's peak;okunafo no peak
widow;okunani baa
widowed;akunafo
widower;okunafo
width;ntrɛmu
wife carrying;ɔyere a ɔsoa
wife;yere
wig;wig a wɔde yɛ adwuma
wigeon;wigeon
wiggle;wosow wo ho
wiki;wiki
wikification;wikification a wɔde kyerɛw nsɛm
wikify;wikify
wikiholic;wikiholic a ɛwɔ hɔ
Wikipedia;Wikipedia na ɛwɔ hɔ
Wikipedian;Wikipedia kasa mu
Wiktionarian;Wiktiona kyerɛwfo
Wiktionary;Wiktionary Nsɛmma Nhoma
wild animal;wuram aboa
wild boar;wuram mprako
wild card;wild card a ɛyɛ hu
wild cherry;wuram cherry a wɔfrɛ no cherry
wild goose;wuram ɔkraman
Wild Hunt;Wild Hunt
wild rice;wuram aburow
wild strawberry;wuram strawberry a wɔde yɛ strawberry
wild turkey;wuram akokɔsrade
wild-goose chase;wuram-akraman a wɔtaa wɔn akyi
wild;krakra
wildcard;wildcard a wɔde kyerɛw nsɛm
wildcat strike;wuram cat a wɔtow hyɛ wɔn so
wildcat;wuram cat
wilderness;sare so
wildfire;wuram ogya a ɛtɔ
wildlife;wuram mmoa
wildling;wuram mmoa
wildly;wɔ ɔkwan a ɛyɛ hu so
wildness;wuram tebea
Wilhelmina;Wilhelmina na ɔkyerɛwee
will contest;bɛsi akan
will o' the wisp;will o' na wisp no
will you marry me;wobɛware me
will;bɛ
William;William na ɔkyerɛwee
willie wagtail;willie wagtail a ɔyɛ ɔkraman
willing;wɔ ɔpɛ
willingly;fi ne pɛ mu
willow grouse;willow grouse a wɔfrɛ no grouse
willow;willow a wɔfrɛ no willow
willpower;ɔpɛ mu tumi
willy-nilly;a ɔmpɛ sɛ ɔyɛ
willy;willy
wilt;wilt
wilted;a ɛyɛ nwunu
Wiltshire;Wiltshire na ɔkyerɛwee
wimp;wimp
win out;nkonimdi fi mu
win-win;nkonimdi-nkonimdi
win;di nkunim
winch;winch a wɔde yɛ adwuma
wind back;mframa san kɔ akyi
wind horse;mframa pɔnkɔ
wind instrument;mframa adwinnade
wind power;mframa ahoɔden
wind rose;mframa sɔree
wind turbine;mframa a wɔde yɛ adwuma
wind up;mframa a ɛkɔ soro
wind;mframabum
winded;mframa a ɛbɔ
windfall;mframa a ɛbɔ
Windhoek;Mframa a wɔfrɛ no Windhoek
windlass;mframa a wɔde yɛ adwuma
windmill;mframa a wɔde yɛ adwuma
window cleaner;mfɛnsere a wɔde tew nneɛma ho
window;mpoma
windowpane;mfɛnsere a wɔde hyɛ mu
windowsill;mfɛnsere mu
windpipe;mframa a ɛbɔ
windrow;mframa a ɛbɔ
windshield wiper;mframa ahwehwɛ a wɔde popa mframa
windshield;mframa ahwehwɛ
windstorm;mframa a ɛbɔ denneennen
windsurf;mframa a wɔde tu mmirika
windsurfing;mframa a wɔde tu mmirika
windward;mframa a ɛbɔ ho
Windy City;Kurow a Mframa Wɔbɔ
windy;mframamframa
wine and dine;bobesa ne adidi
wine cellar;nsadan a wɔde nsa gu mu
wine glass;bobesa kuruwa
wine;bobe
winery;nsadan a wɔyɛ
wineskin;nsa nwoma
winetaster;obi a ɔhwɛ nsa
wing;ntaban
winged;ntaban a ɛwɔ mu
wingspan;ntaban a ɛtrɛw
wink;wink
winnable;wotumi di nkonim
winner;nkonimdifo
Winnie the Pooh;Winnie a ɔyɛ Pooh no
winning streak;nkonimdi a ɛtoatoa so
winnow;winnow na ɛyɛ
wino;wino
winter solstice;awɔw bere mu owiatɔe
winter sport;awɔw bere mu agumadi
winter squash;awɔw bere mu squash
winter;asuso
wintergreen;awɔw bere mu ahabammono
wintry;awɔw bere mu
wipe out;popa fi hɔ
wipe the slate clean;popa slate no ho tew
wipe;pepa
wipeout;popa a wɔpopa
WIPO;WIPO no ho asɛm
wire cutters;nhama a wɔde twa nhama
wire fraud;waya so nsisi
wire gauze;waya a wɔde yɛ gauze
wire netting;waya a wɔde yɛ asau
wire transfer;waya a wɔde fa nhama so
wire;wɔya
wired;wɔde nhama ayɛ
wireless;wireless
wiry;wiry
Wisconsin;Wisconsin
wisdom tooth;nyansa sẽ
wisdom;nyansa
wise guy;onyansafo barima
wise;nyansa
wisely;nyansam mu
wisent;nyansa
wish;pɛ
wishbone;apɛde dompe
wishful thinking;apɛde a wɔde susuw nneɛma ho
wishing well;apɛde a ɛyɛ papa
wishy-washy;wishy-washy a ɛyɛ fɛ
wisp;wisp
wisteria;wisteria, a ɛyɛ wisteria
wistful;wistful a ɛyɛ awerɛhow
wit;wit
witch doctor;abayifo duruyɛfo
witch-hunt;abayifo-abɔmmɔfo
witch;bayifoɔ
witchcraft;abayisɛm
with a grain of salt;ne nkyene a ɛyɛ aburow
with all due respect;a obu a ɛfata nyinaa wom
with bated breath;ne ahome a wɔabɔ no bated
with no further ado;a asɛm biara nni ho bio
with pleasure;anigye so
with regard to;ɛfa
with respect to;wɔ obu a wɔde ma ho
with;ne
withdraw;yi firi
withdrawal symptom;sɛnkyerɛnne a ɛkyerɛ sɛ obi twe ne ho fi ho
withdrawal;yi firi mu
wither;ayow
withered;a ayow
witherite;witherite a ɛyɛ nwunu
withers;ayow
withhold;sie wo ho
withholding;a wɔde sie
within;wɔ mu
without a doubt;akyinnye biara nni ho
without exception;a ɛnyɛ nea ɛka ho
without;nka ho
withstand;gyina ano
witness;ɔdanseni
witty;aniteɛ
wizard;ɔkɔmfoɔ
woad;woad
wobble;wobble
wobbly;wobbly, wosow
woe is me;nnue ne me
woe;nnue
wok;wok
wolf cub;ɔkraman ba
wolf spider;ɔkraman akɔre
wolf;kankane
Wolfgang;Wolfgang na ɔkyerɛwee
wollastonite;wollastonite a wɔde yɛ adwuma
Wolof;Wolof na ɔkyerɛwee
wolverine;wolverine a ɔyɛ ɔkraman
woman of the world;ɔbea a ɔwɔ wiase
woman;ɔbaa
womanish;ɔbea a ɔyɛ ɔbea
womanizer;ɔbea a ɔyɛ ɔbea
womanliness;ɔbeayɛ
womanly;ɔbea de
womb;awotwaa mu
wombat;wombat
wombly;awotwaa mu
womenfolk;mmeafo
wonder;bisadwene
wonderful;nwanwa
wonderfully;anwonwakwan so
wonderland;anwonwade asase
wonderment;nwonwa
wone;wone
wonk;wonk
wont;n
wonton;wonton
woo;woo
wood ear;dua aso
wood mouse;dua a wɔde yɛ mmoawa
wood pigeon;dua mu mmorɔnoma
wood pulp;nnua a wɔde yɛ aduru
wood;dua
woodblock printing;nnua a wɔde tintim nhoma
woodchip;nnua a wɔde yɛ nneɛma
woodchipper;woodchipper a ɔde ne ho hyɛ mu
woodchuck;woodchuck a wɔde yɛ nneɛma
woodcock;woodcock a ɔyɛ ɔkraman
wooded;nnua a wɔde ayɛ
wooden spoon;nnua a wɔde yɛ nsenia
wooden;nnua a wɔde yɛ
woodland;kwae mu asase
woodlark;woodlark a wɔfrɛ no woodlark
woodlouse;nnua a wɔde yɛ nnua
woodpecker;nnua a wɔfrɛ no woodpecker
woodruff;nnua a wɔde yɛ nneɛma
woodwind instrument;adwinnade a wɔde nnua bɔ
woodwork;nnua a wɔde yɛ adwuma
woodworm;nnua a ɛyɛ nwansena
woody;nnua a wɔde yɛ adwuma
woof;woof
woofer;woofer a wɔde yɛ adwuma
wool;asaawa
woolly;woolly
wop;wop
Worcestershire sauce;Worcestershire aduru a wɔde yɛ aduan
word association;nsɛmfua fekubɔ
word for word;asɛmfua biara
word of honor;asɛm a ɛkyerɛ nidi
word of mouth;asɛm a wɔde ano ka
Word of Wisdom;Nyansa Asɛm
word order;nsɛmfua nhyehyɛe
word search;nsɛmfua a wɔhwehwɛ
word to the wise;asɛm a wɔka kyerɛ anyansafo
word-for-word;asɛmfua-asɛmfua
word;asɛmfua
Wordian;Wordian kasa mu
work experience;adwuma mu osuahu
work function;adwuma dwumadi
work in progress;adwuma a ɛrekɔ so
work of art;adwinni a wɔde yɛ adwuma
work one's butt off;adwuma obi akyi
work out;yɛ adwuma
work permit;adwuma ho tumi krataa
work product;adwuma mu ade a wɔyɛ
work to rule;adwuma de di tumi
work-to-rule;adwuma-kɔ-di tumi
work;adwuma
workaholic;adwumayɛfo a wɔyɛ adwumaden
workaround;adwuma a wɔde yɛ adwuma
workbench;adwumayɛbea a wɔde yɛ adwuma
worked up;yɛɛ adwuma kɔ soro
