la gomera na ɔkyerɛwee;La Gomera
lithuania na ɛwɔ hɔ;Lithuania
lithuaniafo ɔkraman;Lithuanian Hound
litmus a wɔde di dwuma;litmus
litmus krataa a wɔde yɛ adwuma;litmus paper
litotes a wɔfrɛ no litotes;litotes
litueche a wɔde di dwuma;Litueche
liverpool;Liverpool
livery a wɔde yɛ nneɛma;livery
livid a ɛyɛ mmerɛw;livid
livonia na ɛwɔ hɔ;Livonia
livonianfo na ɔkyerɛwee;Livonian
livor mortis a ɔyɛ ɔbarima;livor mortis
livornianfo na ɔkyerɛwee;Livornian
livorno na ɔkyerɛwee;Livorno
liège na ɛwɔ hɔ;Liège
liébana na ɔkyerɛwee;Liébana
ljubljana na ɛwɔ hɔ;Ljubljana
llama na ɛyɛ;llama
llc;LLC
lleida na ɔkyerɛwee;Lleida
lo;lo
loach;loach
loafer a wɔde yɛ nneɛma;loafer
loam;loam
lobamba na ɔkyerɛwee;Lobamba
lobby a wɔde gye nkurɔfo;lobby
lobe a ɛwɔ nipadua no mu;lobe
lobotomy a wɔde yɛ adwuma;lobotomy
lobular a ɛyɛ mmerɛw;lobular
localization a ɛwɔ hɔ;localization
localize;localize
loch ness aboa kɛse bi;Loch Ness monster
loch ness na ɛwɔ hɔ;Loch Ness
lochia a wɔfrɛ no lochia;lochia
lochkovian na ɔkyerɛwee;Lochkovian
lock up;lock up
locker a wɔde nneɛma gu mu;locker
locket a wɔde yɛ nneɛma;locket
locomotion;locomotion
locus a ɛwɔ hɔ;locus
lode;lode
lodestone, aboɔden abo;lodestone
loess na ɛyɛ;loess
loft a ɛwɔ soro;loft
loganberry a ɛyɛ fɛ;loganberry
logarithm a wɔde di dwuma;logarithm
logarithmic a wɔde di dwuma;logarithmic
logbook a wɔde kyerɛw nsɛm;logbook
logger;logger
logic aponkɛse;logic gate
logion;logion
logistic a ɛfa nneɛma ho;logistic
logjam a wɔde kyerɛw nsɛm;logjam
logogriph a wɔde kyerɛw nsɛm;logogriph
logopedics ho nsɛm;logopedics
logorrhea a ɛyɛ mmerɛw;logorrhea
logotype;logotype
logroño na ɔkyerɛwee;Logroño
loin;loin
loire na ɔkyerɛwee;Loire
loiter a ɔyɛ ɔkwasea;loiter
lojban na ɔkyerɛwee;Lojban
loll;loll
lollipop a wɔde yɛ nneɛma;lollipop
lolol na ɛyɛe;Lolol
lombard abɔnten so;Lombard Street
lombard na ɔkyerɛwee;Lombard
lombardfo dodow a wɔde di dwuma;Lombard rate
lombardy na ɛwɔ hɔ;Lombardy
lomé na ɔkyerɛwee;Lomé
london;London
london abantenten no;Tower of London
london asase ase;London Underground
london kɛse no;Greater London
londonni na ɔyɛ;Londoner
lone;lone
long johns;long johns
long supɔw so;Long Island
longan;longan
longitude a ɛyɛ tenten;longitude
longshoreman a ɔyɛ adwuma wɔ mpoano tenten;longshoreman
longspine snipefish a wɔde wɔn ho hyɛ mu;longspine snipefish
longyearbyen na ɛwɔ hɔ;Longyearbyen
lonsdaleite a wɔde di dwuma;lonsdaleite
lookalike;lookalike
loom;loom
loon;loon
loon a ne ti yɛ kɔkɔɔ;yellow-billed loon
lop;lop
lope;lope
loppers a wɔyɛ;loppers
loquat a wɔde di dwuma;loquat
lorcan na ɔkyerɛwee;Lorcan
lordosis a ɛma obi nya ɔyare;lordosis
lore;lore
lorraine na ɔkyerɛwee;Lorraine
los angeles na ɛwɔ hɔ;Los Angeles
losing streak;losing streak
lothario na ɔkyerɛwee;lothario
lotion a wɔde yɛ aduru;lotion
loto a wɔbɔ;lottery
loto tekiti a wɔde di dwuma;lottery ticket
lotus a wɔfrɛ no lotus;lotus
lotus aba a wɔfrɛ no lotus aba;lotus seed
lotus gyinabea;lotus position
lotus mpaboa a wɔde yɛ;lotus shoe
lotus nan ho;lotus foot
lou gehrig yare no;Lou Gehrig's disease
louis d’or na ɔkyerɛwee;louis d'or
louis na ɔkyerɛwee;Louis
louise na ɔkyerɛwee;Louise
louisiana na ɛwɔ hɔ;Louisiana
lounger a wɔde hyɛ mu;lounger
lourdes na ɔkyerɛwee;Lourdes
louse;louse
lousy a ɛyɛ fɛ;lousy
lout;lout
louvain na ɔkyerɛwee;Louvain
louvar a ɛyɛ fɛ;louvar
louver a wɔde hyɛ mu;louver
louvre na ɛwɔ hɔ;Louvre
lovage a ɛyɛ fɛ;lovage
lozenge a wɔde yɛ nneɛma;lozenge
luanda na ɔkyerɛwee;Luanda
lucerne na ɔkyerɛwee;Lucerne
lucian na ɔkyerɛwee;Lucian
lucid a ɛyɛ hu;lucid
lucid daeɛ;lucid dream
lucidity a ɛyɛ nokware;lucidity
lucidly;lucidly
lucidness a ɛyɛ hu;lucidness
lucite na ɔkyerɛwee;Lucite
luck out;luck out
lucky charm;lucky charm
lucky charms a ɛyɛ anigye;Lucky Charms
lucy na ɔkyerɛwee;Lucy
luddite kasa;Luddite
ludfordian kasa mu;Ludfordian
ludic;ludic
ludo na ɔkyerɛwee;Ludo
ludwig a ɔyɛ angina;Ludwig's angina
lugo na ɔkyerɛwee;Lugo
lugubrious a ɛyɛ awerɛhow;lugubrious
luka;Luke
lull;lull
lullaby a wɔde bɔ nnwom;lullaby
lumbago a ɛyɛ den;lumbago
lumbar;lumbar
lumenal na ɛyɛ adwuma;lumenal
luminol a wɔde di dwuma;luminol
lummox a wɔde yɛ nneɛma;lummox
lumpenproletariat a wɔde yɛ adwuma;lumpenproletariat
lumpsucker a ɛyɛ akuturuku;lumpsucker
lunfardo na ɔkyerɛwee;Lunfardo
lunge;lunge
lupin a wɔde yɛ adwuma;lupin
lupus a ɛyɛ hu;lupus
lurch;lurch
lure;lure
lurid;lurid
lurk;lurk
lurker;lurker
lusaka na ɔkyerɛwee;Lusaka
lusatia na ɔkyerɛwee;Lusatia
lush;lush
lusifer na ɔkyerɛwee;Lucifer
lusitania na ɔkyerɛwee;Lusitania
luso- .;Luso-
lusophone a wɔde di dwuma;Lusophone
luster;luster
lustrous;lustrous
lustrum a wɔde hyɛ nipadua mu;lustrum
lute (lute) a wɔde di dwuma;lute
lutetian a ɔyɛ ɔkyerɛwfo;Lutetian
lutetium a wɔfrɛ no lutetium;lutetium
lutheransom;Lutheranism
lutherfo kasa;Lutheran
luwian na ɔkyerɛwee;Luwian
lux;lux
luxate a wɔde yɛ nneɛma;luxate
luxembourg na ɛwɔ hɔ;Luxembourg
luxembourgfo kasa;Luxembourgish
luxembourgfoɔ na wɔte saa;Luxembourger
luzon na ɔkyerɛwee;Luzon
lviv;Lviv
lyase;lyase
lycanthropy a wɔde yɛ ade;lycanthropy
lyceum a wɔfrɛ no lyceum;lyceum
lychee a wɔde yɛ aduan;lychee
lycée a wɔfrɛ no lycée;lycée
lye;lye
lyme yare no;Lyme disease
lymph a ɛma mogya tu;lymph
lymph node a ɛma mogya tu;lymph node
lymphatic a ɛma mogya tu;lymphatic
lymphocyte a ɛma mogya tu;lymphocyte
lymphoid a ɛma mogya tu;lymphoid
lymphokine a ɛma mogya tu;lymphokine
lymphoma a ɛma mogya tu;lymphoma
lynch a wɔfrɛ no lynch;lynch
lynching a wɔde di dwuma;lynching
lynx a wɔfrɛ no lynx;lynx
lyons na ɔkyerɛwee;Lyons
lyra na ɔkyerɛwee;Lyra
lyre a wɔfrɛ no lyre;lyre
lyrebird a wɔfrɛ no lyrebird;lyrebird
lysine a wɔde yɛ adwuma;lysine
lysis a ɛyɛ mmerɛw;lysis
lysosome a wɔfrɛ no lysosome;lysosome
lysozyme a wɔfrɛ no lysozyme;lysozyme
lyxose a wɔfrɛ no lyxose;lyxose
löwchen na ɔkyerɛwee;Löwchen
lɔre a wɔde fa nneɛma;lorry
lɔre a wɔde fa nneɛma;pickup truck
lɔre a wɔde nwura gu mu;garbage truck
lɔre a wɔde tow nneɛma gu;dump truck
lɔre a wɔtwe nneɛma;tow truck
lɔre gyinabea;truck stop
lɔrekafo;truck driver
lɛtusi;lettuce
lɛtɛ;letter
