o'clock;dɔnhwerew
oil lamp;ngo kanea
oil of wintergreen;ngo a wɔde yɛ awɔw bere mu ahabammono
oil palm;ngo nnuadewa
oil pipeline;ngo afiri a wɔde fa nsuo mu
oil rig;ngo a wɔde yɛ adwuma
oil slick;ngo a wɔde yɛ slick
oil tanker;ngo a wɔde fa nsu mu
oil well;ngo abura
oil;ngo
oilcan;ngo toa
oilskin;ngo honam ani hwɛbea
oink;oink
ointment;ngo a wɔde yɛ srade
Ojibwe;Ojibwefoɔ
OK;YOO
okapi;okapi
Okazaki fragment;Okazaki asinasin
Oklahoma;Oklahoma
okra;okra
okroshka;okroshka na ɛyɛ
Olaf;Olaf na ɔkyerɛwee
olallieberry;olallieberry a ɛyɛ fɛ
old age pension;nkwakoraa ne mmerewa pɛnhyen sika
old age;mpanyinyɛ
old as the hills;dedaw te sɛ nkoko
Old Catholic;Katolekfo Dedaw
Old Church Slavonic;Asɔre Dedaw Slavonic
Old East Slavic;Apuei Fam Slavic Dedaw
Old English Sheepdog;Engiresifo Nguankraman Dedaw
Old English;Engiresi kasa dedaw
old fart;dedaw fart
Old French;Franse kasa dedaw
old gold;sika kɔkɔɔ dedaw
Old High German;German kasa a Ɛkorɔn Dedaw
Old Irish;Ireland kasa dedaw
old maid;abaawa dedaw
old man;akwakoraa
Old Norse;Norse kasa dedaw
Old Persian;Persia kasa dedaw
Old Portuguese;Portugal kasa dedaw
Old Slavonic;Slavonic kasa dedaw
Old Spanish;Spania kasa dedaw
Old Testament;Apam Dedaw no
old town;kurow dedaw bi
old woman;ɔbaa panyin
Old World;Wiase Dedaw
old-fashioned;dedaw mu nneɛma
old-growth forest;kwae a ayɛ dedaw
old;dada
older adult;ɔpanyin a ne mfe akɔ anim
older brother;onua panyin
older sister;onuawa panyin
oleander;oleander na ɔkyerɛwee
olecranon;olecranon a wɔfrɛ no olecranon
oleic acid;oleic acid a wɔde yɛ aduru
oleic;oleic
Olenekian;Olenekian na ɔkyerɛwee
olfaction;hua a ɛyɛ hu
olfactory;olfactory a ɛyɛ hu
Olga;Olga na ɔkyerɛwee
oligarch;oligarch a wɔde di dwuma
oligarchic;oligarchic a wɔde di dwuma
oligarchy;oligarchy a wɔde di dwuma
oligochaete;oligochaete a wɔfrɛ no oligochaete
oligomer;oligomer a wɔfrɛ no oligomer
oligonucleotide;oligonucleotide a wɔde yɛ ade
oligopolistic;oligopolistic a ɛyɛ nea ɛwɔ hɔ
oligosaccharide;oligosaccharide a wɔde yɛ ade
olingo;olingo
olinguito;olinguito a wɔde kyerɛw nsɛm
olive grove;ngodua turo
olive oil;ngodua ngo
olive tree;ngodua dua
olive;ngodua
Oliver;Oliver na ɔkyerɛwee
Olivia;Olivia na ɔkyerɛwee
Olivier salad;Olivier salad a wɔde yɛ salad
olivine;olivine a wɔde yɛ nneɛma
olla podrida;olla podrida a wɔfrɛ no olla podrida
Olmec;Olmec na ɔkyerɛwee
Olomouc Region;Olomouc Mantam mu
Oltenia;Oltenia na ɔkyerɛwee
OLTP;OLTP na ɛyɛ adwuma
Olympia;Olympia na ɛwɔ hɔ
Olympiad;Olimpik akansi
Olympian;Olimpik akansifo
Olympic Games;Olimpik Agumadi
Olympic Peninsula;Olympic Peninsula a ɛwɔ hɔ
Olympic Winter Games;Olympic Awɔw Bere mu Agumadi
Olympic;Olympic
Olympics;Olimpik akansi ahorow
Olympus;Olympus na ɛwɔ hɔ
Oman;Oman
Omani;Omanfo kasa
omasum;omasum a wɔde yɛ adwuma
ombudsman;ombudsman a ɔhwɛ nkurɔfo so
omega;omega
omelette;omelette a wɔde yɛ nneɛma
omen;omen
omicron;omicron
ominous;ominous a ɛyɛ hu
omissible;womissible
omission;a wɔayi afi mu
omit;omit
ommatidium;ommatidium a wɔde di dwuma
omnibus;omnibus a ɛyɛ biribiara
omnificence;omnificence a ɛyɛ biribiara
omnipotence;tumi nyinaa so tumi
omnipotent;ade nyinaa so tumidifo
omnipresence;baabiara a obi wɔ
omnipresent;a ɛwɔ baabiara
omniscience;biribiara ho nimdeɛ
omniscient;nea onim biribiara
omnitheism;onyame nyinaa ho gyidi
omnivore;nea odi biribiara
omnivorous;nea odi biribiara
Omsk;Omsk na ɔkyerɛwee
on account of;esiane sɛ
on air;wɔ wim
on all fours;wɔ anan no nyinaa so
on base;wɔ nnyinaso so
on behalf of;a egyina hɔ ma
on board;wɔ hyɛn no mu
on call;wɔ ɔfrɛ so
on demand;bere a wɔhwehwɛ no
on duty;wɔ adwuma mu
on end;wɔ awiei
on fire;ogya a ɛrehyew so
on foot;nantew so
on hand;wɔ nsa so
on heat;wɔ ɔhyew so
on one's knees;obi nkotodwe so
on one's own;obi ankasa so
on purpose;wɔhyɛɛ da
on sale;wɔtɔn mu
on the alert;wɔ kɔkɔbɔ so
on the brink;wɔ anoano
on the contrary;nea ɛne no bɔ abira no
on the dot;wɔ nsensanee no so
on the fly;wɔ nwansena so
on the house;wɔ fie no so
on the line;wɔ line no so
on the one hand;ɔkwan biako so no
on the other hand;ɔkwan foforo so no
on the street;wɔ abɔnten so
on the up-and-up;wɔ soro-ne-so no so
on the warpath;wɔ ɔko kwan no so
on the way;wɔ kwan so
on the whole;ne nyinaa mu no
on time;wɔ bere ano
on trend;wɔ trend so
on your marks;wɔ wo agyiraehyɛde ahorow so
on-base percentage;on-base ɔha biara mu nkyem 100
on-site;wɔ beae hɔ
on;so
onager;onage
once again;bio
once and for all;prɛko pɛ
once in a blue moon;pɛnkoro wɔ ɔsram bruu bi mu
once in a while;pɛnkoro wɔ bere ne bere mu
once upon a time;bere bi a atwam
once;prɛko
oncilla;oncilla na ɛyɛ
oncogene;oncogene a ɛwɔ nipadua no mu
oncologic;oncologic aduruyɛ
oncologist;oncologist ho ɔbenfo
oncology;oncology ho adesua
one and a half;biako ne fã
one another;wɔn ho wɔn ho
one at a time;mmiako mmiako
one by one;mmiako mmiako
one day;da bi
one fell swoop;biako hwee ase
one for the road;biako ma ɔkwan no
one hundred and one;ɔha ne biako
one hundred million;ɔpepem ɔha biako
one hundred one;ɔha biako
one moment, please;bere tiaa bi, mesrɛ wo
one o'clock;dɔnhwerew biako
one of these days;nna yi mu biako
one way or another;ɔkwan bi so anaa ɔkwan foforo so
one's;obi deɛ
one-armed bandit;adwowtwafo a ɔwɔ nsa biako
one-armed;abasa biako
one-dimensional;nea ɛwɔ afã biako
one-eyed;aniwa biako
one-handed;nsa biako a wɔde di dwuma
one-man band;nnwontofo kuw a onipa biako na wɔwom
one-night stand;anadwo biako a wɔde gyina hɔ
one-sided;ɔfã biako
one-way mirror;ahwehwɛ a ɛkɔ ɔkwan biako so
one-way street;ɔkwan biako so
one-way ticket;tekiti a wɔde fa ɔkwan biako so
one;baako
oneiric;oneiric na ɛyɛ adwuma
oneirism;oneirism a wɔde di dwuma
oneirologist;obiako a ɔyɛ mframa ho ɔbenfo
oneirology;oneirology ho adesua
oneness;biakoyɛ
onerous;adesoa a ɛyɛ den
oneself;obi ankasa
ongoing;kɔ so
oniomania;oniomania a wɔde di dwuma
onion dome;onion dome a wɔde ayɛ
onion ring;onion ring
onion;gyeene
onionskin;ayɛyɛde nhoma
online;ntanɛte
only child;abofra koro pɛ
only son;ɔba koro pɛ
only;nko ara
onomasiology;onomasiology ho adesua
onomastics;onomastics ho nsɛm a wɔde di dwuma
onomatopoeia;onomatopoeia a wɔde kyerɛw nsɛm
onomatopoeic;onomatopoeic a wɔde kyerɛw nsɛm
onset;mfiase
onslaught;ntua a wɔde hyɛ nkurɔfo so
Ontario;Ontario
onto;onto
ontogenetic;ontogenetic a ɛwɔ nipadua no mu
ontogeny;ontogeny a wɔde yɛ nneɛma
ontological;ontological a ɛfa nneɛma ho
ontology;ontology ho adesua
onus;onus
onward;kɔ so
onychomycosis;onychomycosis a ɛma obi nya ɔyare mmoawa
onyx;onyx a wɔde yɛ nneɛma
oocyte;oocyte
ooh;ooh
oolite;oolite
Oompa Loompa;Oompa Loompa na ɔkyerɛwee
oops;oops
Oort Cloud;Oort Mununkum
oosphere;oosphere
ootheca;ootheca na ɛyɛ
ooze;ooze
opacity;opacity a ɛyɛ mmerɛw
opal;opal
opaque;opaque
OPEC;OPEC na ɛyɛ adwuma
open air;mframa a ɛda hɔ
open bar;bue bar no
open book;bue nhoma no mu
open fire;ogya a wɔabue mu
Open Game;Open Game
open house;ofie a wɔabue ano
open sea;po a ɛda hɔ
open secret;ahintasɛm a wɔabue ano
open sesame;sesame a wɔabue mu
open-air;a ɛwɔ abɔnten so
open-end fund;sikakorabea a wɔabue ano
open-ended;a wɔabue ano
open-minded;a n’adwene abue
open-mouthed;ano a abue
open-pit mine;mine a wɔabue mu
open;bue
opener;opener
opening;a wobue ano
openly;pefee
openwork;adwuma a wɔabue ano
opera house;opera dan a wɔde di dwuma
opera singer;opera odwontofo
opera;opera
operant conditioning;operant a wɔde yɛ adwuma
operate;yɛ adwuma
operating room;dan a wɔyɛ oprehyɛn
operating system;nhyehyɛe a wɔde di dwuma
operating theatre;oprehyɛn dan mu
operation;anamɔntuo
operational;adwumayɛ mu
operative;adwumayɛfo a wɔyɛ adwuma
operator;adwumayɛfo a wɔyɛ adwuma
operculum;operculum (operculum) a ɛwɔ nipadua no mu
operetta;operetta a wɔde yɛ adwuma
Ophelia;Ophelia na ɔkyerɛwee
ophidian;ophidian a ɔyɛ ɔbarima
ophiophobia;ophiophobia a ɛyɛ hu
Ophiuchus;Ophiuchus na ɔkyerɛwee
ophthalmic;aniwa ho aduruyɛ
ophthalmological;aniwa ho aduruyɛ
ophthalmologist;aniwa ho ɔyaresafo
ophthalmology;aniwa ho aduruyɛ
ophthalmoscope;aniwa a wɔde hwɛ aniwa
opiate;opiate a wɔde di dwuma
opine;adwene a wɔde ma
opinion poll;adwene mu nhwehwɛmu
opinion;nsusuiɛ
opinionated;adwene a wɔde ma
opium;opium a wɔde di dwuma
Oporto;Oporto a ɛwɔ hɔ
opossum;opossum
opponent;ɔsɔretiafo
opportune;hokwan a ɛwɔ hɔ
opportunely;bere a ɛfata mu
opportunism;hokwan ahorow a wɔde di dwuma
opportunist;hokwan a wɔde di dwuma
opportunity cost;hokwan ho ka
opportunity;akwannya
oppose;sɔre tia
opposed;sɔre tiae
opposite sex;ɔbarima ne ɔbea nna a ɛne ne ho bɔ abira
opposite;abira
opposition;ɔsɔretia
oppress;nhyɛso
oppressed;wɔhyɛ wɔn so
oppression;nhyɛso
oppressor;nhyɛsofo
opprobrium;animtiaabu
opsonin;opsonin a wɔde di dwuma
opt;opt
optic chiasm;aniwa mu chiasm
optic nerve;aniwa ntini a ɛma aniwa no yɛ adwuma
optical illusion;aniwa so adwemmɔne
optician;aniwa ho ɔbenfo
optimal;nea eye sen biara
optimism;anidaso a ɛwɔ hɔ
optimist;obi a ɔwɔ anidaso
optimistic;wɔ awerɛhyɛmu
optimize;optimize
optimum;nea eye sen biara
option;ɔpɛ
optional;ɛnyɛ ɔhyɛ
optography;optography a wɔde hwɛ aniwa so
optometrist;aniwa ho ɔyaresafo
optometry;aniwa ho nhwehwɛmu
opulence;ahonyade a ɛyɛ fɛ
opuscule;opuscule a ɛyɛ mmerɛw
or else;anaasɛ ɛnte saa
or;anaasɛ
oracle bone script;oracle bone nkyerɛwee
oracle bone;oracle dompe a ɛyɛ den
oral hygiene;anom ahotew
oral sex;nna a wɔde ano ka
oral tradition;atetesɛm a wɔde ano ka
oral;a wɔde ano ka
orality;ano a wɔka
oralizable;a wɔde ano ka
oralization;asɛm a wɔde ano ka
oralize;ka asɛm a wɔde ano ka
orally;a wɔde ano ka
Oran;Oran na ɔkyerɛwee
orange blossom;nhwiren a ɛyɛ borɔdɔma
orange juice;akutu nsu a wɔde yɛ
Orange-Nassau;Orange-Nassau na ɛwɔ hɔ
orange;ankaa
orangeade;orangeade a wɔde yɛ nneɛma
orangish;a ɛyɛ borɔdɔma
orangutan;orangutan a wɔfrɛ no orangutan
orate;orate
oratory;ɔkasa mu nsɛm
orb;orb
orbicular;a ɛyɛ kurukuruwa
orbicularis oculi;orbicularis a ɛyɛ akisikuru
orbit;orbit
orbital;orbital a ɛtwa ho hyia
orc;orc
orca;orca a wɔfrɛ no orca
orchard;nnuaba turo
orchestra;nnwontofo kuw
orchestral;nnwontofo kuw
orchestrator;nnwontofo a ɔhyehyɛ nnwontofo
orchid;orchid a wɔfrɛ no orchid
orchidarium;orchidarium a wɔyɛ nnwontofo kuw
orchidology;orchidology ho adesua
Orcus;Orcus a wɔfrɛ no Orcus
ordeal;amanehunu
Order of Australia;Australia Nhyehyɛe
order;kra
ordered pair;ahyɛde pair
orderliness;nhyehyɛe a wɔyɛ
orderly;nhyehyɛe a wɔyɛ
ordinal number;ordinal nɔma
ordinal;ordinal a wɔde di dwuma
ordinance;ahyɛde
ordinariate;ordinariate
ordinarily;mpɛn pii no
ordinary;kɛkɛ
ordinate;ordinate a wɔde hyɛ mu
ordnance;ordnance a wɔde yɛ nneɛma
ordure;nhyehyɛe
ore;ore
oregano;oregano a wɔfrɛ no oregano
Oregon grape;Oregon bobe aba
Oregon;Oregon
Orenburg;Orenburg na ɔkyerɛwee
Oresund Bridge;Oresund Adakayɛbea
Oresund;Oresund na ɔkyerɛwee
organ harvesting;akwaa a wɔtwa
organ pipe;akwaa paipu
organ transplant;akwaa a wɔde si ananmu
organ;akwaa
organdy;organdy a wɔde yɛ nneɛma
organelle;organelle a ɛyɛ akwaa
organic chemistry;abɔde mu nneɛma a wɔde yɛ nneɛma
organic compound;organic aduru a wɔde yɛ nneɛma
organic;organic
organism;abɔde a nkwa wom
organist;organist sankubɔfo
organization;adwumakuo
organizational;ahyehyɛde mu de
organize;nhyehyɛe
organized crime;nsɛmmɔnedi a wɔahyehyɛ
organized;nhyehyɛe
organizer;nhyehyɛefo
organochlorine;organochlorine a wɔde yɛ aduru
organogenesis;akwaa a ɛma nipadua no yɛ adwuma
organography;akwaa ho nhyehyɛe
organoleptic;organoleptic a ɛma nipadua no yɛ adwuma
organolithium;organolithium a wɔde yɛ nneɛma
organomercury;organomercury a wɔde yɛ nneɛma
organophosphate;organophosphate a wɔde yɛ nneɛma
orgasm;orgasm a obi nya
orgasmic;orgasmic a wɔde di dwuma
orgasmically;wɔ orgasmically mu
orgiastic;orgiastic a wɔde di dwuma
orgulous;orgulous a ɛyɛ fɛ
orgy;orgy
orient;apuei fam
orientation;nhyɛmu
orienteering;orientering a wɔde kyerɛ kwan
origami;origami a wɔde yɛ nneɛma
origin;abɔseɛ
original sin;mfitiase bɔne
original;ankasa
originality;mfitiasesɛm a wɔde yɛ adwuma
originally;mfiase no
originate;fi ase
Orinoco;Orinoco na ɔkyerɛwee
oriole;oriole a wɔde di dwuma
Orion's Belt;Orion N’abɔso a Wɔde Yɛ Adwuma
Orion;Orion na ɔkyerɛwee
orison;orison
Oristano;Oristano na ɔkyerɛwee
Oriya;Oriya kasa
Orkney Islands;Orkney Nsupɔw so
ornament;agude a wɔde yɛ nneɛma
ornamental;afɛfɛde a wɔde yɛ nneɛma
ornery;ornery a wɔde yɛ nneɛma
ornithine;ornithine a wɔde yɛ nneɛma
ornithological;nnomaa ho adesua
ornithologist;nnomaa ho ɔbenfo
ornithology;nnomaa ho adesua
ornithophobia;nnomaa ho suro
ornithopter;nnomaa a wɔfrɛ no ornithopter
ornithosis;nnomaa a wɔfrɛ no ornithosis
orogenesis;orogenesis a ɛba
orography;orography a wɔde kyerɛw nsɛm
orphan drug;nyisaa nnubɔne
orphan;agyanka
orphanage;nyisaa atrae
orphanhood;nyisaa a wɔyɛ
Orpheus;Orpheus na ɔkyerɛwee
orpiment;orpiment a ɛyɛ fɛ
orrery;orrery na ɛyɛ
ort;ort
orthoclase;orthoclase a wɔde di dwuma
orthodontic;aduru a wɔde sesa sẽ
orthodontics;ntini a wɔde sesa
orthodontist;oduruyɛfo a ɔhwɛ nsensan so
Orthodox Church;Ortodɔks Asɔre no
orthodox;orthodoxfo a wɔyɛ katee
orthodoxia;orthodoxia a ɛyɛ katee
orthodoxly;wɔ ɔkwan a ɛyɛ katee so
orthodoxy;orthodoxy a wɔde di dwuma wɔ ɔkwan a ɛyɛ katee so
orthoepy;orthoepy a wɔde yɛ adwuma
orthographic;nkyerɛwde a wɔde kyerɛw nsɛm
orthography;nkyerɛwde a wɔde kyerɛw nsɛm
orthologous;orthologous a ɛyɛ nokware
orthomolecular;orthomolecular a wɔde yɛ nneɛma
orthopedic;nnompe mu aduruyɛ
orthopedics;nnompe ho aduruyɛ
orthopedist;nnompe ho ɔyaresafo
orthorexia;orthorexia a ɛma obi ho yɛ hyew
orthorhombic;orthorhombic a ɛyɛ nwonwa
orthosilicate;orthosilicate a wɔde yɛ nneɛma
orthosympathetic;orthosympathetic a wɔde wɔn ho hyɛ mu
orthotopic;orthotopic a wɔde di dwuma
ortolan;ortolan
Orwellian;Orwellian na ɔkyerɛwee
Oryol;Oryol
oryx;oryx a wɔfrɛ no oryx
Osaka;Osaka na ɔkyerɛwee
Oscan;Oscan na ɔkyerɛwee
Oscar;Oscar na ɔkyerɛwee
oscillate;oscillate a ɛwosow
oscillator;oscillator a ɛma wo ho yɛ hyew
oscilloscope;oscilloscope a wɔde hwɛ ade
osier;osier
Osiris;Osiris na ɔkyerɛwee
Oslo;Oslo
osmium;osmium a wɔde yɛ adwuma
osmobiosis;osmobiosis a ɛma nipadua no yɛ adwuma
osmometer;osmometer a wɔde kyerɛ sɛnea nneɛma te
osmoregulation;osmoregulation a wɔde di dwuma
osmosis;osmosis a ɛyɛ mmerɛw
osmotic pressure;osmotic nhyɛso
osmotic;osmotic a ɛma nipadua no yɛ adwuma
osprey;osprey a wɔfrɛ no osprey
Osroene;Osroene na ɔkyerɛwee
osseous;nnompe a ɛyɛ den
Ossetia;Ossetia na ɛwɔ hɔ
Ossetian;Ossetianfo na ɔkyerɛwee
osso buco;osso buco na ɛyɛ adwuma
ossuary;ossuary a wɔde hyɛ nnompe mu
ostensibly;a ɛte sɛ nea ɛte saa
ostensive definition;nkyerɛase a ɛyɛ fɛ
ostentatious;a wɔde wɔn ho hyɛ mu
osteoarthritis;nnompe mu ntini mu yare
osteochondrosis;nnompe mu yare
osteodystrophy;nnompe mu yare a ɛma nnompe mu yɛ den
osteologist;nnompe ho ɔbenfo
osteomyelitis;nnompe mu yare
osteonectin;osteonectin a wɔde yɛ aduru
osteopathy;nnompe mu yare
osteopenia;nnompe a ɛyɛ mmerɛw
osteophyte;nnompe mu nkwaadɔm
osteoporosis;nnompe mu yare
ostinato;ostinato a wɔde yɛ adwuma
ostomy;ostomy a wɔde yɛ adwuma
ostracism;ostracism a wɔayi wɔn afi nnipa mu
ostracize;ostracize a wɔayi wɔn afi mu
ostrich;ostrich a wɔfrɛ no ostrich
Oswald;Oswald na ɔkyerɛwee
otaku;otaku
other woman;ɔbea foforo
other;foforɔ
othering;afoforo a wɔyɛ
otherness;afoforo a wɔyɛ
others;afoforo nso
otherwise;anyɛ saa a
otiose;otiose a ɛyɛ den
otitis;aso mu yare
otolaryngology;otolaryngology ho aduruyɛ
otolith;otolith
ottava rima;ottava rima
Ottawa;Ottawa na ɛwɔ hɔ
otter civet;otter civet a wɔfrɛ no civet
otter;otter a wɔfrɛ no otter
Ottoman Empire;Ottoman Ahemman no
Ottoman Turkish;Ottomanfo Turkey kasa
Ottoman;Ottomanfo na ɔkyerɛwee
Ouagadougou;Ouagadougou na ɔkyerɛwee
ouch;ouch
ought;ɛwɔ sɛ
Ouija;Ouija na ɔkyerɛwee
ounce;ounce
Our Lady of Sorrows;Yɛn Awuraa a Ɔwɔ Awerɛhow
Our Lady;Yɛn Awuraa
our;yɛn
Ourense;Ourense na ɔkyerɛwee
ouroboric;ouroboric a ɛyɛ yɛn
ours;yɛn deɛ
ourselves;yɛn ankasa
oust;oust
out loud;de nne kɛse ma
out of character;fi suban mu
out of context;a ɛne nsɛm a ɛfa ho no nhyia
out of hand;fi nsa mu
out of it;fi mu
out of one's mind;fi obi adwene mu
out of service;a ɛnyɛ adwuma
out of the blue;fi nea ɛyɛ bruu mu
out of the loop;fi loop no mu
out of the ordinary;a ɛnyɛ nea wɔtaa yɛ
out of the question;fi asɛmmisa no mu
out of this world;fi wiase yi mu
out of tune;a ɛnyɛ nea ɛnteɛ
out of;fi mu
out on the tiles;fi adi wɔ tiles no so
out;firi mu
outbox;outbox a wɔde kɔ amannɔne
