I am a doctor;Meyɛ oduruyɛfo
Idaho;Idaho na ɛwɔ hɔ
idea;adwenmpɔ
ideal;deɛ anka ɛyɛ
idealism;adwene a ɛyɛ papa
idealization;adwene a wɔde yɛ nneɛma a ɛyɛ papa
idealize;idealize
ideally;sɛnea ɛbɛyɛ yiye no
idempotence;idempotence a ɛyɛ den
idempotent;idempotent a ɛyɛ den
identical;sɛ
identically;sɛnea ɛte no ara
identifiable;a wotumi hu
identification;nkyerɛkyerɛmu a wɔde kyerɛ
identifier;a ɛkyerɛ sɛ obi yɛ ade
identify;adida
identikit;identikit a ɛkyerɛ sɛnea obi te
identity element;ade a ɛkyerɛ sɛ obi yɛ onipa
identity matrix;identity matrix a ɛkyerɛ sɛnea obi te
identity theft;identity a wowia
identity;adida
ideogram;adwene ho mfonini
ideological;adwene mu nsusuwii
ideologue;adwene ho ɔbenfo
ideology;adwene a wɔde yɛ adwuma
ideophone;ideophone a wɔde di dwuma
idiocy;nkwaseasɛm
idiolect;idiolect a wɔde kasa
idiom;kasakoa a wɔde di dwuma
idiomatic;kasakoa a wɔde di dwuma
idiomaticity;kasakoa a wɔde di dwuma
idiopathic;idiopathic a ɛyɛ fɛ
idiophone;idiophone a wɔde kasa
idiosyncrasy;idiosyncrasy a ɛyɛ soronko
idiosyncratic;nea ɛyɛ soronko
idiot box;idiot adaka no
idiot;gyimifoɔ
idiotize;yɛ ɔkwasea
idiotypic;idiotypic a ɛyɛ nwonwa
idle;te hɔ kwa
idleness;kwayɛ a wɔyɛ
idler;idler a ɔyɛ adwuma
Ido;Meyɛ
idol;ohoni
idolater;abosonsomfoɔ
idolatrous;abosonsomfo
idolatry;abosonsom
idolize;yɛ abosom
idose;idose a wɔde di dwuma
idyll;idyll a ɛyɛ fɛ
idyllic;idyllic a ɛyɛ fɛ
idée fixe;idée siesie
if and only if;sɛ na sɛ ɛba nkutoo a
if I were you;sɛ na meyɛ wo a
if looks could kill;sɛ hwɛ betumi akum a
if only;sɛ ɛno nkutoo a
if you will;sɛ wopɛ a
if;sɛ
iff;iff
igloo;igloo a wɔde yɛ adwuma
Ignatian;Ignatian na ɔkyerɛwee
Ignatius;Ignatius na ɔkyerɛwee
igneous rock;igneous ɔbotan a ɛyɛ hyew
igneous;igneous a ɛyɛ hyew
ignifluous;ignifluous a ɛyɛ hyew
ignis fatuus;ignis fatuus a ɛwɔ hɔ
ignite;sɔ gya
ignition;ogya a wɔde hyew nneɛma
ignoble;animtiaabu
ignominious;animguasede
ignominy;animguase
ignorable;a wobu ani gu so
ignorance is bliss;nimdeɛ a wonni yɛ anigye
ignorance;nimdeɛ a wonni
ignorant;a wonnim hwee
ignore;yi ani
iguana;iguana a wɔfrɛ no iguana
Iguazu;Iguazu na ɔkyerɛwee
ikebana;ikebana
ileocecal valve;ileocecal valve a ɛwɔ nipadua no mu
ileum;ileum
ileus;ileus
iliac furrow;iliac furrow a ɛyɛ mmerɛw
iliac;iliac
Iliad;Iliad a wɔde di dwuma
Ilium;Ilium a ɛwɔ hɔ
ill-advised;afotu a ɛnteɛ
ill-gotten gains;mfaso a wonyae wɔ ɔkwan a ɛnteɛ so
ill-mannered;suban bɔne
ill;yare
illation;illulation
illative case;illative asɛm a ɛfa asɛm no ho
illegal combatant;ɔkofo a mmara mma ho kwan
illegal immigrant;atubrafo a mmara mma ho kwan
illegal;mmara tia
illegally;wɔ ɔkwan a mmara mma ho kwan so
illegible;a wontumi nkenkan
illiberal;a wɔmfa ahofadi nni dwuma
illiberalism;ahofadi a wɔmfa nni dwuma
illicit;a mmara mma ho kwan
Illinois;Illinois
illiteracy;akenkan ne akyerɛw a wonnim
illiterate;a wonnim akenkan ne akyerɛw
illness;yareɛ
illogical;ntease nnim
illogically;wɔ ɔkwan a ntease nnim so
illuminate;hyerɛn
illumination;hann a wɔde ma
illusion;adwenem naayɛ
illusory;adwenem naayɛ
illustrate;yɛ mfatoho
illustration;mfatoho
illustrator;mfoniniyɛfo
illustrious;agye din
ilmenite;ilmenite a ɛwɔ hɔ
image macro;mfonini macro
image processing;mfonini a wɔde di dwuma
image;mfoni
imaginable;a wobetumi asusuw ho
imaginary number;akontaahyɛde a wɔde wɔn adwene bu
imaginary;a wɔde wɔn adwene bu
imagination;adwene mu nsusuwii
imaginative;a wɔde wɔn adwene bu
imagine;fa no sɛ
imam;imam
imbalance;kari a ɛnkari pɛ
imbecile;ɔkwasea a ɔyɛ ɔkwasea
imbecility;nkwaseasɛm
imbricate;imbricate a wɔde hyɛ mu
IMF;IMF
imitate;suasua
imitation;a wosuasua
immanent;immanent a ɛwɔ hɔ
Immanuel;Immanuel
immaterial;a ɛnyɛ nea ɛho hia
immateriality;nneɛma a ɛnyɛ honam fam de
immature;wɔn a wɔn ho akokwaw
immaturity;onyin a wonnyinii
immediacy;ntɛm ara
immediate family;abusua a wɔbɛn wɔn paa
immediate;hɔ ara
immediately;prɛko pɛ
immense;emu dɔ
immensely;kɛse
immensity;kɛseyɛ
immerse;fa wo ho hyɛ nsu mu
immersed;wɔde ahyɛ nsu mu
immersion;nsuo a wɔde hyɛ nsuo mu
immigrant;atubrafo
immigrate;tu kɔtena baabi foforo
immigration;atubrafo ho nsɛm
imminence;abɛn
imminent;a ɛrebɛn
immobile;a wontumi nkɔ baabiara
immobilize;ma obi ntumi nkɔ baabiara
immolate;ɔhyew
immoral;ɔbrasɛe ho
immoralism;ɔbrasɛe
immorality;ɔbrasɛe
immorally;ɔbrasɛe mu
immortal;nea enwu da
immortalise;yɛ nea enwu da
immortality;nkwa a enwu da
immune system;nipadua mu ahoɔden a ɛko tia nyarewa
immune;immune a ɛko tia nyarewa
immunity;nipadua mu ahoɔden a ɛko tia nyarewa
immunize;immunize a wɔde bɔ nipadua no ho ban
immuno-;immuno- .
immunoblot;immunoblot a wɔde yɛ adwuma
immunodeficiency;nipadua mu ahoɔden a ɛko tia nyarewa
immunoglobulin;immunoglobulin a ɛma nipadua no tumi ko tia nyarewa
immunological;immunological a ɛma nipadua no tumi ko tia nyarewa
immunologist;nipadua mu ahoɔden a ɛko tia nyarewa ho ɔbenfo
immunology;immunology a ɛma nipadua no tumi ko tia nyarewa
immunosuppressant;aduru a ɛma nipadua no tumi ko tia nyarewa
immure;immure
immutable;a ɛnsakra
IMO;IMO
impact crater;impact crater a ɛwɔ hɔ
impact;nsunsuansoɔ
impair;sɛe ade
impaired;a asɛe
impala;impala
impale;asɛndua so
impalement;asɛndua mu
impalpable;a wontumi mfa wɔn nsa nka
impart;de ma
impartial;a wɔnyɛ animhwɛ
impartiality;animhwɛ a wonni
impartially;a wɔnyɛ animhwɛ
impassable;a wontumi nkɔ so
impasse;impasse
impassive;a ɛnyɛ hwee
impatience;abotare a wonni
impatient;nni aboterɛ
impatiently;a wonni abotare
impeachment;impeachment a wɔde bɛma obi wɔ n’ahenni so
impeccably;a mfomso biara nni ho
impecunious;a wonnya sika pii
impedance;impedance a ɛyɛ den
impede;siw kwan
impediment;akwanside
impel;impel
impending;a ɛreba
impenetrability;a wontumi nkɔ mu
impenetrable;a wontumi nkɔ mu
imperative mood;adwene a ɛho hia
imperative;ɛho hia sɛ wɔyɛ saa
imperceptibly;a wontumi nhu
imperfect;ɛnyɛ pɛ
imperfection;sintɔ
imperfective aspect;afã a ɛnyɛ pɛ
imperfectly;wɔ ɔkwan a ɛnyɛ pɛ so
imperialism;ahemman nniso
imperialist;ahemman nniso
imperialistic;ahemman nniso
imperil;imperil
imperious;imperious
impermanence;nea ɛntra hɔ daa
impermeability;sɛnea nsu ntumi nkɔ mu
impermeable;a ɛnyɛ nea nsu ntumi nkɔ mu
impersonal;a ɛnyɛ nipasu
impersonally;a ɛnyɛ nipasu
impersonate;yɛ ne ho sɛ obi
impertinent;a ɛnyɛ nea ɛmfata
impetigo;impetigo a ɛyɛ hu
impetuous;a wɔyɛ no ntɛmntɛm
impiety;onyamesom pa a wonni
impinge;impinge a wɔde bɛbɔ
impish;impish
implacable;a wontumi nnye ntom
implant;a wɔde hyɛ nipadua mu
implantation;a wɔde hyɛ nipadua mu
implement;fa yɛ adwuma
implementation;dwumadie a wɔde bedi dwuma
implicate;fa ho hyɛ mu
implication;nea ɛkyerɛ
implicature;implikature a wɔde hyɛ mu
implicit;implicit
implicitly;wɔ ɔkwan a ɛnyɛ nea ɛda adi so
implore;srɛsrɛ
implosion;implosion a ɛyɛ hu
imply;kyerɛ sɛ
impolite;a wonni suban pa
import;kra bra
importance;hia a ɛho hia
important;ɛhia
importantly;nea ɛho hia no
importer;nea ɔde nneɛma ba amannɔne
importune;importune a ɛyɛ den
impossibility;a ɛrentumi nyɛ yiye
impossible;ɛnyɛ yie
impossibly;a ɛrentumi nyɛ yiye
impostor;ɔdaadaafo
imposture;atoro a wɔyɛ
impotence;tumi a wontumi nyɛ
impound;impound a wɔde asie
impoundment;impoundment a wɔde ahyɛ obi nsa
impoverish;ahiafo
impoverished;ahiafo a wɔadi hia
imprecate;imprecate
imprecise;a ɛnyɛ pɛpɛɛpɛ
impregnable;nea wontumi nhyɛ so
impregnate;nyinsɛn a wɔde hyɛ mu
impress;sɔ ani
impressed;n’ani gyee ho
impression;adwene
impressionable;a ɛyɛ nwonwa
impressionism;adwene a ɛma obi nya adwene
impressive;ɛyɛ anisɔ
imprimatur;imprimatur a wɔde kyerɛw nsɛm
imprison;afiasenna a wɔde bɛto afiase
imprisoner;ɔdeduani
imprisonment;afiasenna a wɔde bɛto obi
improbability;nea ɛrentumi nyɛ yiye
improbable;ɛnyɛ nea ɛbɛyɛ yiye
improbably;ɛnyɛ nea ɛbɛyɛ yiye
impromptu;impromptu a wɔde yɛ adwuma
improve;tu mpɔn
improved;atu mpɔn
improvement;mpuntuo
improvisation;improvisation a wɔde yɛ nneɛma
improvise;yɛ nea wɔyɛ no ntɛmntɛm
improvised;wɔayɛ no sɛnea wɔpɛ
imprudence;adwene a ɛnteɛ
imprudent;adwene a ɛnteɛ
imprudently;wɔ anifere kwan so
impudence;animtiaabu
impudent;animtiaabu
impugn;impugn
impulse response;nkate mu mmuae
impulse;nkate a ɛma obi nya nkate
impulsive;a wɔyɛ no ntɛmntɛm
impulsiveness;a wɔyɛ no ntɛmntɛm
impunity;asotwe a wɔmfa mma
impure s;impure s
impure;ɛho ntew
impurely;a ɛho ntew
impurity;efĩ a ɛho ntew
imputable;imputable
in a jiffy;wɔ bere tiaa bi mu
in a nutshell;sɛ yɛbɛka no tiawa a
in a pig's eye;wɔ mprako aniwa mu
in a pinch;wɔ pinch mu
in a row;wɔ ntoatoaso mu
in addition;bio
in agreement;wɔ apam mu
in all probability;wɔ nea ebetumi aba nyinaa mu
in any case;sɛnea ɛte biara
in bed;wɔ mpa so
in between;wɔ ntam
in broad daylight;wɔ awia hann a ɛtrɛw mu
in case of;sɛ ɛba sɛ
in case;sɛ ɛba saa a
in charge;a ɔhwɛ so
in cold blood;wɔ mogya a ɛyɛ nwini mu
in common;a ɛyɛ pɛ
in confidence;wɔ ahotoso mu
in detail;mu kɔ akyiri
in earnest;wɔ aniberesɛm mu
in effigy;wɔ effigy mu
in fact;nokorɔ mu
in favor of;a wɔde gyina akyi
in for the kill;mu ma kum no
in force;a ɛwɔ tumi mu
in forma pauperis;wɔ ɔkwan pauperis so
in front of;wɔ anim
in good hands;wɔ nsa pa mu
in kind;wɔ nneɛma mu
in lieu of;nea wɔde besi ananmu
in lieu;nea wɔde besi ananmu
in light of;wɔ hann mu
in love;wɔ ɔdɔ mu
in memoriam;wɔ nkaeɛ mu
in my humble opinion;wɔ m’ahobrɛase adwene mu
in my opinion;wɔ m’adwene mu
in no small measure;wɔ ɔkwan ketewaa bi so
in on;mu wɔ so
in one's altitudes;wɔ obi a ɛkorɔn so
in one's element;wɔ obi element mu
in one's opinion;wɔ obi adwene mu
in one's own right;wɔ obi ankasa mu
in operation;wɔ adwumayɛ mu
in order for;sɛnea ɛbɛyɛ a
in order to;sɛdeɛ ɛbɛyɛ a
in order;nnidiso nnidiso
in other words;ɔkwan foforo so no
in parallel;wɔ nsɛsoɔ mu
in particular;titiriw no
in passing;wɔ twam mu
in person;ankasa
in personam;wɔ personam mu
in place of;wɔ ananmu
in practice;wɔ nneyɛe mu
in principle;wɔ nnyinasosɛm mu
in private;wɔ kokoam
in public;wɔ baguam
in question;a yɛreka ho asɛm no
in respect of;wɔ obu a wɔde ma ho
in series;a ɛtoatoa so
in spite of;ɛmfa ho sɛ
in the act;wɔ adeyɛ no mu
in the end;awiei koraa no
in the first place;wɔ nea edi kan no mu
in the flesh;honam mu
in the future;daakye
in the know;wɔ nimdeɛ mu
in the long run;bere tenten mu no
in the making;wɔ ne yɛ mu
in the nick of time;wɔ bere nick mu
in the right;wɔ nifa so
in the same boat;wɔ hyɛmma koro no ara mu
in the sticks;wɔ nnua no mu
in the swim;wɔ asuguare mu
in the wake of;wɔ akyi
in the way of;wɔ kwan so
in the wrong;wɔ mfomso mu
in time;bere kɔ so no
in toto;wɔ toto mu
in touch;wɔ nkitahodi mu
in transition;wɔ nsakrae mu
in two shakes;wɔ wosow abien mu
in vain;kwa
in view of;wɔ adwene mu
in vitro;wɔ vitro mu
in your dreams;wo daeɛ mu
in-;mu-
in-box;in-box mu
in-joke;in-aseresɛm
in-law;asew
in-your-face;wɔ-wo-anim
in;mu
inability;tumi a wontumi nyɛ
inaccessibility;a wontumi nkɔ hɔ
inaccessible;a wontumi nkɔ hɔ
inaccurate;a ɛnyɛ nokware
inaction;adeyɛ a wɔnyɛ
inactive;a ɛnyɛ adwuma
inactivity;dwumadi a wɔnyɛ
inadequate;a ɛnnɔɔso
inadmissibility;a wontumi nnye ntom
inadmissible;a wontumi nnye ntom
inadvertent;a wɔanhyɛ da
inadvertently;a wɔanhyɛ da
inalienable;nea wontumi nnye mfi obi nsam
inanimate;a nkwa nnim
inanition;inanition
inanity;inanity
inapplicable;a ɛnyɛ nea ɛfa ho
inappropriate;ɛnyɛ papa
inasmuch as;sɛnea ɛte biara
inattention;adwene a wɔmfa nsie
inattentive;a wɔmfa wɔn adwene nsi so
inaudible;a wontumi nte
inaugural;a wɔde sii hɔ
inaugurate;a wɔde bebue ano
inauguration;ahyɛnsode
inborn;awosu mu
Inca;Inca
incalculable;a wontumi nkan
incalculably;a wontumi nkan no
Incan;Incafo kasa
incandescent lamp;kanea a ɛyɛ hyew
incandescent;incandescent a ɛyɛ hyew
incapable;a wontumi nyɛ ho hwee
incapacity;tumi a wontumi nyɛ
incarcerate;wɔde obi bɛto afiase
incarceration;afiase a wɔde obi bɛto
incense;aduhuam
incentive;nnwanam
inception;mfiase
incessant;a ennyae
incessantly;a wonnyae
incest;abusuafo a wɔne wɔn da
inch;inch
inchoate;inchoate a ɛyɛ den
incident;deɛ asi
incidental music;nnwom a wɔbɔ wɔ akwanhyia mu
incidental;nea ɛbae wɔ akwanhyia mu
incidentally;sɛnea ɛte biara no
incinerate;hyew
incinerator;afiri a wɔde hyew nneɛma
incipient;nea efi ase
incision;ntwitwiridii
incisive;a ɛyɛ mmerɛw
incisor;incisor
incite;kanyan obi
incivil;a ɛnyɛ ɔmanfo de
inclement;a ɛnyɛ papa
inclined plane;wimhyɛn a ɛkɔ fam
inclined;a ɛkɔ akyiri
include;fa ka ho
including;a ɛka ho
inclusion;nea wɔde ka ho
inclusive;nea ɛka ho
incoherence;a ɛne ne ho nhyia
incoherent;a ɛne ne ho nhyia
incoherently;a ɛnyɛ nea ɛne ne ho nhyia
incombustible;a wontumi nhyew
income statement;sika a wonya ho amanneɛbɔ
income;sikanya
incoming;incoming
incommensurability;nea wontumi nsusuw ho
incommensurable;a wontumi nsusuw ho
incomparable;a wontumi ntoto ho
incompatibility;a ɛne ne ho nhyia
incompatible;a ɛne ne ho nhyia
incompetence;ahokokwaw a wonni
incompetent;wɔn a wɔn ho akokwaw
incomplete;a enni mũ
incompletely;a enni mũ
incomprehensible;a wontumi nte ase
inconceivable;a wontumi nsusuw ho
incongruous;a ɛnyɛ nea ɛne ne ho nhyia
inconsiderate;a wonsusuw nneɛma ho
inconsistency;nsɛm a ɛnhyia
inconsistent;nea ɛnhyia
inconsolable;a wontumi nkyekye wɔn werɛ
inconspicuous;a wontumi nhu
inconstancy;nea ɛnkɔ so daa
incontinence pad;aduru a ɛma obi ntumi nhyɛ ne ho so
incontinence;a wontumi nhyɛ wɔn ho so
incontrovertibly;a wontumi nnye ho akyinnye
inconvenience;ɛmmoa
inconvenient;a ɛnyɛ mmerɛw
incorporate;fa ka ho
incorporeal;nipadua a enni nipadua mu
incorrect;ɛnteɛ
incorrectly;wɔ ɔkwan a ɛnteɛ so
incorrigible;a wontumi nsiesie
increasable;a ɛkɔ soro
increase;kɔ anim
increasing;a ɛrenya nkɔanim
increasingly;nkɔanim
incredible;nwanwa
incredibly;a ɛyɛ nwonwa
incredulity;gyidi a wontumi nnye nni
incredulous;a wonnye nni
incubate;a wɔde hyɛ mu
incubation;a wɔde hyɛ awotwaa mu
incubator;incubator a wɔde hyɛ nipadua mu
incubus;incubus a wɔde ahyɛ mu
inculcate;dua mu
incumbency;incumbency a wɔde di dwuma
incumbent;nea ɔredi tumi mprempren
incunable;incunable a ɛnyɛ nea wɔde di dwuma
incunabulum;incunabulum a ɛwɔ nipadua no mu
incur;incur
incus;incus
indebted;wɔde ka
indebtedness;ɛka a wɔde ma
indecent exposure;a wɔda wɔn ho adi wɔ ɔkwan a ɛmfata so
indecision;gyinaesi a wontumi nsi gyinae
indecisive;a wontumi nsi gyinae
indeed;ampa ara
indefatigable;a ɔmmrɛ
indefinite article;asɛm a enni ano
indefinite integral;integral a enni ano
indefinite pronoun;edinnsiananmu a enni ano
indefinitely;daa
indelible;a wontumi mpopa
indemnify;a wɔde tua ka
indemnity;akatua a wɔde tua ho ka
indent;indent a wɔde ahyɛ mu
indentation;indentation a wɔde hyɛ mu
Independence Day;Ahofadi Da
independence;ahofadi a wonya
independent variable;nsakrae a ɛde ne ho
independent;de ho
independentist;ahofadifo
independently;a ɛde ne ho
indescribable;a wontumi nkyerɛkyerɛ mu
indestructible;nea wontumi nsɛe no
indeterminate;a wontumi nsi ho gyinae
index card;index krataa no
index;index no
indexation;indexation a wɔde kyerɛw nsɛm
India ink;India ink
India;India
Indian ink;Indiafo ink
Indian myna;Indiafo myna
Indian Ocean;India Po no
Indian Peninsula;India Po so Nsupɔw
Indian rhinoceros;Indiafo asono a wɔyɛ asono
Indian;Indianifo
Indiana;Indiana na ɛwɔ hɔ
Indianapolis;Indianapolis na ɛwɔ hɔ
indicate;kyerɛ
indicative;a ɛkyerɛ biribi
indicator;kyerɛwtohɔ
indictment;sobo a wɔde bɔ obi sobo
indifference;anibiannaso
indifferent;anibiannaso
indigenous;fie deɛ
indigent;ahiafo
indigestible;nea wontumi nnye
indigestion;aduan a wɔmfa nni dwuma yiye
indignation;abufuw a wɔde ba
indignity;animtiaabu
indigo bunting;indigo a wɔde bunting ayɛ
indigo;indigo a ɛyɛ indigo
indirect object;ade a ɛnteɛ
indirect;indirect
indirectly;wɔ ɔkwan a ɛnteɛ so
indiscreet;anifere kwan so
indiscriminate;a wɔnyɛ nyiyim
indispensable;a ɛho nhia
indisposition;indisposition a ɛnyɛ den
indisputable;a wontumi nnye ho akyinnye
indisputably;a akyinnye biara nni ho
indissolubility;a wontumi nsɛe no
indissoluble;a wontumi nsɛe no
indistinct;a ɛnyɛ nea ɛda adi pefee
indistinctly;a ɛnyɛ nea ɛda adi pefee
indistinguishable;wontumi nkyerɛ nsonsonoe a ɛda ntam
indium;indium a wɔde di dwuma
individual pursuit;ankorankoro akyi di
individual;ankorɛankorɛ
individualist;ankorankoro ho adwene
individually;ankorankoro biara
indivisibility;a wontumi nkyekyɛ mu
indivisible;a wontumi nkyɛ mu
Indo-;Indo- .
Indo-Aryan;Indo-Aryanfo kasa
Indo-European;Indo-Europafo kasa
Indochina;Indochina na ɛwɔ hɔ
indoctrinate;indoctrinate a wɔde kyerɛkyerɛ mu
indoctrination;nkyerɛkyerɛ a wɔde kyerɛkyerɛ mu
indolent;indolent a ɔyɛ ɔkwasea
indomethacin;indometacin a wɔde yɛ nnuru
indomitable;nea wontumi nni so
Indonesia;Indonesia
Indonesian;Indonesia kasa
Indra;Indra na ɔkyerɛwee
Induan;Induanfo na wɔte saa
indubitable;akyinnye biara nni ho
induce;induce
inducible;inducible
induction;induction a wɔde hyɛ nipadua mu
indulge;de wɔn ho hyɛ mu
indulgence;a wɔde wɔn ho hyɛ mu
indulgent;a wɔde wɔn ho hyɛ mu
Indus;Indus na ɛwɔ hɔ
industrial design;mfiridwuma mu nhyehyɛe
industrial espionage;mfiridwuma mu akwansrafo
industrial park;mfiridwuma beae
industrial peace;mfiridwuma mu asomdwoe
industrial;mfiridwuma mu
industrialism;mfiridwuma mu nkɔso
industrialist;mfiridwuma ho nimdefo
industrialization;mfiridwuma mu nkɔso
industrialize;mfiridwuma mu nneɛma
industrious;nsiyɛfo
industry;mfididwuma
inebriated;wɔabow nsa
inebriation;nsa a wɔnom
inedible;a wontumi nni
ineffable;wontumi nka ho asɛm
ineffective;a entu mpɔn
inelastic;nea ɛnyɛ nea ɛyɛ den
inelegant;a ɛnyɛ fɛ
ineligibility;a wɔmfata
ineligible;a wɔmfata
inept;inept
ineptitude;tumi a wonni
inequality;pɛyɛ a enni hɔ
ineradicable;nea wontumi ntu ase
inert gas;gas a ɛnyɛ adwuma
