N'Djamena;N'Djamena na ɔkyerɛwee
natural selection;abɔde mu nneɛma a wɔpaw
natural;abɔdeɛ mu deɛ
naturalism;abɔde ho nimdeɛ
naturalization;abɔde mu nneɛma a wɔde yɛ ade
naturally;wɔ awosu mu
naturalness;abɔde mu nneɛma
nature reserve;abɔde a wɔkora so
nature;abɔdeɛ
naturism;abɔde a nkwa wom ho adwene
naturopathy;abɔde mu yareɛ
naught;biribiara nni hɔ
naughtily;animtiaabu so
naughty;naughty a ɔyɛ ɔkwasea
Nauru;Nauru na ɔkyerɛwee
Nauruan;Nauruanfo na wɔte saa
nausea;abofono
Nausicaa;Nausicaa na ɛyɛ
nautical mile;po so akwansin
nautical;nautical nautical
Navajo;Navajo kasa
naval;po so asraafo
Navarre;Navarre na ɔkyerɛwee
Navarrese;Navarrese na ɔkyerɛwee
nave;nave
navel-gazing;navel-hwɛ a wɔde hwɛ awotwaa
navel;navel
navigate;kɔ baabiara
navigation channel;ɔkwan a wɔfa so fa kwan so
navigation;akwantuo a wɔde fa kwan so
navigator;ɔkwankyerɛfo
navy blue;po so hyɛn mu bruu
navy;po so asraafo
Nayarit;Nayarit na ɛyɛ
Naypyidaw;Naypyidaw na ɔkyerɛwee
Nazareth;Nasaret
Nazca Lines;Nazca Ntrɛwmu
Nazi Germany;Nasi Germany na wɔyɛe
Nazi;Nasifo
Nazianzus;Nazianzus na ɔkyerɛwee
Nazism;Nasisom
naïveté;naïveté a ɛyɛ naïveté
neanderthal;neanderthalfo a wɔyɛ wɔn ade
neap;neap
Neapolitan;Neapolitanfo
Near East;Ɛbɛn Apuei Fam
near infrared;ɛbɛn infrared
near point;bɛn beae a ɛbɛn
near-synonym;ɛkame ayɛ sɛ asɛmfua a ɛne ne ho di nsɛ
near;bɛn
nearby;bɛn
nearly;ɛkaa dɛ
neat;di ni
neatness;ahosiesie a wɔyɛ no fɛfɛɛfɛ
Nebraska;Nebraska na ɛwɔ hɔ
Nebuchadnezzar;Nebukadnesar
nebula;nebula a ɛyɛ nebula
nebulizer;nebulizer a wɔde yɛ nneɛma
nebulous;nebulous a ɛyɛ nebulous
necessarily;ɛho hia sɛ wɔyɛ saa
necessary evil;bɔne a ɛho hia
necessary;ɛhia
necessitate;ɛho hia
necessity;hia a ɛho hia
neck and neck;kɔn ne kɔn
neck;kɔn
necklace;kɔnmuadeɛ
necktie;kɔn mu kyekyere
necro-;necro- .
necrocracy;necrocracy a wɔde di dwuma
necrology;necrology ho adesua
necromancer;necromancer a ɔyɛ ɔbarima
necromancy;necromancy a wɔde di dwuma
necrophage;necrophage a wɔde hyɛ nipadua mu
necrophagous;necrophagous a wɔde di dwuma
necrophagy;necrophagy a wɔde di dwuma
necrophilia;necrophilia a wɔde di dwuma
necrophobia;necrophobia a ɛyɛ hu
necrosis;necrosis a ɛma obi wuwu
necrotic;necrotic a ɛyɛ mmerɛw
nectar;nsu a ɛyɛ dɛ
nectarine;nectarine a wɔde yɛ nsu
nectary;nectary a ɛyɛ nsuo
need;hia
needle in a haystack;needle a ɛwɔ sare a wɔaboaboa ano mu
needle;ade a wɔde yɛ ade
needlefish;needlefish a wɔfrɛ no needlefish
needless to say;ɛho nhia sɛ yɛbɛka
needless;ɛho nhia
needy;ahiafo
neem;neem
neener;neener
NEET;NEET na ɛyɛ
nefarious;nefarious a ɛyɛ bɔne
negation;asɛm a wɔpow
negative Nancy;adwemmɔne Nancy
negative pressure;nhyɛso a enye
negative;negetifu
negativity;adwemmɔne
Negev;Negev
neglect;yi ani ama
neglected;wobu ani gu so
neglectful;anibiannaso a wɔyɛ
negligence;anibiannaso a wɔyɛ
negligent;anibiannaso
negligently;anibiannaso mu
negligible;a wontumi mmu ani ngu so
negotiable;wobetumi asusuw ho
negotiation;nkitahodi a wɔyɛ
negress;negress a ɔyɛ ɔbarima
Negro;Negro
Negrophobia;Abibifo ho tan
Nehemiah;Nehemia
neigh;neigh
neighborhood;mpɔtam
neighbour;borɔno so ni
neither;ɛnyɛ biara
nekton;nekton
nematode;nematode a wɔfrɛ no nematode
Nemean Lion;Nemean Gyata
Nemean;Nemean a ɔyɛ ɔkyerɛwfo
Nemesis;Nemesis a wɔfrɛ no nemesis
Nenets;Nenets na ɔkyerɛwee
neo-;neo- .
neo-Nazi;Nasifo foforo
neo-Nazism;Nazsom foforo a wɔyɛe
neoclassicism;neoclassicism a wɔde di dwuma wɔ ɔkwan a ɛyɛ foforo so
neocolonialism;neocolonialism a wɔde di dwuma
neodymium;neodymium a wɔfrɛ no neodymium
neofascism;fascism foforo a wɔde di dwuma
neofascist;neofascistfo a wɔyɛ foforo
Neogrammarian;Neogrammarian ho nimdefo
Neolithic;Abodan foforo bere mu
neologism;neologism a wɔde di dwuma foforo
neon sign;neon sɛnkyerɛnne
neon;neon
neonatal;mmofra a wɔawo wɔn foforo
neophilia;neophilia a wɔfrɛ no neophilia
neophobia;neophobia a ɛyɛ foforo
neophyte;neophyte a ɔyɛ foforo
neoplasm;neoplasm a wɔfrɛ no neoplasm
neoplastic;neoplastic a wɔde yɛ aduru
neoprene;neoprene a wɔde di dwuma
neoteny;neoteny a ɛyɛ neoteny
neoumbilicoplasty;neoumbilicoplasty a wɔde yɛ nipadua no
Nepal;Nepal
Nepali;Nepali kasa mu
nepheline;nepheline a wɔfrɛ no nepheline
nephew;wɔfaase
Nephite;Nifae
nephology;nephology ho adesua
nephrite;nephrite a wɔfrɛ no nephrite
nephritic;nephritis a ɛma obi ho kyere no
nephritis;nephritis a ɛyɛ mmerɛw
nephrologist;nephrologist ho ɔyaresafo
nephrology;nephrology ho aduruyɛ
nephron;nephron a wɔfrɛ no nephron
nephrosclerosis;nephrosclerosis a ɛyɛ mmerɛw
nephrosclerotic;nephrosclerotic a ɛma obi ho yɛ den
nepotism;abusuafo ntam abusuabɔ
Neptune;Neptune a wɔfrɛ no Neptune
neptunium;neptunium a wɔfrɛ no neptunium
nerd;kwasea
nereid;nereid
neritic;neritic a wɔde yɛ adwuma
Nero;Nero
nerve cell;ntini mu nkwammoaa
nerve gas;ntini mu mframa
nerve impulse;ntini mu nkate
nerve;ntini a ɛyɛ den
nervous breakdown;ntini a ɛma obi ho kyere no
nervous system;ntini a ɛma nipadua no yɛ adwuma
nervous;suro-fɛreɛ
nervously;ahopopo so
nervousness;ehu a ɛma obi ho popo
nest egg;nest egg
nest;prebuo
nested;nested
Nestor;Nestor na ɔkyerɛwee
Nestorian;Nestorian na ɔkyerɛwee
Nestorianism;Nestoriansom mu gyidi
net sales;adetɔn a ɛyɛ pɛpɛɛpɛ
net weight;net mu duru
net;sapɔ
netbook;netbook a wɔde kyerɛw nsɛm
nether;nether
Netherlander;Netherlandsni
Netherlands Antilles;Netherlands Antilles na ɛwɔ hɔ
Netherlands;Netherlands
netizen;netizen a ɔyɛ adwuma wɔ intanɛt so
nettle;nettle a wɔde yɛ nneɛma
network card;netɛw kaad
network;nɛtwɛke
networking;nkitahodi nhyehyɛe
neumatic;neumatic a ɛma nipadua no yɛ adwuma
neume;neume
neural network;ntini a ɛma ntini mu ntini yɛ adwuma
neural tube;ntini a ɛwɔ ntini mu
neural;ntini mu yare
neuralgia;ntini mu yare
neuro-;neuro- .
neurobiology;ntini mu abɔde a nkwa wom ho adesua
neuroblast;neuroblast a ɛma nipadua no yɛ adwuma
neuroepithelial;neuroepithelial a ɛwɔ nipadua no mu
neurofibromatosis;neurofibromatosis a ɛma nipadua no yɛ adwuma
neurolinguistics;ntini mu kasa ho adesua
neurological;ntini mu yare
neurologist;ntini mu ɔyaresafo
neurology;ntini mu yare ho adesua
neuroma;ntini mu yare
neuron;ntini a ɛma mogya tu
neuronal;ntini mu yare
neuropathic;ntini mu yare
neuropathology;ntini mu yare ho adesua
neuropathy;ntini mu yare
neuropeptide;neuropeptide a ɛma nipadua no yɛ adwuma
neurophysiology;ntini mu nkwaadɔm ho adesua
neuropteran;neuropteran a ɛma nipadua no yɛ adwuma
neurosis;ntini mu yare
neurosurgeon;ntini mu oprehyɛn ho ɔbenfo
neurosurgery;ntini mu oprehyɛn a wɔyɛ
neurotic;neurotic
neurotoxic;ntini mu awuduru
neurotransmitter;neurotransmitter a ɛma nipadua no yɛ adwuma
neurula;neurula (neurula) a ɛyɛ den
neuter;neuter a ɛnyɛ den
neutral;damusa
neutralise;neutralize
neutrality;afã biara a wonni
neutralization;neutralization a wɔde di dwuma
neutrino;neutrino a wɔfrɛ no neutrino
neutron bomb;neutron ɔtopae a wɔde tow
neutron star;neutron nsoromma
neutron;neutron a wɔfrɛ no neutron
neutrophil;neutrophil a wɔfrɛ no neutrophil
Nevada;Nevada na ɛwɔ hɔ
Nevadan;Nevadanfo na wɔte saa
never again;da bio
never ever;da biara da
never mind;mma no nha wo
never say die;nka da sɛ wu
never say never;nka da sɛ dabi
never;da
neverending;a enni awiei
nevertheless;ne nyinaa mu
New Brunswick;New Brunswick na ɛwɔ hɔ
New Caledonia;Caledonia Foforo
New Caledonian;New Caledonia kasa
New Delhi;New Delhi na ɛwɔ hɔ
New England;New England
New Granada;Granada Foforo
New Guinea;New Guinea
New Hampshire;New Hampshire na ɛwɔ hɔ
New Jersey;New Jersey na ɛwɔ hɔ
New Mexican;Mexicofo Foforo
New Mexico;New Mexico
new moon;ɔsram foforo
New Orleans;New Orleans na ɛwɔ hɔ
New South Wales;New South Wales na ɛwɔ hɔ
New Spain;Spain Foforo
New Testament;Apam Foforo
New World;Wiase Foforo
New Year's Day;Afe Foforo Da
New Year's Eve;Afe Foforo Anwummere
New Year;Afe Foforo
New York City;New York Kuropɔn mu
New York State;New York Mantam mu
New York;New York na ɛwɔ hɔ
New Yorker;New Yorkni a ɔyɛ adwuma wɔ hɔ
New Zealand dollar;New Zealand dɔla
New Zealand;New Zealand na ɛwɔ hɔ
New Zealander;New Zealanderni a ɔyɛ ɔmanpanyin
New Zealandress;New Zealandfo a ɔyɛ ɔbea a ɔyɛ ɔbea
new;foforɔ
Newari;Newari
newbie;obi a ɔyɛ foforo
newborn;abofra a wɔawo no foforo
Newcastle disease;Newcastle yare no
newcomer;obi a ɔba foforo
newel;newel
newer;foforo
newfangled;nea wɔayɛ no foforo
Newfoundland;Newfoundland na ɛwɔ hɔ
newly;foforo
newlywed;awarefo foforo
newness;foforoyɛ
news agency;nsɛm ho amanneɛbɔ adwumayɛbea
news anchor;nsɛm ho amanneɛbɔfo
news cycle;nsɛm ho amanneɛbɔ kyinhyia
news media;nsɛm ho amanneɛbɔfo
news;kaseɛbɔ
newsagent;atesɛm krataa ho aguadifo
newsletter;nsɛm ho amanneɛbɔ krataa
newspaper;atesɛm krataa
Newspeak;Atesɛm mu asɛm
newsstand;atesɛm krataa aguadidan
newt;newt
newton;newton
next of kin;abusuafo a wɔbɛn wɔn
next to nothing;ɛkame ayɛ sɛ biribiara nni hɔ
next to;toa so
next year;afe a edi hɔ no
next;deɛ ɛdi hɔ
nexus;abusuabɔ a ɛda ntam
NGO;NGO a ɛnyɛ adwuma
Niamey;Niamey na ɔkyerɛwee
nib;nib
nibble;nibble
nibling;nibling a wɔde di dwuma
Nicaragua;Nicaragua, na ɛwɔ hɔ
Nicaraguan;Nicaragua kasa mu
nice;kama
nicely;fɛfɛɛfɛ
Nicene Creed;Nicenefo Gyidisɛm
Nicholas;Nicholas na ɔkyerɛwee
nickel silver;nikel dwetɛ
nickel;nikel a wɔde yɛ nneɛma
nickname;abodin a wɔde frɛ obi
Nicola;Nicola na ɔkyerɛwee
Nicomedia;Nicomedia na ɔkyerɛwee
Nicopolis;Nikopolis
Nicosia;Nicosia na ɔkyerɛwee
nicotine;nicotine a wɔde yɛ adwuma
nictemeral;nictemeral a wɔde di dwuma
nictitating membrane;nictitating membrane a ɛma nipadua no yɛ adwuma
niddy-noddy;niddy-noddy a wɔde wɔn ho hyɛ mu
nidify;nidify
niece;wɔfaasewa
Nietzschean;Nietzschean na ɔkyerɛwee
nifty;nifty a ɛyɛ fɛ
Niger;Niger
Nigeria;Nigeria
Nigerian;Nigeriani
Nigerien;Nigeriafo kasa
niggardly;animtiaabu so
nigger;nigger a ɛyɛ nigger
nigh;bɛn hɔ
night and day;anadwo ne awia
night blindness;anadwo anifurae
night heron;anadwo ɔkraman
night owl;anadwo ɔkraman
night school;anadwo sukuu
night shift;anadwo a wɔde yɛ adwuma
night;anadwo
nightcap;anadwo a wɔde hyɛ
nightclub;anadwo agoprama
nightfall;anadwo a ɛyɛ fɛ
nightgown;anadwo atade a wɔde hyɛ
nighthawk;nighthawk a wɔfrɛ no nighthawk
nightingale;nightingale a wɔfrɛ no nightingale
nightjar;nightjar
nightlife;anadwo asetra
nightly;anadwo biara
nightmare;ehudeɛ
nightshade;anadwo sunsuma
nightstand;anadwo mpaboa
nihilism;nihilism a ɛnyɛ hwee
nihilist;nihilist a wɔde di dwuma
nihonium;nihonium a wɔfrɛ no nihonium
Nijmegen;Nijmegen na ɔkyerɛwee
Nike;Nike a wɔde yɛ adwuma
nil;nil
Nile;Nile
nilgai;nilgai na ɛyɛ
nimble;nimble
nimbus;nimbus a wɔde di dwuma
Nimrod;Nimrod
nincompoop;nincompoop a wɔde yɛ adwuma
nine hundred;ahankron
nine o'clock;nnɔnkron
nine;nkron
ninesome;nnipa nkron
nineteen;dunkron
nineteenth;nea ɛto so dunkron
ninetieth;nea ɛto so aduɔkron
ninety-eight;aduɔkron awotwe
ninety-five;aduɔkron anum
ninety-four;aduɔkron anan
ninety-nine;aduɔkron nkron
ninety-one;aduɔkron baako
ninety-seven;aduɔkron ason
ninety-six;aduɔkron nsia
ninety-three;aduɔkron abiɛsa
ninety-two;aduɔkron mmienu
ninety;aduokron
Nineveh;Niniwe
ninja;ninja
Nintendo;Nintendo na ɛyɛ adwuma
ninth;nea ɛto so akron
niobium;niobium a wɔde yɛ nneɛma
nip in the bud;nip wɔ bud no mu
nipple;nufusu
Nippo-;Nippo- .
nipponize;nipponize a wɔde hyɛ nipadua mu
nirvana;nirvana ho asɛm
nit;nit
nitpick;nitpick na ɛyɛ
nitpicky;nitpicky a ɛyɛ fɛ
nitrary;nitrary a ɛwɔ nipadua no mu
nitrene;nitrene a wɔde yɛ adwuma
nitric acid;nitric acid a wɔde yɛ nneɛma
nitric oxide;nitric oxide a wɔde yɛ adwuma
nitric;nitric a wɔfrɛ no nitric
nitride;nitride a wɔde yɛ adwuma
nitriding;nitriding a wɔde yɛ adwuma
nitrile;nitrile a wɔde yɛ adwuma
nitrite;nitrite a wɔde yɛ adwuma
nitrobenzene;nitrobenzene a wɔde yɛ nneɛma
nitrogen;nitrogen a wɔfrɛ no nitrogen
nitroglycerine;nitroglycerine a wɔde yɛ adwuma
nitrous oxide;nitrous oxide a wɔde yɛ nneɛma
nitrous;nitrous a ɛwɔ mu
Niue;Niue
Nivkh;Nivkh
Nivôse;Nivôse a ɔyɛ
nix;nix
nixtamalization;nixtamalization a wɔde di dwuma
nizatidine;nizatidine a wɔde di dwuma
Nizhny Novgorod;Nizhny Novgorod na ɔkyerɛwee
Niçois;Niçois na ɔkyerɛwee
NMR spectroscopy;NMR spectroscopy a wɔde hwɛ nneɛma so
no comment;nsɛm biara nni ho
no doubt;akyinnye biara nni ho
no entry;no entry biara nni hɔ
no hard feelings;nkate a emu yɛ den biara nni hɔ
no idea;adwene biara nni hɔ
no kidding;aseresɛm biara nni hɔ
no longer;ɛnyɛ bio
no matter what;ɛmfa ho nea ɛbɛba biara
no offense;mfomso biara nni ho
no one;obiara nni hɔ
no pain, no gain;ɛyaw biara nni hɔ, mfaso biara nni hɔ
no parking;baabi a wɔde kar sisi biara nni hɔ
no problem;ɔhaw nni hɔ
no smoking;sigaretnom biara nni hɔ
no thank you;dabi aseda
no trespassing;no trespassing biara nni hɔ
no way;kwan biara nni hɔ
no worries;dadwen biara nni ho
no, thanks;dabi, aseda
no-fly list;no-fly list a wɔahyehyɛ
no-fly zone;beae a wimhyɛn biara nni hɔ
no;Daabi
Noah's ark;Noa adaka no
Noah;Noa
Nobel laureate;Nea onyaa Nobel akyɛde
Nobel Prize;Nobel Akyɛde
nobelium;nobelium a ɛyɛ adwuma
nobility;anuonyam
noble gas;gas a ɛyɛ anuonyam
noble metal;dade a ɛyɛ anuonyam
noble;anuonyam
noblesse oblige;noblesse ahyɛdeɛ
nobly;anuonyam mu
nobody's perfect;obiara nni hɔ a ɔyɛ pɛ
nobody;ɛnyɛ obiara
nocebo;nocebo
nociception;nociception a ɛma obi yɛ ade
noctule;noctule (noctule) no
nocturnal emission;anadwo mframa a wɔtow gu
nocturnal;anadwo adeyɛ
nocturne;anadwo a ɛyɛ anadwo
nod;de ne ti to fam
nodal;nodal
node;node no
nodular;nodular a ɛyɛ nodular
nodule;nodule a ɛwɔ nipadua no mu
noetic;noetic (noetic) no
Nogai;Nogai na ɔkyerɛwee
noise pollution;dede a ɛde efĩ ba
noise;dede
noisily;dede a ɛyɛ dede
noisy;dede
nolle prosequi;nolle prosequi a wɔde kyerɛw nsɛm
nom de Web;nom de Wɛbsaet
nom nom nom;nom nom nom
nomad;nomad a ɔyɛ nomad
nomadic;atubrafo
nomadism;atubrafo a wɔde wɔn ho hyɛ mu
nomenclature;din a wɔde frɛ no
nominal;din mu de
nominalization;din a wɔde frɛ obi
nominalize;nominalize no din
nominate;nominate no
nominative absolute;nominative a ɛyɛ pɛpɛɛpɛ
nominative case;asɛm a wɔde frɛ obi
nominative;din a wɔde frɛ obi
nominee;obi a wɔayi no
non-binary;nea ɛnyɛ binary
non-coding RNA;RNA a ɛnyɛ nea ɛkyerɛw
non-compete;a ɛnyɛ akansi
non-empty;ɛnyɛ nea ɛda mpan
non-issue;a ɛnyɛ asɛm
non-official cover;a ɛnyɛ aban de a wɔde kata so
non-player character;suban a ɛnyɛ agofomma
non-smoker;ɔnyɛ obi a ɔnom sigaret
non-venomous;a ɛnyɛ awuduru
nonagon;nonagon
nonagonal;a ɛnyɛ ahinanan
nonce word;nonce asɛmfua
nonce;nonce
nonchalant;a wɔnyɛ hwee
nondenominational;a ɛnyɛ asɔre ahorow
none;ɛnyɛ ebiara
nonet;nonet
nonetheless;ne nyinaa mu no
nonexistence;nea enni hɔ
nonexistent;a enni hɔ
nonillion;nonillion
nonius;nonius
nonkilling;a ɛnyɛ awudi
nonmetal;a ɛnyɛ dade
nonnegative;ɛnyɛ nea enye
nonpareil;nonpareil a ɛnyɛ papa
nonpayment;sika a wontua
nonplus;nonplus a ɛnyɛ nea ɛboro so
nonplussed;nonplused a ɛnyɛ nea wɔde ahyɛ mu
nonprofit;adwumayɛkuw a wɔnyɛ adwuma a mfaso wɔ so
nonsense;nkwaseasɛm
nonviolence;basabasayɛ a wɔnyɛ
noob;noob
noodle;noodle
noogie;noogie
nook;nook
noon;prɛmtoberɛ
noose;noose
nope;daabi
nor;anaa
noradrenaline;noradrenaline a wɔde yɛ nnuru
Nordic countries;Nordic aman
Nordic;Nordic kasa mu
norepinephrine;norepinephrine a wɔde di dwuma
Norfolk Island pine;Norfolk Supɔw so pine
Norfolk Island;Norfolk Supɔw so
noria;noria
norm;norm
Norma;Norma na ɔkyerɛwee
normal school;sukuu a wɔyɛ no daa
normal subgroup;kuw ketewa a ɛyɛ daa
normal;daa daa
normalcy;sɛnea ɛte daa
normality;sɛnea ɛte daa
normalization;normalization a ɛyɛ nea ɛfata
normalize;normalize no yɛ nea ɛfata
normally;sɛnea ɛte biara no
Norman;Norman na ɔkyerɛwee
Normandy;Normandy na ɛwɔ hɔ
normative;normative a ɛyɛ nea wɔahyɛ da ayɛ
norovirus;norovirus a ɛwɔ nipadua no mu
North Africa;Afrika Atifi fam
North America;Amerika Atifi fam
North American;Amerika Atifi fam
North Carolina;North Carolina na ɛwɔ hɔ
North Dakota;North Dakota na ɛwɔ hɔ
North East England;England Atifi Apuei
North Frisian;Frisia Atifi fam kasa
North Holland;Holland Atifi fam
North Island;North Island Supɔw no so
North Korea;North Korea na ɛwɔ hɔ
North Korean;North Koreafo na wɔyɛ saa
North Ossetia-Alania;Ossetia Atifi fam-Alania
north pole;atifi fam pole
North Sea;Atifi fam Po no
North Vietnamese;Vietnam Atifi famfo
north wind;atifi fam mframa
north;atifi
northeast;atifi fam apuei
Northern Cyprus;Kipro Atifi fam
Northern Europe;Europa Atifi fam
northern flicker;atifi fam flicker
northern fur seal;atifi fam aboa nhoma nsɔano
Northern Hemisphere;Atifi Fam Fam
Northern Ireland;Ireland Atifi fam
Northern Irish;Ireland Atifi fam kasa
northern lapwing;atifi fam lapwing
northern lights;atifi fam akanea ahorow
Northern Marianas;Marianas a ɛwɔ Atifi fam
northern pintail;atifi fam pintail a ɛwɔ hɔ
Northern Sea Route;Atifi fam Po no Kwan
Northern Territory;Atifi Fam Asasesin
northern wild rice;atifi fam wuram aburow
northern;atifi fam
northerner;atifi famfo
Northumberland;Northumberland na ɛwɔ hɔ
Northumbria;Northumbria na ɛwɔ hɔ
northwest;atifi fam atɔe
Norway maple;Norway maple a wɔfrɛ no maple
Norway;Norway
Norwegian;Norwayfo kasa
nose-picking;hwene a wɔde yiyi
nose;hwene
noseband;hwene mu nhama
nosebleed;hwene mu mogya a ɛba
noseclip;hwene a wɔde kyekyere
nosedive;hwene a wɔde hyɛ mu
nosey parker;nosy parker a ɔde ne ho to so
nostalgia;nostalgia a ɛma obi yɛ ade tra so
nostalgic;afe berɛ bi
nostril;hwene mu tokuru
nostrum;nostrum a ɛma obi ho yɛ hyew
nosy;nosy
not at all;nte saa koraa
not bad;ɛyɛ ara
not even;ɛnyɛ mpo
not least;ɛnyɛ nea esua koraa
not so fast;ɛnyɛ ntɛmntɛm saa
not to mention;ɛnyɛ sɛ yɛbɛka ho asɛm
not yet;nnuruiɛ
not;n
notable;a ɛda nsow
notably;nea ɛda nsow
notary public;ɔkyerɛwfo a ɔhwɛ baguam so
notary;ɔkyerɛwfo
notation;nkyerɛwde a wɔde kyerɛw nsɛm
notch;notch
note value;hyɛ bo a ɛsom no nsow
note;hyɛ nso
notebook;nhoma a wɔde kyerɛw nsɛm
notepad;nkyerɛwde a wɔde kyerɛw nsɛm
nothing;hwee
notice period;amanneɛbɔ bere
notice;nkaebɔ
notification;amanneɛbɔ
notify;bɔ amanneɛ
notion;adwene a ɛwɔ hɔ
notochord;notochord a wɔde di dwuma
notoriety;agye dimmɔne
notorious;agye dimmɔne
notwithstanding;ɛmfa ho sɛ ɛte saa
Nouakchott;Nouakchott na ɔkyerɛwee
nougat;nougat a wɔde di dwuma
nought;biribiara nni hɔ
noumenal;din a wɔde di dwuma
noumenon;noumenon a wɔde kyerɛw nsɛm
noun numeral;edin akontaahyɛde
noun phrase;edin kasasin
